participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	5.0	3.0	9.0	2.41	0.134	0.036	0.003	0.0	0.0	56.0	99.0	22.6857	2.2479	20.383	25.0742	4.6912	10.0917	2.8618	0.0125	2.8478	2.8733	0.0256
8454119	3027.0	2116.0	7147.0	2.977	0.62	0.132	0.032	56.0	3.7	20.0	31.0	24.6875	6.5641	-9.113	42.6503	51.7633	3.761	2.3571	0.0437	2.2179	2.4587	0.2409
11407866	2.0	1.0	6.0	3.374	0.065	0.133	0.02	0.0	0.0	56.0	99.0	14.4102	0.554	14.0184	14.8019	0.7835	26.0099	3.0428	0.011	3.035	3.0505	0.0155
11574123	2359.0	1552.0	4933.0	2.969	0.56	0.134	0.027	35.0	2.5	20.0	31.0	25.5473	6.982	-9.6101	41.0671	50.6773	3.659	1.9954	0.0742	1.8235	2.183	0.3595
16684978	3.0	3.0	14.0	2.982	0.167	0.144	0.049	0.0	0.0	56.0	99.0	21.5786	3.9541	17.0434	24.3038	7.2604	5.4572	2.8033	0.021	2.787	2.827	0.04
25354225	2273.0	1531.0	5384.0	3.162	0.761	0.147	0.038	47.0	3.4	20.0	31.0	24.0409	6.9852	-4.8836	47.7781	52.6617	3.4417	2.0829	0.1109	1.8392	2.3514	0.5123
25811472	4.0	2.0	8.0	2.788	0.112	0.217	0.029	0.0	0.0	56.0	99.0	18.4677	1.131	17.3977	19.4493	2.0516	16.3292	2.8721	0.003	2.8696	2.8766	0.0069
27876862	1691.0	1107.0	3586.0	6.606999999999999	0.7190000000000001	0.302	0.052000000000000005	23.0	1.7	38.0	64.0	52.8065	10.0019	22.1271	68.8934	46.7663	11.8159	3.9101	0.12390000000000001	3.6013	4.0961	0.4948
29811890	1.0	1.0	5.0	3.386	0.0	0.047	0.013	0.0	0.0	56.0	99.0	22.8956	0.0	22.8956	22.8956	0.0	inf	3.0233	0.0	3.0233	3.0233	0.0
31361606	2.0	2.0	5.0	3.183	0.021	0.041	0.006	0.0	0.0	56.0	99.0	26.7862	0.0268	26.7669	26.8055	0.0386	1000.6494	2.4169	0.0086	2.4109	2.423	0.0121
32938469	1.0	0.0	2.0	3.588	0.0	0.189	0.014	0.0	0.0	56.0	99.0	18.597	0.0	18.597	18.597	0.0	inf	2.8842	0.0	2.8842	2.8842	0.0
36895554	2450.0	1681.0	5676.0	3.008	0.726	0.148	0.04	48.0	4.3	20.0	31.0	22.925	7.2534	-0.062	39.3243	39.3863	3.1606	2.133	0.103	1.9211	2.3907	0.4696
37329051	2176.0	1461.0	4811.0	2.957	0.724	0.145	0.033	43.0	3.0	20.0	31.0	24.8349	6.1449	-0.5831	42.4488	43.0319	4.0416	2.1425	0.0861	1.9225	2.3028	0.3802
37835493	2201.0	1514.0	4791.0	6.317	0.607	0.257	0.042	31.0	2.6	38.0	64.0	39.3613	14.0429	13.539200000000001	66.0942	52.5549	6.3323	4.2018	0.12459999999999999	3.8144	4.4055	0.591
43606631	2471.0	1631.0	4536.0	2.573	0.494	0.13	0.028	35.0	2.9	20.0	31.0	25.054	6.3321	0.0	43.1511	43.1511	3.9567	2.113	0.0605	1.9693	2.239	0.2696
49408975	2334.0	1647.0	6062.0	3.011	0.678	0.138	0.029	37.0	3.3	20.0	31.0	23.3198	5.4879	-21.2109	38.3845	59.5953	4.2493	2.1616	0.0902	1.8991	2.3605	0.4613
51217255	2.0	1.0	4.0	2.389	0.024	0.022	0.004	0.0	0.0	55.0	99.0	20.1027	1.4833	19.0539	21.1516	2.0978	13.5523	2.8715	0.0017	2.8703	2.8727	0.0024
52306425	2.0	1.0	5.0	2.768	0.278	0.01	0.002	0.0	0.0	56.0	99.0	23.7183	5.9243	19.5292	27.9075	8.3783	4.0035	2.7779	0.0098	2.771	2.7848	0.0138
52835891	2.0	2.0	5.0	2.586	0.083	0.126	0.021	0.0	0.0	56.0	99.0	11.1537	0.8134	10.5785	11.7288	1.1504	13.7118	2.525	0.0086	2.5189	2.5312	0.0122
55710183	4.0	4.0	9.0	2.677	0.095	0.309	0.03	0.0	0.0	56.0	99.0	31.0118	1.7474	29.6508	33.5062	3.8554	17.7471	2.8451	0.0044	2.8388	2.8482	0.0094
56162563	2.0	2.0	8.0	2.922	0.081	0.108	0.01	0.0	0.0	56.0	99.0	23.3676	0.4286	23.0645	23.6707	0.6062	54.5251	2.8643	0.0117	2.856	2.8726	0.0166
60021964	4.0	2.0	4.0	2.437	0.045	0.185	0.019	0.0	0.0	56.0	99.0	26.7117	0.7411	25.9221	27.6047	1.6826	36.0443	2.8278	0.0016	2.827	2.8302	0.0032
62582335	1776.0	1189.0	3921.0	3.103	0.719	0.124	0.024	22.0	2.0	20.0	31.0	24.9053	6.2923	-13.7615	42.434	56.1956	3.958	2.0526	0.0883	1.9313	2.2942	0.3629
65198031	3.0	3.0	7.0	2.273	0.143	0.095	0.007	0.0	0.0	56.0	99.0	14.3258	2.5358	12.5291	17.2263	4.6973	5.6495	2.7664	0.0034	2.7626	2.7687	0.0061
70214854	2388.0	1531.0	4652.0	2.816	0.577	0.123	0.024	36.0	2.3	20.0	31.0	26.2896	6.7983	0.0	42.8355	42.8355	3.8671	2.1012	0.0911	1.6825	2.2327	0.5502
71851847	2.0	1.0	7.0	3.527	0.003	0.115	0.001	0.0	0.0	56.0	99.0	17.4536	0.8122	16.8793	18.0279	1.1487	21.4883	2.6643	0.0047	2.661	2.6677	0.0067
74920331	3.0	2.0	6.0	3.205	0.096	0.04	0.003	0.0	0.0	56.0	99.0	19.4141	2.102	17.5063	21.6674	4.1611	9.2361	2.7828	0.0082	2.7776	2.7923	0.0148
