participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	2728.0	1875.0	5729.0	2.739	0.528	0.134	0.027	43.0	3.0	20.0	31.0	24.8889	5.279	4.5774	41.8527	37.2753	4.7147	2.1557	0.0856	1.92	2.3347	0.4147
8454119	2752.0	1875.0	6761.0	5.591	0.832	0.27	0.054	42.0	3.6	38.0	64.0	55.965900000000005	9.8295	29.4676	77.7338	48.2661	13.9535	4.827299999999999	0.0663	4.6629000000000005	4.9957	0.3327
11407866	2827.0	1954.0	6925.0	3.169	0.678	0.133	0.025	39.0	2.9	20.0	31.0	26.4078	5.5848	2.6115	38.7265	36.115	4.7285	2.082	0.0768	1.9012	2.2494	0.3482
11574123	2269.0	1536.0	4907.0	6.390000000000001	0.726	0.3	0.044	28.0	2.2	38.0	64.0	56.131299999999996	9.300799999999999	27.3468	75.06700000000001	47.7202	12.400200000000002	4.2823	0.1335	3.8916000000000004	4.4916	0.5999
16684978	1698.0	1175.0	3716.0	3.056	0.664	0.137	0.032	27.0	2.2	20.0	31.0	24.4412	7.4298	0.0	40.78	40.78	3.2896	2.0454	0.1188	1.7871	2.242	0.4549
25354225	2029.0	1366.0	4739.0	6.412	0.752	0.307	0.05	36.0	3.1	38.0	64.0	60.08579999999999	9.569600000000001	34.0801	79.7527	45.6726	17.5723	4.291399999999999	0.1239	4.0626999999999995	4.5267	0.4639
25811472	2621.0	1789.0	6384.0	3.087	0.577	0.137	0.033	41.0	3.6	20.0	31.0	24.0206	6.2788	-15.3173	38.6683	53.9856	3.8257	2.3189	0.0759	2.0347	2.4487	0.414
27876862	2553.0	1747.0	4826.0	2.683	0.593	0.133	0.031	34.0	3.5	22.0	33.0	24.7362	6.2825	-18.7199	43.2724	61.9923	3.9373	2.2111	0.228	1.7691	2.7148	0.9457
29811890	2301.0	1581.0	5490.0	3.039	0.759	0.133	0.026	34.0	2.3	20.0	31.0	26.4314	6.0046	5.3688	42.932	37.5632	4.4018	2.0811	0.0399	1.9892	2.3291	0.3399
31361606	1945.0	1274.0	4089.0	2.929	0.58	0.123	0.025	27.0	1.8	20.0	31.0	24.9882	5.9797	-14.3259	38.3931	52.719	4.1789	1.9542	0.091	1.7107	2.1013	0.3906
32938469	2072.0	1374.0	5009.0	3.204	0.628	0.119	0.026	25.0	2.4	20.0	31.0	25.1584	6.3724	-14.6905	44.1011	58.7916	3.948	2.1335	0.0883	1.8648	2.3135	0.4487
36895554	2005.0	1371.0	4824.0	5.298	1.041	0.231	0.039	27.0	2.2	38.0	64.0	46.6332	9.1908	16.8078	65.494	48.6861	10.3294	4.3366	0.0751	4.155	4.4608	0.30569999999999997
37329051	1952.0	1284.0	4503.0	5.877000000000001	0.8260000000000001	0.162	0.041	38.0	3.0	38.0	64.0	48.3314	8.5578	17.3306	66.5089	49.1783	16.2803	4.605	0.0944	4.3887	4.8264	0.4377
