participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	2602.0	1750.0	5285.0	5.840999999999999	0.697	0.248	0.045	34.0	2.9	38.0	64.0	42.9403	8.3865	13.4434	61.59439999999999	48.150999999999996	10.6777	4.4875	0.0757	4.1745	4.6383	0.4638
8454119	3905.0	2654.0	8226.0	2.944	0.512	0.127	0.03	53.0	5.2	22.0	33.0	25.2543	6.3583	-1.3925	46.1333	47.5258	3.9718	2.8823	0.4124	2.3054	3.9497	1.6443
11407866	2280.0	1559.0	5252.0	5.882	0.709	0.325	0.049	28.0	2.0	38.0	64.0	45.749700000000004	7.944	22.1769	65.287	43.1099	12.296800000000001	4.4013	0.0802	4.089	4.5641	0.47509999999999997
11574123	2854.0	1936.0	5490.0	2.784	0.599	0.123	0.03	35.0	3.6	22.0	33.0	25.2221	5.5965	-1.3563	40.9685	42.3247	4.5067	2.466	0.43	1.8719	3.5198	1.6479
16684978	1707.0	1128.0	3751.0	5.3	0.57	0.368	0.039	31.0	2.5	38.0	64.0	46.299	5.8743	21.7594	65.5774	43.818	inf	4.2118	0.1125	3.9044999999999996	4.375	0.4705
25354225	3074.0	2070.0	6432.0	2.981	0.619	0.113	0.024	30.0	2.9	22.0	33.0	24.639	5.946	4.1821	48.8366	44.6545	4.1438	2.2863	0.2369	1.8606	2.9133	1.0528
25811472	2410.0	1633.0	6097.0	5.6899999999999995	0.9219999999999999	0.18	0.049	37.0	2.7	38.0	64.0	40.036100000000005	12.9115	-0.6441999999999997	67.9423	68.5865	6.196	4.6602	0.1159	4.2992	4.8294	0.5302
27876862	2985.0	2018.0	6379.0	5.696	0.981	0.262	0.051000000000000004	46.0	3.5	41.0	68.0	48.007400000000004	12.2893	9.5923	77.8182	68.2259	7.8984	4.1955	0.5298	3.3773	5.6269	2.2496
29811890	2207.0	1497.0	5145.0	6.023	0.871	0.14900000000000002	0.029	37.0	3.0	38.0	64.0	51.540099999999995	7.561	12.618199999999998	72.0873	59.4692	31.612199999999998	4.3027999999999995	0.0759	4.0991	4.4737	0.37470000000000003
31361606	1741.0	1128.0	3851.0	6.275	0.9079999999999999	0.231	0.079	27.0	2.3	38.0	64.0	52.6616	8.0077	25.3064	70.9553	45.649	14.8193	4.0148	0.0822	3.8621	4.1411999999999995	0.279
32938469	2122.0	1435.0	5386.0	6.624	0.689	0.5700000000000001	0.213	39.0	2.5	38.0	64.0	34.9416	6.2423	6.559900000000001	58.1297	51.5699	inf	4.4274000000000004	0.1019	4.2055	4.800000000000001	0.5945
36895554	3490.0	2405.0	6537.0	2.744	0.666	0.118	0.026	33.0	3.9	22.0	33.0	22.859	6.032	0.0	38.3464	38.3464	3.7896	2.3968	0.2945	1.9447	2.9837	1.039
37329051	3169.0	2107.0	6434.0	2.956	0.68	0.131	0.031	47.0	3.9	22.0	33.0	25.4848	6.1239	4.4694	42.746	38.2766	4.1615	2.3851	0.266	1.9413	3.0281	1.0867
37835493	4366.0	2990.0	8931.0	5.584	1.069	0.251	0.045	58.0	4.3	41.0	68.0	48.3455	10.739899999999999	14.607	80.89359999999999	66.2867	9.006499999999999	4.2254000000000005	0.4681	3.4364999999999997	5.3926	1.956
43606631	3303.0	2200.0	5622.0	2.497	0.479	0.123	0.027	39.0	3.6	22.0	33.0	23.1453	5.6876	-0.2113	43.1598	43.3711	4.0694	2.4566	0.3198	1.9881	2.943	0.9549
49408975	3451.0	2268.0	6883.0	2.837	0.665	0.114	0.023	35.0	3.6	22.0	33.0	22.901	4.8659	2.5834	35.8155	33.2321	4.7064	2.2934	0.2672	1.9063	3.01	1.1037
51217255	1672.0	1149.0	3988.0	3.033	0.735	0.133	0.029	25.0	2.0	17.0	32.0	26.5094	6.4262	-2.3058	46.2862	48.592	4.1252	2.0195	0.0959	1.857	2.2056	0.3486
52306425	2326.0	1583.0	4978.0	5.788	0.629	1.342	0.441	33.0	2.5	38.0	64.0	44.370599999999996	13.2279	8.7117	66.96209999999999	58.2504	7.0548	4.4558	0.0847	4.0838	4.635400000000001	0.5516
52835891	1916.0	1242.0	4012.0	4.693	0.786	0.201	0.03	26.0	1.9	38.0	64.0	45.064	6.585999999999999	17.9164	65.2872	47.370799999999996	31.032400000000003	4.2359	0.0848	3.9552	4.3898	0.4348
55710183	2229.0	1509.0	4711.0	5.191	0.884	0.30600000000000005	0.044	35.0	2.7	38.0	64.0	47.8162	7.689	14.8262	72.7854	57.959199999999996	18.7337	4.4007000000000005	0.09820000000000001	4.103	4.5839	0.4809
56162563	2085.0	1428.0	4481.0	5.84	0.785	0.195	0.032	27.0	2.0	38.0	64.0	45.854299999999995	8.5749	19.419	66.9057	47.486599999999996	10.686399999999999	4.2683	0.0884	3.9964000000000004	4.4513	0.45489999999999997
60021964	2188.0	1506.0	5228.0	5.960000000000001	0.544	0.21400000000000002	0.039	41.0	2.6	38.0	64.0	51.1219	8.674	23.860300000000002	68.10050000000001	44.2402	14.624200000000002	4.3945	0.08729999999999999	4.1626	4.5428999999999995	0.3803
62582335	3201.0	2158.0	5948.0	2.708	0.587	0.112	0.023	32.0	2.9	22.0	33.0	23.8799	5.1297	-0.1564	37.5238	37.6802	4.6553	2.4604	0.2356	1.9245	2.8836	0.9591
65198031	2508.0	1663.0	5162.0	5.2379999999999995	0.7989999999999999	0.346	0.063	52.0	3.7	38.0	64.0	50.9686	7.5646	26.0169	69.4148	43.397999999999996	21.015900000000002	4.2303999999999995	0.0721	4.0623000000000005	4.389200000000001	0.3269
70214854	3184.0	2061.0	4968.0	2.442	0.652	0.11	0.022	33.0	2.8	22.0	33.0	25.3358	7.2757	-1.0837	43.2823	44.366	3.4823	2.2169	0.3231	1.6634	2.7685	1.105
71851847	2103.0	1400.0	4568.0	5.781000000000001	1.005	0.438	0.07300000000000001	32.0	2.0	38.0	64.0	47.0467	8.306799999999999	8.095500000000001	61.956599999999995	53.8609	13.8585	4.2522	0.07579999999999999	4.0593	4.374499999999999	0.3152
74920331	2190.0	1519.0	4504.0	4.52	0.8019999999999999	0.192	0.039	42.0	2.5	38.0	64.0	50.997299999999996	9.923300000000001	18.4131	68.0612	49.6482	11.0506	4.3926	0.1171	4.0812	4.605	0.5236
77390767	3145.0	2157.0	5851.0	2.644	0.442	0.117	0.026	39.0	3.2	22.0	33.0	24.8872	5.4864	1.3112	43.6073	42.2961	4.5362	2.2402	0.2545	1.857	2.7495	0.8925
78982423	2653.0	1836.0	4828.0	2.608	0.449	0.129	0.029	30.0	3.4	22.0	33.0	23.964	5.5747	3.2537	41.2111	37.9575	4.2987	2.2704	0.3376	1.796	3.066	1.27
80982198	2017.0	1382.0	4944.0	6.008	0.638	0.659	0.14	32.0	2.3	38.0	64.0	43.885999999999996	13.9043	9.598	66.8973	57.2992	6.3323	4.3696	0.10930000000000001	4.0857	4.5815	0.49570000000000003
82699044	2372.0	1646.0	5441.0	5.531	0.686	0.168	0.033	36.0	2.9	38.0	64.0	48.7738	9.251199999999999	21.333599999999997	68.0078	46.674099999999996	11.1907	4.3926	0.1333	3.9817	4.5545	0.5728
84407714	1981.0	1343.0	4550.0	5.85	0.597	0.172	0.028999999999999998	26.0	2.1	38.0	64.0	46.7465	6.0502	22.1668	62.2209	40.0541	inf	4.1981	0.0544	4.0203999999999995	4.3171	0.2968
86226939	2880.0	2000.0	5519.0	2.726	0.609	0.114	0.023	26.0	2.7	22.0	33.0	23.2924	5.7195	0.0	39.3641	39.3641	4.0725	2.3037	0.3396	1.8298	3.1597	1.3299
93800202	1533.0	1050.0	4073.0	6.682	1.158	0.28600000000000003	0.044	24.0	1.9	38.0	64.0	55.784499999999994	9.9793	29.5588	75.60130000000001	46.042500000000004	11.9649	4.0706	0.1454	3.8395	4.3367	0.49729999999999996
97005004	2263.0	1552.0	5292.0	5.936999999999999	0.8029999999999999	0.127	0.032	30.0	2.4	38.0	64.0	46.326	19.2841	12.9587	70.2826	57.323899999999995	5.795	4.6315	0.10250000000000001	4.3585	4.8629999999999995	0.5045000000000001
100527940	2228.0	1511.0	5263.0	4.458	1.0590000000000002	0.247	0.051000000000000004	51.0	3.1	38.0	64.0	33.6558	9.3418	3.9559999999999995	54.741600000000005	50.785500000000006	7.0054	4.3466000000000005	0.1477	3.9918000000000005	4.5853	0.5936
103652366	2002.0	1340.0	5198.0	7.817	0.939	0.27	0.043000000000000003	35.0	2.9	38.0	64.0	59.1276	7.343	27.6333	76.47049999999999	48.8371	49.6059	4.2776	0.0952	4.077	4.4384	0.3614
105914514	2166.0	1438.0	4986.0	6.478	0.873	0.315	0.072	31.0	3.4	38.0	64.0	42.7352	10.2012	17.1511	62.288	45.1369	8.6375	4.291	0.1466	3.9665	4.5135000000000005	0.5469
