participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	676.0	470.0	1192.0	2.41	0.729	0.133	0.03	10.0	0.7	24.0	35.0	20.1974	4.9152	3.9459	32.9471	29.0012	4.1092	3.1733	0.1719	2.6663	3.4064	0.7401
8454119	339.0	226.0	826.0	6.056	1.2930000000000001	0.33099999999999996	0.064	6.0	0.5	44.0	72.0	46.4537	10.329699999999999	23.2798	68.6539	45.374	11.776900000000001	7.3687000000000005	0.4239	6.7242	8.163599999999999	1.4394
11407866	677.0	452.0	1271.0	2.645	0.873	0.15	0.031	12.0	0.8	24.0	35.0	22.2371	6.0612	-3.1559	35.0689	38.2249	3.6688	2.8301	0.2029	2.4713	3.232	0.7606
11574123	314.0	211.0	807.0	6.1850000000000005	1.03	0.41300000000000003	0.094	8.0	0.5	44.0	72.0	35.2364	8.344899999999999	15.814	53.6636	37.849599999999995	8.389199999999999	6.519500000000001	0.2934	5.8993	7.1259	1.2266
16684978	552.0	376.0	1043.0	2.534	0.686	0.143	0.035	9.0	0.6	24.0	35.0	20.4606	5.7974	2.6272	36.3067	33.6795	3.5293	2.8233	0.1605	2.5103	3.0908	0.5805
25354225	327.0	244.0	1055.0	6.555999999999999	1.279	0.31599999999999995	0.07500000000000001	7.0	0.6	44.0	72.0	39.9441	10.4864	15.6033	63.7459	48.1426	7.7262	5.8186	0.2632	5.2804	6.51	1.2296
25811472	615.0	411.0	1231.0	2.696	0.756	0.142	0.033	10.0	0.8	24.0	35.0	21.0299	5.7948	-0.8177	36.693	37.5107	3.6291	3.0944	0.2719	2.4175	3.4704	1.0529
27876862	2411.0	1607.0	3362.0	2.071	0.505	0.15	0.035	33.0	3.5	31.0	45.0	19.0841	4.5233	3.2621	33.7274	30.4653	4.2191	2.8569	0.0701	2.6608	3.0482	0.3874
29811890	735.0	488.0	1248.0	2.395	0.811	0.136	0.028	11.0	0.8	24.0	35.0	23.2976	5.6599	2.6214	36.7815	34.1602	4.1162	3.0468	0.1892	2.6177	3.6152	0.9975
31361606	452.0	283.0	809.0	2.603	0.667	0.165	0.039	10.0	0.6	24.0	35.0	22.1874	5.1088	3.6028	38.0038	34.401	4.3429	2.386	0.1025	2.1344	2.5316	0.3972
