participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3507.0	2340.0	4916.0	2.088	0.497	0.148	0.035	50.0	4.8	31.0	45.0	17.5339	4.7001	-2.2031	32.5718	34.7748	3.7305	3.1208	0.1943	2.5534	3.4866	0.9332
8454119	4005.0	2543.0	5870.0	2.187	0.503	0.132	0.03	55.0	4.9	24.0	46.0	19.124	5.3447	-1.367	33.8897	35.2567	3.5781	3.5627	0.5881	2.4383	4.6369	2.1986
11407866	3207.0	2101.0	5335.0	2.372	0.503	0.134	0.032	40.0	4.0	31.0	45.0	19.4984	5.7331	0.2421	38.7589	38.5167	3.401	3.0475	0.3217	2.3081	3.4902	1.1821
11574123	2939.0	1831.0	3824.0	2.03	0.475	0.14	0.036	43.0	4.3	24.0	46.0	18.8099	5.8621	-3.4397	39.6611	43.1007	3.2088	3.2073	0.4151	2.3102	3.7945	1.4844
16684978	2793.0	1783.0	3749.0	2.033	0.467	0.153	0.036	44.0	4.2	31.0	45.0	18.5146	5.2685	1.9893	36.2114	34.2221	3.5142	3.2454	0.1585	2.4163	3.4136	0.9973
25354225	3173.0	1941.0	4863.0	2.238	0.557	0.128	0.031	42.0	3.7	24.0	46.0	18.1292	5.5246	-4.6487	34.5481	39.1968	3.2815	3.3029	0.1955	2.616	3.7224	1.1064
25811472	3009.0	1986.0	4618.0	2.236	0.524	0.139	0.034	39.0	4.1	31.0	45.0	18.5301	5.0921	-1.3678	34.5528	35.9206	3.639	3.2806	0.2635	2.3355	3.7692	1.4338
27876862	1022.0	673.0	2146.0	3.04	0.514	0.134	0.033	15.0	1.2	7.0	11.0	23.743	6.3647	3.6061	40.6083	37.0022	3.7304	3.819	0.1489	3.5106	4.0336	0.523
29811890	3387.0	2086.0	4922.0	2.259	0.479	0.131	0.031	46.0	4.1	31.0	45.0	19.2965	5.5533	-4.6674	38.0517	42.7191	3.4748	3.058	0.163	2.4799	3.4637	0.9839
31361606	2930.0	1854.0	4567.0	2.303	0.513	0.134	0.031	37.0	3.8	31.0	45.0	17.982	5.2241	2.2729	36.8918	34.6189	3.4421	2.6049	0.1294	2.2555	2.8704	0.6149
32938469	3224.0	2125.0	4912.0	2.131	0.559	0.144	0.039	47.0	5.2	31.0	45.0	18.2981	6.0648	-8.0844	35.2859	43.3703	3.0171	3.1266	0.3538	2.2633	3.6661	1.4027
36895554	2344.0	1489.0	3105.0	2.032	0.463	0.138	0.036	30.0	3.3	24.0	46.0	15.8511	4.8668	-2.4327	29.5603	31.993	3.257	3.1043	0.1635	2.5956	3.4081	0.8126
37329051	2383.0	1511.0	3645.0	2.242	0.678	0.155	0.041	41.0	4.1	24.0	46.0	18.3297	6.4245	-8.3622	38.2593	46.6216	2.8531	3.1005	0.3619	2.4109	3.5357	1.1248
37835493	1181.0	813.0	2456.0	2.79	0.398	0.109	0.024	11.0	1.1	7.0	11.0	22.0132	4.9576	0.8786	39.88	39.0014	4.4403	4.2125	0.3546	3.4101	4.7952	1.3851
43606631	2489.0	1517.0	2943.0	1.851	0.43	0.152	0.036	42.0	3.7	24.0	46.0	16.5504	5.2267	-4.3454	33.8074	38.1527	3.1665	3.0229	0.2216	2.5667	3.3489	0.7822
49408975	2439.0	1574.0	3932.0	2.25	0.504	0.137	0.029	32.0	2.9	24.0	46.0	17.9202	5.2313	-3.8837	34.063	37.9467	3.4255	2.9844	0.243	2.4469	3.4366	0.9898
51217255	2866.0	1883.0	4325.0	2.218	0.515	0.132	0.03	35.0	3.3	30.0	45.0	19.4547	4.9687	2.9832	36.0636	33.0804	3.9154	3.0484	0.1896	2.4039	3.4021	0.9982
52306425	3269.0	2082.0	4197.0	2.033	0.425	0.144	0.039	48.0	5.2	31.0	45.0	18.1998	5.0143	-0.7583	38.2182	38.9765	3.6296	3.0432	0.1551	2.4307	3.2398	0.8092
52835891	2893.0	1868.0	4506.0	2.334	0.552	0.128	0.028	34.0	3.2	31.0	45.0	19.2667	4.7956	3.8497	36.3082	32.4585	4.0176	2.9334	0.1508	2.2782	3.1729	0.8947
55710183	2860.0	1883.0	4373.0	2.236	0.404	0.141	0.03	39.0	3.4	31.0	45.0	19.1579	4.7142	0.9159	36.8464	35.9305	4.0639	2.835	0.2259	2.2852	3.1816	0.8964
56162563	3430.0	2244.0	5269.0	2.264	0.517	0.14	0.03	44.0	4.1	31.0	45.0	19.3395	4.5817	5.4146	36.9004	31.4858	4.221	3.1217	0.147	2.5691	3.3476	0.7785
60021964	3532.0	2257.0	5249.0	2.157	0.498	0.136	0.031	47.0	4.5	31.0	45.0	18.5178	5.4417	0.4792	33.5013	33.0221	3.403	3.0211	0.2484	2.3785	3.3822	1.0037
