participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	2274.0	1536.0	4352.0	2.824	0.505	0.117	0.023	22.0	2.3	7.0	12.0	23.4192	4.466	-11.5998	34.937	46.5368	5.2438	4.4115	0.6135	3.4135	5.3645	1.951
8454119	2275.0	1459.0	5577.0	3.062	0.576	0.121	0.031	30.0	2.9	9.0	15.0	22.4439	6.1672	-10.6574	40.8221	51.4795	3.6393	3.8638	0.7134	2.6624	5.2897	2.6274
11407866	2132.0	1417.0	4423.0	3.014	0.511	0.118	0.025	23.0	2.5	7.0	12.0	24.596	5.4143	0.9829	36.6607	35.6779	4.5428	4.7126	0.5383	3.6597	5.6032	1.9435
11574123	2083.0	1357.0	5451.0	3.249	0.596	0.132	0.027	29.0	2.3	9.0	15.0	23.7964	5.3126	3.7156	37.648	33.9324	4.4792	3.0331	0.5496	2.258	4.2106	1.9526
16684978	1630.0	1100.0	3135.0	2.758	0.52	0.115	0.021	15.0	1.4	7.0	12.0	23.0274	5.0765	2.4283	35.3895	32.9613	4.5361	4.2479	0.4242	3.4342	4.7235	1.2894
25354225	1679.0	1060.0	4360.0	3.16	0.595	0.126	0.038	25.0	2.3	9.0	15.0	22.4995	7.2876	-10.5059	44.9715	55.4774	3.0874	3.2406	0.4646	2.3503	4.5196	2.1693
25811472	2516.0	1709.0	5945.0	3.127	0.567	0.111	0.023	22.0	2.4	7.0	12.0	23.814	5.2308	5.3029	37.1918	31.8889	4.5527	4.6696	0.3844	3.7648	5.5367	1.7718
27876862	1482.0	993.0	3542.0	2.914	0.512	0.138	0.037	23.0	2.0	9.0	16.0	21.5038	5.6064	0.1218	38.5428	38.421	3.8356	2.6454	0.2797	2.159	3.3548	1.1957
29811890	2329.0	1578.0	4821.0	2.868	0.427	0.104	0.022	26.0	1.7	7.0	12.0	23.8784	5.7911	3.1729	40.6948	37.5219	4.1233	4.8223	0.6083	3.6317	5.8079	2.1762
31361606	1495.0	1024.0	3100.0	2.728	0.502	0.118	0.023	16.0	1.3	7.0	12.0	23.4885	4.5597	2.7276	36.7156	33.988	5.1513	4.3592	0.3021	3.7115	4.9398	1.2283
