participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	2155.0	1443.0	5265.0	3.021	0.561	0.135	0.033	33.0	3.0	9.0	16.0	22.612	5.9311	-12.6139	41.6636	54.2775	3.8124	3.2296	0.5357	2.4287	4.39	1.9613
8454119	5335.0	3427.0	10991.0	2.874	0.502	0.108	0.024	52.0	5.4	8.0	13.0	23.7334	5.9178	0.2071	40.7361	40.529	4.0105	4.7296	0.6786	3.3112	6.3134	3.0022
11407866	2335.0	1560.0	6078.0	3.101	0.554	0.137	0.034	42.0	3.0	9.0	16.0	23.5184	6.0182	1.526	37.7382	36.2122	3.9079	3.3386	0.6379	2.4538	4.6426	2.1888
11574123	3646.0	2414.0	8848.0	3.066	0.591	0.125	0.026	42.0	3.9	8.0	13.0	23.5759	5.8144	0.2728	43.4621	43.1893	4.0548	3.9795	0.604	2.6021	5.4001	2.798
16684978	1682.0	1138.0	4046.0	2.87	0.585	0.142	0.032	26.0	2.4	9.0	16.0	21.0053	5.7521	1.0417	36.0336	34.992	3.6517	3.3638	0.5247	2.4098	4.5747	2.165
25354225	3902.0	2455.0	8270.0	2.909	0.572	0.115	0.036	55.0	5.5	8.0	13.0	21.8643	7.9729	-18.8164	46.2448	65.0612	2.7423	4.0123	0.3652	3.1941	4.8488	1.6548
25811472	2341.0	1563.0	6700.0	3.282	0.564	0.132	0.036	37.0	3.3	9.0	16.0	22.8555	5.6346	1.3205	38.3594	37.0389	4.0563	3.5605	0.481	2.5234	4.4855	1.9621
27876862	2777.0	1883.0	5583.0	2.714	0.591	0.144	0.04	45.0	4.8	8.0	14.0	21.2473	6.5397	-1.2812	37.4018	38.683	3.249	3.3006	0.2978	2.5335	3.9293	1.3958
29811890	2065.0	1347.0	5122.0	3.256	0.612	0.123	0.029	25.0	2.4	9.0	16.0	24.6683	6.038	2.0651	41.9599	39.8947	4.0855	2.8485	0.3577	2.2549	4.0104	1.7555
31361606	1873.0	1228.0	4157.0	2.755	0.535	0.128	0.029	26.0	2.1	9.0	16.0	22.976	5.1758	6.0808	38.5656	32.4847	4.4391	3.3338	0.5316	2.3192	4.2816	1.9624
