participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3067.0	2053.0	6490.0	2.705	0.472	0.125	0.029	36.0	3.4	8.0	13.0	22.2125	4.8219	5.6002	36.2587	30.6585	4.6065	4.1223	0.4817	3.2061	5.09	1.8839
8454119	4559.0	3030.0	10015.0	2.91	0.52	0.118	0.024	55.0	4.5	8.0	14.0	23.2354	5.8019	1.3772	43.4403	42.0631	4.0048	4.8865	0.4603	3.4896	5.7495	2.2599
11407866	3478.0	2433.0	8641.0	2.986	0.512	0.128	0.026	47.0	3.5	8.0	13.0	23.7764	5.9694	2.3306	38.4987	36.1681	3.983	4.2509	0.5011	3.1608	5.1063	1.9455
11574123	3832.0	2553.0	9045.0	2.962	0.535	0.119	0.024	43.0	3.7	8.0	14.0	23.7717	5.2788	-6.4408	40.3208	46.7616	4.5032	3.9852	0.4347	2.8868	4.8773	1.9904
16684978	2792.0	1893.0	5946.0	2.668	0.55	0.13	0.031	35.0	3.5	8.0	13.0	22.732	5.5232	1.9364	43.4557	41.5193	4.1158	4.1806	0.4207	3.3512	4.9812	1.6299
25354225	3423.0	2313.0	8457.0	3.044	0.595	0.124	0.029	45.0	3.9	8.0	14.0	23.8097	5.9548	-17.6527	41.2189	58.8716	3.9984	3.7988	0.3544	2.7397	4.7512	2.0116
25811472	4486.0	3004.0	10467.0	2.899	0.57	0.121	0.025	63.0	4.3	8.0	13.0	23.2092	5.8674	2.4938	39.9491	37.4553	3.9556	4.0758	0.6292	2.7315	5.3531	2.6216
27876862	846.0	571.0	1801.0	2.676	0.555	0.145	0.031	15.0	1.2	15.0	25.0	24.315	6.4206	3.3497	38.1147	34.765	3.787	2.1031	0.0539	2.0098	2.2443	0.2344
29811890	3873.0	2460.0	8452.0	2.985	0.603	0.117	0.03	47.0	4.7	8.0	13.0	23.652	7.7408	-27.687	45.4713	73.1583	3.0555	4.3043	0.705	2.6764	5.7052	3.0288
31361606	2764.0	1844.0	5938.0	2.672	0.525	0.124	0.025	43.0	2.6	8.0	13.0	22.067	5.4462	4.3121	37.5851	33.273	4.0518	3.7596	0.4378	2.8676	4.5169	1.6492
32938469	4006.0	2512.0	7713.0	2.582	0.631	0.125	0.04	59.0	6.0	8.0	13.0	18.6235	7.6782	-21.3619	38.1134	59.4753	2.4255	4.4444	0.5501	3.3302	5.6541	2.3239
36895554	2882.0	1968.0	6696.0	2.831	0.474	0.125	0.024	37.0	2.9	8.0	14.0	21.6924	4.8642	6.2448	35.4077	29.1629	4.4596	3.9067	0.2995	2.9894	4.6882	1.6988
37329051	3266.0	2254.0	8012.0	2.873	0.62	0.132	0.03	52.0	4.2	8.0	14.0	23.2969	6.0262	-1.9543	40.416	42.3703	3.866	4.327	0.4285	3.3974	5.2977	1.9003
37835493	1090.0	730.0	2003.0	2.401	0.554	0.148	0.044	24.0	2.1	15.0	25.0	20.5413	9.0364	-17.0821	37.4969	54.5789	2.2732	2.0266	0.0423	1.9615	2.1511	0.1896
43606631	3326.0	2180.0	6228.0	2.463	0.526	0.132	0.029	50.0	3.6	8.0	14.0	20.8865	5.169	2.7267	35.808	33.0813	4.0407	4.0226	0.5037	3.0789	4.9567	1.8778
49408975	2888.0	1996.0	6631.0	2.841	0.533	0.121	0.026	44.0	3.1	8.0	14.0	21.5855	5.4077	1.6647	34.9717	33.307	3.9917	4.049	0.4716	2.8388	4.8111	1.9723
51217255	3418.0	2275.0	8216.0	3.035	0.523	0.111	0.02	34.0	2.7	8.0	13.0	24.3985	4.7399	-3.3278	37.5929	40.9207	5.1475	4.0434	0.4547	3.135	4.9724	1.8373
52306425	4315.0	2688.0	7840.0	2.627	0.467	0.118	0.026	52.0	4.8	8.0	13.0	22.2372	6.0083	-9.8405	43.2463	53.0867	3.7011	4.0603	0.478	3.1437	5.0096	1.8659
52835891	2925.0	2026.0	7086.0	2.898	0.608	0.117	0.026	35.0	2.9	8.0	13.0	22.4494	5.7856	2.4283	41.8386	39.4102	3.8802	3.7555	0.4454	2.8516	4.7006	1.849
55710183	3962.0	2650.0	7956.0	2.584	0.521	0.129	0.028	54.0	4.3	8.0	13.0	20.8869	5.7652	-5.3582	39.7256	45.0838	3.623	4.1251	0.5791	3.1176	5.1235	2.0059
56162563	3233.0	2199.0	6730.0	2.69	0.503	0.123	0.024	41.0	3.3	8.0	13.0	23.4443	5.1271	5.1227	41.5911	36.4683	4.5726	4.08	0.5079	3.0532	4.9531	1.8999
60021964	3974.0	2656.0	8437.0	2.715	0.527	0.125	0.029	55.0	4.5	8.0	13.0	22.0481	6.0262	-6.3338	40.0837	46.4175	3.6587	4.3026	0.5077	3.1212	5.3682	2.2471
62582335	2734.0	1876.0	5832.0	2.82	0.513	0.13	0.026	39.0	3.0	8.0	14.0	23.1805	5.9792	-0.0875	37.181	37.2685	3.8769	4.0315	0.5111	3.2717	4.8455	1.5738
65198031	3959.0	2649.0	7549.0	2.55	0.494	0.125	0.03	47.0	4.5	8.0	13.0	21.5408	5.3809	3.537	41.9233	38.3863	4.0032	3.8687	0.4467	2.9292	4.9541	2.0249
70214854	3569.0	2381.0	7684.0	2.66	0.615	0.126	0.029	47.0	4.3	8.0	14.0	23.8571	6.1265	-0.1028	40.3792	40.482	3.8941	3.2489	0.2744	2.537	3.8729	1.3359
71851847	3897.0	2600.0	9015.0	2.919	0.564	0.116	0.023	48.0	3.7	8.0	13.0	24.2044	5.8164	-7.2736	39.6404	46.9141	4.1614	3.9153	0.4322	3.0656	4.9522	1.8866
74920331	3706.0	2453.0	6942.0	2.54	0.423	0.117	0.02	42.0	3.2	8.0	13.0	22.5136	4.7443	2.4161	36.5194	34.1033	4.7454	3.6123	0.235	3.1352	4.2229	1.0877
77390767	2908.0	1973.0	5897.0	2.706	0.461	0.111	0.021	33.0	2.3	8.0	14.0	23.3848	4.8834	3.6714	37.4329	33.7615	4.7887	3.9798	0.3555	3.1678	4.7365	1.5687
78982423	3339.0	2243.0	7407.0	2.754	0.582	0.124	0.028	47.0	3.7	8.0	14.0	21.0315	5.5499	4.2548	37.7718	33.5171	3.7895	3.4178	0.3592	2.6773	4.5276	1.8503
80982198	4196.0	2907.0	10086.0	2.886	0.623	0.128	0.031	64.0	4.8	8.0	13.0	22.949	6.3548	-21.4447	40.7758	62.2205	3.6113	4.7441	0.6762	3.3936	6.1272	2.7336
82699044	4436.0	2855.0	8412.0	2.625	0.468	0.121	0.027	54.0	4.8	8.0	13.0	21.5368	5.6063	-5.6675	38.1807	43.8482	3.8415	4.0843	0.5224	2.9399	5.1252	2.1853
84407714	3058.0	2011.0	6011.0	2.655	0.481	0.101	0.017	27.0	2.2	8.0	13.0	22.3274	4.3358	1.8206	35.7831	33.9626	5.1495	4.029	0.3718	3.4716	4.9552	1.4836
86226939	3522.0	2456.0	7866.0	2.769	0.523	0.135	0.032	54.0	4.6	8.0	14.0	21.7978	5.9082	-15.3764	38.5427	53.919	3.6894	4.2101	0.4491	2.9542	5.3444	2.3901
93800202	3155.0	1993.0	6642.0	2.721	0.602	0.117	0.04	52.0	5.3	8.0	13.0	19.9653	8.2948	-6.907	36.3985	43.3055	2.407	4.2542	0.3991	3.4894	4.9363	1.4469
97005004	4069.0	2602.0	8835.0	2.818	0.539	0.12	0.03	55.0	5.6	8.0	13.0	23.1679	6.076	-8.9329	46.9114	55.8443	3.813	4.1408	0.512	3.2946	5.5541	2.2595
100527940	5509.0	3634.0	12295.0	2.912	0.611	0.131	0.035	88.0	7.8	8.0	13.0	21.7549	8.0946	-7.6887	41.0083	48.697	2.6876	4.0342	0.4498	3.0667	5.1769	2.1102
103652366	3298.0	2109.0	6788.0	2.741	0.555	0.118	0.026	36.0	3.6	8.0	13.0	20.9637	6.8103	-1.644	38.8139	40.4579	3.0782	3.7781	0.4428	3.0389	4.7733	1.7344
105914514	5724.0	4277.0	10284.0	2.338	0.82	0.146	0.051	105.0	14.9	8.0	13.0	14.478	7.0628	-19.2188	41.3582	60.577	2.0499	4.2877	0.8265	2.7884	6.1815	3.393
107578676	4713.0	3123.0	11258.0	3.055	0.552	0.126	0.025	64.0	4.8	8.0	13.0	23.8861	6.5157	-3.614	44.9694	48.5833	3.6659	4.3922	0.5808	3.4002	6.0015	2.6013
108828000	3718.0	2508.0	8602.0	2.839	0.525	0.121	0.025	45.0	3.9	8.0	13.0	21.8434	5.2949	2.4041	38.2938	35.8897	4.1254	3.6297	0.3735	2.7537	4.52	1.7663
113335479	5214.0	3378.0	10306.0	2.703	0.547	0.12	0.031	75.0	6.8	8.0	14.0	20.2554	6.8455	-12.7931	37.1905	49.9836	2.959	4.253	0.5669	3.3136	5.5615	2.2479
115784129	4836.0	2828.0	8021.0	2.572	0.471	0.117	0.029	62.0	5.8	8.0	13.0	21.4067	6.5114	-7.5579	38.7054	46.2632	3.2876					
119126177	3611.0	2279.0	7692.0	2.878	0.622	0.118	0.032	50.0	4.8	8.0	14.0	21.1007	7.0995	-10.5081	39.419	49.9271	2.9721	4.1188	0.4784	3.0377	5.1124	2.0746
121697273	4558.0	3011.0	10221.0	2.79	0.568	0.122	0.027	62.0	4.9	8.0	13.0	23.4416	6.0854	4.2065	45.0426	40.836	3.8521	4.2469	0.6003	2.8534	5.4585	2.6051
130118047	3876.0	2534.0	8356.0	2.842	0.595	0.113	0.021	40.0	3.1	8.0	14.0	23.7203	5.0632	4.9744	40.0547	35.0803	4.6849	4.1453	0.5317	2.9204	5.1877	2.2673
131655018	2770.0	1882.0	5690.0	2.643	0.477	0.123	0.026	33.0	2.9	8.0	13.0	22.2112	5.7741	-11.1184	40.5086	51.627	3.8467	3.8499	0.4671	2.8929	4.9077	2.0148
134279804	2577.0	1782.0	5250.0	2.633	0.479	0.131	0.027	34.0	2.6	8.0	14.0	22.1813	5.3998	4.5022	36.8304	32.3283	4.1078	4.195	0.4879	2.9916	5.1425	2.1509
138434806	2938.0	1898.0	6321.0	2.812	0.599	0.125	0.032	41.0	3.7	8.0	14.0	21.1025	5.5645	-3.9895	34.9576	38.9471	3.7924	4.0198	0.359	3.093	5.0389	1.9459
154667058	6115.0	3485.0	8685.0	2.325	0.56	0.121	0.047	89.0	12.0	8.0	13.0	18.6433	8.2513	-24.899	43.3616	68.2606	2.2594	4.4876	0.35	3.4924	5.2243	1.7319
