participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3534.0	2357.0	7393.0	2.73	0.439	0.111	0.022	34.0	3.0	8.0	14.0	22.0524	5.052	0.5569	35.1692	34.6122	4.3651	4.0018	0.53	2.7585	5.0939	2.3354
8454119	1288.0	865.0	3045.0	2.977	0.632	0.139	0.038	23.0	2.0	15.0	25.0	26.102	7.1799	-0.92	47.5507	48.4708	3.6354	2.3626	0.0458	2.2837	2.4891	0.2054
11407866	3542.0	2440.0	8434.0	2.963	0.48	0.117	0.023	46.0	3.1	8.0	14.0	24.1286	5.6155	4.9439	37.625	32.6811	4.2968	4.0857	0.4905	2.8826	5.3559	2.4734
11574123	1082.0	742.0	2430.0	2.812	0.633	0.127	0.024	16.0	1.0	15.0	25.0	26.1402	5.6953	1.6602	45.1659	43.5057	4.5898	2.0463	0.0483	1.958	2.2285	0.2705
16684978	3016.0	1970.0	6094.0	2.633	0.549	0.121	0.027	38.0	3.0	8.0	14.0	20.616	5.5776	-4.75	35.7518	40.5019	3.6962	3.8847	0.4167	2.9131	4.609	1.6959
25354225	951.0	664.0	2314.0	2.79	0.829	0.116	0.021	12.0	0.8	15.0	25.0	25.5993	6.0902	2.1138	44.2157	42.1018	4.2034	2.1764	0.086	2.035	2.4331	0.3981
25811472	3918.0	2668.0	9469.0	2.937	0.589	0.121	0.024	46.0	3.9	8.0	14.0	23.3454	5.4558	2.3273	39.3776	37.0503	4.279	3.986	0.4324	3.1539	5.111	1.9571
27876862	850.0	608.0	2048.0	7.167999999999999	0.7869999999999999	0.20900000000000002	0.061	18.0	1.2	30.0	52.0	49.7217	10.3009	21.9329	70.6088	48.6759	10.6932	4.0207999999999995	0.0284	3.9436999999999998	4.0983	0.1545
29811890	3792.0	2346.0	8002.0	2.895	0.65	0.117	0.042	55.0	6.9	8.0	14.0	22.2438	8.1691	-32.293	37.9105	70.2035	2.7229	4.2233	0.5881	2.9254	5.6195	2.694
31361606	2275.0	1535.0	4223.0	2.541	0.489	0.116	0.023	24.0	2.0	8.0	14.0	23.0943	5.0656	3.6189	37.827	34.2081	4.559	4.0287	0.2601	3.5678	4.5739	1.0061
32938469	3621.0	2416.0	7696.0	2.785	0.613	0.126	0.04	54.0	5.4	8.0	14.0	20.7651	6.8449	-10.2399	38.4554	48.6953	3.0337	4.2192	0.3902	3.0653	5.1425	2.0772
36895554	913.0	637.0	2165.0	2.828	0.566	0.132	0.032	17.0	1.1	15.0	25.0	24.8299	5.6188	-10.2463	41.0569	51.3032	4.419	2.1458	0.0466	2.0232	2.3067	0.2835
37329051	960.0	660.0	2400.0	3.001	0.649	0.135	0.034	17.0	1.2	15.0	25.0	25.3283	7.2423	-2.2287	41.8879	44.1166	3.4973	2.1315	0.0586	1.9976	2.2974	0.2998
37835493	1128.0	770.0	2311.0	5.175000000000001	0.8599999999999999	0.267	0.053000000000000005	20.0	1.4	30.0	52.0	54.0006	10.2064	18.134500000000003	71.66210000000001	53.52760000000001	11.446299999999999	4.315799999999999	0.0423	4.244999999999999	4.4683	0.2233
43606631	953.0	633.0	1775.0	2.382	0.556	0.137	0.028	15.0	1.3	15.0	25.0	25.3584	5.2712	4.2509	41.6202	37.3693	4.8108	2.111	0.0532	2.0114	2.254	0.2426
49408975	944.0	661.0	2237.0	2.743	0.617	0.142	0.035	16.0	1.4	15.0	25.0	22.3311	5.4046	3.4683	39.4651	35.9968	4.1319	2.1857	0.0723	2.0906	2.3782	0.2876
51217255	2797.0	1846.0	6558.0	2.914	0.508	0.111	0.021	34.0	2.2	8.0	14.0	23.1062	4.9004	3.6903	37.0831	33.3928	4.7152	4.4373	0.5409	3.4412	5.2388	1.7976
52306425	3466.0	2347.0	6915.0	2.624	0.418	0.125	0.025	49.0	3.3	8.0	14.0	22.1835	5.8106	-13.4149	36.0131	49.428	3.8177	4.1428	0.4769	2.8485	5.1072	2.2587
52835891	3345.0	2283.0	7969.0	2.942	0.583	0.113	0.022	38.0	3.0	8.0	14.0	22.7865	4.8633	1.5224	42.0822	40.5598	4.6854	3.544	0.3157	2.9256	4.2186	1.293
55710183	3414.0	2284.0	6944.0	2.668	0.47	0.14	0.027	53.0	3.7	8.0	14.0	21.1784	5.4268	-10.1336	39.9161	50.0497	3.9026	4.133	0.4742	3.0246	5.1134	2.0888
56162563	3109.0	2094.0	6304.0	2.633	0.506	0.106	0.02	31.0	2.4	8.0	14.0	23.4772	4.8083	5.8549	37.4679	31.613	4.8826	4.3825	0.5219	2.7547	5.3479	2.5932
60021964	3341.0	2253.0	7327.0	2.801	0.536	0.121	0.024	43.0	3.4	8.0	14.0	22.917	5.4037	2.691	38.3084	35.6175	4.241	4.1822	0.4328	3.1043	4.8393	1.735
62582335	996.0	702.0	2312.0	2.913	0.425	0.157	0.047	24.0	1.9	15.0	25.0	23.0819	7.3962	1.9479	39.0612	37.1133	3.1208	2.1367	0.0736	2.027	2.2815	0.2545
65198031	3963.0	2657.0	8132.0	2.603	0.474	0.119	0.024	47.0	3.7	8.0	14.0	21.4814	4.8183	3.5706	34.5165	30.9458	4.4583	3.8941	0.3343	2.9683	4.5389	1.5706
70214854	1067.0	726.0	1932.0	2.489	0.613	0.162	0.039	23.0	1.7	15.0	25.0	26.5334	6.5817	-4.5484	46.5745	51.123	4.0314	2.038	0.0548	1.9467	2.2008	0.2541
71851847	3411.0	2295.0	8091.0	2.973	0.483	0.116	0.022	41.0	3.1	8.0	14.0	24.648	5.1789	-4.1637	40.6137	44.7774	4.7593	4.0357	0.3529	3.2492	4.9199	1.6707
74920331	2844.0	1965.0	5784.0	2.689	0.437	0.124	0.026	33.0	2.9	8.0	14.0	22.0176	4.594	2.803	35.5877	32.7846	4.7927	3.8271	0.358	3.0024	4.7124	1.71
77390767	1060.0	754.0	2204.0	2.575	0.543	0.137	0.031	18.0	1.2	15.0	25.0	25.0968	5.98	7.3413	41.9712	34.6299	4.1968	2.1233	0.0484	2.0522	2.2529	0.2007
78982423	1054.0	694.0	2200.0	2.544	0.644	0.144	0.031	22.0	1.4	15.0	25.0	23.4568	6.1334	1.7398	39.8935	38.1537	3.8245	1.9651	0.0464	1.8903	2.1174	0.2271
80982198	3714.0	2606.0	9045.0	3.009	0.58	0.137	0.032	54.0	5.1	8.0	14.0	24.84	5.8149	3.4477	40.2958	36.8482	4.2718	4.2625	0.5253	3.3283	5.3195	1.9912
82699044	4949.0	3248.0	9918.0	2.607	0.518	0.129	0.027	73.0	5.3	8.0	14.0	21.2274	5.491	1.3054	35.7345	34.4291	3.8658	3.8445	0.446	2.7257	4.7792	2.0535
84407714	2429.0	1694.0	5591.0	2.859	0.548	0.117	0.021	28.0	2.0	8.0	14.0	22.0487	4.3596	6.703	34.4762	27.7732	5.0575	4.0249	0.4229	3.1473	4.9378	1.7905
86226939	992.0	707.0	2415.0	2.814	0.649	0.153	0.038	23.0	1.8	15.0	25.0	23.338	7.5096	-16.9926	42.2614	59.2541	3.1078	2.0737	0.0622	1.9888	2.2746	0.2858
93800202	2293.0	1544.0	6075.0	3.188	0.603	0.125	0.023	27.0	2.2	8.0	14.0	24.2249	5.4645	3.5556	38.161	34.6054	4.4332	4.0129	0.4239	3.0394	4.8766	1.8372
97005004	3659.0	2435.0	7709.0	2.694	0.581	0.114	0.029	52.0	4.4	8.0	14.0	21.785	7.2634	-28.3934	38.0231	66.4165	2.9993	4.013	0.4084	3.0202	5.4188	2.3986
100527940	5163.0	3419.0	11815.0	2.891	0.595	0.112	0.026	66.0	5.5	8.0	14.0	22.5811	6.7427	-5.7898	41.1459	46.9357	3.349	4.5836	0.5479	3.026	5.7148	2.6888
103652366	3044.0	1933.0	5894.0	2.671	0.542	0.122	0.031	45.0	3.8	8.0	14.0	20.5019	6.7066	-21.5292	36.286	57.8153	3.057	3.8031	0.3826	2.9395	4.5168	1.5773
105914514	5145.0	3401.0	11063.0	2.775	0.812	0.134	0.055	106.0	10.8	8.0	14.0	14.6549	6.3748	-8.948	38.3075	47.2555	2.2989	4.2251	0.4642	3.003	5.3212	2.3182
107578676	4493.0	2985.0	10023.0	2.851	0.53	0.12	0.026	61.0	4.5	8.0	14.0	24.8638	6.1852	4.7928	42.6321	37.8393	4.0199	4.3489	0.6027	3.152	5.9305	2.7785
108828000	3035.0	2096.0	7400.0	2.891	0.526	0.121	0.026	35.0	3.3	8.0	14.0	20.6224	4.9257	-12.5512	34.8193	47.3705	4.1867	3.5262	0.3051	2.741	4.3445	1.6035
113335479	899.0	657.0	1883.0	2.489	0.534	0.146	0.04	17.0	1.7	15.0	25.0	22.7443	6.5211	-1.2605	36.283	37.5435	3.4878	2.2169	0.0407	2.1259	2.3298	0.2039
115784129	4764.0	2980.0	7872.0	2.457	0.453	0.118	0.029	57.0	5.9	8.0	14.0	21.4064	6.2963	-2.4212	40.2228	42.6439	3.3999					
119126177	1118.0	769.0	2678.0	2.941	0.744	0.141	0.027	16.0	1.3	15.0	25.0	25.9734	5.5891	-2.3499	42.4099	44.7598	4.6472	2.0257	0.0879	1.8704	2.2382	0.3678
121697273	3719.0	2464.0	8155.0	2.784	0.53	0.124	0.025	54.0	3.8	8.0	14.0	24.1965	5.652	-5.3146	39.7861	45.1007	4.281	4.3703	0.5131	3.0452	5.6236	2.5785
130118047	1337.0	873.0	2542.0	2.498	0.59	0.123	0.029	20.0	1.6	15.0	25.0	24.974	6.8684	-2.1055	43.0082	45.1137	3.6361	2.2028	0.0446	2.1299	2.3121	0.1822
131655018	3214.0	2214.0	6636.0	2.665	0.509	0.116	0.024	36.0	3.1	8.0	14.0	22.6721	5.434	-5.0046	39.374	44.3786	4.1722	3.9458	0.4019	2.953	4.7465	1.7935
134279804	1097.0	743.0	2176.0	2.497	0.528	0.131	0.036	15.0	2.0	15.0	25.0	25.2877	6.0891	-4.1027	44.3759	48.4786	4.153	2.154	0.0709	2.0569	2.3709	0.314
138434806	1184.0	798.0	2386.0	2.609	0.607	0.13	0.027	14.0	1.3	15.0	25.0	26.3188	5.4145	2.8106	39.9162	37.1056	4.8608	2.2318	0.0571	2.1183	2.374	0.2556
154667058	4120.0	2730.0	7995.0	2.48	0.517	0.111	0.026	50.0	4.3	8.0	14.0	22.0117	6.0524	-1.7199	40.065	41.7849	3.6368	4.4067	0.5256	3.2774	5.4066	2.1292
158779019	2759.0	1853.0	5637.0	2.573	0.541	0.123	0.022	32.0	2.4	8.0	14.0	22.5075	4.5043	4.2254	36.9148	32.6894	4.997	4.3821	0.4198	3.2663	5.2024	1.9361
