participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1201.0	804.0	2328.0	2.556	0.47	0.119	0.02	17.0	1.1	15.0	25.0	25.9883	5.5149	4.1985	39.3553	35.1569	4.7124	2.1484	0.0807	2.0493	2.3499	0.3005
8454119	1373.0	887.0	3062.0	6.042	0.757	0.28600000000000003	0.05	24.0	2.2	30.0	52.0	54.7072	10.6563	22.7528	78.9014	56.1487	12.6379	4.6023	0.056600000000000004	4.4386	4.7219999999999995	0.2835
11407866	1206.0	811.0	2739.0	2.94	0.716	0.128	0.034	20.0	1.7	15.0	25.0	26.093	7.5918	0.4922	45.0732	44.581	3.437	2.1668	0.0347	2.092	2.2615	0.1695
11574123	1186.0	806.0	2592.0	5.728	0.732	0.394	0.057999999999999996	20.0	1.9	30.0	52.0	54.1622	9.027000000000001	23.8008	72.6654	48.8646	14.104299999999999	4.372	0.0457	4.282299999999999	4.475	0.19269999999999998
16684978	942.0	628.0	1780.0	2.309	0.795	0.164	0.049	21.0	2.2	15.0	25.0	19.8588	8.8028	-11.7647	45.6228	57.3875	2.256	2.2227	0.0764	2.1171	2.4135	0.2964
25354225	1005.0	752.0	2840.0	7.025	0.888	0.30300000000000005	0.028999999999999998	18.0	0.9	30.0	52.0	52.8868	10.965499999999999	7.602899999999998	78.6611	71.0582	11.494399999999999	4.2227	0.0649	4.1437	4.437099999999999	0.2935
25811472	1265.0	894.0	2849.0	2.743	0.607	0.157	0.041	32.0	2.5	15.0	25.0	21.3006	8.4155	-4.2332	39.7998	44.033	2.5311	2.309	0.0391	2.2125	2.4482	0.2356
27876862	4963.0	3357.0	10748.0	2.764	0.553	0.137	0.031	71.0	6.5	5.0	7.0	23.7627	5.6949	-14.5478	39.9413	54.4892	4.1726	2.9517	0.3844	2.2817	3.7217	1.44
29811890	1138.0	780.0	2499.0	2.7	0.694	0.139	0.034	23.0	1.9	15.0	25.0	23.8914	8.3943	-20.3807	43.0056	63.3863	2.8461	2.0683	0.0274	2.0252	2.1722	0.1471
31361606	921.0	656.0	1874.0	2.491	0.512	0.136	0.027	14.0	1.0	15.0	25.0	24.2055	4.9084	0.6217	38.1182	37.4965	4.9314	2.052	0.0915	1.9364	2.3928	0.4564
32938469	1034.0	732.0	2258.0	2.608	0.628	0.152	0.05	25.0	2.0	15.0	25.0	20.7859	7.2664	-8.5728	40.2364	48.8093	2.8605	2.2254	0.0649	2.135	2.4369	0.3019
36895554	1148.0	774.0	2609.0	4.901	0.835	0.42000000000000004	0.094	28.0	2.2	30.0	52.0	48.9886	8.610199999999999	22.9152	79.5595	56.644400000000005	12.6068	4.1518	0.0635	4.0174	4.3378	0.3204
37329051	1131.0	776.0	3328.0	6.099	1.035	0.41000000000000003	0.11699999999999999	26.0	2.0	30.0	52.0	53.8417	11.4667	26.427400000000002	77.914	51.4867	10.1165	4.518700000000001	0.0611	4.4	4.6587	0.2589
37835493	7031.0	4660.0	15324.0	2.795	0.512	0.118	0.023	76.0	6.8	5.0	7.0	22.8775	4.987	1.5611	39.748	38.1869	4.5874	2.9253	0.3634	2.3391	3.9172	1.5782
43606631	1034.0	701.0	1964.0	4.605	0.6990000000000001	0.36	0.057999999999999996	26.0	1.6	30.0	52.0	54.1388	9.0488	11.2879	72.4135	61.125600000000006	14.3031	4.3941	0.0509	4.2501999999999995	4.478300000000001	0.22810000000000002
49408975	1247.0	834.0	3023.0	5.939	0.869	0.342	0.065	21.0	2.1	30.0	52.0	47.0998	11.2614	7.434699999999999	68.4179	60.9831	8.6395	4.5031	0.0501	4.4181	4.6205	0.2024
51217255	843.0	573.0	2077.0	3.136	0.659	0.127	0.031	11.0	1.0	15.0	25.0	26.2255	5.7125	9.1068	43.8197	34.7129	4.5909	1.951	0.0533	1.8678	2.1061	0.2383
