participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1512.0	1020.0	3309.0	4.797000000000001	0.679	0.30200000000000005	0.041	29.0	1.9	30.0	52.0	54.1853	8.5724	24.0836	71.8125	47.729	15.9077	4.5079	0.0742	4.3392	4.6585	0.3193
8454119	11407.0	7154.0	21710.0	2.727	0.498	0.116	0.026	138.0	12.2	5.0	7.0	22.4395	7.1158	-12.0211	40.9539	52.975	3.1535	3.572	0.5066	2.4239	5.0918	2.6679
11407866	1508.0	995.0	3410.0	5.496	0.7889999999999999	0.22499999999999998	0.046	32.0	2.7	30.0	52.0	50.4065	10.788499999999999	15.4987	70.3694	54.8707	13.3941	4.420400000000001	0.09709999999999999	4.278499999999999	4.6321	0.3536
11574123	8424.0	5506.0	18237.0	2.849	0.563	0.119	0.025	106.0	8.4	5.0	7.0	24.1468	5.865	-7.0872	43.5378	50.625	4.1171	3.1624	0.4129	2.2643	4.3652	2.1009
16684978	944.0	627.0	2318.0	5.929	0.9520000000000001	0.309	0.05	18.0	1.3	30.0	52.0	56.867000000000004	7.6779	36.2475	75.2611	39.013600000000004	19.5736	4.4144000000000005	0.0511	4.2585	4.4878	0.2294
25354225	9733.0	5706.0	16541.0	2.651	0.724	0.121	0.046	139.0	20.8	5.0	7.0	17.9668	9.7626	-14.6719	46.8559	61.5278	1.8404	3.3587	0.3437	2.6308	4.5244	1.8935
25811472	1246.0	868.0	2776.0	5.92	0.844	0.178	0.033	18.0	1.5	30.0	52.0	46.7553	10.429	8.1062	68.4299	60.3237	11.9878	4.5654	0.0508	4.4516	4.6698	0.2183
27876862	911.0	575.0	2132.0	2.951	0.51	0.131	0.03	15.0	1.1	6.0	9.0	23.6056	6.2575	2.5697	42.766	40.1963	3.7724	2.5058	0.1592	2.2035	2.9892	0.7857
29811890	1308.0	925.0	3179.0	5.5489999999999995	0.7999999999999999	0.269	0.044	26.0	1.5	30.0	52.0	52.7435	10.8628	21.6712	74.86359999999999	53.1926	12.7272	4.1904	0.0504	4.0796	4.2987	0.2193
31361606	1090.0	722.0	2145.0	5.767	0.966	0.268	0.096	16.0	1.9	30.0	52.0	49.3061	10.485199999999999	11.356600000000002	68.36160000000001	57.0051	19.7386	4.1685	0.0358	4.1001	4.2827	0.18259999999999998
32938469	1192.0	848.0	3046.0	6.019	1.174	0.28	0.064	18.0	2.1	30.0	52.0	46.422200000000004	10.6387	-4.754000000000001	72.52279999999999	77.2768	10.0064	4.414	0.0893	4.2609	4.7325	0.47159999999999996
36895554	8318.0	5484.0	18223.0	2.808	0.596	0.119	0.026	102.0	8.6	5.0	7.0	21.8614	5.9493	-7.1406	41.1712	48.3117	3.6746	3.2376	0.2987	2.5154	4.1822	1.6668
37329051	7115.0	4906.0	17776.0	2.876	0.636	0.132	0.033	123.0	9.1	5.0	7.0	23.3546	6.1079	-4.112	40.7155	44.8274	3.8236	3.4997	0.3337	2.6224	4.2941	1.6717
37835493	1215.0	810.0	2785.0	2.807	0.577	0.137	0.035	19.0	1.6	6.0	9.0	23.1759	5.7047	4.5556	37.9083	33.3527	4.0626	2.4482	0.219	2.0666	3.0291	0.9625
43606631	6568.0	4307.0	11823.0	2.448	0.528	0.136	0.033	93.0	8.5	5.0	7.0	21.225	5.7706	-0.6095	40.309	40.9185	3.6781	3.1641	0.3009	2.3428	4.0656	1.7228
49408975	7017.0	4540.0	15617.0	2.887	0.659	0.123	0.031	102.0	9.3	5.0	7.0	21.4874	6.3978	-20.076	42.4418	62.5178	3.3585	3.1512	0.2786	2.5517	3.8084	1.2566
51217255	1037.0	714.0	2295.0	6.7330000000000005	0.654	0.193	0.035	20.0	1.1	30.0	52.0	52.9456	10.082899999999999	28.745800000000003	71.5162	42.770399999999995	11.184	4.0956	0.0431	3.9917	4.1777	0.1861
52306425	1296.0	864.0	2483.0	5.205	0.624	0.32699999999999996	0.053	24.0	2.4	30.0	52.0	53.098	10.408	18.124499999999998	75.38550000000001	57.261	11.2921	4.516500000000001	0.0475	4.4192	4.6538	0.2347
52835891	1194.0	794.0	2890.0	5.468	0.639	0.293	0.051	28.0	2.0	30.0	52.0	54.9231	9.242	30.9551	74.7858	43.8308	16.7195	4.1934000000000005	0.0717	4.0499	4.3498	0.29969999999999997
55710183	1217.0	801.0	2577.0	5.109999999999999	0.714	0.239	0.047	34.0	2.3	30.0	52.0	51.019999999999996	8.726600000000001	30.5326	69.1609	38.6283	21.3196	4.3792	0.0235	4.3186	4.444100000000001	0.1255
56162563	1246.0	890.0	2970.0	5.2620000000000005	0.724	0.267	0.056	28.0	1.4	30.0	52.0	51.5865	8.292300000000001	26.5765	73.05499999999999	46.4785	15.3307	4.3338	0.048299999999999996	4.253	4.4612	0.20829999999999999
60021964	1394.0	972.0	3362.0	5.553000000000001	0.649	0.23299999999999998	0.046	31.0	2.1	30.0	52.0	38.531800000000004	13.708	-12.7362	65.3446	78.081	5.5184	4.2791999999999994	0.0912	4.1312999999999995	4.4329	0.3016
62582335	5702.0	3877.0	12915.0	2.895	0.543	0.119	0.024	64.0	5.5	5.0	7.0	24.3152	5.1225	0.1853	41.3401	41.1548	4.7468	2.9175	0.2574	2.2908	3.4923	1.2015
65198031	1118.0	757.0	2106.0	5.175000000000001	0.732	0.453	0.094	21.0	1.6	30.0	52.0	40.0392	11.2423	10.447700000000001	67.86500000000001	57.4173	7.0905000000000005	4.1387	0.0605	3.9766	4.3232	0.34659999999999996
70214854	7935.0	5267.0	16315.0	2.649	0.557	0.129	0.028	101.0	8.8	5.0	7.0	25.2085	5.8791	-5.0218	43.6194	48.6412	4.2878	2.9357	0.354	2.2275	3.9064	1.6789
