participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	7473.0	4896.0	14900.0	2.652	0.493	0.124	0.023	96.0	7.1	5.0	7.0	23.2113	4.9455	2.2562	40.751	38.4949	4.6934	3.0929	0.3394	2.3625	4.0266	1.664
8454119	1494.0	883.0	2725.0	2.621	0.718	0.137	0.054	34.0	3.5	6.0	9.0	18.7236	8.9558	-12.9547	39.6341	52.5888	2.0907	3.043	0.3194	2.3943	3.9204	1.5261
11407866	8211.0	5635.0	19358.0	2.925	0.53	0.121	0.023	111.0	8.1	5.0	7.0	25.3012	6.1804	-2.0639	41.3754	43.4394	4.0938	3.2356	0.3366	2.4528	4.1158	1.6629
11574123	1218.0	831.0	3207.0	3.07	0.482	0.151	0.035	24.0	1.7	6.0	9.0	24.2818	6.3224	5.9745	41.7254	35.751	3.8406	2.4262	0.1593	2.0937	2.8605	0.7668
16684978	6580.0	4274.0	13339.0	2.677	0.598	0.132	0.032	86.0	9.1	5.0	7.0	21.3651	6.9273	-5.4398	39.7903	45.2301	3.0842	3.3673	0.3295	2.4184	4.0604	1.6419
25354225	1258.0	760.0	2629.0	2.831	0.893	0.13	0.05	20.0	2.6	6.0	9.0	19.851	9.104	-20.8798	38.4574	59.3372	2.1805	2.8201	0.2491	2.24	3.6105	1.3705
25811472	7646.0	5037.0	17827.0	2.995	0.537	0.122	0.026	101.0	8.0	5.0	7.0	23.4279	6.1436	-8.5671	43.9265	52.4936	3.8134	3.2545	0.3744	2.4314	4.0984	1.667
27876862	994.0	717.0	2802.0	3.08	0.586	0.166	0.055	23.0	2.5	6.0	10.0	25.269	6.4196	4.754	42.1801	37.4261	3.9362	2.2583	0.1387	2.048	2.6834	0.6355
29811890	10424.0	6060.0	18488.0	2.832	0.58	0.11	0.031	114.0	13.9	5.0	7.0	22.3262	8.7498	-30.9262	45.7341	76.6603	2.5516	3.2973	0.4411	2.4233	4.5915	2.1682
31361606	5953.0	3891.0	12699.0	2.702	0.568	0.122	0.027	76.0	6.2	5.0	7.0	22.1964	5.5259	-25.2537	42.193	67.4467	4.0168	3.1082	0.3424	2.352	3.9631	1.6111
32938469	7716.0	5184.0	16684.0	2.689	0.651	0.133	0.04	126.0	12.8	5.0	7.0	21.0178	8.2865	-23.7319	43.0482	66.7801	2.5364	3.3595	0.4222	2.4077	4.5587	2.151
36895554	832.0	593.0	2422.0	2.917	0.635	0.153	0.035	19.0	1.1	6.0	9.0	23.505	7.1608	0.4165	40.0355	39.619	3.2825	2.8208	0.261	2.2947	3.3491	1.0544
37329051	1008.0	703.0	3035.0	3.103	0.71	0.158	0.046	26.0	1.9	6.0	9.0	23.6536	7.2352	-1.7352	42.4825	44.2176	3.2692	2.9205	0.2346	2.3588	3.5904	1.2316
37835493	1470.0	968.0	2890.0	2.568	0.658	0.131	0.035	21.0	2.3	6.0	10.0	23.5995	5.9096	-3.5047	38.0275	41.5322	3.9934	2.3714	0.1376	2.1734	2.7989	0.6255
43606631	1068.0	718.0	2239.0	2.452	0.584	0.149	0.047	24.0	2.1	6.0	9.0	21.7388	7.5561	-49.4182	39.3908	88.809	2.877	2.6422	0.224	2.1753	3.224	1.0487
49408975	1049.0	680.0	3154.0	3.256	0.678	0.129	0.031	19.0	1.4	6.0	9.0	21.7053	6.0751	-5.3872	38.9524	44.3396	3.5728	2.9096	0.274	2.3069	3.4503	1.1434
51217255	6990.0	4613.0	16669.0	3.0	0.518	0.121	0.024	87.0	6.7	5.0	7.0	24.608	5.1661	1.4325	41.4479	40.0154	4.7634	3.0383	0.385	2.3073	3.8482	1.5409
52306425	8527.0	5201.0	14890.0	2.522	0.541	0.12	0.027	103.0	9.6	5.0	7.0	21.7471	6.8635	-16.6283	45.811	62.4393	3.1685	3.2551	0.4137	2.4138	4.329	1.9151
52835891	6462.0	4456.0	15954.0	2.986	0.649	0.131	0.032	92.0	8.8	5.0	7.0	22.8146	6.4357	-18.3739	45.1348	63.5087	3.545	3.038	0.3267	2.4088	3.9719	1.5631
55710183	8377.0	5612.0	16158.0	2.516	0.499	0.13	0.028	120.0	9.3	5.0	7.0	22.3204	5.6731	-14.1115	39.9304	54.0419	3.9344	3.3626	0.3629	2.6685	4.4126	1.7441
56162563	6869.0	4605.0	14405.0	2.735	0.485	0.125	0.025	80.0	6.9	5.0	7.0	25.4377	5.0797	3.726	42.6241	38.8981	5.0077	3.0905	0.288	2.4787	3.7995	1.3208
60021964	7851.0	5227.0	17576.0	2.882	0.627	0.123	0.026	96.0	8.4	5.0	7.0	23.9314	6.0239	1.8006	41.6103	39.8096	3.9727	3.2568	0.3464	2.4702	4.0502	1.58
62582335	1039.0	702.0	2507.0	3.081	0.71	0.143	0.036	18.0	1.6	6.0	9.0	24.4125	7.6551	-24.3802	42.0394	66.4196	3.1891	2.6875	0.264	2.1911	3.3449	1.1538
65198031	8741.0	5701.0	17712.0	2.682	0.554	0.121	0.026	100.0	9.1	5.0	7.0	20.3855	5.8036	-3.1058	40.461	43.5667	3.5125	3.1959	0.3266	2.4754	4.1683	1.6929
70214854	1102.0	720.0	2276.0	2.546	0.636	0.155	0.044	24.0	2.1	6.0	9.0	24.8778	8.215	-2.0245	42.5026	44.5271	3.0284	2.401	0.1508	2.0387	2.6799	0.6412
71851847	7822.0	5305.0	18572.0	2.942	0.564	0.122	0.024	108.0	7.3	5.0	7.0	25.743	6.1743	-16.6141	42.3149	58.929	4.1694	3.1592	0.4372	2.1543	4.1931	2.0389
74920331	6744.0	4538.0	14511.0	2.722	0.555	0.123	0.025	79.0	6.6	5.0	7.0	24.4352	4.708	0.3793	38.61	38.2307	5.1902	3.0652	0.3166	2.3164	3.7477	1.4313
77390767	1131.0	796.0	2816.0	2.917	0.603	0.148	0.044	20.0	2.1	6.0	9.0	24.4137	6.925	-1.1743	40.9932	42.1675	3.5255	2.7269	0.2256	2.28	3.2128	0.9328
78982423	955.0	663.0	2214.0	2.749	0.706	0.137	0.032	14.0	1.3	6.0	9.0	25.1792	6.491	1.6116	46.2529	44.6412	3.8791	2.516	0.1967	2.0208	3.0773	1.0566
80982198	8037.0	5633.0	19944.0	2.891	0.599	0.139	0.033	135.0	11.4	5.0	7.0	23.9106	6.4576	-16.5842	52.108	68.6922	3.7027	3.4268	0.3561	2.5987	4.4022	1.8036
