participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	10128.0	6677.0	19006.0	2.561	0.484	0.124	0.025	121.0	10.7	5.0	8.0	23.3308	5.4842	-25.1759	40.1686	65.3445	4.2542	3.0286	0.3138	2.3976	3.8118	1.4142
8454119	7651.0	5166.0	15643.0	2.721	0.506	0.114	0.023	82.0	6.9	3.0	3.0	25.5896	6.6778	-4.915	47.6888	52.6038	3.832	2.9308	0.3603	2.3528	3.8842	1.5314
11407866	10564.0	7347.0	24908.0	2.87	0.574	0.122	0.024	131.0	10.0	5.0	8.0	25.8388	5.7966	3.136	39.9182	36.7822	4.4576	3.1201	0.3634	2.2776	4.2646	1.9871
11574123	5341.0	3561.0	10608.0	2.748	0.549	0.126	0.027	71.0	6.2	3.0	3.0	25.1576	6.4999	-14.1026	46.2898	60.3923	3.8705	2.5719	0.3137	2.1584	3.4946	1.3363
16684978	8829.0	5762.0	17051.0	2.591	0.539	0.127	0.033	114.0	11.9	5.0	8.0	21.7564	6.8429	-33.7304	38.8186	72.549	3.1794	3.0266	0.37	2.363	3.9432	1.5802
25354225	6015.0	3642.0	11584.0	2.922	0.599	0.114	0.035	83.0	8.5	3.0	3.0	21.9268	9.0506	-9.7377	44.5688	54.3065	2.4227	2.7995	0.2844	2.2977	3.5701	1.2724
25811472	10164.0	6866.0	23627.0	2.984	0.567	0.129	0.031	141.0	12.7	5.0	8.0	24.3516	6.1918	-10.1984	43.607	53.8053	3.9329	3.1964	0.4247	2.3915	4.1432	1.7517
27876862	3042.0	2050.0	8556.0	3.317	0.68	0.148	0.039	54.0	5.0	14.0	23.0	24.9867	6.3034	-0.5189	49.6795	50.1984	3.964	2.0773	0.0903	1.8747	2.3044	0.4297
29811890	14114.0	8525.0	26546.0	2.798	0.624	0.119	0.043	212.0	26.1	5.0	8.0	22.111	9.0685	-52.4259	44.7166	97.1425	2.4382	3.1525	0.3602	2.2939	4.44	2.1462
31361606	7819.0	5289.0	16701.0	2.707	0.547	0.128	0.028	99.0	9.3	5.0	8.0	23.6136	5.3839	-10.8855	38.6145	49.5001	4.386	3.1119	0.3633	2.3194	4.0198	1.7004
32938469	10953.0	7341.0	22826.0	2.647	0.676	0.135	0.037	180.0	17.6	5.0	8.0	22.6288	7.7465	-16.5404	45.2755	61.8159	2.9212	3.4176	0.3153	2.5851	4.4597	1.8746
36895554	5356.0	3558.0	11121.0	2.757	0.55	0.124	0.027	69.0	6.3	3.0	3.0	23.3732	5.7289	1.1701	42.2008	41.0307	4.0798	2.7249	0.2383	2.2445	3.4573	1.2128
37329051	5773.0	3922.0	12358.0	2.753	0.554	0.12	0.026	82.0	6.2	3.0	3.0	25.254	6.2725	-4.3026	41.4759	45.7785	4.0261	2.8489	0.2878	2.2525	3.5328	1.2803
37835493	4156.0	2813.0	10117.0	3.015	0.506	0.134	0.027	55.0	4.5	14.0	23.0	24.4585	5.2164	4.4722	43.2496	38.7774	4.6887	2.0911	0.0847	1.8776	2.3012	0.4235
43606631	5337.0	3559.0	9370.0	2.404	0.516	0.14	0.034	80.0	7.0	3.0	3.0	23.1063	5.7556	4.3091	43.6404	39.3314	4.0146	2.661	0.2668	2.176	3.3501	1.174
49408975	5170.0	3410.0	11441.0	2.985	0.604	0.12	0.028	65.0	5.5	3.0	3.0	23.4788	5.6939	-2.1466	46.2815	48.428	4.1235	2.6439	0.2341	2.1785	3.2462	1.0677
51217255	9172.0	6192.0	20279.0	2.809	0.53	0.115	0.022	113.0	8.1	5.0	8.0	24.62	5.385	-0.214	42.1867	42.4007	4.572	3.0696	0.4276	2.2305	4.2965	2.066
52306425	12256.0	7961.0	22979.0	2.586	0.545	0.123	0.024	155.0	12.7	5.0	8.0	23.7003	5.9478	-12.3617	42.6152	54.9769	3.9847	3.2544	0.3681	2.5479	4.3459	1.798
52835891	8583.0	5878.0	18851.0	2.706	0.636	0.127	0.029	121.0	10.8	5.0	8.0	24.3621	5.7612	-7.8945	44.1086	52.003	4.2286	2.9624	0.2473	2.3004	3.5915	1.2911
55710183	10727.0	7123.0	20006.0	2.471	0.496	0.128	0.027	146.0	11.7	5.0	8.0	23.1366	5.4536	-2.2281	40.7195	42.9476	4.2425	3.282	0.3887	2.506	4.284	1.7779
56162563	8929.0	6057.0	18076.0	2.641	0.508	0.129	0.026	117.0	9.5	5.0	8.0	26.2428	5.8299	1.8089	44.5099	42.701	4.5014	3.1084	0.4516	2.3064	4.6671	2.3607
60021964	10663.0	7096.0	23498.0	2.793	0.565	0.122	0.028	143.0	11.6	5.0	8.0	24.9027	5.6565	-15.5796	41.4072	56.9869	4.4025	3.2783	0.3851	2.4092	4.1427	1.7335
62582335	4292.0	2942.0	9560.0	2.916	0.507	0.12	0.024	49.0	4.2	3.0	3.0	25.6121	4.8005	7.4724	41.6212	34.1488	5.3353	2.5407	0.2339	2.2006	3.2486	1.048
