participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	6040.0	4038.0	11497.0	2.592	0.477	0.123	0.026	73.0	6.1	3.0	3.0	24.6659	5.2349	4.945	43.4365	38.4915	4.7118	2.5496	0.2395	2.1441	3.2102	1.0661
8454119	5833.0	4037.0	15081.0	2.991	0.602	0.136	0.034	88.0	7.6	14.0	23.0	24.9569	6.4078	1.001	46.724	45.723	3.8947	2.3581	0.0799	2.2052	2.7215	0.5163
11407866	5970.0	4134.0	14377.0	2.968	0.586	0.124	0.026	80.0	6.3	3.0	3.0	27.0469	5.6934	-0.2296	42.3804	42.6101	4.7505	2.7003	0.3172	2.1782	3.4994	1.3212
11574123	4143.0	2837.0	11584.0	3.303	0.533	0.141	0.034	62.0	5.8	14.0	23.0	25.1106	6.4315	1.8621	42.8129	40.9507	3.9043	2.1055	0.0853	1.8885	2.3793	0.4908
16684978	5151.0	3489.0	10024.0	2.711	0.507	0.131	0.028	66.0	5.8	3.0	3.0	23.9531	6.0346	-25.3338	48.1901	73.5239	3.9693	2.7636	0.3159	2.2419	3.4639	1.2221
25354225	4006.0	2581.0	11071.0	3.307	0.785	0.13	0.044	73.0	7.2	14.0	23.0	21.1609	9.1598	-25.0513	43.9828	69.034	2.3102	2.2795	0.0998	2.0083	2.59	0.5816
25811472	5619.0	3802.0	12518.0	3.023	0.511	0.115	0.024	61.0	5.4	3.0	3.0	25.6718	5.7244	0.3737	48.9561	48.5824	4.4847	2.7754	0.2801	2.3819	3.7859	1.404
27876862	2842.0	1895.0	7821.0	3.275	0.577	0.142	0.031	48.0	3.7	13.0	24.0	25.6615	6.1439	-12.1664	41.8401	54.0065	4.1768	2.0261	0.0709	1.8513	2.249	0.3977
29811890	7619.0	4752.0	13929.0	2.722	0.627	0.12	0.033	102.0	11.3	3.0	3.0	23.1303	9.0031	-13.6143	47.4089	61.0232	2.5692	2.6159	0.3499	2.0473	3.4832	1.4359
31361606	4872.0	3136.0	9793.0	2.74	0.641	0.118	0.028	58.0	5.3	3.0	3.0	22.9656	6.0762	-3.4843	43.6731	47.1573	3.7796	2.6306	0.2352	2.2373	3.173	0.9357
32938469	4418.0	3058.0	9445.0	2.726	0.609	0.139	0.042	65.0	7.7	3.0	3.0	24.237	7.4712	-9.9544	41.9138	51.8682	3.2441	2.779	0.2261	2.3723	3.4931	1.1208
36895554	4148.0	2850.0	11441.0	3.201	0.578	0.144	0.04	74.0	6.7	14.0	23.0	24.0774	6.0361	-8.3515	40.4917	48.8432	3.9889	2.3011	0.1275	2.0477	2.6852	0.6375
37329051	4089.0	2862.0	11997.0	3.259	0.673	0.141	0.036	82.0	6.3	14.0	23.0	24.0872	6.7154	-5.1192	42.3413	47.4605	3.5868	2.2586	0.1377	2.0599	2.8195	0.7596
37835493	3290.0	2204.0	8488.0	3.013	0.628	0.135	0.03	44.0	4.2	13.0	24.0	24.5198	5.4057	2.6961	40.4576	37.7614	4.5359	2.2469	0.0693	2.0978	2.4589	0.3611
43606631	3659.0	2473.0	8357.0	2.872	0.529	0.15	0.038	63.0	5.8	14.0	23.0	24.9854	6.1012	2.2828	51.0843	48.8015	4.0952	2.1828	0.0798	2.0063	2.4607	0.4544
49408975	3942.0	2664.0	11626.0	3.309	0.671	0.13	0.034	63.0	5.6	14.0	23.0	23.2525	6.0376	-11.6698	40.1974	51.8672	3.8513	2.1897	0.0893	1.9809	2.4925	0.5116
51217255	4948.0	3320.0	10364.0	2.891	0.518	0.116	0.023	56.0	4.5	3.0	3.0	26.1557	5.3162	5.9164	42.447	36.5306	4.92	2.5293	0.2432	2.0798	3.3392	1.2594
52306425	7566.0	4949.0	14719.0	2.68	0.558	0.122	0.025	85.0	8.0	3.0	3.0	25.4512	5.4556	-5.5236	45.0726	50.5962	4.6651	2.7336	0.2789	2.1593	3.3017	1.1425
52835891	4889.0	3361.0	11259.0	2.949	0.573	0.124	0.028	65.0	5.5	3.0	3.0	25.0756	5.9701	2.1137	45.8337	43.72	4.2002	2.5861	0.2343	2.1359	3.2046	1.0688
55710183	5688.0	3940.0	11527.0	2.577	0.587	0.139	0.035	92.0	9.2	3.0	3.0	24.5837	6.077	-12.0201	44.5137	56.5338	4.0454	2.9076	0.2759	2.3761	3.5435	1.1674
56162563	6120.0	4135.0	12061.0	2.609	0.486	0.127	0.028	78.0	6.7	3.0	3.0	26.9571	5.4482	-1.1494	44.6362	45.7857	4.9479	2.6795	0.2286	2.1479	3.248	1.1001
60021964	5807.0	3812.0	12996.0	2.903	0.605	0.119	0.027	79.0	5.7	3.0	3.0	24.4898	6.6807	-42.5651	43.1284	85.6935	3.6658	2.721	0.2341	2.2923	3.5559	1.2636
62582335	3630.0	2546.0	10900.0	3.348	0.645	0.141	0.031	61.0	4.5	14.0	23.0	24.8921	6.0859	-1.1119	42.484	43.5959	4.0901	2.1278	0.0963	1.9103	2.4007	0.4904
65198031	5683.0	3755.0	10799.0	2.677	0.57	0.126	0.029	68.0	6.8	3.0	3.0	22.524	5.9801	-2.1619	42.2272	44.3891	3.7665	2.7388	0.2565	2.2544	3.352	1.0976
70214854	4626.0	3114.0	11477.0	2.983	0.578	0.153	0.039	81.0	7.4	14.0	23.0	27.1302	7.2543	-5.1006	49.3396	54.4403	3.7399	2.1775	0.0772	1.9052	2.4398	0.5347
71851847	5439.0	3651.0	11997.0	2.914	0.607	0.123	0.024	66.0	5.5	3.0	3.0	27.676	5.4149	1.4231	43.8816	42.4585	5.1111	2.4805	0.2208	2.1081	3.0938	0.9858
