participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3804.0	2531.0	9110.0	2.834	0.57	0.151	0.038	72.0	5.9	13.0	24.0	24.4225	6.2509	-11.507	41.47	52.977	3.907	2.264	0.0641	2.117	2.439	0.322
8454119	2315.0	1511.0	4559.0	2.693	0.683	0.152	0.056	52.0	5.7	4.0	5.0	21.5676	8.8507	-17.96	44.3525	62.3125	2.4368	2.656	0.3139	2.2942	5.1146	2.8204
11407866	3599.0	2490.0	10426.0	3.231	0.676	0.135	0.03	50.0	4.6	13.0	24.0	26.6373	5.9103	4.4	43.0103	38.6103	4.5069	2.1883	0.0537	2.0442	2.337	0.2928
11574123	1853.0	1248.0	4054.0	2.962	0.629	0.137	0.035	26.0	2.7	4.0	5.0	25.7812	7.0373	2.0407	42.5325	40.4918	3.6635	2.2221	0.2698	2.0271	4.1098	2.0827
16684978	2751.0	1847.0	7338.0	3.208	0.813	0.149	0.04	50.0	4.5	13.0	24.0	23.412	6.8255	-0.5632	45.514	46.0772	3.4301	2.2215	0.1006	1.9299	2.4367	0.5068
25354225	1642.0	1078.0	3940.0	3.325	0.872	0.146	0.044	30.0	3.2	4.0	5.0	23.5145	9.3888	-3.0347	47.0287	50.0633	2.5045	2.4456	0.2207	2.1435	3.2756	1.1321
25811472	3433.0	2322.0	9845.0	3.284	0.681	0.14	0.039	67.0	4.9	13.0	24.0	24.6072	6.6835	-5.6482	44.401	50.0492	3.6818	2.3679	0.084	2.1767	2.5647	0.388
27876862	1346.0	899.0	2812.0	2.631	0.841	0.149	0.048	33.0	2.5	4.0	6.0	20.5323	7.9815	-10.2232	47.6394	57.8626	2.5725	2.1182	0.0585	2.0026	2.2837	0.2811
29811890	3691.0	2301.0	9347.0	3.129	0.739	0.135	0.05	67.0	7.2	13.0	24.0	22.57	9.1122	-19.7542	43.9922	63.7463	2.4769	2.1696	0.0562	2.0094	2.3636	0.3542
31361606	3170.0	2190.0	8606.0	3.06	0.66	0.147	0.037	51.0	5.0	13.0	24.0	25.034	5.8555	-0.4989	41.4916	41.9905	4.2753	2.1261	0.0699	1.9827	2.3731	0.3904
32938469	4206.0	2914.0	12923.0	3.222	0.801	0.148	0.047	83.0	8.5	13.0	24.0	23.7298	7.249	-15.7909	46.3275	62.1184	3.2735	2.4197	0.135	2.0949	2.8882	0.7933
36895554	1483.0	1037.0	3496.0	2.891	0.659	0.133	0.034	29.0	2.2	4.0	5.0	24.7671	7.4636	-22.8336	45.4414	68.2749	3.3184	2.4536	0.2507	2.1183	3.7457	1.6274
37329051	1742.0	1223.0	4672.0	3.235	0.686	0.142	0.033	32.0	2.7	4.0	5.0	24.4645	7.8307	-1.1779	47.2597	48.4375	3.1242	2.5328	0.2594	2.1133	3.6773	1.564
37835493	1893.0	1249.0	3535.0	2.308	0.628	0.141	0.035	36.0	3.0	4.0	6.0	20.7539	7.1618	-22.4632	46.7315	69.1948	2.8978	2.2682	0.0825	2.1344	2.5226	0.3882
43606631	1728.0	1145.0	3194.0	2.493	0.667	0.139	0.038	28.0	2.8	4.0	5.0	23.8323	7.5419	-16.2401	48.1719	64.412	3.16	2.3327	0.1894	2.068	3.1995	1.1315
49408975	1618.0	1117.0	3965.0	3.125	0.667	0.139	0.034	26.0	2.5	4.0	5.0	23.288	7.085	-7.2406	42.5549	49.7955	3.2869	2.526	0.289	2.1699	4.276	2.1061
51217255	2595.0	1753.0	8182.0	3.515	0.538	0.14	0.032	42.0	3.5	13.0	24.0	26.4117	5.7628	3.1816	44.5745	41.3929	4.5831	2.101	0.0661	1.9652	2.3488	0.3836
52306425	3629.0	2405.0	8773.0	2.878	0.704	0.141	0.036	56.0	5.6	13.0	24.0	25.2692	6.5864	-4.8318	41.3109	46.1427	3.8366	2.3426	0.0691	2.1781	2.5665	0.3884
52835891	3018.0	2062.0	8554.0	3.175	0.649	0.137	0.034	45.0	4.1	13.0	24.0	26.3786	6.1445	-8.3706	48.5441	56.9147	4.293	2.1543	0.0877	1.9757	2.3635	0.3877
55710183	3174.0	2163.0	8420.0	2.995	0.633	0.149	0.036	60.0	4.6	13.0	24.0	25.0809	6.3003	-17.9861	46.8799	64.866	3.9809	2.3426	0.0658	2.2132	2.5809	0.3677
56162563	3098.0	2100.0	7910.0	3.03	0.618	0.14	0.03	44.0	4.0	13.0	24.0	28.236	5.8897	2.4289	47.315	44.886	4.7941	2.1525	0.0588	2.0307	2.3575	0.3268
60021964	3495.0	2383.0	9712.0	3.227	0.574	0.141	0.032	56.0	4.7	13.0	24.0	25.2741	6.472	3.247	40.3494	37.1023	3.9051	2.2324	0.0821	2.0316	2.4591	0.4276
62582335	1541.0	1036.0	3445.0	2.83	0.635	0.152	0.047	40.0	3.2	4.0	5.0	23.3768	7.9663	-19.2661	39.956	59.2221	2.9345	2.365	0.2428	2.0635	4.2264	2.1629
65198031	2961.0	2029.0	7567.0	3.002	0.715	0.138	0.033	43.0	4.1	13.0	24.0	23.9403	5.9075	-0.6871	46.8885	47.5756	4.0525	2.2372	0.0705	2.0958	2.4151	0.3193
70214854	1549.0	1058.0	3045.0	2.664	0.576	0.129	0.031	21.0	1.9	4.0	5.0	27.8888	6.839	-9.5384	49.8572	59.3956	4.0779	2.2041	0.2226	1.9633	3.6027	1.6394
71851847	3124.0	2135.0	9565.0	3.424	0.638	0.136	0.03	49.0	3.8	13.0	24.0	27.017	6.2394	-13.6578	42.7881	56.4459	4.3301	2.1118	0.1033	1.9215	2.3922	0.4707
74920331	2834.0	1909.0	7211.0	3.114	0.59	0.142	0.034	49.0	3.8	13.0	24.0	24.5967	6.0649	-10.6443	39.981	50.6253	4.0556	2.2425	0.0998	2.0413	2.5105	0.4692
77390767	1883.0	1260.0	4412.0	2.95	0.691	0.137	0.039	40.0	3.0	4.0	5.0	24.0025	7.7735	-7.3946	42.9011	50.2957	3.0877	2.3272	0.1912	2.0792	3.2563	1.1771
78982423	1464.0	965.0	2956.0	2.842	0.729	0.14	0.038	23.0	2.6	4.0	5.0	23.6877	7.8778	-18.2349	44.9428	63.1778	3.0069	2.2261	0.3007	1.9632	4.0608	2.0976
80982198	3334.0	2324.0	9759.0	3.229	0.638	0.153	0.041	70.0	5.7	13.0	24.0	26.3551	6.9437	-0.6662	49.0681	49.7343	3.7956	2.328	0.0749	2.1461	2.6149	0.4689
82699044	3852.0	2685.0	9190.0	2.83	0.565	0.15	0.037	72.0	5.7	13.0	24.0	24.9313	6.7349	-3.6852	41.0459	44.7311	3.7018	2.334	0.0757	2.1213	2.5511	0.4298
84407714	3105.0	2142.0	8521.0	3.151	0.554	0.138	0.033	51.0	4.5	13.0	24.0	24.915	5.6338	-17.4397	42.347	59.7867	4.4224	2.0504	0.0499	1.9399	2.1602	0.2203
86226939	1655.0	1131.0	3907.0	3.128	0.799	0.142	0.039	29.0	2.8	4.0	5.0	24.4655	7.4689	-6.5734	58.2142	64.7875	3.2756	2.2744	0.2404	2.0311	4.1891	2.1579
93800202	2557.0	1660.0	8023.0	3.401	0.78	0.149	0.05	48.0	5.4	13.0	24.0	22.1622	8.8273	-7.6014	46.0713	53.6727	2.5106	2.2449	0.1181	1.9897	2.5569	0.5672
97005004	3804.0	2525.0	10552.0	3.136	0.568	0.133	0.03	63.0	4.5	13.0	24.0	24.2053	6.3414	2.224	43.8702	41.6462	3.817	2.4246	0.0879	2.1155	2.6841	0.5686
100527940	3382.0	2228.0	10796.0	3.471	0.755	0.154	0.05	68.0	7.3	13.0	24.0	23.6179	7.7495	-6.1034	44.1401	50.2435	3.0477	2.3944	0.0914	2.1838	2.6134	0.4295
