participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1916.0	1286.0	3590.0	2.646	0.722	0.133	0.034	26.0	3.0	4.0	5.0	24.6701	7.4524	-5.7333	41.3708	47.104	3.3104	2.3986	0.2263	2.0847	3.6682	1.5835
8454119	2059.0	1278.0	3736.0	2.561	0.846	0.146	0.058	42.0	5.4	4.0	6.0	21.6867	9.4665	-27.8338	56.3827	84.2165	2.2909	2.4112	0.1191	2.1745	2.8527	0.6782
11407866	1697.0	1208.0	4165.0	3.057	0.638	0.124	0.027	23.0	1.9	4.0	5.0	26.247	6.1558	-5.0844	45.6971	50.7815	4.2638	2.433	0.284	2.1402	4.6983	2.5581
11574123	1632.0	1128.0	3517.0	2.696	0.684	0.137	0.034	24.0	2.7	4.0	6.0	24.5862	6.6423	-5.7074	46.176	51.8835	3.7015	2.3228	0.0615	2.2166	2.6171	0.4006
16684978	1751.0	1164.0	3281.0	2.56	0.757	0.139	0.05	29.0	3.6	4.0	5.0	21.8621	8.9388	-19.185	42.7863	61.9713	2.4457	2.4583	0.2045	2.2179	4.2168	1.9989
25354225	1501.0	1035.0	4031.0	3.166	0.772	0.146	0.041	30.0	2.8	4.0	6.0	24.641	8.502	-15.345	44.9655	60.3104	2.8982	2.2987	0.1075	2.1046	2.6939	0.5893
25811472	1751.0	1185.0	4093.0	3.038	0.753	0.135	0.039	26.0	3.2	4.0	5.0	25.2188	7.2136	-11.9055	43.69	55.5955	3.496	2.5056	0.3495	2.2291	4.5774	2.3483
27876862	4778.0	3247.0	8949.0	2.526	0.632	0.136	0.032	64.0	6.6	3.0	4.0	23.091	6.6778	-12.0367	40.344	52.3808	3.4579	2.3919	0.277	1.9058	3.2126	1.3068
29811890	1790.0	1196.0	4039.0	3.116	0.757	0.139	0.033	31.0	2.5	4.0	5.0	26.286	8.7024	-13.74	46.4291	60.1691	3.0205	2.3492	0.2966	2.0628	3.8157	1.7529
31361606	1618.0	1126.0	3216.0	2.625	0.638	0.133	0.034	22.0	2.2	4.0	5.0	24.2402	7.0931	-3.9441	41.7052	45.6493	3.4174	2.3209	0.2811	1.9935	3.6263	1.6328
32938469	1557.0	1094.0	4228.0	3.149	0.71	0.139	0.042	22.0	2.6	4.0	5.0	21.6602	8.3923	-3.4182	42.0941	45.5123	2.5809	2.5835	0.386	2.1726	4.6543	2.4817
36895554	1490.0	1019.0	3830.0	3.015	0.738	0.134	0.046	31.0	3.2	4.0	6.0	23.7821	6.7045	-7.5434	47.913	55.4564	3.5472	2.2071	0.1016	1.9496	2.5296	0.58
37329051	1558.0	1061.0	3853.0	2.927	0.778	0.151	0.055	39.0	3.4	4.0	6.0	21.9357	8.3949	-16.4975	42.4449	58.9425	2.613	2.4684	0.1448	2.1442	2.8256	0.6815
37835493	5733.0	3980.0	11749.0	2.542	0.554	0.126	0.026	68.0	6.2	3.0	4.0	23.5871	5.034	1.5858	39.0637	37.4779	4.6856	2.5798	0.216	2.1119	3.3682	1.2563
43606631	1739.0	1123.0	2782.0	2.141	0.565	0.144	0.057	43.0	4.2	4.0	6.0	21.7218	7.79	-9.6144	39.722	49.3364	2.7884	2.2749	0.0713	2.1355	2.5099	0.3744
49408975	1525.0	1097.0	3960.0	2.995	0.788	0.16	0.052	35.0	3.3	4.0	6.0	22.1166	8.143	-20.405	41.2324	61.6374	2.716	2.2926	0.1333	2.0915	2.697	0.6055
51217255	1631.0	1119.0	3854.0	3.062	0.617	0.141	0.036	35.0	2.5	4.0	5.0	24.89	6.7112	-5.4233	41.1374	46.5607	3.7087	2.1953	0.2358	1.8936	3.4125	1.5189
52306425	2149.0	1485.0	4303.0	2.686	0.559	0.145	0.035	38.0	3.2	4.0	5.0	24.7319	6.9506	-7.2471	43.9648	51.212	3.5582	2.4142	0.1578	2.2068	3.8133	1.6065
52835891	1598.0	1118.0	4038.0	3.08	0.691	0.134	0.038	24.0	2.9	4.0	5.0	25.5102	8.3969	-13.6818	47.9001	61.5819	3.038	2.2286	0.1925	1.9609	3.4604	1.4995
55710183	1868.0	1259.0	3649.0	2.673	0.774	0.126	0.035	28.0	2.7	4.0	5.0	23.9147	7.0236	-5.0204	42.9451	47.9655	3.4049	2.39	0.2141	2.1489	3.3269	1.178
56162563	1976.0	1336.0	4190.0	2.758	0.647	0.138	0.036	32.0	3.1	4.0	5.0	25.6682	7.4034	-1.6673	45.4462	47.1135	3.4671	2.2812	0.1661	2.0355	3.3837	1.3482
60021964	2044.0	1326.0	4786.0	2.998	0.659	0.133	0.038	33.0	3.3	4.0	5.0	24.0433	8.1978	-38.9716	43.9041	82.8757	2.9329	2.4735	0.3478	2.1009	4.4435	2.3426
62582335	1721.0	1183.0	3876.0	2.646	0.692	0.151	0.047	35.0	3.7	4.0	6.0	21.5959	8.043	-14.3924	38.2366	52.629	2.685	2.3406	0.1357	2.1195	2.7287	0.6092
