participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1747.0	1145.0	3496.0	2.519	0.714	0.164	0.062	58.0	5.0	4.0	6.0	21.0732	9.2168	-25.1021	42.128	67.2301	2.2864	2.3064	0.1545	2.0206	2.8177	0.7971
8454119	7259.0	4849.0	14652.0	2.62	0.62	0.127	0.032	96.0	8.9	3.0	4.0	24.4338	7.349	-9.5231	52.9329	62.456	3.3248	2.8669	0.3822	2.2548	4.0015	1.7467
11407866	1824.0	1245.0	4421.0	2.851	0.69	0.127	0.034	33.0	2.6	4.0	6.0	24.7879	7.4839	-2.5741	45.6721	48.2462	3.3122	2.3117	0.1403	2.0319	2.6458	0.6138
11574123	4902.0	3331.0	10198.0	2.749	0.596	0.122	0.026	58.0	5.2	3.0	4.0	26.3082	5.8839	-0.0149	44.79	44.805	4.4712	2.6598	0.2599	2.2745	3.4075	1.133
16684978	1331.0	919.0	2755.0	2.536	0.606	0.177	0.066	38.0	3.9	4.0	6.0	21.4428	8.6318	-11.7462	43.8062	55.5524	2.4842	2.3749	0.1203	2.1947	2.8595	0.6647
25354225	5053.0	3391.0	12193.0	3.067	0.638	0.109	0.025	51.0	5.0	3.0	4.0	25.3027	6.2454	-7.1229	47.0552	54.1781	4.0514	2.8488	0.2247	2.336	3.6423	1.3063
25811472	1899.0	1283.0	4245.0	2.992	0.835	0.148	0.042	36.0	3.5	4.0	6.0	22.0188	8.9581	-33.8248	40.276	74.1008	2.458	2.374	0.1284	2.1954	2.8835	0.6881
27876862	2552.0	1771.0	5919.0	2.785	0.652	0.136	0.031	40.0	3.2	37.0	55.0	22.3059	6.1694	-3.0443	43.477	46.5214	3.6155	2.5712	0.1224	2.2168	2.879	0.6622
29811890	1836.0	1249.0	4191.0	2.854	0.731	0.142	0.038	44.0	3.0	4.0	6.0	23.1987	8.9245	-17.064	53.1227	70.1867	2.5994	2.2442	0.1418	1.9734	2.612	0.6386
31361606	1890.0	1244.0	4008.0	2.69	0.589	0.146	0.041	35.0	2.9	4.0	6.0	23.0225	7.0215	-21.4535	43.2604	64.7138	3.2789	2.2935	0.1593	2.0819	2.8121	0.7301
32938469	1549.0	1073.0	3780.0	2.911	0.879	0.173	0.066	35.0	4.5	4.0	6.0	21.1085	8.2063	-7.1233	42.1088	49.2321	2.5722	2.4115	0.1877	2.0186	2.9572	0.9386
36895554	5497.0	3749.0	12403.0	2.764	0.59	0.128	0.03	81.0	6.6	3.0	4.0	24.9552	6.0248	-9.8833	45.4904	55.3737	4.1421	2.5686	0.2545	2.2039	3.2462	1.0423
37329051	5128.0	3615.0	11950.0	2.796	0.622	0.129	0.03	79.0	6.4	3.0	4.0	25.9362	6.2946	-2.7868	47.6788	50.4655	4.1204	2.8403	0.2339	2.3332	3.6712	1.338
37835493	3512.0	2346.0	7908.0	2.845	0.692	0.136	0.041	58.0	5.7	37.0	55.0	21.588	6.8716	-33.8966	88.9792	122.8758	3.1416	2.6364	0.1974	2.2384	2.9873	0.7489
43606631	5198.0	3461.0	9197.0	2.4	0.514	0.125	0.028	62.0	6.0	3.0	4.0	22.4927	6.0676	-14.6574	43.1586	57.8159	3.707	2.6428	0.2396	2.313	3.3218	1.0088
49408975	4896.0	3336.0	12016.0	3.032	0.683	0.127	0.028	62.0	5.9	3.0	4.0	23.8145	5.4876	1.9551	41.3094	39.3543	4.3397	2.6694	0.2465	2.2036	3.3258	1.1223
51217255	1778.0	1161.0	3830.0	2.71	0.674	0.136	0.032	37.0	2.5	4.0	6.0	22.233	7.1347	-2.037	39.7868	41.8237	3.1162	2.2267	0.0807	2.0102	2.5485	0.5384
52306425	2074.0	1343.0	3945.0	2.427	0.65	0.151	0.053	45.0	4.7	4.0	6.0	22.6194	8.1459	-13.4388	49.6967	63.1355	2.7768	2.3859	0.0758	2.2138	2.7045	0.4907
52835891	1618.0	1142.0	3870.0	2.622	0.699	0.16	0.049	38.0	3.8	4.0	6.0	22.0674	8.1795	-9.3245	47.4135	56.738	2.6979	2.2068	0.162	1.903	2.5988	0.6958
55710183	1583.0	1128.0	3605.0	2.593	0.691	0.138	0.033	31.0	2.1	4.0	6.0	23.5613	7.477	-22.1105	42.8271	64.9375	3.1512	2.3466	0.0881	2.12	2.5873	0.4673
56162563	1862.0	1260.0	3863.0	2.613	0.699	0.141	0.042	34.0	3.6	4.0	6.0	24.3591	9.2123	-59.366	47.005	106.3709	2.6442	2.2082	0.1412	1.982	2.5711	0.5891
60021964	1925.0	1283.0	4465.0	2.837	0.692	0.135	0.036	42.0	2.6	4.0	6.0	22.985	7.7103	-13.0847	40.0713	53.156	2.9811	2.3478	0.1552	2.0153	2.7191	0.7039
62582335	4430.0	3161.0	10868.0	3.03	0.564	0.128	0.03	56.0	5.2	3.0	4.0	26.3909	5.8543	-9.5266	45.2105	54.7371	4.508	2.5667	0.1401	2.2499	3.2732	1.0234
65198031	1772.0	1177.0	3556.0	2.652	0.704	0.137	0.048	36.0	3.7	4.0	6.0	23.6994	7.8656	-12.9431	45.0137	57.9569	3.013	2.215	0.0947	2.0339	2.7689	0.735
70214854	4556.0	3091.0	9490.0	2.583	0.561	0.126	0.026	53.0	4.9	3.0	4.0	28.8449	6.357	1.7206	48.5135	46.7929	4.5375	2.5092	0.1803	2.1943	3.1363	0.942
71851847	1845.0	1259.0	4482.0	2.985	0.778	0.147	0.043	39.0	3.5	4.0	6.0	23.5514	8.6727	-38.5818	48.6177	87.1994	2.7156	2.2959	0.1551	1.9675	2.6947	0.7272
74920331	1755.0	1236.0	4156.0	2.765	0.572	0.14	0.028	31.0	2.0	4.0	6.0	24.3363	6.8261	-34.4528	41.1581	75.6109	3.5652	2.3198	0.1219	2.0847	2.64	0.5553
77390767	5379.0	3685.0	10819.0	2.659	0.575	0.115	0.025	60.0	5.8	3.0	4.0	24.9881	6.2437	-17.1216	43.6945	60.8161	4.0021	2.5107	0.2407	2.0782	3.2262	1.1479
78982423	5034.0	3396.0	10335.0	2.786	0.566	0.13	0.028	56.0	5.8	3.0	4.0	23.8529	5.6305	4.1953	43.9676	39.7723	4.2363	2.4751	0.2484	2.0672	3.4409	1.3737
80982198	1907.0	1354.0	4242.0	2.706	0.761	0.153	0.055	50.0	4.5	4.0	6.0	22.8417	8.7023	-23.456	51.161	74.617	2.6248	2.4701	0.113	2.2129	2.9045	0.6916
82699044	1860.0	1213.0	3847.0	2.576	0.658	0.14	0.041	37.0	3.0	4.0	6.0	22.1026	7.6788	-13.0652	45.279	58.3442	2.8784	2.358	0.0876	2.1767	2.6803	0.5036
84407714	1649.0	1164.0	4153.0	2.92	0.663	0.145	0.036	34.0	2.6	4.0	6.0	23.2066	6.5763	-30.8034	40.1174	70.9208	3.5288	2.2002	0.0812	2.0022	2.3781	0.3759
86226939	5063.0	3441.0	10990.0	2.832	0.633	0.128	0.03	66.0	5.9	3.0	4.0	23.1724	5.629	-9.9364	43.083	53.0194	4.1166	2.6354	0.2606	2.1097	3.4465	1.3368
93800202	1428.0	1003.0	3310.0	2.658	0.754	0.163	0.058	32.0	3.8	4.0	6.0	21.4534	8.6374	-12.5222	48.3725	60.8947	2.4838	2.3113	0.1734	2.0621	2.7698	0.7078
97005004	1893.0	1302.0	4527.0	2.798	0.654	0.137	0.042	37.0	3.1	4.0	6.0	23.8693	8.4211	-18.6827	59.274	77.9567	2.8345	2.3779	0.2257	2.0122	2.9321	0.9199
100527940	1663.0	1130.0	4214.0	2.937	0.782	0.147	0.055	38.0	4.3	4.0	6.0	23.3052	7.7353	-14.1937	47.2399	61.4337	3.0129	2.3036	0.0686	2.1783	2.5645	0.3862
103652366	1744.0	1142.0	3732.0	2.653	0.803	0.145	0.051	39.0	4.0	4.0	6.0	20.6908	8.5778	-27.7618	45.3525	73.1143	2.4121	2.3405	0.0874	2.1971	2.6952	0.4981
105914514	2255.0	1452.0	4305.0	2.565	0.931	0.15	0.06	40.0	5.7	4.0	6.0	15.1243	8.268	-77.9346	44.5267	122.4613	1.8293	2.302	0.299	1.8193	2.9679	1.1486
107578676	1799.0	1198.0	3978.0	2.79	0.67	0.154	0.05	45.0	3.9	4.0	6.0	24.9942	8.6221	-23.1548	43.8699	67.0247	2.8989	2.3562	0.1182	2.1417	2.6654	0.5238
