participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	5998.0	4042.0	11817.0	2.658	0.531	0.127	0.025	72.0	5.9	3.0	4.0	24.2227	5.6133	-5.4917	49.2962	54.7879	4.3152	2.5687	0.2539	2.1601	3.4102	1.2501
8454119	4413.0	2885.0	9963.0	2.991	0.694	0.127	0.036	74.0	6.3	37.0	55.0	22.0595	7.1263	-23.7527	39.7337	63.4864	3.0955	2.9203	0.1533	2.5707	3.3234	0.7526
11407866	6004.0	4186.0	14467.0	2.981	0.676	0.126	0.029	81.0	7.0	3.0	4.0	27.6731	5.8363	3.25	49.5738	46.3238	4.7415	2.5576	0.2751	2.1705	3.4286	1.2581
11574123	3326.0	2241.0	7162.0	2.75	0.58	0.121	0.03	48.0	4.3	37.0	55.0	21.3245	5.7819	-2.4124	45.4854	47.8978	3.6881	2.6443	0.1571	2.2754	3.0152	0.7398
16684978	5014.0	3446.0	10928.0	2.844	0.58	0.13	0.03	59.0	6.1	3.0	4.0	23.7306	5.6879	-17.2891	45.8862	63.1752	4.1721	2.5927	0.2695	2.1248	3.1811	1.0563
25354225	3242.0	2134.0	7108.0	2.9	0.668	0.129	0.035	55.0	4.6	37.0	55.0	21.1753	6.676	-4.2947	45.8125	50.1072	3.1718	2.6906	0.1159	2.3438	2.9808	0.637
25811472	6419.0	4470.0	15781.0	3.107	0.664	0.126	0.027	82.0	7.3	3.0	4.0	25.0987	5.8836	-19.9364	56.5812	76.5175	4.2659	2.8482	0.3859	2.3255	3.8249	1.4994
27876862	2738.0	1892.0	5682.0	2.65	0.624	0.134	0.03	45.0	3.2	29.0	56.0	20.897	6.3144	-23.2094	43.4282	66.6376	3.3094	2.5061	0.1472	2.2345	2.7578	0.5233
29811890	6049.0	3757.0	11668.0	2.891	0.656	0.124	0.038	83.0	9.8	3.0	4.0	24.0717	8.4571	-27.6271	51.8876	79.5147	2.8463	2.545	0.2641	2.1373	3.5338	1.3964
31361606	5743.0	3923.0	12121.0	2.7	0.636	0.13	0.028	70.0	6.7	3.0	4.0	24.3318	5.7405	-1.4015	44.1825	45.5839	4.2387	2.559	0.2894	2.0107	3.5181	1.5074
32938469	6237.0	4158.0	11276.0	2.425	0.631	0.126	0.038	88.0	9.9	3.0	4.0	22.5536	7.3766	-5.6626	46.2019	51.8645	3.0574	2.867	0.2226	2.1841	3.5029	1.3188
36895554	2902.0	2039.0	6757.0	2.835	0.654	0.147	0.039	55.0	4.2	37.0	55.0	21.7709	7.2738	-21.4463	44.3522	65.7984	2.9931	2.5368	0.1361	2.125	2.8128	0.6877
37329051	3315.0	2279.0	8051.0	3.086	0.58	0.14	0.034	51.0	4.7	37.0	55.0	22.9475	6.5313	-17.8518	44.2698	62.1216	3.5135	2.9172	0.1037	2.5268	3.3303	0.8036
37835493	3431.0	2280.0	6952.0	2.61	0.564	0.13	0.033	60.0	4.6	29.0	56.0	20.6248	5.8232	-3.6517	38.772	42.4237	3.5419	2.6123	0.1203	2.2812	2.8246	0.5434
43606631	3258.0	2096.0	6497.0	2.584	0.567	0.123	0.031	50.0	4.2	37.0	55.0	21.786	6.3132	-20.2874	44.3366	64.624	3.4509	2.6748	0.1787	2.3218	3.0912	0.7694
49408975	3192.0	2190.0	7180.0	2.877	0.611	0.126	0.029	47.0	3.8	37.0	55.0	21.6958	6.1383	-12.9514	44.3217	57.2731	3.5345	2.7251	0.1794	2.3753	3.2903	0.915
51217255	5174.0	3521.0	11289.0	2.909	0.569	0.117	0.023	50.0	4.7	3.0	4.0	26.9561	5.0037	0.1606	47.0928	46.9322	5.3872	2.469	0.2791	1.9846	3.438	1.4534
52306425	7260.0	4680.0	13616.0	2.657	0.528	0.119	0.027	83.0	7.6	3.0	4.0	23.8509	6.8393	-4.2368	41.4878	45.7246	3.4873	2.7307	0.2944	2.2401	3.5968	1.3567
52835891	4855.0	3347.0	11246.0	2.772	0.669	0.135	0.033	72.0	6.9	3.0	4.0	25.1712	5.9774	-2.3625	42.5397	44.9022	4.2111	2.56	0.2025	2.0973	3.3444	1.2471
55710183	5521.0	3851.0	11903.0	2.611	0.654	0.13	0.03	83.0	6.9	3.0	4.0	24.2694	6.3397	-8.2752	46.8987	55.1739	3.8282	2.7938	0.284	2.2628	3.472	1.2092
56162563	5431.0	3767.0	12190.0	2.69	0.596	0.132	0.031	85.0	6.8	3.0	4.0	26.6775	6.0426	7.0998	49.6678	42.568	4.4149	2.545	0.2522	2.0959	3.4535	1.3576
60021964	5895.0	4068.0	14012.0	2.896	0.67	0.134	0.03	85.0	7.5	3.0	4.0	25.6497	5.9567	-1.2677	43.1339	44.4016	4.306	2.6853	0.274	2.1981	3.5548	1.3567
62582335	3128.0	2131.0	7183.0	2.796	0.675	0.13	0.034	49.0	4.5	37.0	55.0	19.5528	6.4425	-51.282	43.7723	95.0543	3.035	2.6889	0.0861	2.4843	2.9566	0.4723
65198031	5024.0	3386.0	10709.0	2.744	0.595	0.128	0.03	63.0	6.1	3.0	4.0	21.8827	6.2498	1.5607	46.7621	45.2015	3.5013	2.5361	0.2287	2.1511	3.4864	1.3353
70214854	3069.0	2039.0	6163.0	2.747	0.552	0.132	0.031	37.0	3.8	37.0	55.0	24.5245	6.1121	-6.7959	49.148	55.9439	4.0125	2.6642	0.0853	2.3518	2.8236	0.4718
71851847	5246.0	3585.0	11765.0	2.972	0.634	0.129	0.026	62.0	5.8	3.0	4.0	28.9716	5.4398	5.0073	46.0966	41.0893	5.3258	2.4928	0.2479	2.035	3.278	1.2429
74920331	5774.0	3919.0	12116.0	2.814	0.547	0.117	0.021	55.0	5.0	3.0	4.0	25.0353	4.8602	7.8165	39.8834	32.067	5.1511	2.5827	0.2716	2.1084	3.2091	1.1006
77390767	3318.0	2250.0	6225.0	2.653	0.595	0.128	0.029	48.0	3.9	37.0	55.0	23.2429	6.7677	-8.2078	48.0504	56.2582	3.4344	2.6062	0.1213	2.2492	2.8141	0.5649
78982423	2987.0	1965.0	6315.0	2.635	0.677	0.129	0.031	46.0	4.2	37.0	55.0	21.1699	6.365	-12.5375	43.3271	55.8647	3.326	2.6166	0.1529	2.2395	2.9676	0.7281
80982198	5793.0	4047.0	14449.0	2.842	0.664	0.134	0.034	99.0	8.4	3.0	4.0	26.6127	6.2415	-8.8751	45.497	54.3721	4.2638	2.8265	0.2998	2.2687	3.7287	1.46
82699044	6513.0	4436.0	13265.0	2.631	0.53	0.127	0.027	82.0	7.1	3.0	4.0	23.9827	6.1392	2.0385	46.2629	44.2244	3.9065	2.6953	0.2615	2.2697	3.4104	1.1408
