participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3531.0	2371.0	7063.0	2.699	0.53	0.13	0.029	46.0	4.2	37.0	55.0	23.1366	5.9061	-5.5387	43.4742	49.0129	3.9174	2.6441	0.1528	2.2776	2.9641	0.6865
8454119	4466.0	2954.0	9408.0	2.836	0.599	0.12	0.029	57.0	4.8	29.0	56.0	22.1442	5.8382	-6.2174	41.8125	48.0299	3.793	2.9772	0.2231	2.5281	3.4654	0.9372
11407866	3445.0	2366.0	8623.0	3.156	0.593	0.129	0.029	49.0	3.7	37.0	55.0	23.1226	5.8475	3.5181	40.5622	37.0441	3.9543	2.8007	0.1468	2.2721	3.2289	0.9568
11574123	3859.0	2549.0	8328.0	2.81	0.602	0.123	0.027	52.0	4.0	29.0	56.0	21.5135	5.7493	0.2839	44.53	44.2461	3.7419	2.684	0.1449	2.2119	2.9685	0.7566
16684978	2932.0	2039.0	6116.0	2.639	0.566	0.14	0.038	42.0	4.4	37.0	55.0	20.7887	6.3388	-16.933	42.6175	59.5505	3.2796	2.8005	0.1513	2.4859	3.0824	0.5965
25354225	3900.0	2691.0	8699.0	2.944	0.747	0.136	0.037	67.0	6.7	29.0	56.0	19.9943	7.2832	-18.5222	39.6138	58.136	2.7453	2.8142	0.1454	2.434	3.0048	0.5708
25811472	3707.0	2520.0	8645.0	3.09	0.639	0.126	0.03	44.0	4.9	37.0	55.0	22.6525	5.5413	1.6846	40.6871	39.0024	4.0879	2.8518	0.1543	2.4205	3.1901	0.7696
27876862	335.0	218.0	597.0	2.569	0.368	0.135	0.029	4.0	0.4	48.0	79.0	17.0152	4.4528	6.3682	29.5394	23.1712	3.8212	4.2632	0.1188	4.021	4.417	0.3961
29811890	4051.0	2720.0	9315.0	2.924	0.741	0.135	0.031	63.0	5.0	37.0	55.0	22.6151	6.4538	-1.7781	48.3222	50.1003	3.5041	2.9151	0.2083	2.3055	3.2753	0.9699
31361606	2417.0	1638.0	5459.0	2.907	0.66	0.127	0.037	34.0	3.7	37.0	55.0	21.4469	7.1621	-55.9253	45.2222	101.1475	2.9945	2.4771	0.0605	2.3362	2.637	0.3008
32938469	2950.0	2029.0	7286.0	3.068	0.594	0.137	0.037	52.0	4.4	37.0	55.0	22.2094	6.8902	-10.142	50.0923	60.2343	3.2233	2.773	0.2282	2.3062	3.2162	0.91
36895554	3057.0	2068.0	6293.0	2.757	0.603	0.127	0.032	42.0	3.6	29.0	56.0	20.4635	6.4912	-34.5353	41.5805	76.1157	3.1525	2.5735	0.2028	2.2048	2.9348	0.7301
37329051	3680.0	2607.0	8298.0	2.738	0.555	0.136	0.036	66.0	5.1	29.0	56.0	20.8751	6.0024	-11.3595	44.4504	55.8098	3.4778	2.7749	0.1238	2.3533	3.0777	0.7244
37835493	486.0	276.0	644.0	2.207	0.424	0.118	0.031	6.0	0.5	48.0	79.0	14.7669	4.861	-1.3052	30.0581	31.3633	3.0379	4.6482	0.1528	4.3604	4.9181	0.5577
43606631	3537.0	2329.0	7317.0	2.619	0.588	0.143	0.032	60.0	4.5	29.0	56.0	21.2719	5.7921	-10.5581	39.055	49.6131	3.6726	2.5794	0.1018	2.1711	2.847	0.6759
49408975	3117.0	2097.0	7190.0	2.891	0.652	0.132	0.032	59.0	4.4	29.0	56.0	20.3615	5.5344	-9.7073	39.5401	49.2474	3.6791	2.4833	0.1654	2.1007	2.8363	0.7356
51217255	2807.0	1858.0	6176.0	2.797	0.582	0.129	0.035	43.0	3.8	36.0	55.0	22.0395	6.0092	-27.7362	43.8273	71.5634	3.6676	2.7722	0.1325	2.4423	3.0803	0.6379
52306425	3701.0	2518.0	7424.0	2.597	0.597	0.131	0.031	65.0	4.9	37.0	55.0	22.0156	6.9682	-32.3285	43.0424	75.371	3.1594	2.714	0.213	2.278	3.1879	0.9099
