participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3362.0	2287.0	6566.0	2.683	0.551	0.128	0.03	46.0	4.2	29.0	56.0	22.1938	5.7081	0.7593	41.4833	40.724	3.8881	2.6703	0.2411	2.1755	3.067	0.8915
8454119	574.0	353.0	960.0	2.424	0.386	0.128	0.027	8.0	0.6	48.0	79.0	19.2067	5.3814	5.1825	35.2202	30.0377	3.5691	5.5335	0.1973	5.0772	5.8425	0.7653
11407866	3592.0	2409.0	9137.0	3.111	0.662	0.125	0.026	50.0	3.6	29.0	56.0	21.9909	5.9386	-1.3852	44.2352	45.6204	3.703	2.5814	0.1438	2.2639	2.9904	0.7265
11574123	537.0	341.0	892.0	2.423	0.593	0.141	0.043	8.0	1.0	48.0	79.0	17.3061	7.937	-57.1139	46.1627	103.2766	2.1804	5.1108	0.3104	4.4692	5.4437	0.9746
16684978	2785.0	1910.0	6269.0	2.748	0.739	0.153	0.04	55.0	4.8	29.0	56.0	20.5517	5.9326	-9.0894	40.1526	49.242	3.4642	2.6078	0.0516	2.4515	2.736	0.2846
25354225	514.0	339.0	1028.0	2.903	0.612	0.142	0.047	7.0	1.1	48.0	79.0	18.0153	6.4521	-7.711	36.5265	44.2375	2.7922	5.1265	0.3114	4.4397	5.5391	1.0994
25811472	3896.0	2609.0	8564.0	2.974	0.687	0.127	0.04	113.0	8.0	29.0	56.0	21.1044	5.7235	-17.2235	37.6476	54.8711	3.6873	2.8566	0.1656	2.4592	3.2346	0.7754
27876862	375.0	236.0	570.0	2.607	0.629	0.154	0.039	6.0	0.7	39.0	80.0	17.3457	5.5553	2.793	30.095	27.302	3.1223	4.1513	0.0407	4.0912	4.3001	0.2088
29811890	3948.0	2750.0	9818.0	2.994	0.754	0.135	0.032	69.0	5.2	29.0	56.0	21.5985	6.3831	-5.7396	55.7973	61.5369	3.3837	2.9153	0.2342	2.2894	3.1977	0.9083
31361606	2473.0	1697.0	4940.0	2.665	0.65	0.129	0.03	37.0	3.0	29.0	56.0	20.3266	6.5469	-69.8587	41.7015	111.5602	3.1048	2.4715	0.0829	2.2255	2.6372	0.4116
32938469	2962.0	2056.0	7038.0	2.941	0.673	0.145	0.038	52.0	4.5	29.0	56.0	19.0763	7.1787	-12.6743	43.24	55.9143	2.6573	2.7842	0.224	2.1216	3.109	0.9874
36895554	433.0	277.0	777.0	2.724	0.71	0.141	0.032	6.0	0.6	48.0	79.0	16.3221	6.1295	-3.077	33.0438	36.1208	2.6629	4.9382	0.2384	4.4624	5.2331	0.7707
37329051	449.0	278.0	809.0	2.835	0.576	0.141	0.035	6.0	0.6	48.0	79.0	19.3312	5.3718	1.0812	32.6079	31.5266	3.5987	5.2383	0.2735	4.7245	5.5389	0.8144
37835493	510.0	276.0	663.0	2.183	0.322	0.098	0.028	4.0	0.4	40.0	80.0	14.3084	5.3158	-1.0544	28.3215	29.3759	2.6917	4.7563	0.115	4.5515	5.0388	0.4873
43606631	471.0	281.0	670.0	2.142	0.407	0.113	0.025	4.0	0.4	48.0	79.0	15.922	5.0657	3.6641	33.7028	30.0387	3.1431	4.6935	0.1233	4.2445	4.8885	0.6441
49408975	449.0	265.0	829.0	2.733	0.584	0.152	0.062	29.0	1.5	48.0	79.0	16.2223	7.1511	-32.6106	30.9499	63.5605	2.2685	5.0886	0.1506	4.7945	5.2624	0.4679
51217255	3150.0	2148.0	7194.0	2.914	0.61	0.128	0.029	47.0	3.8	29.0	56.0	22.3877	5.9828	-0.6667	44.5597	45.2264	3.742	2.6998	0.238	2.1055	3.1051	0.9996
52306425	3279.0	2248.0	6814.0	2.625	0.564	0.138	0.032	63.0	4.1	29.0	56.0	21.8899	6.411	-12.9981	42.1199	55.118	3.4144	2.7367	0.2057	2.2533	3.0363	0.7829
52835891	3248.0	2175.0	7284.0	2.921	0.609	0.132	0.032	50.0	4.1	29.0	56.0	20.5042	6.3913	-18.6366	46.1188	64.7554	3.2082	2.5072	0.0869	2.2321	2.685	0.4529
55710183	3708.0	2459.0	7035.0	2.613	0.677	0.146	0.043	94.0	6.9	29.0	56.0	20.2092	7.0515	-73.3873	40.0258	113.413	2.8659	2.7341	0.1335	2.4148	3.0133	0.5986
56162563	4041.0	2727.0	8844.0	2.805	0.735	0.126	0.032	60.0	5.4	29.0	56.0	21.7242	6.3977	-6.0067	45.9068	51.9135	3.3956	2.7808	0.1786	2.3754	3.1575	0.7821
60021964	3496.0	2324.0	7862.0	2.95	0.702	0.117	0.027	45.0	3.5	29.0	56.0	22.4912	5.3473	-16.0902	42.6815	58.7718	4.2061	2.8993	0.1608	2.4091	3.2485	0.8394
62582335	473.0	291.0	804.0	2.661	0.556	0.153	0.04	8.0	0.7	48.0	79.0	16.8835	6.1929	-4.4318	34.0492	38.481	2.7263	4.5929	0.2462	4.1338	4.9114	0.7776
65198031	3306.0	2204.0	6226.0	2.658	0.567	0.128	0.028	46.0	4.0	29.0	56.0	21.3942	6.8619	-13.8218	43.8823	57.7041	3.1178	2.528	0.1935	2.0716	2.8538	0.7822
70214854	438.0	253.0	657.0	2.544	0.272	0.12	0.029	5.0	0.4	48.0	79.0	17.5026	4.8394	4.0699	36.9471	32.8772	3.6167	4.4516	0.1462	4.1119	4.6502	0.5383
71851847	3771.0	2518.0	8398.0	2.902	0.703	0.13	0.033	56.0	5.0	29.0	56.0	22.1763	6.4101	-3.5813	45.3048	48.886	3.4596	2.5668	0.1525	2.1513	2.9092	0.7578
74920331	3367.0	2293.0	7250.0	2.893	0.678	0.123	0.026	57.0	3.7	29.0	56.0	21.3767	5.5379	-14.0563	41.7698	55.8261	3.8601	2.6838	0.1599	2.1809	3.0866	0.9057
77390767	430.0	248.0	718.0	2.678	0.272	0.138	0.029	8.0	0.5	48.0	79.0	17.4364	5.3516	5.4049	37.4898	32.0849	3.2582	4.7021	0.1566	4.2988	4.9428	0.644
78982423	452.0	270.0	734.0	2.529	0.426	0.129	0.026	5.0	0.5	48.0	79.0	17.3292	4.6668	4.2471	28.1827	23.9356	3.7132	4.8061	0.1527	4.4628	5.0116	0.5488
80982198	3176.0	2180.0	7695.0	2.911	0.624	0.127	0.035	53.0	4.5	29.0	56.0	21.0467	6.5844	-22.48	42.9028	65.3828	3.1964	2.7169	0.1238	2.2971	3.0322	0.7351
82699044	3411.0	2301.0	7460.0	2.746	0.551	0.123	0.028	58.0	4.1	29.0	56.0	21.5129	6.0879	-22.613	41.1174	63.7304	3.5337	2.7163	0.1416	2.3039	3.0253	0.7213
84407714	3540.0	2408.0	7895.0	2.841	0.699	0.13	0.034	54.0	5.2	29.0	56.0	21.142	5.6182	-5.6854	37.8232	43.5086	3.7631	2.4876	0.1426	2.1717	2.7845	0.6128
86226939	452.0	295.0	795.0	2.698	0.399	0.132	0.03	5.0	0.5	48.0	79.0	14.9882	5.3874	-0.8544	31.9725	32.8269	2.7821	4.7349	0.2174	4.3728	5.0449	0.6722
93800202	3217.0	2103.0	7257.0	2.897	0.69	0.129	0.031	46.0	3.9	29.0	56.0	21.5694	5.3179	-7.8482	37.8147	45.6629	4.056	2.4907	0.1138	2.1548	2.8245	0.6697
97005004	3834.0	2533.0	8420.0	2.921	0.66	0.131	0.03	61.0	4.5	29.0	56.0	22.2107	6.8104	-53.2597	42.2437	95.5034	3.2613	2.8086	0.1666	2.3183	3.2992	0.9809
100527940	3436.0	2328.0	8045.0	2.958	0.632	0.125	0.027	47.0	3.9	29.0	56.0	22.2018	5.5637	-4.4998	37.7682	42.268	3.9905	2.9175	0.1665	2.4465	3.1703	0.7239
103652366	2707.0	1844.0	6810.0	3.011	0.64	0.134	0.034	44.0	3.3	29.0	56.0	20.2274	4.884	-2.8802	35.6846	38.5647	4.1416	2.6661	0.1597	2.3563	3.0165	0.6601
105914514	4635.0	3067.0	9496.0	2.833	0.669	0.132	0.037	62.0	7.0	29.0	56.0	17.7506	6.4499	-16.0966	39.2719	55.3684	2.7521	2.8301	0.4231	1.8745	3.5445	1.67
107578676	3737.0	2471.0	8796.0	3.002	0.669	0.129	0.033	58.0	5.0	29.0	56.0	22.68	6.351	-33.4386	52.0995	85.5381	3.5711	2.9379	0.1389	2.5822	3.1953	0.6131
