participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	528.0	332.0	927.0	2.409	0.543	0.11	0.026	5.0	0.5	40.0	80.0	14.887	5.0542	-24.1553	27.4925	51.6478	2.9455	4.8344	0.2136	4.5907	5.2158	0.6251
8454119	26.0	17.0	40.0	2.534	0.412	0.147	0.043	0.0	0.0	26.0	37.0	24.7243	4.0828	16.2719	31.1707	14.8987	6.0557	2.9799	0.272	2.6347	3.2383	0.6036
11407866	510.0	308.0	950.0	2.876	0.359	0.123	0.023	6.0	0.4	40.0	80.0	18.9113	4.8006	6.4322	33.9148	27.4825	3.9394	5.1237	0.2076	4.6943	5.4209	0.7265
11574123	17.0	12.0	32.0	2.523	0.35	0.126	0.025	0.0	0.0	26.0	37.0	25.8421	2.3233	19.162	28.9741	9.8121	11.1233	2.6121	0.0548	2.5438	2.6731	0.1293
16684978	439.0	260.0	673.0	2.501	0.521	0.137	0.032	6.0	0.6	40.0	80.0	18.0703	5.282	4.5593	33.3896	28.8303	3.4211	4.6133	0.0977	4.3985	4.8645	0.466
25354225	15.0	9.0	26.0	2.822	0.518	0.088	0.034	0.0	0.0	26.0	37.0	24.4938	5.1148	13.9	35.0491	21.1491	4.7888	2.7205	0.0508	2.586	2.7984	0.2124
25811472	581.0	375.0	1197.0	2.957	0.483	0.117	0.026	6.0	0.5	40.0	80.0	18.0006	5.3867	1.4929	31.7102	30.2173	3.3417	5.3714	0.0833	5.1739	5.5512	0.3773
27876862	47.0	33.0	83.0	2.675	0.365	0.095	0.017	0.0	0.0	20.0	38.0	24.9717	3.1554	17.1636	33.2314	16.0678	7.9138	2.6767	0.0308	2.6118	2.7137	0.1019
29811890	558.0	368.0	1350.0	3.16	0.482	0.119	0.023	5.0	0.5	40.0	80.0	20.0754	4.8169	6.8572	33.5556	26.6983	4.1677	5.518	0.2034	4.7763	5.8606	1.0842
31361606	413.0	265.0	656.0	2.405	0.363	0.119	0.019	4.0	0.2	39.0	80.0	18.8332	4.3582	8.8082	32.1648	23.3566	4.3213	4.5135	0.0842	4.3616	4.7311	0.3695
