participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	40.0	31.0	73.0	2.583	0.457	0.115	0.017	0.0	0.0	20.0	38.0	21.3998	6.3473	0.0	33.3771	33.3771	3.3715	2.9701	0.0958	2.6987	3.0307	0.332
8454119	4277.0	2891.0	9161.0	3.182	0.718	0.12	0.029	42.0	5.1	19.0	29.0	22.3126	5.8118	1.8172	41.3628	39.5456	3.8392	5.4137	0.4903	2.9513	6.2256	3.2743
11407866	62.0	43.0	99.0	2.736	0.283	0.121	0.016	0.0	0.0	20.0	38.0	23.9103	3.8774	14.3764	31.7561	17.3797	6.1666	2.6543	0.036	2.5291	2.7608	0.2317
11574123	4335.0	2864.0	9656.0	3.21	0.675	0.111	0.026	46.0	4.8	19.0	29.0	21.3923	6.199	-5.6814	42.2939	47.9753	3.4509	4.8123	0.645	2.8843	5.7077	2.8234
16684978	40.0	29.0	73.0	2.318	0.446	0.082	0.009	0.0	0.0	20.0	38.0	20.9381	3.7947	13.6778	32.1648	18.487	5.5177	2.666	0.011	2.6436	2.7054	0.0618
25354225	4161.0	2707.0	9024.0	3.293	0.662	0.102	0.031	43.0	4.7	19.0	29.0	21.9002	6.85	-24.5757	43.0469	67.6226	3.1971	4.8197	0.5487	2.6892	5.6292	2.9399
25811472	47.0	31.0	86.0	2.797	0.507	0.094	0.011	0.0	0.0	20.0	38.0	25.6418	4.2101	16.247	33.4943	17.2473	6.0905	3.0415	0.0529	2.9006	3.0987	0.1981
27876862	2260.0	1489.0	5006.0	3.293	0.669	0.124	0.029	26.0	2.9	16.0	30.0	21.9019	5.3376	3.8629	35.2559	31.393	4.1033	3.6664	0.4727	2.2009	4.3388	2.1378
29811890	51.0	32.0	88.0	2.706	0.692	0.087	0.01	0.0	0.0	20.0	38.0	21.5143	4.8989	9.257	32.5542	23.2973	4.3917	2.9823	0.1282	2.7209	3.1634	0.4425
31361606	43.0	27.0	53.0	2.173	0.437	0.075	0.009	0.0	0.0	20.0	38.0	19.47	5.1267	7.9907	32.8541	24.8634	3.7978	2.5711	0.0167	2.5361	2.6216	0.0854
