participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3118.0	2063.0	6594.0	3.138	0.63	0.12	0.033	33.0	4.5	16.0	30.0	20.7176	5.412	-15.0657	51.3772	66.4429	3.8281	4.5955	0.6647	2.4796	5.362	2.8825
8454119	6591.0	4394.0	11248.0	2.4	0.682	0.138	0.034	95.0	9.2	32.0	47.0	19.6344	6.1542	-10.9379	40.8091	51.7471	3.1904	3.2909	0.3621	2.4833	4.1898	1.7065
11407866	3581.0	2414.0	8730.0	3.389	0.671	0.11	0.024	36.0	3.3	16.0	30.0	20.6918	6.1244	-5.4615	39.7819	45.2434	3.3786	4.7818	0.7325	2.545	5.7409	3.1959
11574123	5535.0	3662.0	7986.0	2.1	0.538	0.137	0.032	74.0	7.5	32.0	47.0	18.574	5.8621	-1.853	37.509	39.3621	3.1685	2.8263	0.3225	2.2442	3.5926	1.3484
16684978	2559.0	1729.0	6246.0	3.366	0.75	0.132	0.048	40.0	5.9	16.0	30.0	19.948	6.6007	-14.8126	39.3353	54.1479	3.0221	4.3974	0.4656	2.465	4.8927	2.4278
25354225	5298.0	3405.0	8210.0	2.317	0.637	0.126	0.03	63.0	6.1	32.0	47.0	17.4396	6.1866	-34.4625	40.027	74.4895	2.8189	2.7056	0.1987	2.2161	3.1804	0.9643
25811472	3378.0	2238.0	8319.0	3.527	0.698	0.115	0.027	38.0	3.5	16.0	30.0	20.25	5.8694	-1.1074	52.2988	53.4062	3.4501	4.8397	0.6782	2.5882	5.8011	3.2129
27876862	3472.0	2274.0	4334.0	3.205	0.962	0.296	0.06	60.0	5.9	58.0	96.0	25.641599999999997	9.3207	-14.611400000000001	47.7461	62.3575	5.6139	5.4216999999999995	0.2724	4.921200000000001	5.93	1.0088
29811890	3112.0	2105.0	7289.0	3.362	0.594	0.114	0.028	31.0	3.6	16.0	30.0	20.6241	6.1636	-15.3838	40.2176	55.6014	3.3461	4.7717	1.0273	2.3677	6.1514	3.7837
31361606	2956.0	1935.0	6000.0	3.0	0.75	0.123	0.03	32.0	3.7	16.0	30.0	21.3459	5.4108	1.4224	37.8198	36.3974	3.9451	4.1859	0.5365	2.3963	4.9492	2.553
32938469	2933.0	2008.0	7002.0	3.291	0.73	0.118	0.035	32.0	4.3	16.0	30.0	21.0713	6.3985	-6.9976	54.8016	61.7992	3.2931	4.9195	0.7309	2.4787	5.6263	3.1475
36895554	4634.0	3046.0	7186.0	2.289	0.661	0.138	0.038	67.0	6.9	32.0	47.0	17.6712	5.92	-2.5933	35.3956	37.9889	2.985	2.6123	0.224	2.1371	3.1056	0.9685
37329051	4681.0	3162.0	8885.0	2.588	0.616	0.14	0.032	70.0	6.1	32.0	47.0	19.1274	6.033	-2.9273	38.5059	41.4332	3.1705	2.8242	0.161	2.4259	3.1512	0.7253
37835493	3954.0	2494.0	6314.0	3.2699999999999996	0.877	0.297	0.091	61.0	5.5	58.0	96.0	25.8084	8.2678	1.7512	51.5822	49.831	6.2412	5.4830000000000005	0.2046	4.950699999999999	5.8426	0.8918999999999999
43606631	4613.0	2983.0	6650.0	2.181	0.553	0.152	0.036	80.0	6.6	32.0	47.0	18.9634	5.8975	-5.5593	40.0902	45.6495	3.2155	2.5393	0.109	2.2738	2.8737	0.5999
49408975	4006.0	2715.0	6519.0	2.301	0.551	0.139	0.033	52.0	5.5	32.0	47.0	17.9363	5.5851	-5.6773	35.1866	40.8639	3.2114	2.7629	0.1722	2.4802	3.2104	0.7302
51217255	2900.0	1934.0	6577.0	3.286	0.754	0.114	0.028	30.0	3.4	16.0	30.0	21.052	5.867	-7.0668	39.1068	46.1736	3.5882	4.8768	0.726	2.3155	5.6678	3.3524
52306425	3600.0	2416.0	7755.0	3.18	0.699	0.126	0.029	44.0	4.5	16.0	30.0	19.3282	6.3104	-9.6505	39.1893	48.8398	3.0629	4.6502	0.7279	2.3631	5.4277	3.0646
52835891	2461.0	1656.0	5883.0	3.433	0.719	0.11	0.031	22.0	3.4	16.0	30.0	19.9824	6.554	-3.4546	40.5429	43.9975	3.0489	3.9251	0.5	2.4181	4.55	2.1319
55710183	3100.0	2011.0	7031.0	3.31	0.731	0.113	0.026	33.0	3.3	16.0	30.0	19.9789	5.2887	-2.945	39.0889	42.034	3.7776	4.6519	0.8047	2.3823	5.7505	3.3682
56162563	3282.0	2163.0	7559.0	3.312	0.721	0.106	0.023	27.0	3.1	16.0	30.0	22.0516	5.1968	1.5743	40.0029	38.4286	4.2433	4.8609	0.7496	2.3962	5.6808	3.2845
60021964	3338.0	2224.0	7827.0	3.454	0.649	0.115	0.03	41.0	3.7	16.0	30.0	20.6299	6.1309	-6.0184	40.5146	46.533	3.3649	4.6988	0.5285	2.6302	5.2764	2.6462
62582335	4916.0	3432.0	7697.0	2.251	0.635	0.137	0.034	72.0	6.6	32.0	47.0	18.0977	6.337	-4.6786	36.3942	41.0728	2.8559	2.7835	0.2215	2.3686	3.3355	0.9668
65198031	2600.0	1771.0	5935.0	3.059	0.777	0.109	0.025	22.0	2.6	16.0	30.0	20.3022	5.6312	-8.867	35.1835	44.0505	3.6053	4.2548	0.6173	2.4121	4.9585	2.5464
70214854	4919.0	3213.0	6774.0	2.017	0.571	0.138	0.033	72.0	6.7	32.0	47.0	18.8445	6.251	-4.551	42.3785	46.9295	3.0146	2.6066	0.127	2.3247	2.8327	0.5081
71851847	2890.0	1957.0	6271.0	3.2	0.542	0.128	0.031	35.0	4.1	16.0	30.0	21.3675	6.5134	-4.4986	42.3623	46.8609	3.2806	4.4899	0.6509	2.5158	5.2542	2.7384
74920331	2860.0	1962.0	6291.0	3.231	0.624	0.123	0.028	31.0	3.3	16.0	30.0	20.1855	5.0721	-3.0312	34.0485	37.0797	3.9797	4.4999	0.7103	2.3843	5.4488	3.0645
77390767	4829.0	3158.0	7366.0	2.176	0.558	0.133	0.032	69.0	6.3	32.0	47.0	18.6858	5.8187	-9.583	36.952	46.535	3.2113	2.7913	0.2169	2.3485	3.2713	0.9227
78982423	4889.0	3300.0	7088.0	2.093	0.57	0.138	0.03	69.0	6.0	32.0	47.0	18.1507	5.3635	-8.7074	37.5792	46.2866	3.3841	2.5906	0.1611	2.2346	3.0417	0.8071
80982198	3460.0	2316.0	8542.0	3.481	0.756	0.122	0.033	44.0	4.5	16.0	30.0	20.016	5.9454	-7.3139	35.5156	42.8295	3.3667	4.7979	0.7231	2.6008	5.6334	3.0326
82699044	3510.0	2327.0	8200.0	3.441	0.733	0.115	0.028	34.0	3.9	16.0	30.0	20.4465	5.5379	-2.9023	34.6371	37.5394	3.6921	4.5649	0.7663	2.5051	5.6731	3.168
84407714	2444.0	1634.0	6009.0	3.388	0.705	0.115	0.027	23.0	2.8	16.0	30.0	19.7239	5.3882	-5.3709	35.1795	40.5504	3.6605	4.2771	0.6192	2.3084	4.9476	2.6392
86226939	4554.0	2982.0	6423.0	2.081	0.548	0.133	0.032	62.0	5.7	32.0	47.0	17.5975	5.2268	-5.3538	36.5155	41.8693	3.3668	2.6334	0.2336	2.2994	3.3712	1.0718
93800202	2598.0	1745.0	6183.0	3.383	0.715	0.113	0.027	32.0	2.9	16.0	30.0	20.4956	6.2602	-7.4479	38.8138	46.2616	3.2739	4.3978	0.5747	2.1934	5.1543	2.9609
