participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	5773.0	3735.0	9212.0	2.325	0.508	0.125	0.026	76.0	6.2	35.0	51.0	19.6486	5.653	-10.6559	36.1223	46.7782	3.4758	2.9354	0.2816	2.2945	3.4863	1.1918
8454119	6230.0	3952.0	9405.0	2.357	0.63	0.131	0.036	87.0	9.5	27.0	52.0	19.6187	7.2019	-33.9712	45.5853	79.5565	2.7241	2.9514	0.4525	2.3742	3.8046	1.4304
11407866	5953.0	3733.0	11091.0	2.638	0.554	0.127	0.03	74.0	7.4	35.0	51.0	21.0919	6.1995	-8.8601	46.5294	55.3895	3.4022	2.866	0.346	2.2316	3.3969	1.1654
11574123	4760.0	3043.0	7270.0	2.279	0.59	0.127	0.034	60.0	6.6	27.0	52.0	20.2834	6.3669	-10.1114	37.1979	47.3093	3.1858	2.7749	0.2842	2.3046	3.2099	0.9053
16684978	5709.0	3673.0	8736.0	2.301	0.503	0.144	0.037	85.0	9.0	35.0	51.0	19.9166	6.0179	-8.216	38.2238	46.4398	3.3096	3.0004	0.2849	2.3885	3.539	1.1505
25354225	5375.0	3374.0	9560.0	2.564	0.625	0.119	0.033	72.0	7.6	27.0	52.0	19.2466	6.2566	-4.4476	36.3708	40.8184	3.0762	3.1102	0.2118	2.6492	3.7031	1.054
25811472	6864.0	4392.0	11821.0	2.517	0.546	0.121	0.029	88.0	8.1	35.0	51.0	19.9166	6.4338	-4.5014	40.789	45.2904	3.0956	3.0767	0.39	2.2428	3.6925	1.4497
27876862	1521.0	972.0	2394.0	2.257	0.484	0.121	0.026	17.0	1.7	34.0	49.0	19.5042	5.8076	0.755	38.021	37.266	3.3584	2.8152	0.0877	2.623	3.0128	0.3898
29811890	8760.0	5438.0	12350.0	2.263	0.581	0.127	0.033	114.0	12.6	35.0	51.0	20.2459	7.9609	-46.2248	46.1291	92.3539	2.5432	3.0958	0.3608	2.3164	3.8617	1.5453
31361606	4111.0	2720.0	7069.0	2.382	0.544	0.131	0.03	58.0	5.0	35.0	51.0	19.3009	5.5443	-1.2334	40.9725	42.2058	3.4812	2.7135	0.1711	2.1837	3.1578	0.9741
32938469	6936.0	4400.0	10373.0	2.323	0.601	0.14	0.044	114.0	12.7	35.0	51.0	18.7439	8.0742	-38.0525	48.8632	86.9156	2.3215	3.0205	0.4299	2.1467	3.8646	1.7179
36895554	4427.0	2901.0	6946.0	2.229	0.607	0.134	0.035	59.0	6.2	27.0	52.0	17.7273	5.1748	-4.9644	34.1349	39.0993	3.4257	2.8616	0.3437	2.2677	3.5439	1.2763
37329051	3955.0	2528.0	6818.0	2.529	0.555	0.117	0.029	51.0	5.1	27.0	52.0	20.022	6.1242	-15.7589	36.04	51.799	3.2693	2.9784	0.3772	2.378	3.5696	1.1916
37835493	1787.0	1203.0	2766.0	2.106	0.442	0.124	0.026	20.0	1.8	34.0	49.0	17.9499	4.9094	3.0214	38.6087	35.5873	3.6562	2.8356	0.2561	2.3194	3.2273	0.9079
43606631	3835.0	2541.0	5561.0	2.146	0.497	0.14	0.03	58.0	4.4	27.0	52.0	19.4309	5.1977	-0.7221	37.1357	37.8579	3.7384	2.8537	0.1338	2.5782	3.2558	0.6775
49408975	3691.0	2412.0	6236.0	2.39	0.58	0.126	0.028	48.0	4.2	27.0	52.0	18.8906	4.9389	-4.5438	33.7481	38.292	3.8249	2.9246	0.1895	2.6138	3.4478	0.834
51217255	5606.0	3596.0	8579.0	2.299	0.526	0.133	0.032	72.0	7.4	34.0	51.0	20.6168	6.1911	-13.5076	51.2912	64.7988	3.3301	2.8893	0.2483	2.3883	3.4135	1.0252
52306425	6454.0	4274.0	10061.0	2.262	0.515	0.14	0.031	92.0	8.4	35.0	51.0	19.8526	5.6019	-5.8177	40.5073	46.3249	3.5439	3.1318	0.2758	2.4302	3.6359	1.2057
52835891	5427.0	3556.0	9138.0	2.426	0.543	0.124	0.028	70.0	6.4	35.0	51.0	19.9296	5.9241	-3.3023	41.6795	44.9819	3.3641	2.7862	0.2102	2.1729	3.2099	1.0371
55710183	7648.0	5036.0	12286.0	2.328	0.47	0.13	0.029	97.0	9.0	35.0	51.0	20.8679	5.155	0.9678	43.1889	42.2211	4.0481	3.0502	0.4008	2.233	3.6426	1.4096
