participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1446.0	866.0	2498.0	4.917999999999999	0.921	0.177	0.033	13.0	1.4000000000000001	82.0	140.0	30.1054	8.046299999999999	8.1374	59.0954	50.958	7.4676	4.7273	0.1535	4.4306	5.0703	0.6396999999999999
8454119	3631.0	2382.0	7421.0	2.867	0.455	0.121	0.026	49.0	3.6	40.0	61.0	24.1707	5.8551	2.6773	50.6033	47.926	4.1282	3.9207	0.1361	3.3471	4.1472	0.8001
11407866	1398.0	934.0	3226.0	5.787	1.029	0.20500000000000002	0.039	16.0	1.3	82.0	140.0	34.8706	7.5885	11.7377	55.780699999999996	44.0429	10.171299999999999	5.060700000000001	0.1379	4.7249	5.3639	0.6389
11574123	2865.0	2018.0	5759.0	2.6	0.556	0.124	0.027	34.0	3.1	32.0	62.0	23.8715	5.2521	-9.7641	38.0733	47.8374	4.5451	3.354	0.0816	3.1277	3.6171	0.4895
16684978	966.0	637.0	1893.0	4.899	1.0110000000000001	0.21100000000000002	0.044	8.0	1.0	82.0	140.0	29.7421	8.5262	5.3879	54.6834	49.295500000000004	7.0081	5.158	0.1362	4.9027	5.4940999999999995	0.5913999999999999
25354225	4811.0	3147.0	10701.0	2.913	0.602	0.128	0.03	77.0	5.7	40.0	61.0	21.6604	5.9248	-6.6443	47.3525	53.9968	3.6559	3.7217	0.1193	3.2764	4.0465	0.7701
25811472	1509.0	964.0	3019.0	5.1240000000000006	1.044	0.22799999999999998	0.051000000000000004	16.0	1.8	82.0	140.0	34.328	11.5287	1.1353	71.169	70.0339	6.1122	5.505000000000001	0.1313	5.268	5.8904	0.6223
27876862	2850.0	1895.0	5334.0	2.499	0.454	0.122	0.024	32.0	2.8	39.0	59.0	21.9089	4.6412	6.9993	42.8075	35.8082	4.7205	2.8281	0.1018	2.5747	3.0527	0.4779
29811890	1000.0	642.0	2036.0	5.622	0.9810000000000001	0.22399999999999998	0.043	10.0	0.8	82.0	140.0	37.160399999999996	9.3551	10.7607	62.2325	51.4718	8.088799999999999	4.836	0.1024	4.6879	5.2721	0.5842
31361606	3663.0	2446.0	7269.0	2.713	0.583	0.134	0.031	51.0	4.7	40.0	61.0	21.9477	5.4123	0.2448	46.2923	46.0475	4.0551	3.3027	0.1387	2.9268	3.8062	0.8794
32938469	5997.0	3514.0	9614.0	2.578	0.622	0.123	0.037	91.0	8.8	40.0	61.0	19.9447	8.5052	-6.6091	41.3549	47.964	2.345	3.7123	0.1102	3.3305	4.2713	0.9408
36895554	4779.0	3243.0	9626.0	2.657	0.601	0.127	0.027	62.0	5.2	40.0	61.0	21.8272	4.7048	-21.2968	39.9281	61.2249	4.6393	3.5488	0.1958	3.063	4.3065	1.2435
37329051	4186.0	2874.0	9868.0	2.928	0.7	0.129	0.03	66.0	5.6	40.0	61.0	25.0055	6.3027	-23.6279	44.6794	68.3073	3.9674	3.7002	0.0823	3.557	4.0422	0.4851
