participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	2983.0	1941.0	5653.0	2.568	0.492	0.12	0.022	34.0	2.7	32.0	62.0	20.8032	4.392	6.0859	34.4419	28.356	4.7366	3.3719	0.0605	3.2147	3.5285	0.3137
8454119	2646.0	1797.0	5275.0	2.458	0.471	0.127	0.03	45.0	3.0	39.0	59.0	23.8593	6.9204	-11.6117	41.5836	53.1952	3.4477	3.5391	0.1559	3.1087	4.0702	0.9615
11407866	3364.0	2192.0	7985.0	2.959	0.676	0.115	0.025	42.0	3.8	32.0	62.0	22.1608	5.3423	-21.602	35.9912	57.5932	4.1482	3.4787	0.1378	3.0483	3.7627	0.7144
11574123	2784.0	1837.0	5718.0	2.436	0.729	0.143	0.041	57.0	5.1	31.0	60.0	23.3	6.1116	-27.9978	42.6376	70.6354	3.8124	3.1602	0.1916	2.6513	3.5917	0.9405
16684978	2675.0	1839.0	4924.0	2.394	0.484	0.126	0.023	31.0	2.7	32.0	62.0	21.7167	4.5977	3.0438	35.0701	32.0263	4.7233	3.4176	0.0541	3.2449	3.5176	0.2727
25354225	3238.0	2127.0	7196.0	2.804	0.556	0.125	0.027	48.0	3.1	39.0	59.0	23.0003	5.3428	4.3731	39.4394	35.0663	4.3049	3.4103	0.2396	2.7284	3.8047	1.0763
25811472	2805.0	1872.0	5918.0	2.858	0.568	0.119	0.03	42.0	3.7	32.0	62.0	21.5921	6.2186	-8.5635	36.9077	45.4712	3.4722	3.6684	0.1895	3.2142	4.0117	0.7975
27876862	4674.0	2987.0	7785.0	2.43	0.641	0.13	0.03	54.0	6.0	38.0	57.0	19.1719	5.082	-1.2738	40.3857	41.6596	3.7725	3.5368	0.3959	2.6113	4.384	1.7727
29811890	3136.0	2184.0	6124.0	2.476	0.549	0.136	0.031	46.0	4.2	32.0	62.0	23.6384	6.6435	-3.8574	39.6855	43.5429	3.5581	3.444	0.1268	3.034	3.6787	0.6446
31361606	2733.0	1887.0	5656.0	2.5	0.539	0.138	0.03	42.0	3.2	39.0	59.0	20.4261	5.1828	0.2529	42.3101	42.0573	3.9411	3.0597	0.1304	2.7494	3.3062	0.5568
32938469	3440.0	2188.0	6030.0	2.411	0.531	0.13	0.036	52.0	4.7	39.0	59.0	20.9275	7.7868	-24.3661	42.8595	67.2256	2.6875	3.5647	0.1604	3.1943	3.9969	0.8026
36895554	2945.0	1983.0	5925.0	2.508	0.49	0.125	0.027	42.0	2.9	39.0	59.0	20.4701	4.6864	-5.2609	39.4018	44.6627	4.368	3.2466	0.185	2.9542	3.6715	0.7173
37329051	3181.0	2111.0	6770.0	2.542	0.496	0.131	0.037	67.0	4.8	39.0	59.0	23.6815	6.6692	-4.0509	41.8917	45.9425	3.5509	3.6122	0.1218	3.2259	3.9814	0.7554
37835493	2601.0	1723.0	5053.0	2.463	0.6	0.132	0.028	39.0	2.8	31.0	60.0	21.3174	5.1005	0.8872	37.0151	36.128	4.1795	2.9306	0.1461	2.6098	3.3697	0.7599
43606631	2415.0	1633.0	4143.0	2.181	0.423	0.14	0.035	38.0	3.4	39.0	59.0	20.2187	5.1562	-13.1712	37.6791	50.8503	3.9212	3.1663	0.2267	2.7997	3.6307	0.831
49408975	2117.0	1412.0	4627.0	2.633	0.653	0.127	0.025	31.0	2.1	31.0	60.0	20.7082	4.606	6.0501	36.5015	30.4514	4.4959	3.0841	0.1811	2.7455	3.4755	0.73
51217255	3165.0	2084.0	6099.0	2.44	0.466	0.129	0.031	47.0	3.9	38.0	59.0	22.9994	6.1401	0.557	50.8933	50.3363	3.7458	3.3162	0.1717	2.9335	3.6892	0.7557
52306425	3502.0	2322.0	6464.0	2.539	0.504	0.12	0.023	36.0	3.2	32.0	62.0	22.3075	4.1424	7.1357	35.4108	28.2751	5.3851	3.6917	0.0625	3.4527	3.9166	0.4639
52835891	2160.0	1473.0	4615.0	2.802	0.546	0.125	0.028	24.0	2.2	32.0	62.0	22.059	4.8401	4.4285	38.3131	33.8846	4.5575	3.1099	0.0387	2.9759	3.3227	0.3468
55710183	2746.0	1832.0	4779.0	2.399	0.447	0.133	0.028	36.0	3.1	39.0	59.0	21.6255	4.6314	2.4662	37.8466	35.3803	4.6693	3.387	0.2712	2.8318	3.7482	0.9164
56162563	2577.0	1713.0	4736.0	2.447	0.4	0.121	0.023	27.0	2.4	39.0	59.0	23.9715	4.2161	7.3272	39.5298	32.2025	5.6857	3.1729	0.0686	2.948	3.3148	0.3668
60021964	3665.0	2256.0	6138.0	2.643	0.493	0.105	0.027	40.0	3.7	32.0	62.0	22.3045	7.0816	-14.7349	37.717	52.4518	3.1496	3.5481	0.1	3.0549	3.7063	0.6515
62582335	2184.0	1444.0	4300.0	2.551	0.469	0.121	0.022	30.0	2.0	31.0	60.0	21.8349	5.3931	-0.7985	37.8916	38.6901	4.0487	2.9448	0.1787	2.4801	3.4582	0.9781
65198031	3042.0	2121.0	5900.0	2.457	0.422	0.143	0.03	40.0	3.6	39.0	59.0	21.3461	4.6901	6.1842	39.514	33.3298	4.5513	3.3736	0.212	2.8871	3.6902	0.8031
70214854	2581.0	1727.0	4611.0	2.315	0.489	0.131	0.029	40.0	2.9	39.0	59.0	23.8585	4.8999	5.5219	39.9894	34.4676	4.8692	2.7648	0.1257	2.5445	3.0905	0.546
71851847	2983.0	2059.0	6060.0	2.64	0.59	0.132	0.026	45.0	3.4	32.0	62.0	25.0294	5.2562	-1.7725	38.749	40.5215	4.7619	3.5091	0.1233	3.0413	3.6873	0.646
74920331	2663.0	1798.0	5103.0	2.533	0.527	0.12	0.02	29.0	2.2	32.0	62.0	22.355	3.6359	10.9189	33.6124	22.6935	6.1484	3.5824	0.0916	3.043	3.8211	0.7781
77390767	2492.0	1602.0	4924.0	2.53	0.485	0.124	0.031	38.0	3.0	31.0	60.0	20.0009	5.5367	-4.7783	41.2476	46.0259	3.6124	2.912	0.1543	2.5788	3.2906	0.7118
78982423	3548.0	2305.0	6305.0	2.44	0.494	0.128	0.025	44.0	3.8	39.0	59.0	21.1938	4.635	5.8608	36.1286	30.2678	4.5726	3.3449	0.1585	2.9731	3.6366	0.6635
80982198	2745.0	1889.0	5823.0	2.729	0.597	0.131	0.036	48.0	3.4	32.0	62.0	22.4595	5.9267	-0.0984	37.4925	37.591	3.7895	3.9711	0.1002	3.5268	4.1066	0.5798
82699044	3191.0	2162.0	5544.0	2.491	0.483	0.116	0.022	35.0	3.2	32.0	62.0	20.4816	5.1201	-20.7015	32.707	53.4084	4.0002	3.4342	0.0489	3.0946	3.5448	0.4502
84407714	2197.0	1464.0	4680.0	2.721	0.628	0.134	0.027	31.0	2.5	32.0	62.0	20.2881	4.5856	7.1662	34.4974	27.3312	4.4243	3.2282	0.0733	2.8981	3.3788	0.4807
86226939	2564.0	1736.0	4673.0	2.393	0.503	0.134	0.028	38.0	2.9	39.0	59.0	19.5851	5.2795	0.0707	35.0955	35.0248	3.7096	3.1511	0.1155	2.8871	3.4278	0.5408
93800202	2261.0	1503.0	5317.0	2.985	0.753	0.125	0.03	33.0	2.5	32.0	62.0	22.4786	6.26	-1.42	36.9402	38.3602	3.5908	3.3488	0.098	3.0771	3.627	0.5499
97005004	3546.0	2347.0	6840.0	2.73	0.514	0.118	0.022	45.0	3.1	32.0	62.0	24.3221	5.6646	-1.6738	38.1195	39.7933	4.2937	3.8652	0.2138	3.1823	4.3197	1.1374
100527940	4059.0	2673.0	7912.0	2.6	0.559	0.132	0.037	96.0	7.4	32.0	62.0	20.2921	7.3001	-13.7916	38.8146	52.6061	2.7797	3.7547	0.1731	3.2385	4.0045	0.766
103652366	2416.0	1633.0	4529.0	2.441	0.617	0.121	0.022	27.0	2.1	32.0	62.0	20.7803	4.8505	-2.6568	39.9058	42.5626	4.2841	3.2371	0.0816	2.7614	3.3342	0.5728
105914514	4093.0	2795.0	7103.0	2.47	0.602	0.127	0.036	70.0	6.8	32.0	62.0	17.1702	7.8466	-28.5596	37.1934	65.753	2.1882	3.6621	0.068	3.4418	4.0502	0.6084
107578676	3591.0	2491.0	7855.0	2.816	0.625	0.126	0.027	52.0	3.8	32.0	62.0	26.8611	6.1791	-16.8101	45.6474	62.4575	4.3471	3.5274	0.143	3.3139	3.875	0.5612
108828000	1974.0	1386.0	4463.0	2.676	0.614	0.128	0.029	24.0	2.3	32.0	62.0	21.4245	4.6239	-2.5997	34.3979	36.9976	4.6335	3.2514	0.0911	2.898	3.4371	0.5391
113335479	3843.0	2512.0	7257.0	2.452	0.518	0.117	0.024	48.0	3.9	39.0	59.0	20.1022	5.3519	-2.6577	37.9213	40.579	3.7561	3.4883	0.2423	2.8826	4.0224	1.1398
115784129	4953.0	3230.0	7262.0	2.241	0.47	0.135	0.04	62.0	8.9	39.0	59.0	19.1246	6.0369	-22.2887	44.9784	67.2671	3.1679					
119126177	3082.0	1999.0	5808.0	2.525	0.432	0.118	0.024	39.0	3.0	39.0	59.0	20.8093	4.6196	-0.0878	36.7788	36.8666	4.5046	3.2898	0.2209	2.5302	3.6121	1.0819
121697273	3720.0	2432.0	6323.0	2.391	0.42	0.123	0.024	50.0	3.6	39.0	59.0	26.3544	5.7308	3.1146	45.8081	42.6935	4.5987	3.3837	0.1848	2.8198	3.6436	0.8239
130118047	3967.0	2599.0	7611.0	2.564	0.42	0.116	0.02	45.0	3.2	39.0	59.0	24.1444	5.1621	4.7958	41.3497	36.5539	4.6772	3.1718	0.1666	2.8191	3.5065	0.6875
131655018	3152.0	2081.0	5138.0	2.33	0.543	0.124	0.027	38.0	3.4	32.0	62.0	19.7184	5.1243	2.7886	38.2681	35.4796	3.848	3.3398	0.1362	2.8404	3.64	0.7996
134279804	3611.0	2400.0	6631.0	2.369	0.485	0.123	0.024	47.0	3.3	39.0	59.0	20.4133	4.5413	4.0257	36.6424	32.6168	4.495	3.1333	0.1927	2.5981	3.5822	0.9841
138434806	3376.0	2261.0	5313.0	2.087	0.458	0.123	0.026	43.0	3.3	39.0	59.0	20.1891	4.9625	-0.401	37.0497	37.4507	4.0684	3.2979	0.1285	2.9882	3.6494	0.6612
154667058	3592.0	2321.0	6394.0	2.459	0.478	0.124	0.024	49.0	3.4	32.0	62.0	21.0165	4.9311	-2.1216	35.2006	37.3222	4.262	3.7599	0.2485	2.9649	4.1094	1.1445
158779019	2875.0	1911.0	5123.0	2.397	0.491	0.126	0.026	44.0	2.9	39.0	59.0	20.442	4.8568	-3.7014	37.5794	41.2808	4.2089	3.4989	0.1515	2.9623	3.7622	0.7998
162526644	2955.0	2031.0	6838.0	2.781	0.586	0.127	0.028	47.0	3.5	32.0	62.0	22.0863	5.5226	-6.7362	38.503	45.2392	3.9992	3.6787	0.1348	3.1391	3.8635	0.7244
163259093	2065.0	1327.0	3947.0	2.514	0.449	0.119	0.024	28.0	1.8	31.0	60.0	24.0052	4.6785	8.5823	40.101	31.5186	5.131	2.8513	0.2141	2.4844	3.6511	1.1667
176129790	2804.0	1934.0	5224.0	2.279	0.563	0.137	0.028	39.0	3.3	31.0	60.0	22.3348	5.865	2.023	40.8132	38.7902	3.8081	3.139	0.195	2.5368	3.6539	1.1171
177928631	2565.0	1671.0	5027.0	2.548	0.502	0.122	0.026	34.0	2.5	32.0	62.0	20.0091	4.5922	1.8704	34.7061	32.8357	4.3572	3.5331	0.1317	3.1865	3.7416	0.5551
