participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	4312.0	2827.0	7581.0	2.444	0.399	0.118	0.021	47.0	3.7	39.0	59.0	20.7396	4.5402	4.4136	37.7028	33.2892	4.5679	3.3261	0.1577	2.7189	3.5365	0.8176
8454119	1951.0	1370.0	3901.0	2.526	0.546	0.141	0.031	35.0	2.4	31.0	60.0	25.3514	7.0575	0.6133	45.9885	45.3751	3.5921	3.1416	0.2652	2.7515	3.9691	1.2175
11407866	3215.0	2216.0	7314.0	2.82	0.508	0.12	0.023	38.0	3.1	39.0	59.0	24.611	5.1759	3.4545	47.2941	43.8395	4.7549	3.2645	0.1516	2.9054	3.626	0.7206
11574123	4976.0	3372.0	8635.0	2.344	0.653	0.119	0.026	53.0	5.2	38.0	57.0	20.1098	5.3607	-10.286	42.4133	52.6993	3.7513	3.9038	0.5682	2.8488	5.3765	2.5277
16684978	2961.0	1988.0	5155.0	2.373	0.469	0.137	0.028	45.0	3.2	39.0	59.0	22.0393	5.679	-4.7164	44.5716	49.288	3.8808	3.4048	0.1003	3.0884	3.6524	0.564
25354225	1792.0	1251.0	4501.0	2.763	0.702	0.132	0.03	31.0	2.0	31.0	60.0	24.9202	6.2438	-2.5153	42.5505	45.0658	3.9912	2.8426	0.2401	2.4835	3.7065	1.2229
25811472	3709.0	2452.0	6650.0	2.485	0.507	0.117	0.026	46.0	4.0	39.0	59.0	22.1789	6.0706	-14.3915	44.9109	59.3024	3.6535	3.5782	0.1512	3.1694	3.7763	0.607
27876862	4065.0	2691.0	7576.0	2.46	0.524	0.149	0.039	73.0	7.2	30.0	58.0	21.9751	5.6007	-8.0231	38.7237	46.7468	3.9236	3.2099	0.3415	2.4288	3.9791	1.5503
29811890	2858.0	1901.0	5573.0	2.426	0.52	0.119	0.021	38.0	2.5	39.0	59.0	24.0571	4.8128	-6.7662	39.9897	46.7559	4.9985	3.2563	0.2026	2.8507	3.7078	0.8571
31361606	2052.0	1399.0	3998.0	2.411	0.501	0.137	0.028	33.0	2.4	31.0	60.0	21.6647	5.1819	-2.1471	40.8118	42.9589	4.1808	2.9107	0.1756	2.4218	3.3242	0.9023
32938469	1702.0	1138.0	3156.0	2.423	0.507	0.13	0.035	24.0	2.5	31.0	60.0	20.1782	7.3409	0.2473	41.6825	41.4352	2.7487	3.3529	0.121	3.056	3.6711	0.6152
36895554	2164.0	1463.0	4287.0	2.464	0.586	0.128	0.024	29.0	2.1	31.0	60.0	21.0516	4.9155	-6.4723	40.415	46.8873	4.2827	2.8465	0.2206	2.5904	3.6658	1.0754
37329051	2090.0	1485.0	4663.0	2.501	0.569	0.153	0.044	45.0	4.3	31.0	60.0	23.8404	7.2839	-0.938	49.6399	50.5779	3.273	3.2626	0.2375	2.6199	3.8529	1.233
37835493	5479.0	3611.0	9011.0	2.278	0.629	0.111	0.021	47.0	4.6	38.0	57.0	19.1058	4.7976	-3.3615	35.1085	38.47	3.9823	3.5382	0.3053	2.7485	4.7406	1.9921
43606631	1822.0	1220.0	2988.0	2.174	0.44	0.143	0.032	27.0	2.1	31.0	60.0	19.8501	4.5117	5.0647	35.5416	30.4769	4.3997	2.7322	0.1383	2.4486	3.4275	0.979
49408975	5619.0	3695.0	9719.0	2.389	0.669	0.104	0.021	48.0	4.6	38.0	57.0	17.7901	4.5994	0.3639	38.6437	38.2798	3.868	3.9241	0.4741	2.8604	5.1964	2.336
51217255	2198.0	1485.0	4576.0	2.69	0.452	0.124	0.024	26.0	2.2	31.0	60.0	23.4011	4.5709	4.4973	37.9857	33.4884	5.1196	3.0113	0.2469	2.4961	3.6126	1.1165
52306425	3331.0	2219.0	5724.0	2.355	0.371	0.126	0.024	42.0	3.2	39.0	59.0	21.5409	4.6679	4.9912	38.3669	33.3757	4.6147	3.4102	0.1836	2.8048	3.6243	0.8194
52835891	2615.0	1727.0	5263.0	2.768	0.432	0.117	0.023	31.0	2.3	39.0	59.0	22.5697	4.7889	5.2727	43.4702	38.1975	4.7129	3.143	0.0662	2.8936	3.2912	0.3976
55710183	2199.0	1462.0	3956.0	2.293	0.439	0.129	0.026	31.0	2.2	31.0	60.0	21.8383	4.9563	3.6042	39.4093	35.8051	4.4062	3.0641	0.2064	2.6129	3.5824	0.9695
56162563	2386.0	1594.0	4945.0	2.614	0.509	0.128	0.024	31.0	2.3	31.0	60.0	24.2232	5.2263	5.1735	43.2243	38.0507	4.6349	2.988	0.1637	2.6422	3.4899	0.8478
60021964	3458.0	2325.0	6851.0	2.55	0.534	0.13	0.028	51.0	3.9	39.0	59.0	22.6439	5.8596	0.6028	40.8803	40.2775	3.8644	3.3143	0.1683	3.0576	3.7312	0.6736
62582335	4361.0	2941.0	7861.0	2.45	0.723	0.107	0.021	35.0	3.6	38.0	57.0	19.0063	5.1648	-12.106	46.0187	58.1248	3.68	3.5621	0.4046	2.7677	4.8743	2.1066
65198031	2198.0	1495.0	4429.0	2.519	0.469	0.134	0.029	33.0	2.7	31.0	60.0	20.9803	4.9068	4.7369	37.403	32.666	4.2758	2.9428	0.2626	2.4329	3.6622	1.2293
70214854	1749.0	1240.0	3446.0	2.266	0.538	0.136	0.03	30.0	2.4	31.0	60.0	23.6125	5.5991	1.6078	42.8011	41.1934	4.2172	2.7092	0.1367	2.3819	3.1346	0.7527
71851847	3388.0	2293.0	6116.0	2.404	0.453	0.135	0.026	57.0	3.8	39.0	59.0	24.0611	6.1283	2.8055	43.788	40.9824	3.9262	3.1323	0.1399	2.7907	3.3943	0.6036
74920331	3541.0	2362.0	6472.0	2.381	0.457	0.123	0.024	43.0	3.7	39.0	59.0	22.6046	4.6605	1.8029	39.1274	37.3245	4.8502	3.2314	0.2909	2.6077	3.8231	1.2154
77390767	5861.0	3716.0	9119.0	2.228	0.597	0.123	0.03	68.0	7.3	38.0	57.0	18.6823	5.8327	-5.4314	40.4855	45.9168	3.203	3.7502	0.5678	2.6007	5.3255	2.7248
78982423	2513.0	1650.0	4752.0	2.406	0.515	0.13	0.027	31.0	2.8	31.0	60.0	21.5974	5.01	2.6795	37.9638	35.2844	4.3109	3.2244	0.2257	2.4302	3.7332	1.303
