participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3099.0	1967.0	5541.0	2.449	0.411	0.125	0.027	36.0	3.2	31.0	60.0	19.8812	4.4769	5.2874	36.4215	31.1341	4.4408	3.045	0.1982	2.4873	3.4897	1.0024
8454119	9265.0	6015.0	18541.0	2.794	0.614	0.126	0.028	140.0	11.0	38.0	57.0	25.0526	6.7265	-13.325	44.0839	57.4089	3.7245	3.8386	0.3099	3.0231	5.4313	2.4082
11407866	2697.0	1809.0	5536.0	2.693	0.571	0.132	0.027	38.0	2.9	31.0	60.0	23.0905	5.9345	-1.4987	41.6217	43.1205	3.8909	2.9952	0.218	2.5086	3.6099	1.1013
11574123	5854.0	3940.0	9439.0	2.209	0.575	0.123	0.026	68.0	6.4	30.0	58.0	21.2958	5.7028	-11.0825	40.8209	51.9034	3.7342	3.6115	0.6171	2.5889	5.1945	2.6055
16684978	2232.0	1482.0	4202.0	2.343	0.596	0.149	0.035	40.0	3.3	31.0	60.0	21.4724	5.7099	-1.7953	40.2874	42.0827	3.7606	3.2123	0.1987	2.541	3.4816	0.9406
25354225	6344.0	3905.0	9506.0	2.335	0.708	0.108	0.031	67.0	8.6	38.0	57.0	17.9284	6.4952	-8.8328	39.2061	48.0389	2.7603	4.056	0.5914	2.5737	5.4369	2.8632
25811472	2652.0	1786.0	5568.0	2.58	0.525	0.113	0.022	29.0	2.3	31.0	60.0	21.9866	5.2065	2.4029	41.6364	39.2335	4.2229	3.1625	0.2459	2.5893	3.901	1.3118
27876862	3998.0	2566.0	7552.0	2.789	0.704	0.15	0.045	64.0	7.7	2.0	1.0	19.8015	6.5532	-12.3161	39.8973	52.2133	3.0216	3.4395	0.3557	2.3342	4.0939	1.7598
29811890	2568.0	1808.0	5348.0	2.441	0.614	0.137	0.028	38.0	3.0	31.0	60.0	24.2816	5.6978	2.5824	47.3199	44.7374	4.2616	3.0363	0.1812	2.4629	3.5588	1.0958
31361606	4970.0	3126.0	7883.0	2.259	0.648	0.11	0.027	48.0	5.2	38.0	57.0	17.2146	5.3016	-3.6367	46.2908	49.9276	3.2471	3.7018	0.4372	2.5052	4.7313	2.2261
32938469	5458.0	3400.0	7585.0	2.112	0.652	0.106	0.025	59.0	5.6	38.0	57.0	19.97	6.9102	-7.2378	46.429	53.6668	2.8899	3.8852	0.5516	2.9989	5.6425	2.6436
36895554	5300.0	3378.0	8036.0	2.242	0.65	0.117	0.026	54.0	5.7	38.0	57.0	17.7424	5.0726	-0.2468	35.8732	36.1201	3.4977	4.0411	0.5138	3.0715	5.36	2.2885
37329051	4448.0	3023.0	7836.0	2.373	0.649	0.109	0.022	45.0	3.8	38.0	57.0	21.5912	5.6459	-3.9241	40.7803	44.7044	3.8243	3.8677	0.4096	3.0601	5.3351	2.2751
37835493	6841.0	4527.0	11215.0	2.266	0.585	0.122	0.023	75.0	6.3	30.0	58.0	19.8719	4.758	1.8644	34.568	32.7035	4.1765	3.4275	0.4163	2.5403	4.897	2.3567
43606631	4933.0	3234.0	7056.0	2.022	0.529	0.132	0.034	61.0	7.4	38.0	57.0	18.0273	5.668	-9.4428	43.8451	53.2879	3.1806	3.8104	0.3888	2.8292	4.7426	1.9134
49408975	6672.0	4514.0	12078.0	2.363	0.639	0.112	0.022	62.0	5.9	30.0	58.0	19.4863	4.5749	1.8119	39.1871	37.3752	4.2594	3.5741	0.5152	2.7505	5.1447	2.3941
51217255	4954.0	3298.0	8925.0	2.406	0.71	0.108	0.022	48.0	4.2	37.0	57.0	19.6621	5.2337	-1.912	53.7445	55.6565	3.7568	3.6644	0.4162	2.7307	5.1669	2.4363
52306425	2434.0	1645.0	4268.0	2.205	0.493	0.137	0.029	36.0	3.0	31.0	60.0	20.952	5.1813	0.8591	36.2294	35.3703	4.0438	3.3719	0.2296	2.631	3.8041	1.1731
52835891	2004.0	1312.0	4047.0	2.604	0.484	0.128	0.024	31.0	2.0	31.0	60.0	20.8717	4.9243	3.9929	40.4126	36.4197	4.2385	2.8935	0.1058	2.5955	3.1047	0.5091
55710183	6053.0	3770.0	8868.0	2.172	0.593	0.104	0.025	58.0	6.1	38.0	57.0	18.0675	5.5709	-13.683	40.2537	53.9367	3.2432	3.9138	0.4383	2.5708	5.2281	2.6573
56162563	5719.0	3705.0	9932.0	2.418	0.602	0.114	0.026	58.0	5.3	38.0	57.0	21.6285	5.7008	0.6489	39.8298	39.181	3.7939	3.634	0.509	2.7912	5.2327	2.4416
60021964	2451.0	1607.0	5061.0	2.573	0.556	0.115	0.023	33.0	2.3	31.0	60.0	21.9572	5.4721	3.0806	39.4095	36.3289	4.0126	3.023	0.1876	2.5915	3.5703	0.9788
62582335	5788.0	3853.0	10626.0	2.496	0.71	0.115	0.024	61.0	5.3	30.0	58.0	20.4734	5.3388	-7.3014	42.8067	50.1081	3.8349	3.4716	0.4838	2.4468	4.9271	2.4803
65198031	5664.0	3558.0	9034.0	2.285	0.653	0.117	0.031	60.0	6.9	38.0	57.0	16.5456	5.4673	-6.4891	43.7671	50.2562	3.0263	3.7989	0.515	2.8317	5.2098	2.3782
70214854	4841.0	3060.0	7444.0	2.221	0.663	0.12	0.026	54.0	4.8	38.0	57.0	19.8511	5.2782	-1.5805	35.7823	37.3628	3.761	3.407	0.434	2.5677	4.5503	1.9826
71851847	2489.0	1604.0	4314.0	2.228	0.613	0.139	0.033	43.0	3.7	31.0	60.0	23.0025	7.2865	-4.9581	46.6111	51.5692	3.1569	3.055	0.2731	2.5279	3.6725	1.1446
74920331	2556.0	1704.0	5022.0	2.434	0.507	0.135	0.028	33.0	2.9	31.0	60.0	21.9173	5.7056	0.2744	43.8821	43.6077	3.8414	2.9494	0.2889	2.2984	3.6061	1.3076
77390767	6821.0	4405.0	9902.0	2.179	0.541	0.113	0.025	60.0	6.7	30.0	58.0	19.0663	4.9794	-0.1472	35.591	35.7382	3.8291	3.4773	0.6118	2.4868	5.0101	2.5234
78982423	5190.0	3393.0	8239.0	2.24	0.628	0.12	0.029	57.0	5.8	38.0	57.0	17.9384	5.5923	-2.5615	41.7188	44.2803	3.2077	3.8328	0.4659	2.9653	4.9815	2.0162
80982198	2659.0	1831.0	5792.0	2.521	0.568	0.132	0.028	42.0	3.0	31.0	60.0	21.9113	5.1536	3.9698	36.9044	32.9346	4.2517	3.4615	0.2439	2.8989	4.0743	1.1754
82699044	3053.0	1888.0	5171.0	2.345	0.456	0.107	0.02	30.0	2.6	31.0	60.0	20.8221	5.2686	-8.7485	38.8202	47.5687	3.9521	2.9676	0.2498	2.4527	3.4757	1.023
84407714	1906.0	1277.0	3879.0	2.521	0.513	0.125	0.026	26.0	2.0	31.0	60.0	19.8922	4.5649	-4.6944	33.2456	37.9401	4.3576	2.7949	0.1509	2.4011	3.2085	0.8074
86226939	5850.0	3787.0	9930.0	2.361	0.615	0.121	0.028	65.0	6.4	38.0	57.0	17.7246	4.9904	-2.5964	35.3334	37.9297	3.5517	3.7157	0.5345	2.6071	5.0277	2.4206
93800202	2080.0	1406.0	5115.0	2.828	0.603	0.14	0.031	38.0	2.3	31.0	60.0	21.8263	5.4773	2.3712	40.8102	38.439	3.9849	3.0545	0.1531	2.6674	3.4252	0.7578
97005004	3095.0	2122.0	6836.0	2.575	0.537	0.131	0.03	58.0	3.7	31.0	60.0	23.9219	6.9065	-4.0849	44.2392	48.3241	3.4637	3.1104	0.3069	2.6246	4.0621	1.4375
100527940	2561.0	1737.0	5681.0	2.644	0.563	0.141	0.035	43.0	3.6	31.0	60.0	21.8883	6.2506	-6.0449	42.1612	48.206	3.5018	3.2913	0.2292	2.7367	3.8508	1.1141
103652366	1979.0	1382.0	3696.0	2.209	0.591	0.136	0.038	30.0	3.4	31.0	60.0	20.3016	6.1335	-23.1765	37.9916	61.1681	3.31	2.7603	0.1604	2.5402	3.2768	0.7366
105914514	2367.0	1501.0	3794.0	2.186	0.529	0.12	0.04	38.0	4.2	31.0	60.0	18.3028	6.2598	-4.0829	41.2202	45.3031	2.9239	3.2507	0.2222	2.8679	3.7738	0.9059
107578676	2779.0	1906.0	6613.0	2.795	0.562	0.146	0.037	57.0	4.4	31.0	60.0	25.0897	7.1233	-27.2955	45.8966	73.1922	3.5222	3.1718	0.1661	2.7122	3.4976	0.7855
108828000	1824.0	1208.0	3979.0	2.637	0.475	0.118	0.023	20.0	1.6	31.0	60.0	22.153	4.2371	6.2173	34.691	28.4737	5.2283	2.8314	0.1761	2.3846	3.2258	0.8413
113335479	7039.0	4237.0	11771.0	2.563	0.697	0.099	0.024	63.0	6.7	38.0	57.0	17.8614	5.5129	-9.3077	35.7478	45.0555	3.24	4.1263	0.5957	3.0403	6.0855	3.0452
115784129	6997.0	4289.0	9061.0	2.045	0.57	0.126	0.037	75.0	10.9	38.0	57.0	17.5166	5.4109	-12.0152	39.7514	51.7666	3.2373					
119126177	6632.0	4124.0	10608.0	2.396	0.647	0.117	0.027	63.0	7.4	38.0	57.0	18.0056	5.5168	-9.0831	40.914	49.9971	3.2638	3.8569	0.4833	2.4351	4.8736	2.4385
121697273	6421.0	4268.0	11564.0	2.405	0.632	0.125	0.027	77.0	6.7	38.0	57.0	22.9861	6.3005	-4.5473	44.9904	49.5377	3.6483	3.9456	0.6042	2.755	5.6215	2.8665
130118047	6583.0	3972.0	10871.0	2.482	0.731	0.099	0.02	58.0	5.3	38.0	57.0	20.0758	5.9641	-5.6573	41.7142	47.3715	3.3661	3.7553	0.4718	2.8414	5.4101	2.5687
131655018	2171.0	1403.0	4175.0	2.324	0.492	0.127	0.029	36.0	2.4	31.0	60.0	17.263	5.2117	-7.8108	33.8923	41.7031	3.3124	2.8109	0.1605	2.426	3.3205	0.8945
134279804	6436.0	4051.0	9412.0	2.142	0.652	0.109	0.021	57.0	5.8	38.0	57.0	17.5351	5.2956	-5.9162	38.1337	44.0499	3.3112	3.7236	0.4654	2.7006	5.1243	2.4237
138434806	6858.0	4350.0	10225.0	2.165	0.536	0.123	0.027	74.0	7.2	38.0	57.0	18.5199	5.5538	-7.9533	36.4805	44.4338	3.3346	3.9217	0.5199	3.0306	5.6953	2.6646
154667058	3552.0	2326.0	6222.0	2.25	0.529	0.119	0.028	51.0	4.0	31.0	60.0	21.1018	5.6866	-0.7361	43.0719	43.808	3.7108	2.9556	0.1916	2.6725	3.8789	1.2064
158779019	5157.0	3235.0	7646.0	2.233	0.582	0.109	0.025	50.0	5.1	38.0	57.0	17.4044	5.1327	-5.1258	38.9379	44.0637	3.3909	3.798	0.4502	2.7793	5.2974	2.5181
162526644	2596.0	1673.0	5773.0	2.674	0.63	0.121	0.028	40.0	3.2	31.0	60.0	22.2434	6.6713	-9.2856	44.9425	54.2281	3.3342	3.1637	0.3	2.7457	3.8891	1.1434
163259093	5590.0	3690.0	9164.0	2.259	0.591	0.121	0.023	62.0	5.0	30.0	58.0	21.1877	4.88	2.8404	41.8892	39.0488	4.3418	3.4726	0.4884	2.4287	4.6138	2.1851
176129790	6688.0	4462.0	10185.0	2.14	0.558	0.123	0.023	77.0	6.4	30.0	58.0	20.2925	5.3783	-7.6902	47.6422	55.3324	3.773	3.6136	0.5263	2.5028	5.1426	2.6398
177928631	2077.0	1309.0	3964.0	2.409	0.497	0.13	0.03	32.0	2.4	31.0	60.0	20.4061	4.6754	1.5824	35.3211	33.7387	4.3645	3.2223	0.2799	2.6108	3.657	1.0461
182017409	8535.0	5381.0	13020.0	2.283	0.598	0.121	0.026	113.0	9.0	30.0	58.0	21.0347	6.1977	-16.6031	44.6399	61.243	3.394	3.9277	0.522	2.7142	5.6488	2.9346
189913356	6058.0	3776.0	8359.0	2.131	0.639	0.125	0.043	81.0	11.2	38.0	57.0	17.0814	7.0169	-19.5923	42.3651	61.9574	2.4343	3.7879	0.528	2.8842	5.184	2.2998
190100766	6182.0	4040.0	10746.0	2.368	0.627	0.107	0.022	55.0	5.1	30.0	58.0	20.8003	5.2233	-2.6508	41.0371	43.6879	3.9822	3.5373	0.6361	2.4107	5.3974	2.9867
192039987	5261.0	3788.0	9252.0	2.343	0.715	0.154	0.055	78.0	12.8	30.0	58.0	15.6644	6.5961	-21.3232	44.104	65.4272	2.3748	3.506	0.5117	2.4228	4.8809	2.458
192271174	5775.0	3694.0	8842.0	2.195	0.567	0.123	0.031	69.0	6.8	30.0	58.0	18.9652	5.9526	-10.324	44.2354	54.5594	3.1861	3.3498	0.3273	2.4173	4.4107	1.9934
192413932	7602.0	4910.0	11823.0	2.203	0.642	0.116	0.025	82.0	7.8	30.0	58.0	18.4942	5.2534	-4.8628	36.1775	41.0404	3.5204	3.9524	0.6839	2.69	6.1607	3.4707
194293030	7611.0	5091.0	12533.0	2.249	0.576	0.123	0.024	84.0	7.7	30.0	58.0	20.3239	5.1875	-3.7601	45.8572	49.6173	3.9179	3.5588	0.7964	2.2821	5.8841	3.602
194324018	7265.0	4459.0	11200.0	2.33	0.57	0.111	0.025	72.0	7.3	38.0	57.0	18.6355	5.0594	-2.6003	46.7526	49.3529	3.6834	3.846	0.4411	2.7108	5.3816	2.6709
195168692	2799.0	1852.0	6051.0	2.615	0.597	0.139	0.033	47.0	3.7	31.0	60.0	21.6448	5.3848	-6.1665	42.5849	48.7514	4.0196	3.2404	0.2657	2.6093	3.7397	1.1304
198051119	4672.0	3013.0	6709.0	2.108	0.58	0.113	0.024	41.0	4.5	38.0	57.0	18.9911	5.2907	1.418	41.1839	39.7659	3.5895	3.5635	0.3159	2.6926	4.5471	1.8545
199547104	7206.0	4418.0	10437.0	2.239	0.621	0.102	0.022	66.0	6.4	38.0	57.0	18.3194	5.507	-3.2051	39.7623	42.9674	3.3266	3.7761	0.3548	2.7597	5.1223	2.3626
199809850	2594.0	1749.0	4680.0	2.226	0.562	0.133	0.032	35.0	3.3	31.0	60.0	20.0843	6.4125	2.3381	42.4734	40.1353	3.132	3.3089	0.2289	2.775	3.6641	0.8891
200066829	2010.0	1362.0	3995.0	2.356	0.595	0.141	0.033	32.0	2.5	31.0	60.0	20.2258	5.1772	4.9748	36.4071	31.4323	3.9067	2.9845	0.1545	2.5942	3.3442	0.7499
210534092	6639.0	4291.0	10111.0	2.204	0.64	0.111	0.023	62.0	6.0	38.0	57.0	19.4667	5.5906	-2.1446	37.8561	40.0007	3.482	3.6242	0.5237	2.6159	5.3439	2.728
211169351	7460.0	4646.0	11389.0	2.267	0.597	0.107	0.025	71.0	7.9	38.0	57.0	18.1344	5.7279	-50.2855	54.3087	104.5942	3.166	3.7499	0.6618	2.5338	5.588	3.0542
219325366	6518.0	4096.0	10089.0	2.263	0.611	0.113	0.023	64.0	6.1	38.0	57.0	17.8957	5.4988	-1.4357	38.7812	40.2169	3.2545	3.8587	0.453	2.7332	5.13	2.3968
221853583	2674.0	1746.0	5372.0	2.526	0.521	0.132	0.032	41.0	3.3	31.0	60.0	22.1367	5.4358	-1.8429	41.0865	42.9294	4.0724	3.008	0.2405	2.4871	3.6887	1.2015
