participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	6813.0	4230.0	10000.0	2.261	0.537	0.106	0.021	53.0	5.7	38.0	57.0	17.7576	4.8483	-0.8381	37.6027	38.4407	3.6626	3.5357	0.4625	2.6654	5.5197	2.8543
8454119	6222.0	4175.0	12317.0	2.647	0.693	0.124	0.026	91.0	6.3	30.0	58.0	24.762	6.1818	-22.4057	51.269	73.6747	4.0056	3.8077	0.523	2.5999	5.3228	2.7229
11407866	6401.0	4138.0	11727.0	2.575	0.722	0.106	0.02	57.0	5.3	38.0	57.0	20.9087	5.2157	-5.5386	38.4834	44.022	4.0088	3.9486	0.5318	2.8817	6.0139	3.1322
11574123	4490.0	2967.0	9166.0	2.756	0.646	0.104	0.021	37.0	4.1	2.0	1.0	20.2153	5.8953	1.0942	45.0488	43.9546	3.4291	3.7988	0.4546	2.6978	5.4253	2.7275
16684978	5345.0	3383.0	7550.0	2.085	0.606	0.112	0.029	53.0	6.3	38.0	57.0	18.0797	5.7256	-17.3169	45.3426	62.6595	3.1577	3.8492	0.4368	2.8933	4.9928	2.0995
25354225	6791.0	4237.0	11045.0	2.404	0.678	0.108	0.025	74.0	6.3	30.0	58.0	19.8444	6.3902	-18.5945	38.7286	57.323	3.1054	3.8627	0.642	2.5464	5.4357	2.8893
25811472	7241.0	4605.0	13102.0	2.565	0.671	0.11	0.025	71.0	6.8	38.0	57.0	20.0022	5.6379	-10.7848	45.4186	56.2034	3.5478	4.1116	0.5674	3.1395	5.6491	2.5096
27876862	4368.0	2816.0	6892.0	2.338	0.637	0.16	0.057	89.0	10.5	2.0	2.0	17.9798	6.632	-19.5332	48.2574	67.7906	2.7111	3.2622	0.2337	2.602	3.9481	1.346
29811890	5967.0	3769.0	9859.0	2.425	0.694	0.12	0.031	77.0	8.0	38.0	57.0	18.7439	6.2275	-26.7254	38.2292	64.9546	3.0099	3.9202	0.4773	2.5339	5.595	3.0611
31361606	5435.0	3701.0	8691.0	2.159	0.576	0.116	0.023	54.0	5.1	30.0	58.0	19.1129	4.6009	0.5213	36.5673	36.046	4.1542	3.4494	0.4816	2.3638	4.6441	2.2803
32938469	5432.0	3521.0	9172.0	2.39	0.609	0.138	0.037	88.0	8.6	30.0	58.0	22.2109	7.7852	-8.2914	43.8721	52.1635	2.853	3.6139	0.3162	3.0111	5.1642	2.1531
36895554	6194.0	4195.0	10882.0	2.286	0.658	0.125	0.027	81.0	6.9	30.0	58.0	19.5554	5.331	-13.1976	37.4084	50.606	3.6682	3.5807	0.4947	2.5637	4.8742	2.3105
37329051	5756.0	3914.0	11036.0	2.467	0.712	0.116	0.027	78.0	6.2	30.0	58.0	21.956	6.1593	-38.085	42.1982	80.2833	3.5647	3.7364	0.5062	2.5727	5.4194	2.8467
37835493	4830.0	3107.0	9239.0	2.636	0.628	0.105	0.018	37.0	3.5	2.0	1.0	17.5853	5.3924	-0.2322	37.0898	37.3221	3.2611	3.4542	0.3859	2.4447	4.8947	2.45
