participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	6064.0	3992.0	11228.0	5.111000000000001	0.8049999999999999	0.29100000000000004	0.068	77.0	6.1	79.0	136.0	39.6738	9.462	9.5703	62.484700000000004	52.9144	8.3793	6.3535	0.3411	5.7653	6.9795	1.2142
8454119	2035.0	1507.0	5405.0	2.908	0.69	0.169	0.065	47.0	5.7	17.0	27.0	22.2816	9.0286	-30.1992	50.9785	81.1777	2.4679	2.4571	0.0848	2.2433	2.6888	0.4455
11407866	4887.0	3370.0	11284.0	6.218	0.922	0.33899999999999997	0.097	73.0	5.8	79.0	136.0	38.4444	9.3594	-3.6519999999999992	64.87209999999999	68.5241	8.23	6.3672	0.34299999999999997	5.5112000000000005	6.8399	1.3287
11574123	1515.0	1086.0	3437.0	5.068	0.8760000000000001	0.218	0.040999999999999995	21.0	1.4	33.0	56.0	51.111599999999996	10.444500000000001	7.778900000000001	82.4639	74.685	10.2042	4.2964	0.07250000000000001	4.1807	4.5405	0.3599
16684978	4226.0	2801.0	8830.0	5.167	1.161	0.388	0.121	73.0	6.8	79.0	136.0	33.1477	11.2511	-2.797	63.210499999999996	66.0073	5.818	6.157299999999999	0.2965	5.520899999999999	6.6257	1.1048
25354225	1396.0	985.0	3628.0	2.811	0.781	0.15	0.045	37.0	2.7	17.0	27.0	22.8124	9.7191	-28.1883	52.0651	80.2534	2.3472	2.1468	0.0645	2.0119	2.3194	0.3076
25811472	5386.0	3619.0	12038.0	5.811999999999999	0.923	0.345	0.10400000000000001	86.0	7.6	79.0	136.0	34.6391	10.1462	-6.6547	63.7074	70.3621	6.782500000000001	7.0384	0.4024	6.2463999999999995	7.6837	1.4372
27876862	1152.0	768.0	2653.0	3.028	0.478	0.136	0.03	18.0	1.3	10.0	17.0	20.7116	6.0528	2.7005	41.3007	38.6002	3.4218	4.1439	0.1348	3.8318	4.3722	0.5405
29811890	5649.0	4023.0	12012.0	5.509	0.7779999999999999	0.30300000000000005	0.069	90.0	7.5	79.0	136.0	42.0159	10.9905	-24.064799999999998	72.9248	96.98949999999999	7.6669	6.2538	0.356	5.5121	6.713	1.2009
31361606	1616.0	1114.0	3462.0	2.521	0.555	0.145	0.044	44.0	2.9	17.0	27.0	21.3253	7.4417	-10.7719	46.5681	57.34	2.8656	2.1075	0.1136	1.9491	2.3715	0.4224
