participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1589.0	1048.0	3362.0	5.4079999999999995	1.063	0.184	0.051	28.0	3.4	33.0	56.0	47.2491	14.6785	-18.3513	77.4836	95.8349	7.6168	4.5358	0.1041	4.2341999999999995	4.7048	0.47050000000000003
8454119	2555.0	1668.0	5335.0	2.974	0.567	0.126	0.034	32.0	4.0	10.0	17.0	22.7876	7.3827	-6.7312	45.192	51.9231	3.0866	5.0579	0.572	3.6593	6.1291	2.4698
11407866	1630.0	1093.0	3528.0	5.907	1.08	0.21600000000000003	0.047	24.0	2.5	33.0	56.0	49.7874	12.8891	-10.866200000000001	81.8486	92.7148	8.1172	4.5336	0.122	4.2089	4.7536000000000005	0.5446
11574123	2484.0	1641.0	5189.0	3.077	0.512	0.132	0.027	30.0	2.7	10.0	18.0	21.3126	5.6295	1.579	36.7531	35.1741	3.7859	4.9911	0.2511	4.187	5.3767	1.1897
16684978	1136.0	816.0	2917.0	6.139	1.046	0.298	0.07100000000000001	21.0	1.8	33.0	56.0	45.3398	14.9468	-0.3583999999999996	83.6098	83.9682	6.1662	4.4015	0.0633	4.2529	4.626200000000001	0.37329999999999997
25354225	2015.0	1285.0	4626.0	3.016	0.577	0.132	0.039	33.0	2.9	10.0	17.0	19.7241	7.3651	-12.2078	40.5343	52.742	2.678	5.0856	0.3677	4.1963	5.6099	1.4135
25811472	1381.0	987.0	3719.0	6.802	1.2349999999999999	0.264	0.051000000000000004	26.0	1.3	33.0	56.0	47.5804	12.298300000000001	-11.039600000000002	77.1403	88.1799	7.742900000000001	4.639900000000001	0.0749	4.4178999999999995	4.8307	0.41279999999999994
27876862	2329.0	1647.0	6121.0	2.997	0.546	0.13	0.026	30.0	2.5	11.0	19.0	24.5974	5.4321	-4.7645	47.9157	52.6802	4.5282	2.1748	0.1894	1.9232	2.9494	1.0263
29811890	1284.0	1025.0	3692.0	6.1240000000000006	0.99	0.22699999999999998	0.035	15.0	1.2000000000000002	33.0	56.0	53.9166	10.922799999999999	6.9666000000000015	82.3563	75.3897	10.5746	4.231999999999999	0.0874	4.0481	4.4526	0.4045
31361606	1245.0	830.0	2619.0	2.776	0.532	0.128	0.034	15.0	1.7	10.0	17.0	20.9642	6.7946	1.0973	48.2612	47.1639	3.0854	4.4379	0.2639	3.608	4.8338	1.2257
32938469	1792.0	1160.0	3924.0	3.099	0.721	0.137	0.04	26.0	2.9	10.0	17.0	20.097	7.0332	0.3883	41.1474	40.7591	2.8574	5.3714	0.5138	3.8923	6.0169	2.1246
36895554	1525.0	1004.0	3339.0	3.014	0.63	0.145	0.048	28.0	3.2	10.0	17.0	19.9329	6.1757	-5.1372	43.8656	49.0029	3.2276	4.8981	0.2869	4.2702	5.3298	1.0597
37329051	1432.0	955.0	3597.0	3.214	0.565	0.146	0.036	25.0	2.0	10.0	17.0	22.1548	6.7489	1.0377	46.208	45.1703	3.2827	5.1464	0.3977	4.3764	5.652	1.2755
37835493	2355.0	1530.0	4256.0	2.684	0.457	0.126	0.027	26.0	2.8	10.0	18.0	19.5605	5.3948	-1.1192	33.4371	34.5563	3.6258	4.7753	0.2312	4.2269	5.3486	1.1217
43606631	1754.0	1118.0	3350.0	2.628	0.427	0.137	0.031	24.0	2.2	10.0	17.0	20.0653	5.2746	-0.0204	37.9897	38.0101	3.8041	4.6115	0.1899	4.0357	4.8404	0.8047
49408975	2275.0	1521.0	5151.0	2.903	0.556	0.119	0.024	27.0	2.3	10.0	18.0	19.5785	4.4295	-0.572	32.1174	32.6894	4.42	4.8823	0.2918	4.3549	5.3668	1.0119
51217255	1592.0	1014.0	3419.0	2.877	0.505	0.117	0.032	19.0	1.9	10.0	17.0	20.9297	6.3496	-2.4334	38.5305	40.964	3.2962	4.8933	0.3712	4.1459	5.3161	1.1702
52306425	1479.0	1007.0	3057.0	4.832	1.1320000000000001	0.176	0.032	26.0	1.5	33.0	56.0	47.8465	14.581600000000002	-20.5813	86.0384	106.6198	6.562799999999999	4.4859	0.0639	4.3225	4.6002	0.2777
52835891	1184.0	897.0	2817.0	5.640000000000001	1.076	0.273	0.049	21.0	1.3	33.0	56.0	50.808099999999996	10.916599999999999	13.6651	89.64510000000001	75.9799	9.8036	4.1677	0.1752	3.8451	4.6188	0.7738
55710183	1550.0	1020.0	3349.0	2.955	0.474	0.146	0.03	23.0	2.0	10.0	17.0	20.9169	5.189	4.5811	36.1922	31.6111	4.031	5.0534	0.2629	4.0223	5.4232	1.4009
56162563	1598.0	1077.0	3545.0	2.878	0.457	0.133	0.033	24.0	1.9	10.0	17.0	21.2019	5.5257	3.3448	35.9308	32.586	3.8369	4.8943	0.3117	3.9639	5.4768	1.5129
60021964	1540.0	1074.0	3624.0	5.392	0.972	0.225	0.047	31.0	1.5	33.0	56.0	49.6194	10.3774	8.046800000000001	88.1003	80.0536	9.8457	4.4834	0.1396	4.129	4.7939	0.6649
62582335	2196.0	1473.0	4679.0	3.056	0.487	0.132	0.033	27.0	2.9	10.0	18.0	21.16	5.6241	-7.2778	37.8573	45.1351	3.7624	4.7189	0.3042	3.7773	5.2257	1.4484
65198031	1535.0	1005.0	3333.0	2.905	0.456	0.13	0.034	19.0	2.0	10.0	17.0	19.4157	5.3642	-4.0212	35.6664	39.6877	3.6195	4.9395	0.2704	4.1419	5.4459	1.3039
70214854	1635.0	1056.0	3533.0	2.885	0.602	0.134	0.036	21.0	2.3	10.0	17.0	21.8807	7.099	-3.1645	41.8738	45.0383	3.0822	4.3804	0.2185	3.8353	4.729	0.8937
71851847	1376.0	1001.0	3317.0	6.117	0.817	0.323	0.053000000000000005	24.0	1.9	33.0	56.0	56.1881	10.8193	9.969499999999998	87.29230000000001	77.3228	11.709999999999999	4.2943	0.16770000000000002	3.9584	4.6655999999999995	0.7073
74920331	1297.0	920.0	2866.0	5.667	1.129	0.263	0.05600000000000001	34.0	2.1	33.0	56.0	50.219300000000004	11.0634	3.0455000000000005	120.6942	117.6487	10.1075	4.3109	0.1839	4.0953	4.968	0.8727
77390767	2347.0	1532.0	4704.0	2.821	0.467	0.131	0.027	34.0	2.6	10.0	18.0	20.4742	5.1719	0.8927	36.8221	35.9294	3.9588	4.7363	0.2468	4.2102	5.2532	1.043
78982423	1435.0	937.0	3116.0	3.021	0.499	0.143	0.041	21.0	2.4	10.0	17.0	21.091	5.7878	4.4872	39.2892	34.802	3.644	4.7998	0.1846	4.3771	5.135	0.7578
80982198	1715.0	1196.0	3899.0	5.948	0.9929999999999999	0.246	0.041999999999999996	29.0	1.6	33.0	56.0	48.4367	11.9803	7.488199999999999	75.3768	67.8886	8.088799999999999	4.4788	0.11420000000000001	4.2926	4.7682	0.47559999999999997
82699044	1598.0	1099.0	3347.0	5.724	0.8160000000000001	0.229	0.049	41.0	1.7	33.0	56.0	51.7768	10.9143	13.131899999999998	76.6799	63.548100000000005	10.0208	4.5169	0.0814	4.305400000000001	4.690300000000001	0.3849
84407714	1183.0	847.0	2726.0	5.926	1.096	0.222	0.049	21.0	1.5	33.0	56.0	43.949799999999996	12.294699999999999	-1.5806000000000004	73.0669	74.6477	7.4483	4.3131	0.1028	4.0186	4.5533	0.5347
86226939	1626.0	1093.0	3524.0	2.888	0.59	0.141	0.035	23.0	2.1	10.0	17.0	20.0593	5.8124	-14.8334	38.5627	53.3961	3.4511	4.8056	0.295	4.2249	5.2699	1.045
93800202	999.0	705.0	2667.0	6.4190000000000005	1.132	0.21899999999999997	0.063	22.0	1.4	33.0	56.0	51.0817	13.427	11.261500000000002	82.6173	71.3558	7.7196	4.1273	0.0396	4.0094	4.212899999999999	0.2036
97005004	1543.0	1091.0	3449.0	5.765000000000001	1.006	0.185	0.037	31.0	2.1	33.0	56.0	51.4542	12.0047	0.08889999999999887	92.92840000000001	92.8395	9.2706	4.4838000000000005	0.1627	4.1538	4.712899999999999	0.5591
100527940	1465.0	1056.0	4117.0	6.547	1.336	0.265	0.071	35.0	3.3000000000000003	33.0	56.0	46.3401	12.4619	-6.6052	79.3571	85.9623	7.9558	4.3365	0.0754	4.2268	4.562200000000001	0.3354
103652366	1212.0	864.0	2748.0	5.286	1.043	0.24	0.032	16.0	1.1	33.0	56.0	48.245099999999994	10.6445	8.8246	73.1673	64.34280000000001	9.5292	4.3613	0.1046	4.2017	4.6389	0.4373
105914514	1283.0	931.0	3343.0	6.140000000000001	1.5070000000000001	0.263	0.092	25.0	2.5	33.0	56.0	30.7185	13.7915	-8.530100000000001	80.3698	88.8999	4.4543	4.044700000000001	0.13640000000000002	3.7768	4.3109	0.5341
107578676	1373.0	1002.0	3381.0	6.3629999999999995	0.983	0.28700000000000003	0.049	18.0	1.4000000000000001	33.0	56.0	54.903400000000005	11.9603	3.6541000000000015	88.3983	84.7443	9.2514	4.6333	0.1417	4.361	4.8978	0.5367999999999999
108828000	1177.0	859.0	2708.0	5.406000000000001	1.054	0.247	0.048	20.0	1.7	33.0	56.0	46.5453	10.7656	2.5048999999999992	72.3681	69.8633	9.3568	4.2322	0.1084	4.0371	4.4216	0.38439999999999996
113335479	2000.0	1316.0	4717.0	3.139	0.643	0.134	0.038	26.0	3.1	10.0	17.0	19.5239	6.1963	-2.2909	37.6677	39.9585	3.1509	5.664	0.622	4.0989	6.3657	2.2668
115784129	1845.0	1205.0	3292.0	2.63	0.547	0.138	0.038	25.0	2.5	10.0	17.0	19.7526	6.333	-1.7816	38.6351	40.4167	3.119					
119126177	1508.0	980.0	3352.0	3.006	0.59	0.119	0.025	17.0	1.4	10.0	17.0	20.7909	5.5507	3.9851	37.7405	33.7555	3.7456	4.775	0.1033	4.26	4.9912	0.7312
121697273	1684.0	1133.0	3681.0	2.89	0.5	0.15	0.034	27.0	2.3	10.0	17.0	22.0165	6.4887	4.329	38.9832	34.6542	3.393	5.3739	0.3081	4.7355	5.8901	1.1546
130118047	1921.0	1256.0	4497.0	3.11	0.536	0.137	0.034	29.0	2.2	10.0	17.0	21.0135	5.6789	2.16	36.2968	34.1367	3.7003	5.0459	0.2964	4.0526	5.4408	1.3881
131655018	1252.0	921.0	3021.0	5.469	1.036	0.238	0.049999999999999996	29.0	1.9	33.0	56.0	51.3144	11.9109	-0.7527000000000008	79.4527	80.2055	8.7735	4.5488	0.11549999999999999	4.3384	4.8065999999999995	0.46819999999999995
134279804	1542.0	1042.0	3204.0	2.77	0.416	0.122	0.024	17.0	1.5	10.0	17.0	19.8168	5.1491	4.8017	38.2247	33.4229	3.8486	4.8627	0.3651	3.9684	5.4288	1.4604
138434806	1971.0	1257.0	4167.0	2.874	0.61	0.138	0.038	27.0	2.9	10.0	17.0	19.7005	6.0147	-7.4072	37.0711	44.4784	3.2754	5.4323	0.3809	4.6054	6.1668	1.5615
154667058	1731.0	1195.0	3140.0	5.173	1.321	0.305	0.069	27.0	2.2	33.0	56.0	48.8917	13.644400000000001	-27.2879	85.5925	112.8803	7.1764	4.6012	0.0629	4.452999999999999	4.7637	0.3107
158779019	1449.0	947.0	2917.0	2.938	0.507	0.122	0.024	15.0	1.2	10.0	17.0	22.2288	5.1334	1.8796	38.69	36.8103	4.3302	4.9562	0.4665	4.2771	5.4937	1.2165
162526644	1444.0	1044.0	3626.0	4.939	1.1239999999999999	0.21499999999999997	0.061	31.0	2.7	33.0	56.0	37.9941	11.395399999999999	-15.9593	69.7282	85.6874	6.7623	4.617900000000001	0.0874	4.4554	4.8233	0.3678
163259093	1926.0	1289.0	4125.0	2.928	0.45	0.124	0.023	22.0	1.8	10.0	18.0	22.4515	4.9356	4.5216	36.9902	32.4686	4.5489	4.4864	0.1736	3.9017	4.7951	0.8934
176129790	2473.0	1673.0	4952.0	2.832	0.468	0.129	0.028	27.0	2.8	10.0	18.0	20.8543	5.3037	2.2501	36.8673	34.6172	3.932	4.7669	0.2434	3.8185	5.1345	1.3161
177928631	1365.0	988.0	3023.0	5.401999999999999	1.137	0.249	0.041	22.0	1.1	33.0	56.0	45.0984	10.721	10.4703	75.7812	65.3108	8.8525	4.4653	0.059000000000000004	4.3416	4.6388	0.2973
182017409	2623.0	1779.0	5166.0	2.877	0.439	0.133	0.024	34.0	2.6	10.0	18.0	21.4448	5.257	5.1475	36.723	31.5755	4.0793	5.2826	0.3608	4.4862	5.8123	1.3261
189913356	1914.0	1238.0	3492.0	2.655	0.885	0.139	0.058	27.0	5.1	10.0	17.0	18.2759	7.8132	-9.4486	42.5579	52.0065	2.3391	4.9454	0.2891	4.0432	5.2007	1.1575
190100766	2490.0	1645.0	5565.0	3.095	0.545	0.137	0.031	34.0	3.2	10.0	18.0	22.0196	5.9783	-6.3134	39.9532	46.2665	3.6833	5.0532	0.2559	4.4107	5.5612	1.1505
192039987	2635.0	1667.0	5181.0	2.94	0.627	0.127	0.039	31.0	4.5	10.0	18.0	17.6569	6.3716	-10.6735	36.4329	47.1064	2.7712	4.7404	0.2195	3.9555	5.0465	1.091
192271174	1707.0	1163.0	3571.0	2.94	0.468	0.123	0.026	16.0	1.8	10.0	18.0	20.2409	5.1618	3.6115	33.6874	30.0759	3.9212	4.2668	0.3518	3.5526	4.7764	1.2238
