participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1693.0	1118.0	3548.0	2.835	0.459	0.126	0.029	20.0	2.0	10.0	17.0	20.1974	5.547	-1.1408	34.4591	35.6	3.6411	5.0456	0.5059	3.7915	5.7155	1.924
8454119	2651.0	1785.0	5527.0	3.0	0.59	0.136	0.032	40.0	3.2	10.0	18.0	22.1564	6.3548	-1.5916	39.9359	41.5275	3.4866	5.3997	0.2538	4.5892	5.8911	1.3019
11407866	1936.0	1286.0	4452.0	3.143	0.574	0.139	0.036	30.0	2.5	10.0	17.0	21.2884	6.0252	0.1319	36.7766	36.6447	3.5332	5.2537	0.4989	4.1222	5.95	1.8278
11574123	2450.0	1740.0	6446.0	2.978	0.625	0.128	0.03	30.0	3.0	11.0	19.0	24.4209	5.9548	8.1384	46.8216	38.6832	4.101	2.2738	0.25	1.9501	3.172	1.2219
16684978	1267.0	875.0	2616.0	2.769	0.565	0.154	0.046	23.0	2.6	10.0	17.0	20.4441	6.3344	1.386	54.9698	53.5838	3.2275	4.7992	0.2414	4.1358	5.0819	0.9461
25354225	2575.0	1716.0	5645.0	3.076	0.505	0.127	0.034	32.0	3.6	10.0	18.0	21.1921	5.8926	-16.5294	38.8842	55.4136	3.5964	5.1033	0.198	4.2286	5.6478	1.4192
25811472	2080.0	1429.0	4909.0	3.066	0.505	0.116	0.024	21.0	1.9	10.0	17.0	21.2959	4.977	5.8325	37.2994	31.4668	4.2789	5.3863	0.3646	4.4396	6.0119	1.5723
27876862	2607.0	1780.0	5184.0	2.579	0.549	0.142	0.031	43.0	3.5	11.0	20.0	22.1118	5.7683	-9.0335	43.2341	52.2676	3.8333	2.2337	0.1664	1.8341	2.7593	0.9252
29811890	1628.0	1091.0	3895.0	3.224	0.52	0.125	0.027	18.0	1.6	10.0	17.0	23.2962	6.1206	-2.8844	45.7473	48.6316	3.8062	5.236	0.5141	4.1011	5.8507	1.7496
31361606	1889.0	1264.0	3907.0	2.745	0.515	0.134	0.027	22.0	2.0	10.0	18.0	20.4108	4.8392	-0.3065	33.6832	33.9897	4.2178	4.5635	0.1846	4.2295	5.0067	0.7772
32938469	3178.0	2050.0	7072.0	3.12	0.688	0.13	0.037	46.0	4.7	10.0	18.0	21.1345	6.9397	-2.3111	41.1225	43.4336	3.0454	5.2415	0.3982	4.0412	5.7308	1.6896
36895554	2159.0	1481.0	4529.0	2.863	0.509	0.134	0.03	26.0	2.7	10.0	18.0	19.9578	6.3215	-38.4492	51.8685	90.3177	3.1571	4.7727	0.2257	4.1423	5.0345	0.8922
37329051	2046.0	1351.0	4698.0	3.366	0.585	0.134	0.028	30.0	2.4	10.0	18.0	23.0193	5.8725	5.1174	39.6122	34.4949	3.9199	5.1427	0.2823	4.2045	5.5138	1.3093
37835493	3045.0	2147.0	7252.0	2.895	0.523	0.127	0.025	29.0	3.0	11.0	19.0	22.8744	5.5021	2.8424	40.6096	37.7672	4.1574	2.1813	0.2033	1.9453	2.9938	1.0484
43606631	2416.0	1534.0	3938.0	2.494	0.436	0.132	0.033	31.0	3.5	10.0	18.0	19.6135	5.4489	-12.9295	35.4645	48.394	3.5996	5.0805	0.2365	4.0748	5.3975	1.3227
49408975	3085.0	2125.0	8610.0	3.313	0.562	0.124	0.027	32.0	3.4	11.0	19.0	22.3568	5.2506	5.087	45.1254	40.0384	4.2579	2.2605	0.2392	1.9658	3.0588	1.093
51217255	2421.0	1615.0	4979.0	2.842	0.507	0.139	0.032	33.0	3.5	10.0	18.0	21.29	5.9611	-0.0618	36.1299	36.1918	3.5715	5.185	0.2995	4.4159	5.6781	1.2622
52306425	1926.0	1280.0	4068.0	2.924	0.442	0.143	0.033	28.0	2.7	10.0	17.0	19.5863	5.4429	0.5962	38.8244	38.2282	3.5985	5.0343	0.2314	4.1751	5.4416	1.2665
52835891	1411.0	955.0	3422.0	3.308	0.495	0.135	0.03	18.0	1.7	10.0	17.0	21.3606	6.0181	3.6244	39.9145	36.2901	3.5494	4.436	0.263	3.8675	4.7502	0.8827
55710183	2435.0	1611.0	4870.0	2.765	0.531	0.129	0.026	30.0	2.5	10.0	18.0	20.2099	5.1707	2.55	35.6653	33.1153	3.9085	5.4007	0.2257	4.362	5.8174	1.4554
56162563	2912.0	1928.0	5676.0	2.858	0.437	0.126	0.023	31.0	2.9	10.0	18.0	21.8474	4.507	5.0827	34.7183	29.6355	4.8474	5.0403	0.556	3.6507	5.6863	2.0357
60021964	1683.0	1121.0	3670.0	2.895	0.522	0.134	0.031	23.0	2.0	10.0	17.0	20.6346	5.4405	5.395	36.6781	31.283	3.7928	5.1749	0.4102	4.2438	5.6797	1.4359
62582335	2485.0	1772.0	6437.0	3.066	0.571	0.131	0.024	29.0	2.6	11.0	19.0	24.2888	5.7594	9.7204	41.8911	32.1707	4.2172	2.3189	0.1765	2.051	2.9312	0.8802
65198031	2442.0	1642.0	5184.0	2.959	0.506	0.128	0.027	28.0	2.5	10.0	18.0	19.9555	5.3565	2.9414	35.6733	32.7319	3.7255	4.695	0.1509	4.3559	4.9632	0.6073
70214854	2149.0	1444.0	4241.0	2.75	0.506	0.132	0.03	25.0	2.6	10.0	18.0	21.2405	5.6502	-9.7917	39.2657	49.0574	3.7592	4.0839	0.1628	3.6494	4.2852	0.6358
71851847	1651.0	1083.0	3876.0	3.139	0.547	0.127	0.026	20.0	1.7	10.0	17.0	22.654	5.5289	4.008	41.9638	37.9558	4.0974	4.835	0.3668	3.9338	5.5282	1.5944
74920331	1842.0	1215.0	3985.0	2.892	0.474	0.133	0.028	23.0	1.9	10.0	17.0	20.5216	4.923	3.8238	37.0351	33.2113	4.1685	4.7639	0.2077	3.8946	4.9736	1.079
77390767	2708.0	1827.0	6663.0	2.982	0.559	0.118	0.025	26.0	2.8	11.0	19.0	22.7256	6.2735	1.9039	42.3629	40.459	3.6225	2.152	0.1722	1.893	2.9521	1.0591
78982423	2116.0	1387.0	4180.0	2.895	0.524	0.126	0.029	24.0	2.5	10.0	18.0	21.1924	5.5718	2.6177	40.2678	37.65	3.8035	4.8437	0.1276	4.2985	5.0524	0.7538
80982198	1778.0	1195.0	4419.0	3.291	0.574	0.141	0.032	30.0	2.3	10.0	17.0	21.7176	6.1226	1.9354	39.0389	37.1034	3.5471	5.413	0.494	4.2108	6.1184	1.9076
82699044	1898.0	1265.0	3905.0	2.876	0.415	0.13	0.027	24.0	2.1	10.0	17.0	21.5875	5.5836	3.8771	40.9339	37.0568	3.8662	4.9213	0.4429	4.1479	5.6392	1.4913
84407714	1362.0	912.0	3170.0	2.957	0.467	0.122	0.03	17.0	1.6	10.0	17.0	20.5526	6.3232	-0.1712	40.7043	40.8756	3.2504	4.7736	0.3463	3.763	5.0971	1.3341
86226939	2277.0	1543.0	4502.0	2.767	0.457	0.136	0.029	29.0	2.7	10.0	18.0	19.9694	4.9037	3.6683	36.8406	33.1723	4.0723	4.9088	0.3276	4.1886	5.3505	1.1619
93800202	1383.0	894.0	2987.0	2.957	0.635	0.109	0.03	14.0	1.8	10.0	17.0	20.6189	6.1296	-1.4547	42.6187	44.0734	3.3638	4.7543	0.387	3.8156	5.1863	1.3707
97005004	1905.0	1249.0	4423.0	3.029	0.562	0.135	0.031	32.0	2.1	10.0	17.0	22.3187	6.4116	-0.9398	38.3466	39.2864	3.481	5.656	0.2728	4.7721	6.2342	1.4622
100527940	1987.0	1295.0	4394.0	2.936	0.697	0.138	0.041	32.0	3.4	10.0	17.0	19.7592	7.9462	-20.3127	41.2581	61.5708	2.4866	5.1564	0.3468	4.3421	5.6964	1.3542
103652366	1443.0	992.0	3043.0	2.898	0.57	0.147	0.037	26.0	2.4	10.0	17.0	19.8762	6.4098	0.0918	43.3844	43.2926	3.1009	4.7325	0.2922	3.9697	5.0905	1.1209
105914514	2244.0	1520.0	5288.0	3.033	0.813	0.122	0.037	24.0	3.2	10.0	17.0	18.1887	5.7831	-11.1362	35.236	46.3722	3.1452	5.8805	0.6432	3.9804	6.4588	2.4784
107578676	2300.0	1491.0	4894.0	2.981	0.582	0.135	0.043	42.0	4.0	10.0	17.0	21.8565	7.2003	-12.8329	40.2061	53.0389	3.0355	5.9134	0.4758	4.8639	6.5982	1.7343
108828000	1372.0	889.0	2740.0	2.722	0.445	0.13	0.039	20.0	2.0	10.0	17.0	18.6783	6.15	-3.5293	36.407	39.9363	3.0371	4.536	0.2336	3.8585	4.8391	0.9806
113335479	2739.0	1880.0	6111.0	3.081	0.551	0.133	0.027	34.0	3.1	10.0	18.0	20.5688	5.5278	-4.893	37.237	42.13	3.721	5.6677	0.3293	4.2926	6.2725	1.9799
115784129	2845.0	1831.0	5201.0	2.757	0.47	0.124	0.026	29.0	2.9	10.0	18.0	20.8274	5.3388	3.3233	36.8026	33.4793	3.9011					
