participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3745.0	2532.0	8444.0	2.814	0.59	0.126	0.025	39.0	3.7	11.0	19.0	23.5766	4.9859	4.3418	40.9467	36.6048	4.7287	2.1817	0.2188	1.9426	3.1343	1.1917
8454119	4059.0	2743.0	8250.0	2.591	0.562	0.124	0.026	44.0	4.3	11.0	20.0	23.5294	6.0536	-1.4394	42.3584	43.7978	3.8869	2.7099	0.1344	2.4149	3.1849	0.77
11407866	3210.0	2269.0	8795.0	3.037	0.731	0.127	0.033	44.0	4.5	11.0	19.0	26.4645	7.0002	-12.877	45.4857	58.3627	3.7805	2.3527	0.215	2.0932	3.0969	1.0037
11574123	1656.0	1026.0	3782.0	3.035	0.564	0.112	0.034	23.0	2.2	41.0	63.0	20.5081	6.5149	-9.7656	40.4087	50.1743	3.1479	3.8533	0.2801	3.5131	4.8285	1.3153
16684978	2702.0	1878.0	7318.0	3.096	0.652	0.139	0.034	39.0	3.6	11.0	19.0	22.8116	5.8161	-3.0717	40.34	43.4117	3.9221	2.3501	0.3134	1.9424	3.3323	1.3899
25354225	2650.0	1810.0	7127.0	3.366	0.615	0.128	0.033	29.0	3.6	11.0	20.0	23.497	6.7899	-17.3874	42.0141	59.4015	3.4606	2.3616	0.0982	2.1792	2.817	0.6378
25811472	3625.0	2503.0	9734.0	3.115	0.626	0.126	0.03	48.0	4.2	11.0	19.0	23.6753	6.1832	-25.1658	46.0102	71.1759	3.829	2.4512	0.2318	2.1443	3.5385	1.3942
27876862	2211.0	1567.0	4613.0	2.693	0.565	0.139	0.026	33.0	2.5	33.0	64.0	21.8983	5.5366	-14.9197	36.9804	51.9002	3.9552	3.4298	0.1056	3.2324	3.8445	0.6121
29811890	2902.0	1944.0	7790.0	3.295	0.679	0.12	0.032	42.0	3.6	11.0	19.0	22.868	7.0337	-20.4249	47.5582	67.9831	3.2512	2.2615	0.2405	1.917	3.296	1.379
31361606	2788.0	1877.0	7048.0	3.002	0.609	0.125	0.026	30.0	3.1	11.0	20.0	22.13	5.9108	3.0123	47.6518	44.6395	3.744	2.1482	0.1022	1.9824	2.5836	0.6012
32938469	3357.0	2312.0	7375.0	2.647	0.63	0.128	0.031	45.0	4.4	11.0	20.0	21.713	6.7162	-1.9196	44.5674	46.487	3.2329	2.6582	0.1903	2.3037	3.0281	0.7244
36895554	2826.0	1876.0	6718.0	3.051	0.525	0.127	0.034	39.0	4.2	11.0	20.0	21.6416	6.4128	-3.4399	41.3878	44.8277	3.3747	2.2889	0.1025	2.1545	2.602	0.4475
37329051	2749.0	1862.0	7747.0	3.219	0.782	0.137	0.042	52.0	5.4	11.0	20.0	24.9234	6.922	-9.4315	49.7578	59.1894	3.6006	2.4375	0.1032	2.211	2.8118	0.6008
37835493	1875.0	1284.0	3884.0	2.674	0.486	0.127	0.024	25.0	1.8	41.0	63.0	21.8887	4.9921	3.5636	37.4101	33.8465	4.3846	3.6236	0.1503	3.3426	4.2436	0.901
43606631	2936.0	1822.0	5926.0	2.742	0.594	0.129	0.04	35.0	5.1	11.0	20.0	18.8121	6.5032	-29.2652	63.4762	92.7415	2.8927	2.3015	0.0912	2.1233	2.5965	0.4732
49408975	1759.0	1178.0	4779.0	3.028	0.607	0.136	0.03	28.0	2.1	41.0	63.0	20.7672	5.3384	4.0648	36.6703	32.6055	3.8901	4.4129	0.3225	3.716	5.1317	1.4158
51217255	2409.0	1610.0	6483.0	3.392	0.466	0.118	0.027	20.0	2.6	11.0	20.0	23.8994	6.2418	4.5109	48.3674	43.8566	3.829	2.1901	0.1317	1.9871	2.612	0.6249
52306425	3491.0	2395.0	8835.0	3.104	0.563	0.12	0.024	31.0	3.5	11.0	19.0	23.2335	5.1146	1.7984	42.1626	40.3643	4.5426	2.1971	0.1453	2.0098	2.8782	0.8684
52835891	3113.0	2108.0	8226.0	3.17	0.625	0.121	0.032	41.0	4.1	11.0	19.0	24.2785	6.5827	-25.9084	44.5488	70.4572	3.6882	2.1494	0.1752	1.9704	3.0987	1.1283
55710183	2950.0	2012.0	7089.0	2.844	0.607	0.136	0.042	46.0	5.0	11.0	20.0	21.5458	5.9613	-17.6238	41.0088	58.6327	3.6143	2.3549	0.1003	2.1577	2.7113	0.5536
56162563	2674.0	1808.0	6243.0	2.883	0.633	0.121	0.031	28.0	3.5	11.0	20.0	23.8747	6.3069	-2.745	44.7214	47.4665	3.7855	2.2569	0.115	2.064	2.5837	0.5196
