participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3489.0	2165.0	7133.0	2.858	0.47	0.12	0.028	33.0	4.1	11.0	20.0	21.3491	6.5017	-8.205	46.1645	54.3695	3.2836	2.1944	0.0783	2.0762	2.4816	0.4053
8454119	2477.0	1723.0	5963.0	3.039	0.577	0.122	0.028	36.0	2.8	41.0	63.0	23.225	6.4592	-2.0029	39.6344	41.6373	3.5956	4.1251	0.1905	3.5564	4.8229	1.2665
11407866	3113.0	2158.0	9350.0	3.39	0.601	0.121	0.026	31.0	3.3	11.0	20.0	25.4405	6.7002	-13.7662	45.2582	59.0245	3.7969	2.1949	0.1222	1.9425	2.5299	0.5873
11574123	4361.0	2918.0	9100.0	2.735	0.553	0.123	0.03	63.0	5.4	33.0	64.0	21.6718	5.9683	-9.1165	38.0657	47.1822	3.6311	3.6499	0.3289	3.1875	4.6924	1.5049
16684978	2652.0	1839.0	6655.0	3.019	0.591	0.135	0.029	29.0	3.2	11.0	20.0	22.7122	6.0403	2.383	41.6983	39.3153	3.7601	2.2529	0.1473	1.9537	2.6335	0.6798
25354225	1866.0	1207.0	4561.0	3.166	0.525	0.115	0.025	25.0	1.9	41.0	63.0	21.5731	6.1415	3.4256	42.9847	39.559	3.5127	4.0914	0.2511	3.7239	4.7873	1.0634
25811472	3652.0	2503.0	9495.0	3.144	0.571	0.131	0.035	50.0	5.3	11.0	20.0	22.5425	5.9622	-9.7672	51.7065	61.4737	3.7809	2.4992	0.2027	2.1629	2.936	0.7731
27876862	3341.0	2198.0	7517.0	2.853	0.706	0.138	0.04	61.0	5.6	53.0	89.0	23.4051	6.7173	-9.7508	44.2563	54.007	3.4843	2.7336	0.2256	2.1868	3.3681	1.1813
29811890	2509.0	1564.0	5712.0	3.113	0.624	0.118	0.038	32.0	4.5	11.0	20.0	21.7535	7.1141	-17.4509	45.2911	62.742	3.0578	2.3931	0.1226	2.1678	2.7766	0.6088
31361606	1161.0	809.0	2647.0	2.764	0.53	0.13	0.027	17.0	1.3	41.0	63.0	20.1972	5.0183	3.5035	38.8859	35.3824	4.0247	3.5881	0.2223	3.1933	4.163	0.9697
32938469	2279.0	1420.0	4525.0	2.8	0.654	0.13	0.037	40.0	3.5	41.0	63.0	19.0379	7.6086	-8.6644	38.2438	46.9082	2.5022	4.082	0.2396	3.6666	4.7109	1.0443
36895554	1655.0	1146.0	4065.0	3.083	0.53	0.144	0.034	24.0	2.1	41.0	63.0	21.9716	5.6593	2.5592	42.0629	39.5036	3.8824	3.9274	0.37	3.2187	4.6998	1.4811
37329051	1580.0	994.0	3478.0	2.929	0.6	0.123	0.033	25.0	2.3	41.0	63.0	20.9097	7.6268	-2.2953	39.0465	41.3418	2.7416	4.0592	0.2127	3.5936	4.7424	1.1487
37835493	4015.0	2745.0	8035.0	2.661	0.482	0.125	0.023	50.0	3.6	33.0	64.0	22.2911	4.4297	0.5661	36.2371	35.6709	5.0321	3.5669	0.2255	3.2877	4.5897	1.302
43606631	1358.0	956.0	2652.0	2.45	0.468	0.14	0.035	19.0	2.0	41.0	63.0	21.6634	5.443	3.7673	44.9681	41.2008	3.9801	3.9464	0.1906	3.6019	4.473	0.8711
49408975	3726.0	2530.0	8961.0	2.981	0.669	0.122	0.024	45.0	3.7	33.0	64.0	21.3572	4.5898	3.369	34.2166	30.8476	4.6532	3.5883	0.2969	3.2246	4.596	1.3713
51217255	1534.0	1041.0	3731.0	2.864	0.571	0.109	0.02	14.0	1.4	40.0	63.0	23.804	4.7754	7.0406	45.5272	38.4866	4.9847	3.7759	0.2473	3.4484	4.4241	0.9757
52306425	4238.0	2817.0	10079.0	3.067	0.5	0.12	0.025	36.0	4.2	11.0	20.0	22.0168	5.6553	-0.6806	39.3926	40.0732	3.8931	2.1982	0.098	1.997	2.7367	0.7397
