participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	4836.0	3235.0	9972.0	2.821	0.425	0.115	0.021	51.0	4.3	33.0	64.0	22.0437	4.5607	0.8486	34.213	33.3644	4.8334	3.4701	0.2203	3.0883	4.6139	1.5257
8454119	5566.0	3604.0	11162.0	2.801	0.858	0.138	0.049	101.0	12.3	53.0	89.0	21.7478	9.1448	-28.3144	49.3543	77.6687	2.3782	2.7764	0.1486	2.5049	3.1204	0.6155
11407866	4881.0	3240.0	11459.0	3.157	0.616	0.12	0.024	61.0	5.0	33.0	64.0	22.7263	5.5252	-6.9556	35.211	42.1666	4.1132	3.6805	0.3472	3.1693	4.7834	1.6141
11574123	5552.0	3638.0	12356.0	2.852	0.7	0.132	0.034	94.0	8.3	44.0	90.0	22.0779	6.8634	-13.2537	45.1281	58.3818	3.2168	2.7586	0.2326	2.2266	3.1954	0.9687
16684978	3248.0	2168.0	6970.0	2.744	0.637	0.127	0.027	42.0	3.4	33.0	64.0	22.2795	4.8687	-2.8109	38.1374	40.9482	4.5761	3.539	0.2999	3.216	4.5086	1.2925
25354225	3754.0	2462.0	10163.0	3.12	0.831	0.123	0.035	53.0	5.1	53.0	89.0	23.0806	7.3551	-11.0431	49.8769	60.9199	3.138	2.9452	0.2771	2.4062	3.7183	1.3121
25811472	4756.0	3081.0	10684.0	3.106	0.626	0.118	0.033	80.0	6.9	33.0	64.0	21.202	6.616	-12.3067	38.3206	50.6273	3.2047	3.6824	0.3021	3.303	5.2984	1.9955
27876862	6647.0	4604.0	14664.0	2.754	0.572	0.131	0.031	95.0	9.1	51.0	85.0	22.8576	6.4176	-13.2192	46.6311	59.8503	3.5617	3.3612	0.3134	2.4284	4.0259	1.5975
29811890	6438.0	3833.0	10471.0	2.643	0.58	0.118	0.038	90.0	10.9	33.0	64.0	21.2015	8.3632	-12.3661	47.4739	59.84	2.5351	3.6993	0.2539	3.3049	4.8608	1.5559
31361606	2858.0	1982.0	6958.0	2.948	0.709	0.148	0.037	49.0	4.5	54.0	89.0	24.7219	6.8362	-8.9908	45.6768	54.6677	3.6163	2.5181	0.1227	2.2966	2.9696	0.673
32938469	4305.0	2787.0	9510.0	2.885	0.774	0.131	0.045	75.0	7.8	54.0	89.0	21.6348	7.7129	-21.7384	46.2599	67.9984	2.805	2.9126	0.3315	2.2859	3.5094	1.2236
36895554	3958.0	2614.0	9399.0	2.891	0.846	0.133	0.042	68.0	7.5	53.0	89.0	22.0347	7.7217	-18.9231	48.7484	67.6714	2.8536	2.7252	0.1844	2.1625	3.3031	1.1406
37329051	4339.0	2978.0	11681.0	3.032	0.757	0.14	0.038	87.0	6.9	53.0	89.0	21.6717	7.1148	-18.3691	47.4342	65.8033	3.046	3.0675	0.2281	2.6807	3.7398	1.0592
