participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	5749.0	3790.0	12794.0	2.819	0.615	0.132	0.031	95.0	7.5	45.0	90.0	22.1727	6.2921	-55.933	45.1326	101.0657	3.5239	2.5149	0.1585	2.1485	3.082	0.9335
8454119	11685.0	7580.0	25828.0	2.918	0.651	0.12	0.031	168.0	14.3	51.0	85.0	23.2391	7.236	-18.6946	43.748	62.4426	3.2116	3.6067	0.5158	2.6482	5.179	2.5308
11407866	6539.0	4351.0	15908.0	2.994	0.763	0.127	0.035	94.0	9.5	45.0	90.0	21.8687	6.8073	-12.1027	39.6234	51.726	3.2125	2.7686	0.2463	2.2504	3.3843	1.1339
11574123	8881.0	5688.0	18201.0	2.838	0.67	0.12	0.029	116.0	10.7	42.0	86.0	21.3434	6.6529	-6.2714	40.0684	46.3398	3.2082	3.3523	0.3902	2.6211	4.7086	2.0875
16684978	4288.0	2822.0	9177.0	2.696	0.661	0.128	0.035	64.0	5.9	45.0	90.0	21.2518	6.1707	-61.5205	40.6699	102.1904	3.444	2.8038	0.1715	2.4103	3.3305	0.9202
25354225	9309.0	6019.0	21340.0	3.074	0.672	0.112	0.032	112.0	12.9	51.0	85.0	21.8451	8.0115	-14.1459	51.1821	65.3279	2.7267	3.9414	0.4914	2.6796	5.1837	2.5042
25811472	6065.0	3997.0	14486.0	3.001	0.837	0.136	0.046	97.0	12.0	45.0	90.0	20.6691	6.9039	-27.7515	46.4979	74.2494	2.9939	2.9184	0.2062	2.4981	3.8628	1.3647
27876862	640.0	431.0	2344.0	3.741	0.588	0.14	0.037	13.0	1.0	52.0	87.0	25.1699	6.8737	-10.4426	40.8591	51.3017	3.6618	2.5584	0.2381	2.2329	3.1978	0.9648
29811890	6669.0	4265.0	15031.0	2.938	0.693	0.117	0.034	96.0	9.8	45.0	90.0	22.2163	8.2472	-11.9027	45.1608	57.0635	2.6938	3.0134	0.2442	2.3039	3.4067	1.1027
31361606	5656.0	3892.0	13175.0	2.893	0.647	0.127	0.03	76.0	7.2	52.0	85.0	23.0922	6.2709	-3.5787	55.8304	59.4092	3.6825	3.1365	0.3357	2.5139	4.2089	1.6949
32938469	10335.0	6396.0	18788.0	2.658	0.736	0.127	0.061	258.0	20.6	52.0	85.0	18.6907	9.1742	-35.1242	61.6484	96.7726	2.0373	3.921	0.555	2.556	5.4411	2.8851
36895554	7775.0	5312.0	17623.0	2.866	0.628	0.115	0.03	96.0	9.8	51.0	85.0	22.2077	6.0824	-16.1968	46.5916	62.7883	3.6511	3.5559	0.4134	2.7078	4.6265	1.9186
37329051	8977.0	5897.0	19861.0	2.956	0.686	0.12	0.032	115.0	12.3	51.0	85.0	22.132	7.4481	-9.7512	46.9847	56.7358	2.9715	3.8122	0.4139	2.7934	4.9371	2.1437
37835493	8051.0	5396.0	16706.0	2.764	0.552	0.12	0.023	101.0	7.4	43.0	86.0	22.0975	5.0763	3.3232	35.7662	32.443	4.3531	3.3054	0.3546	2.6263	4.5043	1.8781
43606631	7138.0	4811.0	13338.0	2.445	0.505	0.134	0.036	120.0	10.4	51.0	85.0	22.3502	6.7076	-51.1629	45.5896	96.7526	3.3321	3.635	0.3203	2.8258	4.3866	1.5608
49408975	7710.0	5215.0	18853.0	3.089	0.59	0.127	0.026	114.0	8.6	42.0	86.0	20.5122	5.3927	-18.6296	42.4375	61.0671	3.8037	3.4204	0.4329	2.4426	4.6502	2.2077
51217255	8196.0	5453.0	18294.0	2.948	0.603	0.117	0.025	92.0	8.2	51.0	85.0	24.187	5.7922	-17.0761	45.2758	62.3519	4.1758	3.6205	0.5557	2.6343	5.0086	2.3743
52306425	5824.0	3895.0	13937.0	2.928	0.664	0.134	0.036	107.0	9.0	45.0	90.0	23.0254	6.6259	-16.9381	45.521	62.4591	3.475	2.9219	0.334	2.239	3.7116	1.4726
52835891	5196.0	3503.0	11617.0	2.836	0.707	0.131	0.039	92.0	9.0	45.0	90.0	20.8428	6.8805	-26.9349	47.1671	74.102	3.0293	2.6912	0.1499	2.2683	3.1501	0.8818
