participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	7711.0	5100.0	17374.0	2.894	0.576	0.125	0.029	109.0	9.4	52.0	85.0	23.3694	5.8041	-4.6225	53.0534	57.6759	4.0263	3.3961	0.5654	2.5635	5.2157	2.6522
8454119	11752.0	7459.0	24537.0	2.946	0.641	0.121	0.033	247.0	17.4	43.0	86.0	22.1705	6.794	-28.9623	40.1062	69.0685	3.2633	3.618	0.441	2.6024	4.9596	2.3572
11407866	8597.0	5890.0	21910.0	3.173	0.594	0.111	0.022	95.0	7.8	52.0	85.0	24.1985	6.003	0.5917	48.3903	47.7986	4.0311	3.5479	0.4269	2.5124	4.8147	2.3022
11574123	698.0	519.0	2682.0	3.433	0.684	0.154	0.035	13.0	1.0	52.0	87.0	25.4312	6.6	7.4655	52.454	44.9885	3.8532	2.4777	0.1969	2.2072	3.0863	0.8791
16684978	6854.0	4671.0	14659.0	2.744	0.581	0.142	0.035	109.0	10.1	52.0	85.0	21.7117	6.3635	-5.6136	45.3307	50.9443	3.4119	3.4555	0.249	2.8624	4.4267	1.5643
25354225	9840.0	6489.0	19149.0	2.847	0.819	0.132	0.044	158.0	20.8	43.0	86.0	17.7479	9.2798	-24.028	44.1114	68.1394	1.9125	3.6358	0.319	2.8646	4.519	1.6543
25811472	8797.0	5768.0	21787.0	3.109	0.663	0.115	0.029	107.0	9.8	52.0	85.0	23.2166	6.2169	-16.9258	46.6247	63.5505	3.7344	3.735	0.4558	2.7228	5.3575	2.6348
27876862	1035.0	687.0	3310.0	3.379	0.649	0.154	0.043	21.0	1.7	43.0	88.0	22.7944	6.6849	-17.7705	38.9722	56.7427	3.4098	2.4018	0.1784	2.2158	3.1702	0.9544
29811890	12191.0	7657.0	24764.0	2.823	0.722	0.107	0.029	160.0	15.0	52.0	85.0	21.7324	8.3796	-14.5292	46.5407	61.0699	2.5935	3.8175	0.3162	2.678	4.6089	1.9309
31361606	5611.0	3723.0	12845.0	2.94	0.749	0.126	0.03	75.0	6.5	42.0	86.0	21.6206	6.1329	-18.779	43.1631	61.942	3.5253	2.8642	0.3321	2.4322	3.9397	1.5075
