participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	7760.0	5126.0	16750.0	2.945	0.563	0.114	0.023	82.0	7.1	43.0	86.0	22.2713	5.3208	-0.0346	39.2342	39.2688	4.1857	3.3013	0.4887	2.4131	5.0061	2.593
8454119	950.0	588.0	3145.0	3.467	0.757	0.149	0.051	16.0	1.9	52.0	87.0	21.7098	6.0833	0.7671	40.6659	39.8988	3.5687	2.9365	0.4571	2.5525	4.3892	1.8367
11407866	9175.0	6005.0	20248.0	2.967	0.666	0.113	0.027	116.0	10.0	43.0	86.0	21.9857	6.9436	-23.7561	37.8246	61.5807	3.1663	3.3398	0.3724	2.4501	4.6109	2.1608
11574123	1245.0	839.0	3980.0	3.397	0.737	0.14	0.038	19.0	2.0	43.0	88.0	22.8332	6.6274	-14.907	55.6373	70.5443	3.4453	2.9246	0.6903	2.2662	4.64	2.3739
16684978	6566.0	4520.0	13575.0	2.712	0.614	0.137	0.032	104.0	8.8	43.0	86.0	21.2299	6.1438	-10.4249	40.9096	51.3346	3.4555	3.3088	0.2355	2.6785	3.8278	1.1493
25354225	741.0	498.0	2271.0	2.907	1.003	0.165	0.062	18.0	2.2	52.0	87.0	22.8791	10.1098	-41.4366	65.0005	106.4372	2.2631	2.809	0.3504	2.4195	3.6411	1.2216
25811472	8632.0	5601.0	19462.0	2.996	0.659	0.111	0.027	98.0	9.3	43.0	86.0	21.6492	6.0206	-10.5054	37.6067	48.1121	3.5958	3.382	0.337	2.6936	4.8369	2.1433
27876862	990.0	693.0	3342.0	3.539	0.797	0.123	0.026	14.0	0.9	50.0	83.0	23.5316	5.7097	5.2664	40.1035	34.8372	4.1214	2.9807	0.3918	2.2281	4.069	1.8408
29811890	12386.0	7469.0	22195.0	2.781	0.729	0.113	0.033	152.0	17.9	43.0	86.0	19.9701	8.4501	-17.256	40.7097	57.9657	2.3633	3.5428	0.3235	2.6853	4.7023	2.017
31361606	565.0	427.0	2344.0	3.689	0.728	0.194	0.067	15.0	1.7	53.0	87.0	25.9284	6.8972	-4.7635	47.3119	52.0753	3.7592	2.6792	0.2968	2.3443	3.464	1.1197
