participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1053.0	772.0	3217.0	3.284	0.688	0.155	0.035	19.0	1.6	44.0	88.0	24.8136	6.0071	7.4182	45.2184	37.8003	4.1307	2.9598	0.6168	2.33	4.3587	2.0287
8454119	1453.0	965.0	4829.0	3.837	0.638	0.132	0.039	23.0	2.4	50.0	83.0	21.5942	6.564	-8.3168	43.451	51.7678	3.2898	3.7768	0.8194	2.6208	5.6603	3.0394
11407866	1169.0	831.0	4135.0	3.576	0.797	0.146	0.035	21.0	1.7	44.0	88.0	23.8433	6.0808	1.8202	41.0563	39.2362	3.9211	2.9048	0.4664	2.4177	4.205	1.7873
11574123	1862.0	1194.0	5929.0	3.653	0.72	0.118	0.035	23.0	2.7	41.0	84.0	21.6367	5.5051	5.509	41.3443	35.8353	3.9303	3.8635	0.8806	2.3259	5.3003	2.9744
16684978	970.0	669.0	3003.0	3.306	0.669	0.134	0.041	16.0	1.6	44.0	88.0	22.9569	6.0306	-6.9179	41.2159	48.1338	3.8067	2.8537	0.3214	2.4825	3.6749	1.1924
25354225	1335.0	903.0	4028.0	2.983	0.905	0.147	0.065	25.0	3.7	50.0	83.0	21.5068	11.7431	-40.8987	58.3294	99.2281	1.8314	3.6949	0.8132	2.4647	5.1504	2.6856
25811472	1188.0	818.0	3375.0	3.178	0.783	0.132	0.034	20.0	1.8	44.0	88.0	22.378	6.1018	-8.5764	40.4694	49.0458	3.6675	3.4129	0.5846	2.6464	4.9815	2.335
27876862	2497.0	1740.0	5774.0	2.819	0.615	0.116	0.023	32.0	2.5	49.0	81.0	21.0124	4.9396	-1.7766	37.0283	38.8049	4.2538	3.9219	0.2239	3.2705	4.3937	1.1232
29811890	920.0	638.0	3275.0	3.622	0.759	0.128	0.029	15.0	1.0	44.0	88.0	27.3979	6.1119	7.5436	47.4261	39.8826	4.4827	2.9128	0.5381	2.386	4.4014	2.0154
31361606	861.0	654.0	2974.0	3.4	0.743	0.139	0.047	13.0	2.0	51.0	83.0	24.8575	7.5717	-17.0217	51.4605	68.4822	3.2829	3.2299	0.5636	2.4404	4.5266	2.0862
32938469	1149.0	816.0	4257.0	3.648	0.863	0.143	0.043	22.0	2.1	51.0	83.0	21.9789	7.2071	-7.5888	46.7969	54.3857	3.0496	3.5462	0.953	2.4683	5.6438	3.1755
36895554	1300.0	884.0	3976.0	3.366	0.765	0.141	0.057	25.0	3.1	50.0	83.0	22.8186	8.6183	-14.7144	51.4	66.1144	2.6477	3.5207	0.6404	2.2927	4.8368	2.5441
37329051	1181.0	813.0	4183.0	3.444	0.686	0.129	0.038	19.0	1.9	50.0	83.0	22.2699	7.5567	-21.564	45.1976	66.7616	2.9471	3.5455	0.5441	2.7036	5.2032	2.4996
