participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1418.0	974.0	4301.0	3.4	0.612	0.129	0.027	18.0	1.7	51.0	83.0	24.7108	5.9654	-0.7865	45.4429	46.2294	4.1424	3.6234	0.9447	2.4393	5.3485	2.9091
8454119	2142.0	1332.0	6632.0	3.695	0.83	0.125	0.041	32.0	3.5	42.0	84.0	20.6332	7.387	-12.2482	46.9235	59.1717	2.7932	3.8968	0.9944	2.5586	5.7816	3.223
11407866	1427.0	989.0	5536.0	3.958	0.585	0.119	0.029	17.0	1.6	51.0	83.0	23.2892	5.9549	8.0429	45.5729	37.53	3.9109	3.5585	0.9534	2.2307	5.5599	3.3292
11574123	4553.0	2737.0	9203.0	2.915	0.601	0.105	0.03	56.0	5.2	49.0	81.0	19.8448	6.6452	-11.7361	41.2743	53.0103	2.9864	4.5238	0.4916	3.1974	5.4415	2.2441
16684978	1018.0	718.0	3717.0	3.667	0.699	0.151	0.043	18.0	1.8	51.0	83.0	22.2637	7.3816	-9.9656	43.6217	53.5873	3.0161	3.5529	0.7413	2.5149	4.9356	2.4207
25354225	1675.0	1174.0	4590.0	3.046	0.915	0.142	0.057	31.0	4.5	42.0	84.0	19.034	10.2065	-58.6577	52.8591	111.5169	1.8649	4.1465	0.7428	2.4786	5.241	2.7624
25811472	1446.0	997.0	4793.0	3.398	1.015	0.131	0.043	26.0	2.7	51.0	83.0	21.0896	5.9375	-15.9472	41.1862	57.1333	3.552	3.7777	0.9994	2.3819	5.7355	3.3536
27876862	4877.0	3220.0	9606.0	2.858	0.575	0.119	0.024	60.0	4.6	40.0	82.0	21.4201	5.4227	-0.5075	35.7258	36.2333	3.95	3.7218	0.2852	2.8754	4.3324	1.457
29811890	1436.0	969.0	5321.0	3.828	0.697	0.131	0.041	23.0	2.3	51.0	83.0	23.8078	7.0741	-3.6072	49.8044	53.4116	3.3655	3.4153	0.8236	2.3426	5.488	3.1454
31361606	1313.0	868.0	3697.0	3.132	0.691	0.124	0.028	18.0	1.7	41.0	84.0	24.2986	6.0001	0.7433	58.1353	57.392	4.0497	3.3716	0.7494	2.3169	4.7335	2.4166
32938469	1790.0	1176.0	5347.0	3.298	0.946	0.147	0.047	32.0	3.7	41.0	84.0	19.5644	8.2574	-15.1199	53.8022	68.9221	2.3693	3.8917	0.9323	2.4994	5.3998	2.9005
36895554	1548.0	1022.0	4935.0	3.682	0.645	0.113	0.027	18.0	1.8	42.0	84.0	21.9985	5.5221	1.1079	39.2627	38.1549	3.9837	3.7781	0.7399	2.3006	4.8159	2.5153
37329051	1882.0	1183.0	4804.0	3.068	0.72	0.102	0.024	25.0	2.1	42.0	84.0	20.6134	6.2979	-5.5064	41.0989	46.6052	3.2731	3.8613	0.8634	2.6262	5.5011	2.8749
37835493	3654.0	2410.0	7356.0	2.679	0.521	0.112	0.022	34.0	3.4	49.0	81.0	20.4921	4.9542	2.6416	42.4019	39.7602	4.1363	4.2974	0.3711	3.5402	5.0649	1.5247
43606631	1505.0	998.0	3825.0	3.146	0.591	0.118	0.025	20.0	1.3	42.0	84.0	24.6929	5.7501	-1.7786	47.5606	49.3393	4.2944	3.7538	0.8956	2.2259	5.2396	3.0137
49408975	3316.0	2150.0	7132.0	2.896	0.56	0.101	0.022	41.0	3.1	49.0	81.0	20.2263	5.7544	-28.6427	41.7074	70.3501	3.5149	4.7155	0.3326	3.9385	5.3748	1.4363
51217255	1498.0	1003.0	4365.0	3.323	0.52	0.113	0.027	17.0	1.7	41.0	84.0	23.534	6.2158	5.613	47.5731	41.96	3.7862	3.6408	0.9378	2.2768	5.3129	3.0361
52306425	1597.0	1053.0	4760.0	3.626	0.501	0.124	0.025	23.0	1.6	51.0	83.0	21.8915	5.624	1.1334	41.6466	40.5131	3.8925	3.3823	0.7513	2.3998	5.1516	2.7518
52835891	1067.0	743.0	4103.0	3.972	0.579	0.131	0.043	15.0	1.8	51.0	83.0	23.6037	7.6249	1.735	62.2446	60.5096	3.0956	3.4265	0.6662	2.3545	4.5674	2.2129
55710183	1833.0	1198.0	5505.0	3.482	0.625	0.111	0.026	27.0	2.0	41.0	84.0	21.893	6.0073	-11.3264	40.6108	51.9372	3.6444	3.7557	0.9216	2.4174	5.648	3.2307
56162563	1426.0	967.0	4713.0	3.83	0.7	0.121	0.025	17.0	1.3	41.0	84.0	23.9989	5.1497	10.3253	45.6305	35.3051	4.6602	4.0345	0.9772	2.4532	5.5686	3.1153
60021964	1406.0	937.0	4312.0	3.431	0.783	0.126	0.042	27.0	2.4	51.0	83.0	21.3207	6.7677	-6.8222	47.5758	54.3979	3.1504	3.8096	0.9043	2.4511	5.677	3.2259
62582335	3488.0	2214.0	8030.0	3.025	0.647	0.103	0.027	36.0	3.7	49.0	81.0	20.1304	6.5799	-6.3727	45.7902	52.1629	3.0594	4.2654	0.5177	3.1952	5.0742	1.879
65198031	1534.0	1065.0	5003.0	3.659	0.547	0.129	0.029	25.0	2.0	41.0	84.0	22.5433	6.1988	-1.916	46.1834	48.0994	3.6367	3.5828	0.8267	2.29	4.9732	2.6832
70214854	1460.0	1010.0	4245.0	3.435	0.769	0.128	0.03	22.0	1.7	42.0	84.0	22.8267	6.3221	5.4705	45.9075	40.437	3.6106	3.3003	0.58	2.0198	4.2148	2.195
71851847	1447.0	963.0	5107.0	3.889	0.689	0.113	0.027	16.0	1.5	51.0	83.0	24.7697	6.7711	0.8857	43.1563	42.2706	3.6581	3.4667	0.7248	2.4278	5.0851	2.6573
74920331	1295.0	895.0	4702.0	3.868	0.589	0.128	0.025	15.0	1.3	51.0	83.0	24.266	5.2185	8.9537	41.8971	32.9434	4.65	3.2238	0.5732	2.4816	4.7912	2.3096
77390767	2880.0	1933.0	5995.0	2.79	0.541	0.105	0.02	31.0	2.4	49.0	81.0	21.7341	5.3311	2.9536	41.0896	38.136	4.0769	4.2167	0.4199	3.3435	5.0502	1.7068
78982423	1477.0	1003.0	4399.0	3.32	0.646	0.119	0.023	24.0	1.6	42.0	84.0	22.5251	6.4621	-1.4911	49.4721	50.9632	3.4857	3.3114	0.6953	2.2938	4.9085	2.6147
80982198	1338.0	948.0	4935.0	3.647	0.857	0.134	0.041	31.0	2.5	51.0	83.0	22.145	8.0801	-24.8738	50.0812	74.9551	2.7407	3.802	0.9221	2.5057	5.9473	3.4416
82699044	1466.0	940.0	4500.0	3.545	0.606	0.103	0.023	19.0	1.2	51.0	83.0	21.549	5.6099	2.4807	36.9167	34.436	3.8412	3.9592	0.8394	2.4211	5.3999	2.9788
84407714	1156.0	749.0	3779.0	3.819	0.549	0.114	0.03	14.0	1.3	51.0	83.0	22.5527	5.9941	2.9563	40.1053	37.149	3.7625	3.3545	0.7151	2.3877	4.7965	2.4088
86226939	1416.0	1001.0	4890.0	3.5	0.668	0.123	0.027	21.0	1.6	42.0	84.0	22.3981	6.3811	-4.972	41.4134	46.3855	3.51	4.0567	0.7923	2.5307	5.2831	2.7524
93800202	965.0	642.0	3458.0	3.729	0.658	0.115	0.034	14.0	1.4	51.0	83.0	22.2046	7.3437	-0.1322	47.2984	47.4306	3.0236	3.2884	0.7825	2.2707	4.897	2.6263
97005004	1366.0	888.0	4477.0	3.625	0.798	0.115	0.034	22.0	2.2	51.0	83.0	23.0105	6.8364	-10.7055	44.5029	55.2083	3.3659	3.8033	0.8263	2.402	5.8154	3.4134
100527940	1506.0	954.0	4188.0	3.416	0.792	0.127	0.041	19.0	2.5	51.0	83.0	18.3792	7.5116	-9.495	39.2722	48.7671	2.4468	3.8154	0.7252	2.4602	5.4173	2.9571
103652366	1184.0	765.0	3796.0	3.407	0.774	0.124	0.04	15.0	1.8	51.0	83.0	19.8152	7.1173	-3.411	46.7422	50.1532	2.7841	3.482	0.5896	2.5303	4.7574	2.2271
105914514	1635.0	1033.0	3320.0	2.554	0.957	0.166	0.077	42.0	5.8	51.0	83.0	15.4887	9.1118	-29.5297	54.6461	84.1758	1.6999	3.0672	0.8846	2.0912	5.7414	3.6501
107578676	1666.0	1057.0	4588.0	3.371	0.589	0.1	0.021	21.0	1.5	51.0	83.0	22.2177	7.0757	1.0121	51.419	50.4069	3.14	4.2901	1.1588	2.6789	6.2807	3.6018
108828000	1060.0	704.0	3454.0	3.239	0.89	0.135	0.046	21.0	2.6	50.0	83.0	21.0628	7.8453	-6.1599	47.5294	53.6894	2.6848	3.3669	0.5199	2.299	4.5817	2.2828
113335479	1803.0	1265.0	5808.0	3.487	0.77	0.127	0.035	29.0	2.8	42.0	84.0	20.8141	6.1373	-8.2596	43.9138	52.1734	3.3914	4.4335	1.1739	2.5068	6.1912	3.6844
115784129	1824.0	1175.0	4825.0	3.313	0.53	0.1	0.02	19.0	1.4	41.0	84.0	24.4544	5.5058	9.7766	44.7762	34.9996	4.4415					
119126177	1595.0	1106.0	4809.0	3.38	0.673	0.119	0.025	21.0	1.6	42.0	84.0	22.8043	5.8477	-4.3513	43.496	47.8473	3.8997	3.8165	0.8289	2.542	5.2146	2.6725
121697273	1894.0	1312.0	5894.0	3.311	0.785	0.127	0.031	23.0	2.5	41.0	84.0	25.4266	6.7354	-11.7979	50.5374	62.3353	3.7751	4.1853	0.9157	2.4707	5.8827	3.412
130118047	1540.0	1224.0	5687.0	3.494	0.686	0.13	0.029	21.0	1.6	42.0	84.0	24.7166	7.6559	-3.8033	54.2072	58.0105	3.2284	3.7391	0.9339	2.5525	5.4861	2.9336
131655018	1188.0	803.0	4074.0	3.46	0.726	0.113	0.032	17.0	1.6	51.0	83.0	22.8333	7.6221	-1.8047	53.646	55.4507	2.9957	3.3738	0.6681	2.4713	4.9527	2.4815
134279804	1798.0	1147.0	5088.0	3.528	0.771	0.113	0.027	23.0	1.9	42.0	84.0	21.926	5.5973	-3.4642	40.8738	44.338	3.9172	3.7466	0.8746	2.3496	5.2915	2.942
138434806	1709.0	1069.0	4778.0	3.591	0.72	0.132	0.046	26.0	3.3	42.0	84.0	21.0087	7.0236	-21.5799	45.1072	66.6871	2.9911	3.7447	0.8669	2.4628	5.3699	2.9071
154667058	1528.0	1019.0	4525.0	3.375	0.693	0.127	0.036	22.0	2.4	51.0	83.0	24.5529	8.4404	-8.7428	53.3951	62.138	2.909	3.7777	0.8686	2.5109	5.7007	3.1898
158779019	1638.0	1055.0	4236.0	3.168	0.609	0.103	0.022	20.0	1.3	41.0	84.0	23.9279	6.1688	-12.5652	45.3006	57.8658	3.8789	3.8442	0.9619	2.4973	5.7214	3.2241
162526644	1448.0	975.0	5103.0	3.89	0.617	0.119	0.031	15.0	1.7	51.0	83.0	20.9121	5.494	1.2032	39.0876	37.8844	3.8063	3.6472	0.7655	2.4168	5.3061	2.8893
163259093	3035.0	2005.0	7266.0	2.982	0.568	0.114	0.021	34.0	2.7	49.0	81.0	22.9376	5.174	4.0502	39.8117	35.7614	4.4332	3.9631	0.3754	3.1483	4.6905	1.5422
176129790	3808.0	2510.0	7867.0	2.81	0.56	0.117	0.026	43.0	4.0	49.0	81.0	21.1796	5.7641	1.7032	40.8831	39.1799	3.6744	4.382	0.3785	3.3018	4.9566	1.6547
177928631	1232.0	840.0	5149.0	4.187	0.593	0.13	0.035	18.0	1.5	51.0	83.0	21.7024	6.2949	-2.0389	42.4256	44.4645	3.4476	3.4285	0.694	2.3706	4.7984	2.4277
182017409	5002.0	2944.0	8648.0	2.629	0.581	0.101	0.023	89.0	4.4	49.0	81.0	20.8296	6.6373	-7.3684	46.8205	54.189	3.1383	4.7735	0.4717	3.8687	5.9592	2.0906
189913356	1685.0	1026.0	2659.0	2.346	0.78	0.166	0.089	46.0	6.8	41.0	84.0	16.4565	9.7751	-34.8305	55.0873	89.9178	1.6835	3.2839	0.4641	2.3854	4.5366	2.1512
190100766	3761.0	2473.0	8699.0	3.044	0.549	0.114	0.024	41.0	3.5	49.0	81.0	22.7315	6.1084	-8.1593	40.0634	48.2226	3.7213	4.5312	0.444	3.6991	5.3009	1.6017
192039987	4231.0	2592.0	8120.0	2.774	0.73	0.117	0.045	57.0	8.0	49.0	81.0	17.2769	7.7598	-44.4413	47.489	91.9304	2.2265	4.2918	0.38	3.4172	5.1707	1.7535
192271174	3204.0	2012.0	6530.0	2.9	0.577	0.114	0.028	34.0	3.4	49.0	81.0	19.2962	6.2066	-3.8878	47.8207	51.7085	3.109	3.6893	0.3496	3.0331	4.4799	1.4468
192413932	5171.0	3213.0	10620.0	2.892	0.606	0.11	0.027	58.0	5.7	49.0	81.0	19.2823	5.9071	-5.2008	39.7588	44.9597	3.2642	4.6316	0.4897	3.5071	5.7483	2.2412
194293030	3912.0	2655.0	8727.0	2.789	0.618	0.118	0.025	50.0	4.3	49.0	81.0	21.7589	5.8086	-29.7436	40.9896	70.7333	3.746	4.6131	0.481	3.5775	5.4693	1.8918
194324018	2100.0	1450.0	5577.0	3.267	0.677	0.123	0.027	31.0	2.4	42.0	84.0	22.8884	5.6508	4.257	42.1975	37.9404	4.0505	4.0193	0.8995	2.459	5.2631	2.8042
195168692	1212.0	837.0	4783.0	3.861	0.782	0.129	0.05	27.0	2.7	51.0	83.0	22.345	7.0076	-4.0326	45.2093	49.2419	3.1887	3.5438	0.6039	2.6484	5.0476	2.3992
198051119	1465.0	986.0	3966.0	3.236	0.564	0.124	0.026	22.0	1.5	42.0	84.0	23.5627	5.4455	-2.6708	39.1345	41.8053	4.327	3.4163	0.6819	2.31	4.5334	2.2235
199547104	1623.0	1065.0	5076.0	3.733	0.67	0.108	0.025	18.0	1.6	42.0	84.0	23.1265	5.498	3.5272	45.7737	42.2465	4.2063	4.114	1.1213	2.2241	5.8635	3.6394
