participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1939.0	1270.0	5185.0	3.336	0.606	0.132	0.032	27.0	2.4	42.0	84.0	23.6082	6.2049	-0.9947	44.3323	45.327	3.8048	3.7351	0.8255	2.3557	5.2589	2.9032
8454119	4619.0	2946.0	10105.0	2.974	0.554	0.114	0.026	61.0	4.3	49.0	81.0	21.8337	6.5459	-6.4397	44.0257	50.4654	3.3355	4.9907	0.5589	3.26	6.1261	2.8661
11407866	1829.0	1229.0	5972.0	3.598	0.694	0.113	0.022	23.0	1.8	42.0	84.0	23.2556	5.6883	5.8411	51.5119	45.6709	4.0883	3.9798	0.9575	2.4241	5.5624	3.1383
11574123	6557.0	4309.0	13724.0	2.954	0.531	0.109	0.02	62.0	5.2	40.0	82.0	22.0786	5.2596	-4.2317	36.8258	41.0576	4.1977	4.3196	0.5219	3.22	5.4031	2.1832
16684978	1323.0	867.0	3948.0	3.4	0.755	0.124	0.036	21.0	2.2	42.0	84.0	22.2491	5.5591	-6.6944	43.0575	49.7519	4.0023	3.6311	0.6688	2.4697	4.7119	2.2422
25354225	4068.0	2580.0	8544.0	2.928	0.689	0.115	0.039	58.0	6.7	49.0	81.0	18.9615	8.2464	-16.0024	47.8753	63.8777	2.2994	4.7009	0.4203	3.8323	5.5669	1.7346
25811472	1764.0	1219.0	6029.0	3.721	0.694	0.128	0.036	23.0	2.8	42.0	84.0	21.398	5.4964	0.7437	46.1333	45.3896	3.8931	4.2539	0.8806	2.6043	5.7146	3.1103
27876862	21.0	13.0	33.0	2.436	0.388	0.088	0.014	0.0	0.0	47.0	77.0	23.4255	3.5123	15.3525	28.4739	13.1214	6.6695	2.5534	0.019	2.5259	2.5798	0.0539
29811890	1894.0	1225.0	5716.0	3.556	0.712	0.096	0.021	22.0	1.9	42.0	84.0	23.2646	6.9352	-14.214	48.7876	63.0015	3.3546	3.7671	1.0368	2.4047	5.7649	3.3602
31361606	2979.0	1922.0	6112.0	2.739	0.742	0.11	0.027	33.0	2.7	50.0	81.0	20.4245	6.3717	-0.5663	52.3885	52.9548	3.2055	4.0249	0.3903	3.1445	4.7005	1.556
32938469	4465.0	2792.0	7597.0	2.516	0.69	0.124	0.039	57.0	7.4	50.0	81.0	17.8845	8.4094	-8.6132	41.5517	50.1648	2.1267	5.0748	0.5244	3.939	5.8367	1.8977
36895554	3197.0	2095.0	7204.0	2.936	0.555	0.103	0.025	32.0	3.2	49.0	81.0	20.9108	5.511	-4.9124	39.2712	44.1836	3.7944	4.3638	0.3935	3.4344	5.0726	1.6382
37329051	3711.0	2341.0	8213.0	3.029	0.731	0.105	0.027	47.0	4.2	49.0	81.0	20.7069	7.186	-53.041	45.8329	98.8739	2.8816	4.6237	0.4434	3.9024	5.578	1.6756
37835493	6213.0	4048.0	12209.0	2.785	0.532	0.109	0.027	84.0	8.2	41.0	82.0	20.76	5.2457	-33.5234	48.1496	81.673	3.9575	4.1421	0.5218	3.2933	5.215	1.9216
43606631	3164.0	2113.0	6174.0	2.577	0.522	0.12	0.028	38.0	3.8	49.0	81.0	21.3229	5.4904	-21.5472	43.0779	64.6251	3.8837	4.3276	0.2884	3.7241	4.8069	1.0828
49408975	6042.0	4141.0	13494.0	3.025	0.522	0.1	0.015	48.0	3.9	40.0	82.0	21.7854	4.3724	2.5239	36.9257	34.4018	4.9825	4.1678	0.4659	3.5214	5.1026	1.5812
51217255	3458.0	2107.0	7023.0	2.898	0.629	0.102	0.034	47.0	5.3	49.0	81.0	21.4637	6.5622	-10.3807	52.0935	62.4742	3.2708	4.6678	0.4451	3.6089	5.3189	1.7101
52306425	1763.0	1213.0	5570.0	3.646	0.645	0.127	0.03	28.0	2.2	42.0	84.0	22.4068	5.9572	4.0571	42.8265	38.7694	3.7613	3.6813	0.9054	2.3297	5.2424	2.9128
52835891	1436.0	920.0	4943.0	3.984	0.692	0.12	0.035	19.0	2.1	42.0	84.0	22.0899	7.7988	-8.5693	49.0955	57.6648	2.8325	3.447	0.5802	2.3555	4.4047	2.0492
55710183	3724.0	2369.0	7534.0	2.855	0.592	0.104	0.026	41.0	3.9	50.0	81.0	20.2094	5.3865	-0.4793	37.381	37.8603	3.7519	4.5192	0.5009	3.2316	5.3922	2.1606
56162563	3914.0	2578.0	8509.0	2.925	0.552	0.122	0.025	49.0	3.8	50.0	81.0	21.7404	5.4385	1.3764	39.7194	38.343	3.9975	4.2272	0.4891	3.3019	5.2581	1.9563
60021964	2108.0	1446.0	6183.0	3.281	0.72	0.131	0.032	42.0	2.5	42.0	84.0	21.6657	6.0049	-3.3119	40.1303	43.4422	3.608	3.9376	0.7062	2.5481	5.2107	2.6626
62582335	5272.0	3560.0	12369.0	3.068	0.584	0.104	0.018	53.0	4.0	40.0	82.0	22.1603	5.092	-4.4731	39.8664	44.3395	4.352	3.9885	0.5311	3.2128	5.0563	1.8435
65198031	3463.0	2301.0	7928.0	2.947	0.565	0.122	0.026	45.0	3.5	50.0	81.0	20.5225	5.4106	-2.3628	42.4696	44.8324	3.793	4.4815	0.3582	3.6392	5.1996	1.5604
70214854	2949.0	1908.0	6150.0	2.793	0.597	0.118	0.027	33.0	3.3	49.0	81.0	22.0742	6.0983	-3.2445	45.9282	49.1726	3.6197	4.1105	0.2685	3.4821	4.6034	1.1213
71851847	1773.0	1147.0	5696.0	3.593	0.892	0.113	0.027	23.0	2.1	42.0	84.0	23.543	6.3935	-18.0778	46.8311	64.9089	3.6824	3.6464	0.771	2.3479	5.1598	2.812
74920331	1573.0	1038.0	4785.0	3.582	0.624	0.099	0.016	15.0	1.1	42.0	84.0	23.0242	5.2414	1.6776	39.0352	37.3576	4.3928	3.508	0.9536	2.2805	5.2338	2.9533
77390767	5788.0	3909.0	11793.0	2.818	0.501	0.105	0.02	58.0	4.7	40.0	82.0	21.4178	5.3184	-1.8011	36.4528	38.2539	4.0271	3.9223	0.5571	3.1122	5.0119	1.8997
78982423	2906.0	1937.0	6472.0	2.805	0.587	0.103	0.019	27.0	2.3	49.0	81.0	21.6183	4.8281	-17.5639	53.5701	71.134	4.4776	4.3299	0.3637	3.5032	4.9993	1.496
80982198	1771.0	1276.0	6532.0	3.762	0.683	0.124	0.023	24.0	1.7	42.0	84.0	23.0916	5.7035	-7.1336	38.7921	45.9257	4.0487	3.7378	0.9195	2.5608	5.4841	2.9232
82699044	1797.0	1218.0	5510.0	3.599	0.706	0.114	0.024	24.0	1.6	42.0	84.0	23.2306	5.332	4.2523	37.6936	33.4412	4.3569	3.8463	0.8202	2.4674	5.3947	2.9273
84407714	1438.0	950.0	4410.0	3.599	0.58	0.107	0.019	15.0	1.1	42.0	84.0	23.0966	5.0568	2.5265	39.0216	36.4952	4.5674	3.5135	0.8049	2.2347	4.9185	2.6838
86226939	3452.0	2299.0	7713.0	2.838	0.638	0.114	0.024	40.0	3.5	49.0	81.0	19.7591	5.4138	-4.8414	35.4597	40.301	3.6498	4.2901	0.3835	3.4508	5.0684	1.6176
93800202	1511.0	932.0	4551.0	3.491	0.705	0.093	0.021	18.0	1.3	42.0	84.0	23.1889	5.4842	0.0	36.9696	36.9696	4.2283	3.499	0.9316	2.1491	4.8309	2.6819
97005004	1868.0	1283.0	5111.0	2.945	0.762	0.127	0.036	46.0	3.1	42.0	84.0	22.0033	7.3069	-23.0154	42.9534	65.9688	3.0113	3.6817	0.869	2.5156	5.6665	3.1509
100527940	2172.0	1386.0	6412.0	3.326	0.983	0.144	0.05	38.0	4.1	42.0	84.0	19.1332	7.6544	-5.1373	50.0246	55.1619	2.4996	4.4133	1.1027	2.4434	6.0117	3.5683
