participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3960.0	2499.0	7522.0	2.754	0.464	0.109	0.025	52.0	3.0	50.0	81.0	20.5212	5.6558	-51.2069	38.1779	89.3848	3.6284	4.5747	0.5655	3.2383	5.4769	2.2386
8454119	7925.0	5188.0	16053.0	2.922	0.533	0.108	0.027	88.0	8.9	41.0	82.0	22.2329	6.1917	-14.9422	39.9926	54.9348	3.5908	4.6263	0.561	3.7394	5.8365	2.0971
11407866	3792.0	2484.0	9247.0	3.193	0.642	0.104	0.02	40.0	2.8	50.0	81.0	22.6965	5.439	4.7547	56.3954	51.6407	4.173	4.5169	0.6157	3.3891	5.6492	2.26
11574123	31.0	14.0	43.0	2.474	0.652	0.1	0.026	0.0	0.0	47.0	77.0	17.8767	6.6189	0.0	29.3542	29.3542	2.7008	2.5571	0.024	2.5168	2.608	0.0912
16684978	2879.0	1910.0	6409.0	2.942	0.503	0.127	0.036	36.0	4.0	50.0	81.0	20.9501	6.1982	-5.838	48.1915	54.0295	3.3801	4.2771	0.4341	3.4502	5.0298	1.5796
25354225	6787.0	4269.0	13725.0	3.056	0.722	0.109	0.032	90.0	9.2	41.0	82.0	20.0732	8.1648	-38.1845	56.7445	94.929	2.4585	4.2841	0.4812	3.545	5.4449	1.8999
25811472	4258.0	2777.0	10735.0	3.26	0.661	0.109	0.028	78.0	5.6	50.0	81.0	21.6274	6.4056	-9.9575	43.4826	53.4401	3.3763	4.6989	0.5657	3.5214	5.9933	2.4718
27876862	42.0	26.0	81.0	2.497	0.514	0.108	0.03	0.0	0.0	38.0	78.0	20.6162	2.5118	14.2643	25.5919	11.3277	8.2079	2.7067	0.0339	2.6517	2.7662	0.1146
29811890	4564.0	2795.0	10126.0	3.033	0.688	0.098	0.026	49.0	4.5	50.0	81.0	20.7123	6.8908	-38.9312	47.9315	86.8627	3.0058	4.6044	0.5037	3.7618	5.7886	2.0268
31361606	5066.0	3311.0	10239.0	2.863	0.566	0.104	0.023	44.0	4.2	40.0	82.0	21.8152	5.1906	-3.041	38.3814	41.4223	4.2028	3.6254	0.6629	2.6295	4.761	2.1315
32938469	6460.0	4326.0	11146.0	2.58	0.664	0.132	0.044	86.0	13.0	40.0	82.0	19.0885	8.2905	-10.5103	44.4809	54.9912	2.3025	4.6483	0.5271	3.3861	5.6879	2.3018
36895554	5555.0	3723.0	11723.0	2.929	0.583	0.106	0.022	49.0	4.9	41.0	82.0	21.077	4.8514	-10.5536	39.0756	49.6291	4.3445	4.1576	0.3634	3.3448	4.8835	1.5387
37329051	6665.0	4476.0	15586.0	3.104	0.6	0.115	0.024	93.0	6.2	41.0	82.0	22.4647	5.8996	-8.4884	39.9833	48.4717	3.8079	4.2158	0.6136	3.1574	5.5087	2.3513
37835493	21.0	15.0	62.0	2.877	0.875	0.15	0.026	0.0	0.0	47.0	77.0	22.5854	5.6063	10.7477	32.6367	21.8889	4.0286	2.6864	0.0137	2.6567	2.7037	0.047
43606631	5891.0	3796.0	10083.0	2.552	0.461	0.119	0.025	69.0	6.3	41.0	82.0	20.2705	5.6124	-21.7012	36.9673	58.6685	3.6118	4.3739	0.5418	3.2204	5.3395	2.1191
49408975	19.0	11.0	32.0	3.305	0.557	0.147	0.048	1.0	0.0	47.0	77.0	16.6511	5.0238	8.0475	23.3366	15.289	3.3144	2.4892	0.0206	2.4445	2.5181	0.0736
51217255	5814.0	3806.0	12465.0	3.048	0.536	0.107	0.023	56.0	5.5	40.0	82.0	22.8974	5.7197	-83.4125	42.802	126.2145	4.0033	4.272	0.6573	2.9918	5.4672	2.4754
52306425	4704.0	3105.0	10273.0	2.896	0.586	0.123	0.026	61.0	5.1	50.0	81.0	20.7657	5.7622	-3.6829	43.4602	47.1431	3.6038	4.5252	0.426	3.4423	5.415	1.9727
52835891	3244.0	2164.0	7816.0	3.053	0.615	0.118	0.025	33.0	3.4	50.0	81.0	21.1631	5.7824	-14.7452	45.0069	59.7521	3.6599	4.0223	0.3241	3.3252	4.6177	1.2926
55710183	6514.0	4323.0	12506.0	2.745	0.528	0.112	0.022	72.0	6.0	40.0	82.0	20.5756	5.4924	-8.5561	38.6065	47.1625	3.7462	4.4672	0.5879	3.4637	5.6974	2.2337
56162563	5839.0	3893.0	12647.0	3.045	0.59	0.113	0.021	53.0	4.9	40.0	82.0	22.0814	4.9759	-12.6198	36.1083	48.7281	4.4377	4.1876	0.7006	3.1781	5.6205	2.4423
60021964	3929.0	2438.0	7694.0	2.77	0.538	0.092	0.02	33.0	3.0	50.0	81.0	20.9208	5.492	-0.9119	40.7851	41.697	3.8093	4.811	0.5244	3.6966	5.7701	2.0734
62582335	27.0	15.0	42.0	2.246	0.6	0.084	0.015	0.0	0.0	47.0	77.0	15.5558	4.3136	6.7984	24.8119	18.0136	3.6062	2.6306	0.0171	2.6017	2.6713	0.0696
65198031	5733.0	3867.0	11890.0	2.943	0.542	0.113	0.02	48.0	4.8	40.0	82.0	21.8309	5.0489	-1.6835	38.1832	39.8667	4.3239	4.0217	0.4757	3.2208	4.9121	1.6913
70214854	5218.0	3416.0	9381.0	2.595	0.552	0.114	0.027	56.0	6.0	41.0	82.0	21.4528	5.4572	-13.8469	37.809	51.6559	3.9311	3.721	0.2741	2.841	4.2585	1.4174
71851847	3198.0	2065.0	7266.0	2.961	0.624	0.112	0.029	38.0	4.0	50.0	81.0	21.2418	6.5811	-61.7528	42.3101	104.0629	3.2277	4.4406	0.351	3.4481	5.1487	1.7006
74920331	3229.0	2045.0	7086.0	2.962	0.456	0.098	0.018	30.0	2.2	50.0	81.0	20.7734	4.799	2.5738	38.4661	35.8924	4.3287	4.3161	0.4439	3.1439	4.9028	1.7589
77390767	28.0	15.0	26.0	2.16	0.533	0.194	0.07	1.0	0.0	47.0	77.0	10.9151	8.2036	0.0	22.5384	22.5384	1.3305	2.8003	0.0626	2.7376	2.9374	0.1999
78982423	5582.0	3729.0	11499.0	2.863	0.508	0.105	0.02	47.0	4.6	41.0	82.0	22.089	4.8257	2.288	48.2888	46.0009	4.5774	4.2061	0.4946	3.2386	5.0344	1.7958
80982198	4109.0	2792.0	10312.0	3.078	0.665	0.103	0.02	46.0	3.3	50.0	81.0	23.1133	5.2428	3.2409	44.2516	41.0107	4.4086	4.8451	0.6165	3.6821	6.0567	2.3746
82699044	4390.0	2798.0	8738.0	2.769	0.484	0.103	0.022	47.0	4.1	50.0	81.0	20.299	5.435	-0.7974	35.8257	36.6231	3.7348	4.7212	0.4881	3.6301	5.4971	1.867
84407714	3096.0	2073.0	6773.0	2.84	0.561	0.109	0.022	31.0	2.9	50.0	81.0	21.1383	5.2351	-6.8562	46.006	52.8622	4.0378	4.3552	0.3676	3.5648	5.0381	1.4733
86226939	5501.0	3755.0	11655.0	2.859	0.556	0.111	0.022	52.0	4.9	41.0	82.0	21.0011	4.826	4.2109	39.5618	35.351	4.3517	4.0648	0.5253	3.3958	5.2864	1.8906
93800202	3354.0	2096.0	7428.0	3.019	0.674	0.116	0.032	38.0	4.7	50.0	81.0	20.2222	7.483	-7.8911	39.3715	47.2626	2.7024	4.3231	0.4393	3.5274	5.1564	1.629
97005004	3741.0	2347.0	7994.0	2.962	0.601	0.111	0.031	50.0	4.7	50.0	81.0	21.2656	7.0855	-12.9961	40.994	53.99	3.0013	5.1354	0.4431	4.0016	6.001	1.9994
100527940	4829.0	3112.0	9303.0	2.786	0.637	0.128	0.04	71.0	7.9	50.0	81.0	19.7301	8.2467	-11.7391	44.6564	56.3955	2.3925	4.6948	0.494	3.7488	5.7246	1.9759
103652366	3279.0	2143.0	7482.0	2.936	0.65	0.105	0.023	32.0	3.0	50.0	81.0	19.6032	5.4245	-5.994	42.2616	48.2556	3.6138	4.1571	0.3872	3.3098	4.9679	1.6581
105914514	5891.0	3688.0	10604.0	2.763	0.816	0.125	0.051	84.0	14.1	50.0	81.0	14.9651	8.0203	-14.2913	35.1652	49.4565	1.8659	4.9147	0.8565	2.776	6.3952	3.6192
107578676	4796.0	2918.0	9250.0	2.798	0.551	0.109	0.029	74.0	6.1	50.0	81.0	20.7655	7.7415	-31.8107	68.7163	100.5271	2.6823	5.4241	0.5742	4.2432	6.3867	2.1434
108828000	2855.0	1882.0	6548.0	2.992	0.575	0.116	0.024	32.0	2.8	49.0	81.0	21.1489	5.6255	-5.6009	46.6563	52.2572	3.7595	4.0666	0.3423	3.4261	4.754	1.3279
113335479	7456.0	4907.0	15503.0	2.969	0.554	0.106	0.022	86.0	6.7	41.0	82.0	20.7218	5.5552	-4.2806	35.3229	39.6035	3.7301	4.5897	0.7305	3.4926	6.2377	2.7451
115784129	7764.0	4960.0	13534.0	2.691	0.611	0.119	0.026	84.0	8.4	40.0	82.0	20.3098	6.0922	-8.63	37.2866	45.9166	3.3337					
119126177	6204.0	4069.0	13694.0	3.059	0.613	0.1	0.018	50.0	4.8	41.0	82.0	21.161	4.9405	-2.885	37.7314	40.6164	4.2832	4.3145	0.433	3.3941	5.2946	1.9005
121697273	7582.0	4921.0	15565.0	2.932	0.554	0.12	0.024	97.0	7.2	40.0	82.0	23.5876	6.031	-67.5079	60.3368	127.8447	3.9111	4.2572	0.7056	3.3841	5.8689	2.4848
130118047	7877.0	4982.0	15973.0	3.07	0.581	0.106	0.026	88.0	8.4	41.0	82.0	21.6622	6.503	-10.056	42.6392	52.6952	3.3311	4.2299	0.6574	3.2698	5.5658	2.296
131655018	3993.0	2616.0	8605.0	2.832	0.53	0.113	0.025	43.0	4.3	50.0	81.0	20.5672	5.3907	-20.1009	41.2336	61.3345	3.8153	4.3595	0.3593	3.6655	5.0944	1.429
134279804	6164.0	4053.0	11518.0	2.771	0.538	0.111	0.024	60.0	6.1	41.0	82.0	20.6192	5.636	-2.1415	37.8815	40.023	3.6585	4.1617	0.5001	3.441	5.2872	1.8462
138434806	7352.0	4530.0	12707.0	2.671	0.53	0.104	0.029	120.0	9.7	41.0	82.0	20.2201	6.3384	-53.2875	40.6075	93.8951	3.1901	4.554	0.4817	3.7374	5.6137	1.8763
154667058	4633.0	2990.0	8560.0	2.643	0.583	0.117	0.036	57.0	7.2	50.0	81.0	20.9125	7.1105	-14.2198	45.4301	59.6498	2.9411	5.3162	0.4341	4.1995	6.0295	1.83
158779019	5538.0	3710.0	11255.0	2.799	0.57	0.103	0.02	48.0	4.3	40.0	82.0	22.3389	4.7169	-1.5236	40.1083	41.6319	4.7359	4.4762	0.6112	3.5828	5.8644	2.2816
162526644	3473.0	2328.0	9025.0	3.204	0.62	0.116	0.025	41.0	3.4	50.0	81.0	21.7817	5.3264	-1.4113	38.6408	40.0521	4.0894	4.563	0.4123	3.6179	5.4508	1.8329
163259093	24.0	14.0	36.0	2.619	0.9	0.067	0.01	0.0	0.0	47.0	77.0	24.057	5.7531	6.2818	31.5503	25.2685	4.1815	2.4332	0.0197	2.4058	2.4738	0.068
176129790	21.0	10.0	26.0	2.577	1.171	0.13	0.081	0.0	0.1	47.0	77.0	16.5213	7.6719	2.2447	26.6436	24.3989	2.1535	2.5401	0.0226	2.5075	2.5706	0.0631
177928631	4067.0	2648.0	8546.0	2.903	0.562	0.116	0.024	49.0	4.0	50.0	81.0	19.6603	5.2831	-1.9369	37.5894	39.5263	3.7214	4.421	0.4599	3.5461	5.155	1.6089
182017409	52.0	27.0	55.0	2.186	0.678	0.117	0.03	1.0	0.1	47.0	77.0	14.1174	8.0696	0.0	31.3858	31.3858	1.7495	2.8479	0.087	2.7044	2.9717	0.2673
189913356	7214.0	4857.0	12636.0	2.576	0.725	0.145	0.054	119.0	18.1	40.0	82.0	16.2527	8.5117	-32.611	41.2886	73.8996	1.9095	4.2784	0.4088	3.0226	5.1846	2.162
190100766	40.0	20.0	61.0	2.529	0.324	0.103	0.041	1.0	0.0	47.0	77.0	16.8244	6.4744	4.8225	30.697	25.8744	2.5986	2.7135	0.0244	2.684	2.7664	0.0824
192039987	23.0	14.0	40.0	2.735	0.404	0.082	0.014	0.0	0.0	47.0	77.0	18.4614	5.2159	7.0328	28.9752	21.9424	3.5394	2.3654	0.0425	2.2554	2.408	0.1526
192271174	27.0	15.0	50.0	2.733	0.751	0.087	0.024	0.0	0.0	47.0	77.0	21.1816	7.9874	9.2755	33.4898	24.2143	2.6519	2.3934	0.0375	2.3506	2.4503	0.0997
192413932	19.0	15.0	56.0	3.247	0.882	0.124	0.033	0.0	0.0	47.0	77.0	21.0496	4.2581	7.8101	28.0556	20.2454	4.9434	3.0454	0.0178	3.0172	3.0764	0.0593
194293030	38.0	24.0	85.0	2.566	1.304	0.181	0.048	2.0	0.1	47.0	77.0	21.6455	10.6272	2.2959	39.9089	37.613	2.0368	2.6343	0.0397	2.5705	2.683	0.1125
194324018	6100.0	4120.0	12281.0	2.738	0.492	0.103	0.018	52.0	4.4	41.0	82.0	21.8662	4.4909	2.6722	37.6973	35.0251	4.869	4.4557	0.5603	3.4723	5.4358	1.9635
195168692	4125.0	2747.0	8870.0	2.942	0.504	0.115	0.028	45.0	4.3	50.0	81.0	20.6418	6.0493	-9.1597	45.826	54.9857	3.4122	4.5685	0.394	3.6739	5.2379	1.564
