participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	6224.0	4038.0	12122.0	2.873	0.521	0.101	0.02	48.0	5.2	41.0	82.0	21.3787	4.8308	-4.8579	37.7725	42.6304	4.4255	4.2832	0.5652	3.1885	5.3801	2.1916
8454119	34.0	18.0	68.0	3.052	0.498	0.106	0.023	0.0	0.0	47.0	77.0	17.0444	6.8585	0.0	28.752	28.752	2.4852	3.0689	0.0629	2.9548	3.1574	0.2026
11407866	6252.0	4206.0	14976.0	3.257	0.577	0.099	0.02	58.0	5.1	41.0	82.0	23.7492	5.4479	-3.9945	36.708	40.7024	4.3593	4.2366	0.6896	3.2342	5.5663	2.332
11574123	37.0	26.0	70.0	2.375	0.453	0.096	0.035	0.0	0.0	38.0	78.0	18.6871	4.863	5.5588	28.3147	22.7559	3.8427	2.7246	0.0272	2.6879	2.8024	0.1145
16684978	5409.0	3599.0	10920.0	2.894	0.489	0.123	0.025	63.0	5.5	41.0	82.0	21.8026	4.931	4.2495	37.4913	33.2418	4.4215	3.8773	0.4103	3.3318	4.88	1.5482
25354225	27.0	15.0	47.0	2.651	0.408	0.066	0.036	0.0	0.0	47.0	77.0	19.4728	8.0608	5.2895	34.7898	29.5002	2.4158	2.7141	0.0208	2.6504	2.7585	0.1081
25811472	7654.0	4791.0	16746.0	3.168	0.626	0.105	0.027	90.0	8.7	41.0	82.0	20.9922	6.7427	-17.2175	38.385	55.6025	3.1133	4.3738	0.6967	3.1971	5.6132	2.4161
27876862	11.0	6.0	18.0	2.165	0.244	0.22	0.047	0.0	0.0	55.0	111.0	10.0103	3.6439	6.0144	16.4291	10.4147	2.7471	2.7855	0.0136	2.7563	2.8063	0.05
29811890	8141.0	4974.0	15398.0	2.94	0.618	0.098	0.026	71.0	9.0	41.0	82.0	21.2716	6.9817	-9.883	38.0574	47.9404	3.0468	4.4899	0.6279	3.472	5.8828	2.4109
31361606	30.0	17.0	26.0	1.355	0.247	0.04	0.003	0.0	0.0	48.0	77.0	18.2553	3.3914	12.2452	26.7686	14.5234	5.3828	2.4716	0.0408	2.4043	2.5435	0.1392
32938469	22.0	11.0	34.0	2.237	0.789	0.136	0.043	1.0	0.0	48.0	77.0	15.518	3.7736	9.0685	21.9479	12.8793	4.1123	2.8633	0.0907	2.7366	2.9655	0.2289
36895554	24.0	14.0	41.0	2.392	0.826	0.064	0.024	0.0	0.0	47.0	77.0	21.3898	5.1297	12.0146	33.8043	21.7897	4.1698	2.6215	0.0268	2.5751	2.6735	0.0984
37329051	26.0	14.0	50.0	3.159	0.456	0.091	0.034	0.0	0.0	47.0	77.0	20.0337	6.939	6.0593	30.0627	24.0034	2.8871	2.833	0.0269	2.7646	2.8657	0.1011
37835493	60.0	33.0	95.0	2.108	0.871	0.068	0.022	0.0	0.0	39.0	78.0	19.9851	4.6124	5.7348	33.5287	27.7939	4.3329	2.6476	0.0249	2.6043	2.735	0.1307
43606631	19.0	12.0	33.0	2.43	0.722	0.073	0.009	0.0	0.0	47.0	77.0	24.7301	3.646	15.6662	30.677	15.0108	6.7828	2.4777	0.0323	2.4189	2.5299	0.111
49408975	61.0	36.0	104.0	2.416	0.479	0.141	0.036	1.0	0.1	38.0	78.0	17.961	5.6299	5.822	28.8449	23.0229	3.1903	2.6793	0.0388	2.5588	2.7365	0.1777
51217255	33.0	18.0	42.0	1.96	0.319	0.083	0.019	0.0	0.0	47.0	77.0	20.2147	3.2263	10.5219	27.9747	17.4529	6.2657	3.052	0.0412	3.0045	3.1599	0.1554
52306425	6903.0	4669.0	14013.0	2.858	0.509	0.125	0.024	81.0	6.6	41.0	82.0	21.49	5.2779	4.0383	39.0431	35.0048	4.0717	4.429	0.455	3.63	5.3523	1.7222
52835891	5055.0	3478.0	11613.0	3.048	0.53	0.112	0.023	52.0	4.9	41.0	82.0	21.438	5.4967	-56.7173	39.1602	95.8776	3.9002	3.7496	0.3311	3.213	4.4907	1.2777
55710183	27.0	13.0	35.0	2.175	0.597	0.076	0.016	0.0	0.0	48.0	77.0	18.2261	6.6199	6.3065	29.8221	23.5156	2.7532	2.737	0.0148	2.7048	2.7585	0.0537
56162563	30.0	17.0	55.0	2.572	0.536	0.078	0.016	0.0	0.0	48.0	77.0	21.2371	4.9731	12.3977	29.1822	16.7845	4.2704	2.9294	0.0225	2.885	2.9777	0.0927
60021964	5828.0	3826.0	12797.0	3.012	0.572	0.101	0.018	53.0	4.4	41.0	82.0	22.0538	5.3457	-5.1345	45.576	50.7105	4.1255	4.3273	0.3864	3.4323	5.2127	1.7803
62582335	47.0	29.0	91.0	2.72	0.901	0.131	0.047	1.0	0.0	38.0	78.0	18.7604	3.6702	7.7586	25.4888	17.7302	5.1115	3.055	0.0645	2.9627	3.1561	0.1934
65198031	28.0	15.0	35.0	2.014	0.68	0.13	0.027	0.0	0.0	48.0	77.0	17.6893	4.5114	9.921	26.3988	16.4779	3.921	2.6743	0.0278	2.6149	2.7195	0.1046
70214854	25.0	17.0	31.0	1.969	0.764	0.207	0.038	1.0	0.0	47.0	77.0	17.7861	9.2652	-1.5238	33.0043	34.5282	1.9197	2.6905	0.0512	2.6185	2.7604	0.142
71851847	5514.0	3664.0	11577.0	3.001	0.554	0.102	0.022	47.0	5.0	41.0	82.0	22.7824	5.7937	-26.1113	43.1226	69.234	3.9322	4.4466	0.4692	3.5029	5.2455	1.7426
74920331	6004.0	3917.0	12316.0	2.915	0.49	0.101	0.02	50.0	5.4	41.0	82.0	21.1012	4.9305	-3.4651	33.8964	37.3616	4.2797	4.2549	0.5394	3.4306	5.3644	1.9338
77390767	59.0	35.0	76.0	2.285	0.667	0.134	0.039	1.0	0.0	38.0	78.0	16.1805	7.7635	0.0	27.7393	27.7393	2.0842	2.8693	0.0791	2.7452	2.9954	0.2502
78982423	38.0	18.0	43.0	2.347	1.15	0.097	0.018	1.0	0.0	47.0	77.0	20.6059	5.2209	10.2654	31.8824	21.617	3.9468	2.5398	0.0337	2.4732	2.5876	0.1144
80982198	6243.0	4250.0	14954.0	3.163	0.586	0.11	0.02	68.0	4.8	41.0	82.0	23.0756	5.5522	-7.0159	37.1662	44.1822	4.1561	4.4405	0.5477	3.4665	5.5758	2.1092
