participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	45.0	23.0	48.0	2.136	0.356	0.084	0.032	0.0	0.0	39.0	78.0	18.8415	6.9351	0.0	33.1802	33.1802	2.7168	3.0557	0.0608	2.9255	3.116	0.1905
8454119	17.0	13.0	43.0	3.066	0.489	0.144	0.05	0.0	0.0	56.0	111.0	19.9028	4.0853	13.6555	25.8085	12.153	4.8718	3.6666	0.1645	3.5188	3.9708	0.452
11407866	38.0	26.0	78.0	2.615	0.505	0.213	0.074	2.0	0.0	39.0	78.0	17.8981	6.6742	5.5747	30.7387	25.164	2.6817	2.523	0.0414	2.4726	2.6114	0.1388
11574123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16684978	50.0	30.0	77.0	2.266	0.406	0.053	0.009	0.0	0.0	39.0	78.0	23.4849	4.0653	11.6656	30.7727	19.1071	5.7769	2.729	0.032	2.6678	2.8018	0.134
25354225	31.0	12.0	24.0	1.574	0.73	0.163	0.072	1.0	0.2	56.0	111.0	7.1169	5.5472	-1.0356	20.7723	21.8078	1.283	2.994	0.0478	2.8655	3.0511	0.1856
25811472	45.0	32.0	105.0	2.606	0.603	0.156	0.058	1.0	0.0	39.0	78.0	17.1125	5.459	6.3773	26.6113	20.234	3.1348	3.0846	0.0957	2.9507	3.2894	0.3387
27876862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29811890	47.0	33.0	104.0	2.476	0.371	0.091	0.038	0.0	0.0	39.0	78.0	20.9016	3.936	12.5423	30.0859	17.5435	5.3104	2.8455	0.032	2.7643	2.9011	0.1367
31361606	7.0	5.0	18.0	2.518	0.149	0.174	0.052	0.0	0.0	57.0	111.0	14.3592	7.2408	8.0023	27.4256	19.4234	1.9831	2.468	0.0188	2.4394	2.4969	0.0575
32938469	15.0	10.0	28.0	2.205	1.009	0.183	0.059	0.0	0.0	57.0	111.0	15.3416	6.8777	6.1256	30.4742	24.3486	2.2306	3.4634	0.065	3.3212	3.5924	0.2712
36895554	9.0	7.0	19.0	2.099	0.54	0.253	0.122	0.0	0.0	56.0	111.0	11.1488	2.9124	7.4105	16.0727	8.6622	3.828	2.9744	0.0313	2.9091	3.0062	0.0971
37329051	12.0	7.0	40.0	3.245	0.759	0.148	0.045	0.0	0.0	56.0	111.0	12.4648	4.8249	6.2879	23.0943	16.8064	2.5834	2.9768	0.039	2.9014	3.0421	0.1407
37835493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43606631	16.0	8.0	23.0	2.229	0.306	0.161	0.055	1.0	0.0	56.0	111.0	13.036	3.0937	8.648	18.7375	10.0895	4.2138	2.7114	0.0293	2.6485	2.7685	0.12
49408975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51217255	18.0	10.0	25.0	2.187	0.565	0.192	0.081	0.0	0.1	56.0	111.0	9.7499	5.6584	1.9422	18.6534	16.7112	1.7231	2.9907	0.0179	2.9585	3.0216	0.0631
52306425	80.0	49.0	115.0	2.178	0.482	0.097	0.025	1.0	0.1	39.0	78.0	21.2152	6.1159	4.3894	32.9224	28.5329	3.4689	2.7083	0.0656	2.578	2.8361	0.2581
52835891	51.0	25.0	75.0	2.406	0.461	0.081	0.054	1.0	0.1	39.0	78.0	18.2725	9.2963	-6.787	32.5382	39.3252	1.9656	2.4381	0.0396	2.3818	2.5784	0.1966
55710183	13.0	8.0	27.0	2.734	0.223	0.117	0.026	0.0	0.0	57.0	111.0	9.5179	5.3018	1.4175	20.2257	18.8082	1.7952	3.0421	0.0439	2.9956	3.1209	0.1253
56162563	18.0	9.0	26.0	2.009	0.595	0.188	0.053	0.0	0.1	57.0	111.0	10.3264	6.0644	2.8617	25.9174	23.0557	1.7028	3.1369	0.0335	3.0665	3.1977	0.1312
60021964	50.0	34.0	55.0	2.199	0.792	0.216	0.057	2.0	0.1	39.0	78.0	10.4648	9.104	0.0	25.693	25.693	1.1495	3.0987	0.0512	3.0096	3.1829	0.1733
62582335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65198031	17.0	8.0	25.0	2.538	0.272	0.084	0.038	0.0	0.0	57.0	111.0	16.7972	6.1785	5.8958	27.3343	21.4385	2.7187	3.0111	0.0303	2.9626	3.0671	0.1044
70214854	17.0	9.0	15.0	1.427	0.126	0.238	0.067	1.0	0.1	56.0	111.0	6.6399	4.626	-1.4513	14.5437	15.9951	1.4353	2.7963	0.0073	2.7842	2.8086	0.0244
71851847	81.0	47.0	90.0	1.743	0.336	0.132	0.026	2.0	0.0	39.0	78.0	19.3795	4.8703	5.5276	28.6728	23.1452	3.9791	2.5936	0.014	2.5398	2.6523	0.1125
74920331	57.0	37.0	66.0	1.635	0.258	0.069	0.01	0.0	0.0	39.0	78.0	19.1275	2.6033	13.4301	24.3726	10.9425	7.3474	2.9489	0.0337	2.8881	3.0467	0.1587
77390767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78982423	14.0	8.0	27.0	2.66	0.607	0.187	0.057	1.0	0.0	56.0	111.0	12.8707	3.3012	8.808	18.3833	9.5753	3.8988	2.7971	0.038	2.7153	2.8514	0.136
80982198	44.0	24.0	17.0	2.314	0.682	0.138	0.033	1.0	0.0	39.0	78.0	3.8065	6.8458	0.0	22.1391	22.1391	0.556	2.8349	0.0424	2.7883	2.9501	0.1617
82699044	55.0	29.0	90.0	2.46	0.718	0.1	0.014	0.0	0.0	39.0	78.0	20.6731	4.73	5.384	27.6176	22.2336	4.3706	2.6278	0.0743	2.4431	2.9058	0.4628
84407714	74.0	43.0	93.0	1.962	0.64	0.123	0.027	1.0	0.1	39.0	78.0	19.8046	5.6058	0.0	27.5852	27.5852	3.5329	2.7107	0.0377	2.5966	2.7878	0.1912
86226939	14.0	10.0	32.0	2.849	0.557	0.12	0.017	0.0	0.0	56.0	111.0	17.7952	6.9568	8.4877	30.487	21.9992	2.5579	2.9928	0.0915	2.8537	3.151	0.2973
93800202	34.0	21.0	75.0	2.886	0.492	0.095	0.017	0.0	0.0	39.0	78.0	22.7656	4.1464	12.3413	30.1878	17.8465	5.4905	2.5357	0.0231	2.5022	2.5954	0.0932
97005004	51.0	27.0	63.0	2.256	0.661	0.117	0.044	1.0	0.0	39.0	78.0	20.3814	5.9751	-0.3186	34.5233	34.8419	3.411	2.7693	0.0365	2.6729	2.841	0.1681
100527940	37.0	19.0	52.0	2.669	0.426	0.139	0.04	1.0	0.0	39.0	78.0	12.1174	9.6199	0.0	25.8333	25.8333	1.2596	2.9537	0.0335	2.9083	3.0442	0.1359
