participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	6059.0	4104.0	12562.0	5.554	1.054	0.255	0.055	84.0	6.9	14.0	12.0	50.0938	10.9154	4.0902	78.2096	74.1195	9.1998	4.4608	0.0973	4.1208	4.7445	0.6236
8454119	7061.0	4916.0	16073.0	5.9990000000000006	1.2029999999999998	0.239	0.053000000000000005	81.0	7.7	14.0	12.0	51.264300000000006	12.4453	-8.3323	92.32900000000001	100.6613	8.2451	4.728	0.1075	4.4289000000000005	5.0267	0.5978
11407866	5861.0	4076.0	14224.0	6.351	1.116	0.235	0.047	65.0	6.1	14.0	12.0	53.624399999999994	10.8738	7.0115	79.92920000000001	72.9177	9.8631	4.3246	0.109	4.0032	4.635	0.6319
11574123	4930.0	3368.0	10880.0	5.939	0.997	0.243	0.053000000000000005	60.0	5.1	14.0	12.0	51.8981	11.296399999999998	-10.213899999999999	79.4572	89.6711	9.208400000000001	4.2698	0.1311	3.9333	4.598	0.6646
16684978	4048.0	2774.0	8802.0	5.869	1.1280000000000001	0.263	0.06	59.0	4.699999999999999	14.0	12.0	49.7271	11.268699999999999	3.1795	76.4833	73.3038	8.8523	4.2686	0.16110000000000002	3.8213	4.569	0.7477
25354225	4840.0	3321.0	11404.0	6.430999999999999	1.22	0.262	0.07	80.0	6.699999999999999	14.0	12.0	49.9892	14.2179	-12.677499999999998	94.6214	107.2989	7.0329	4.3723	0.1993	4.0324	4.8111999999999995	0.7787999999999999
25811472	5808.0	4034.0	13733.0	6.186999999999999	1.131	0.245	0.057	73.0	6.9	14.0	12.0	49.0009	12.395700000000001	-14.2011	88.96199999999999	103.16309999999999	7.913600000000001	4.7280999999999995	0.132	4.272	5.0035	0.7315
27876862	3884.0	2649.0	8628.0	6.13	1.099	0.25	0.054000000000000006	51.0	4.3	14.0	12.0	52.5719	11.539100000000001	-3.6548999999999996	80.2739	83.9288	9.1878	3.9695	0.1243	3.5456000000000003	4.2064	0.6608
29811890	5861.0	4050.0	13426.0	6.082000000000001	1.2189999999999999	0.246	0.05	75.0	5.9	14.0	12.0	53.1728	12.6855	7.1722	87.6388	80.4667	8.4069	4.2867	0.10519999999999999	3.9923	4.5945	0.6022000000000001
31361606	4334.0	2899.0	9135.0	5.918	1.121	0.247	0.053000000000000005	48.0	4.8	14.0	12.0	51.4207	10.6177	-16.837600000000002	84.726	101.56360000000001	9.691099999999999	4.038	0.0944	3.8018	4.2549	0.45299999999999996
32938469	5046.0	3499.0	12215.0	6.418	1.353	0.238	0.056999999999999995	64.0	5.7	14.0	12.0	48.7616	13.298	-39.2714	91.8447	131.1162	7.3378	4.400399999999999	0.136	4.0847999999999995	4.7725	0.6878
36895554	5389.0	3702.0	12595.0	6.024	1.1909999999999998	0.253	0.066	73.0	7.199999999999999	14.0	12.0	48.5225	12.0687	1.539	77.8356	76.2966	8.1045	4.4091000000000005	0.1573	4.0179	4.739	0.7211
37329051	4653.0	3171.0	11004.0	6.269	1.181	0.266	0.069	79.0	6.4	14.0	12.0	50.1575	12.055900000000001	-5.6042	79.7007	85.3049	8.3611	4.5212	0.11349999999999999	4.2833000000000006	4.8461	0.5628
37835493	4986.0	3454.0	10507.0	5.569	1.037	0.239	0.047	52.0	4.9	14.0	12.0	49.2693	9.4816	1.7914000000000003	74.2593	72.4679	10.4025	4.231	0.11449999999999999	3.8687	4.493	0.6242000000000001
43606631	4910.0	3317.0	8946.0	5.182	1.046	0.254	0.055	62.0	5.6	14.0	12.0	51.2319	10.9138	10.6589	84.6781	74.01910000000001	9.387	4.4505	0.1161	4.1029	4.6993	0.5962
49408975	5444.0	3785.0	13410.0	6.186999999999999	1.208	0.261	0.063	85.0	7.3	14.0	12.0	48.1479	11.925	-33.442499999999995	76.9774	110.41980000000001	8.0754	4.4171	0.1192	4.0713	4.7043	0.633
51217255	3876.0	2635.0	8945.0	6.332	1.093	0.22999999999999998	0.05	41.0	3.8	14.0	12.0	53.620400000000004	11.4261	2.1084	85.5587	83.4503	9.5398	4.0523	0.13269999999999998	3.7018	4.3391	0.6373
52306425	5642.0	3848.0	11804.0	5.468	1.088	0.261	0.06	79.0	6.3	14.0	12.0	51.4874	10.898700000000002	-0.9271999999999998	86.1154	87.0426	9.4526	4.5384	0.11810000000000001	4.0726	4.8505	0.7779
52835891	4892.0	3279.0	10818.0	5.949	1.0950000000000002	0.248	0.054	66.0	5.3	14.0	12.0	50.9607	11.6867	6.299	81.0903	74.79140000000001	8.7248	4.226	0.1078	3.8438	4.4786	0.6348
55710183	5172.0	3532.0	11003.0	5.616	1.107	0.247	0.055	65.0	5.7	14.0	12.0	49.151799999999994	11.1005	-7.2408	86.8892	94.1299	8.8611	4.4775	0.16	4.0824	4.9056	0.8231
56162563	5305.0	3651.0	11285.0	5.708	1.0470000000000002	0.242	0.055	64.0	5.6	14.0	12.0	53.3224	11.387799999999999	5.7526	87.3741	81.6215	9.4198	4.227	0.0996	3.9646999999999997	4.5371	0.5724
60021964	5630.0	3897.0	12793.0	6.087	1.021	0.248	0.056999999999999995	89.0	6.1	14.0	12.0	51.5295	12.8389	-18.511699999999998	80.41409999999999	98.92580000000001	8.027999999999999	4.3408999999999995	0.1207	3.9368	4.6262	0.6894
62582335	4132.0	2807.0	9167.0	6.194	1.2069999999999999	0.244	0.055	50.0	4.6	14.0	12.0	50.498999999999995	11.3673	-7.8682	82.3989	90.2672	9.0476	4.2893	0.1377	3.9943	4.6575	0.6632
65198031	5475.0	3828.0	11364.0	5.504	1.133	0.271	0.059	80.0	7.199999999999999	14.0	12.0	48.9601	11.1831	1.8159	80.41720000000001	78.60130000000001	8.7559	4.3106	0.1482	4.0406	4.628299999999999	0.5877
