participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3131.0	2169.0	5983.0	5.3469999999999995	0.819	0.237	0.048	34.0	2.9	18.0	16.0	45.653999999999996	10.0958	14.056899999999999	78.1131	64.0562	9.0657	4.3736999999999995	0.2036	3.9495	4.8537	0.9043
8454119	4543.0	3102.0	9739.0	5.915	1.131	0.264	0.063	68.0	5.9	18.0	16.0	50.9754	11.9946	1.4861999999999997	87.7144	86.22819999999999	8.5145	5.6226	0.3124	4.729100000000001	6.3035	1.5744
11407866	3340.0	2292.0	6970.0	5.787	0.952	0.253	0.059	46.0	3.7	18.0	16.0	48.740399999999994	11.0526	8.7503	80.5911	71.841	8.924	4.4466	0.25880000000000003	3.7967000000000004	4.9546	1.1579000000000002
11574123	2453.0	1697.0	4879.0	5.577	0.886	0.249	0.055	28.0	2.8	18.0	16.0	49.6139	10.8609	4.5931999999999995	86.6253	82.0321	9.136299999999999	4.572800000000001	0.2906	3.8603	5.1398	1.2795
16684978	2461.0	1650.0	4900.0	5.776999999999999	1.049	0.257	0.057999999999999996	27.0	2.9000000000000004	18.0	16.0	46.58410000000001	11.2478	14.3247	77.4102	63.0855	8.2821	4.4015	0.24659999999999999	3.8339999999999996	5.0001	1.1662
25354225	2812.0	1957.0	6312.0	6.106999999999999	1.2200000000000002	0.265	0.057999999999999996	37.0	3.6	18.0	16.0	48.7941	11.699100000000001	10.5111	84.7185	74.2074	8.3503	4.4342	0.1717	3.9472	4.7435	0.7963
25811472	3030.0	2116.0	6709.0	6.015000000000001	0.9470000000000001	0.245	0.056	38.0	3.9000000000000004	18.0	16.0	47.150499999999994	11.2955	3.0313	77.0099	73.9785	8.3749	4.8776	0.319	4.1728000000000005	5.5774	1.4045999999999998
27876862	2490.0	1717.0	4608.0	5.0649999999999995	1.065	0.279	0.064	42.0	3.3	18.0	16.0	46.3486	13.6425	-18.5124	82.5856	101.098	6.8152	4.2829999999999995	0.2461	3.564	4.7172	1.1531
29811890	2888.0	1936.0	5697.0	5.768000000000001	1.319	0.249	0.059000000000000004	36.0	3.2	18.0	16.0	50.4534	13.815	9.2712	89.85669999999999	80.5857	7.3588000000000005	4.8369	0.1767	4.359999999999999	5.2061	0.8461000000000001
31361606	2448.0	1700.0	4662.0	5.281000000000001	1.0	0.254	0.054	26.0	2.8	18.0	16.0	45.3138	10.4328	11.3845	80.6981	69.31360000000001	8.6892	4.046200000000001	0.1549	3.6431	4.4761	0.833
32938469	2730.0	1845.0	5519.0	5.880000000000001	1.134	0.22299999999999998	0.053000000000000005	31.0	3.1	18.0	16.0	49.159800000000004	11.694600000000001	7.917	80.0492	72.13220000000001	8.4349	5.3346	0.28049999999999997	4.487	5.8081	1.3211
36895554	2985.0	1972.0	5571.0	5.66	1.334	0.248	0.06	36.0	3.6	18.0	16.0	44.8508	10.9755	-5.2078	79.413	84.6209	8.1756	4.505699999999999	0.21910000000000002	4.0598	4.9644	0.9046
37329051	2691.0	1827.0	5649.0	5.882	1.04	0.251	0.055	37.0	3.0	18.0	16.0	51.3089	11.9063	9.5602	86.3224	76.7621	8.6323	4.556	0.2122	4.0565	5.016	0.9596
37835493	2850.0	1977.0	5438.0	5.164	0.9179999999999999	0.253	0.052000000000000005	33.0	3.0	18.0	16.0	44.8188	10.7929	9.354	80.89359999999999	71.5396	8.3178	4.1718	0.2724	3.4941	4.817	1.3229000000000002
43606631	2758.0	1837.0	4752.0	5.025	0.758	0.253	0.06	34.0	3.3	18.0	16.0	44.135099999999994	11.8293	8.0616	80.8458	72.7842	7.4656	4.5066	0.2505	3.8775000000000004	4.9969	1.1194
49408975	3238.0	2162.0	6436.0	5.772	1.3399999999999999	0.23099999999999998	0.045	34.0	3.0	18.0	16.0	44.8447	10.6942	4.987	75.9493	70.9623	8.4429	4.5548	0.2298	3.9853	4.92	0.9349000000000001
51217255	2743.0	1828.0	5730.0	5.749	1.016	0.253	0.059	37.0	3.2	18.0	16.0	48.040000000000006	11.5517	12.7366	79.5945	66.8579	8.3237	4.4618	0.29500000000000004	3.8377	5.2157	1.3780000000000001
52306425	3408.0	2317.0	6435.0	5.413	0.86	0.244	0.054	42.0	3.4	18.0	16.0	45.9837	10.8977	8.8049	78.5579	69.7529	8.439599999999999	4.3408999999999995	0.23170000000000002	3.7333	4.884499999999999	1.1512
