participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	2777.0	1820.0	7634.0	6.087	0.744	0.263	0.056	42.0	3.1	26.0	24.0	40.6869	8.814900000000002	9.5871	73.07079999999999	63.4838	9.2486	9.682	0.8749	7.3975	10.784500000000001	3.3871
8454119	3113.0	1958.0	7446.0	5.807	1.105	0.266	0.073	56.0	4.1	26.0	24.0	40.0862	12.3226	-4.489000000000001	76.3965	80.88550000000001	6.5057	11.345099999999999	0.4696	10.043800000000001	12.2045	2.1607000000000003
11407866	2830.0	1966.0	8811.0	6.5	1.048	0.264	0.059000000000000004	51.0	3.5	26.0	24.0	40.464	10.7442	8.0017	73.4373	65.4356	7.544600000000001	10.1089	0.7534000000000001	8.2579	11.3986	3.1408
11574123	2550.0	1634.0	7665.0	6.89	0.9730000000000001	0.261	0.067	39.0	3.1	26.0	24.0	41.588499999999996	10.939800000000002	-1.8342000000000003	81.4982	83.3324	7.6388	9.8742	0.6839999999999999	8.136800000000001	10.9352	2.7984
16684978	2225.0	1440.0	6293.0	5.992	1.004	0.273	0.077	38.0	3.8	26.0	24.0	37.7432	10.506	-12.8688	76.02430000000001	88.89320000000001	7.1848	9.1919	0.6347	7.4014	9.9321	2.5305999999999997
25354225	2724.0	1743.0	8177.0	6.483	1.085	0.258	0.07500000000000001	51.0	3.8	26.0	24.0	41.0453	13.7439	-17.6447	81.8083	99.453	6.0407	9.2797	0.6925	7.6951	10.623899999999999	2.9288999999999996
25811472	3379.0	2231.0	11035.0	6.901999999999999	0.99	0.257	0.057999999999999996	53.0	3.6	26.0	24.0	39.7333	10.0474	8.0877	67.2989	59.211200000000005	7.9107	10.16	0.9464	7.5911	11.706399999999999	4.1152
27876862	2353.0	1590.0	6271.0	5.894	0.9079999999999999	0.29100000000000004	0.069	48.0	3.5	26.0	24.0	40.4028	11.001000000000001	-1.085	70.8235	71.9085	7.3732	7.6975	0.3829	6.6543	8.5549	1.9006
29811890	3097.0	2049.0	9056.0	6.438000000000001	0.9490000000000001	0.259	0.06	58.0	3.6	26.0	24.0	41.8395	12.5634	-0.30739999999999945	77.6212	77.92859999999999	6.6765	10.761600000000001	0.7142999999999999	8.806000000000001	11.949100000000001	3.1430999999999996
31361606	1964.0	1323.0	5544.0	5.9	0.9219999999999999	0.267	0.061	32.0	2.5	26.0	24.0	40.032300000000006	10.2608	-1.5004	74.5763	76.0766	8.1272	8.7583	0.5027	7.5878	9.6837	2.0958
32938469	3794.0	2343.0	9811.0	5.825	1.2109999999999999	0.273	0.102	83.0	7.699999999999999	26.0	24.0	33.9443	12.8903	-17.1344	72.1802	89.3147	5.274699999999999	10.457899999999999	0.8403	8.235700000000001	11.6951	3.4593
36895554	2366.0	1593.0	7535.0	6.526	1.174	0.29	0.08	46.0	4.2	26.0	24.0	39.7796	10.6159	-0.3152999999999997	67.9314	68.2467	7.6079	9.2149	0.5429999999999999	7.859299999999999	10.0954	2.2359999999999998
37329051	2700.0	1868.0	8471.0	6.468999999999999	1.185	0.281	0.067	50.0	3.9	26.0	24.0	42.0206	11.3118	-3.0408	74.7339	77.77459999999999	7.4622	10.065000000000001	0.7491	8.4688	11.099599999999999	2.6309
37835493	2868.0	1936.0	7600.0	5.883	0.8300000000000001	0.266	0.06	44.0	3.5	26.0	24.0	39.9975	9.7696	-6.544499999999999	69.8552	76.3998	8.2994	8.9089	0.9314	6.6437	10.2308	3.5870999999999995
43606631	2582.0	1610.0	5844.0	5.508	0.783	0.264	0.062	38.0	3.0	26.0	24.0	37.7344	9.255099999999999	7.9306	73.0562	65.12559999999999	8.1627	9.2259	0.6347	7.4189	10.1982	2.7793
49408975	2299.0	1585.0	6401.0	6.243	1.216	0.263	0.062	34.0	2.8	26.0	24.0	40.4696	10.1414	7.7077	70.58760000000001	62.8799	7.992100000000001	9.3662	0.662	7.8804	10.7418	2.8613999999999997
51217255	2691.0	1762.0	7914.0	6.444000000000001	0.852	0.265	0.06	46.0	3.2	26.0	24.0	42.9244	10.3233	-5.8844	71.8259	77.7103	8.3216	9.6395	0.8576999999999999	7.4611	10.793700000000001	3.3326000000000002
52306425	3111.0	2054.0	8283.0	5.906000000000001	0.94	0.256	0.061	49.0	3.8	26.0	24.0	39.813199999999995	10.1029	-4.145899999999999	72.82329999999999	76.9692	7.9845	9.768699999999999	0.6489	7.9097	10.5702	2.6605
52835891	2392.0	1621.0	7556.0	6.631	0.948	0.254	0.066	39.0	3.0	26.0	24.0	39.133300000000006	11.412700000000001	-4.8545	74.78129999999999	79.6357	6.8924	8.565	0.5073	7.1975999999999996	9.1555	1.9579
55710183	3059.0	1999.0	8090.0	5.8469999999999995	0.9460000000000001	0.262	0.056999999999999995	52.0	3.2	26.0	24.0	38.806	9.3517	8.2232	69.6051	61.3819	8.3684	9.947099999999999	0.7161	7.8536	11.2406	3.387
56162563	2928.0	1937.0	7584.0	5.839	0.85	0.254	0.053000000000000005	42.0	3.2	26.0	24.0	42.8959	9.450099999999999	10.813400000000001	77.7663	66.953	9.106100000000001	9.8623	0.8018000000000001	7.837199999999999	10.9714	3.1342
60021964	2980.0	1957.0	8440.0	6.207000000000001	0.9390000000000001	0.247	0.057	46.0	3.5	26.0	24.0	39.7744	10.8022	-3.1949000000000005	69.9591	73.154	7.3642	9.6954	0.9528	7.563	10.974	3.411
62582335	2721.0	1799.0	7878.0	6.449	0.815	0.275	0.063	42.0	3.4	26.0	24.0	41.808499999999995	10.3894	11.5247	71.1079	59.5832	8.0558	8.789	0.8895	6.7819	9.925	3.1431
65198031	3046.0	2002.0	8340.0	6.228	1.0	0.276	0.064	49.0	3.7	26.0	24.0	39.8502	10.051400000000001	7.075699999999999	71.4651	64.3894	7.962999999999999	9.1151	0.5609999999999999	7.9262999999999995	10.311399999999999	2.3851
70214854	2737.0	1808.0	7582.0	6.179	1.218	0.27	0.066	39.0	3.5999999999999996	26.0	24.0	45.292699999999996	11.1961	5.41	81.6379	76.22800000000001	8.155100000000001	8.1655	0.4238	7.1833	8.838899999999999	1.6557
71851847	3579.0	2339.0	10387.0	6.52	1.0110000000000001	0.266	0.055	58.0	4.0	26.0	24.0	44.1104	10.5256	10.4503	71.787	61.33669999999999	8.4637	9.521	0.6273	8.0835	10.6713	2.5879000000000003
74920331	2912.0	1969.0	7600.0	5.855	0.876	0.257	0.054	43.0	3.0	26.0	24.0	40.489	9.3779	7.252199999999999	71.1114	63.8591	8.672699999999999	8.5578	0.8735999999999999	7.007300000000001	10.2503	3.243
77390767	2327.0	1506.0	6828.0	6.407	0.83	0.254	0.057999999999999996	35.0	2.7	26.0	24.0	41.7761	9.7484	1.3050000000000002	71.59700000000001	70.2921	8.5709	8.9342	0.5984	7.470700000000001	10.111	2.6403
78982423	2428.0	1583.0	6572.0	6.168	1.084	0.27	0.069	38.0	3.3	26.0	24.0	39.2768	10.6967	-1.7483000000000004	73.1679	74.9163	7.3473	8.9039	0.6752	7.2356	10.1081	2.8725
80982198	3751.0	2566.0	11497.0	6.397	1.128	0.276	0.068	66.0	5.3	26.0	24.0	41.9568	11.032399999999999	0.38680000000000003	77.2157	76.82900000000001	7.6094	10.6872	1.014	8.055299999999999	11.8864	3.8310999999999997
82699044	3276.0	2181.0	8515.0	5.872	1.0	0.256	0.059	49.0	3.5999999999999996	26.0	24.0	39.6398	10.9052	-2.5059000000000005	70.2739	72.7796	7.275399999999999	9.4978	0.9785	7.5664	11.0566	3.4901999999999997
84407714	2471.0	1616.0	6604.0	5.885	0.875	0.243	0.054	39.0	2.6	26.0	24.0	38.579	9.0642	9.0165	66.47409999999999	57.4576	8.5579	9.098700000000001	0.7612	7.5182	10.1003	2.582
86226939	2868.0	1821.0	7800.0	6.2170000000000005	0.824	0.257	0.067	44.0	3.5999999999999996	26.0	24.0	38.473200000000006	10.0562	2.1713999999999998	74.776	72.6046	7.696	9.6341	0.5114000000000001	8.0564	10.4621	2.4055999999999997
93800202	2225.0	1519.0	6796.0	6.291	1.193	0.28	0.07	42.0	3.5	26.0	24.0	39.2789	11.6087	-2.4179	69.8836	72.30160000000001	6.8041	9.397300000000001	0.5036	7.991099999999999	10.1181	2.127
97005004	2966.0	1920.0	8135.0	6.179	1.1099999999999999	0.254	0.064	50.0	3.8	26.0	24.0	40.1613	11.9848	-22.685299999999998	74.8084	97.49380000000001	6.7987	10.1207	0.8469	7.857900000000001	11.604099999999999	3.7463
100527940	4443.0	2869.0	11333.0	5.793	1.416	0.27	0.096	97.0	9.0	26.0	24.0	33.1806	15.599599999999999	-28.347299999999997	74.4923	102.83959999999999	4.2514	10.4259	0.8001	8.487	11.6873	3.2003
103652366	2524.0	1688.0	7152.0	6.132	1.042	0.269	0.067	44.0	3.6	26.0	24.0	35.8926	11.106100000000001	4.1764	65.8277	61.6513	6.463699999999999	9.109	0.5119	7.4939	10.0469	2.553
105914514	4844.0	3201.0	12713.0	5.91	1.6749999999999998	0.266	0.10900000000000001	117.0	10.7	26.0	24.0	29.7801	12.8213	-12.8033	76.6805	89.4837	4.646599999999999	10.7926	1.0593	8.1198	12.6933	4.5735
