participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	820.0	505.0	2173.0	5.964	0.8320000000000001	0.29300000000000004	0.10300000000000001	19.0	1.7999999999999998	28.0	26.0	40.4313	11.8323	-2.794699999999999	66.6764	69.4712	7.0611999999999995	7.5045	0.7413	6.2867999999999995	8.596699999999998	2.3098
8454119	991.0	587.0	2800.0	6.3469999999999995	0.781	0.256	0.051000000000000004	19.0	1.1	28.0	26.0	42.6416	11.3854	14.7638	71.5429	56.7791	7.5183	9.5165	0.8061	7.488899999999999	10.568999999999999	3.0802
11407866	1105.0	703.0	3371.0	6.532	0.875	0.295	0.07300000000000001	25.0	1.5	28.0	26.0	39.9401	11.2433	-1.0887999999999998	66.0407	67.12950000000001	7.1206	8.5746	0.7769999999999999	6.351	9.4764	3.1254999999999997
11574123	896.0	558.0	2619.0	6.3919999999999995	0.701	0.247	0.044	14.0	0.8	28.0	26.0	47.317	8.5353	25.8952	69.9157	44.0205	11.1562	7.4052	0.7383	5.8776	8.3069	2.4294000000000002
16684978	940.0	592.0	2567.0	6.116	0.897	0.297	0.067	22.0	1.3	28.0	26.0	38.800200000000004	11.255600000000001	5.9275	69.194	63.2664	7.1075	8.748999999999999	0.4273	7.446	9.4829	2.037
25354225	673.0	415.0	2040.0	6.5280000000000005	0.901	0.275	0.07200000000000001	15.0	1.0	28.0	26.0	42.1871	13.221599999999999	5.1541999999999994	77.95400000000001	72.7999	6.4286	7.375299999999999	0.46540000000000004	6.4239	8.5763	2.1524
25811472	1159.0	727.0	3410.0	6.416	0.842	0.266	0.07	22.0	1.6	28.0	26.0	43.273300000000006	11.0272	1.2865	74.2744	72.9879	7.8583	7.922000000000001	0.8674	6.148	9.142	2.9939999999999998
27876862	715.0	431.0	1723.0	5.849	0.825	0.265	0.06	12.0	0.7	28.0	26.0	41.1279	9.0041	9.6244	65.2723	55.6479	9.2875	6.2075	0.37170000000000003	5.5271	6.9026	1.3755
29811890	1209.0	668.0	3114.0	6.128	1.361	0.271	0.1	28.0	2.7	28.0	26.0	38.8065	15.7022	-31.1903	74.4539	105.6443	4.9389	7.0646	0.8534	5.6443	8.4458	2.8015
31361606	815.0	498.0	1957.0	5.51	1.1	0.28400000000000003	0.093	18.0	1.4	28.0	26.0	38.4323	13.2133	-7.7828	72.6925	80.4754	5.8873	7.778700000000001	0.46540000000000004	6.797700000000001	8.4226	1.625
32938469	1039.0	592.0	2615.0	5.851	1.4729999999999999	0.276	0.129	20.0	2.5	28.0	26.0	31.031799999999997	13.6492	-5.1312999999999995	69.34	74.4713	4.5569	7.758900000000001	0.764	6.3416	9.1175	2.7759
36895554	802.0	534.0	2561.0	6.176	0.984	0.32399999999999995	0.07400000000000001	22.0	1.2	28.0	26.0	39.2909	11.7865	0.4598999999999993	73.6842	73.2244	6.6667000000000005	6.973000000000001	0.3678	6.207800000000001	7.7422	1.5344
37329051	794.0	487.0	2475.0	6.654	0.995	0.335	0.10300000000000001	23.0	1.6	28.0	26.0	37.5179	11.7729	6.3881	78.1873	71.7992	6.4343	7.4955	0.2811	6.824400000000001	8.0753	1.2508
37835493	987.0	623.0	2571.0	6.057	0.899	0.277	0.064	21.0	1.2	28.0	26.0	40.8943	10.151299999999999	0.3443999999999994	65.5373	65.1929	8.4884	6.9117	0.6113999999999999	5.7351	8.020900000000001	2.2855999999999996
43606631	715.0	435.0	1569.0	5.413	0.6859999999999999	0.28200000000000003	0.061	13.0	0.7	28.0	26.0	43.9832	8.5186	20.4647	67.5198	47.0551	10.5042	7.058	0.43900000000000006	6.135	8.119299999999999	1.9843
49408975	836.0	540.0	2763.0	6.579	0.882	0.264	0.066	17.0	1.1	28.0	26.0	41.3414	10.7683	12.1671	70.7894	58.6225	7.684	7.8835	0.79	6.2478	8.7833	2.5354
51217255	737.0	466.0	2155.0	6.382	0.901	0.247	0.059	11.0	0.7	28.0	26.0	44.0762	10.5124	7.455400000000001	74.5722	67.1169	8.496599999999999	7.7606	0.422	6.6117	8.4754	1.8637000000000001
52306425	959.0	619.0	2554.0	5.881	0.9450000000000001	0.305	0.06	21.0	1.2	28.0	26.0	43.232	10.669599999999999	14.081299999999999	72.7483	58.6669	8.1354	7.8514	0.5745	6.3918	8.7208	2.3289999999999997
52835891	920.0	610.0	2973.0	7.01	1.064	0.28	0.062	17.0	1.2	28.0	26.0	45.1383	9.4707	20.7882	71.3811	50.5929	9.6146	6.440300000000001	0.40409999999999996	5.5903	7.3143	1.7240000000000002
55710183	719.0	461.0	1988.0	6.051	0.831	0.29500000000000004	0.059000000000000004	14.0	0.8	28.0	26.0	41.3928	9.0701	11.6885	63.6858	51.9973	9.203299999999999	7.0275	0.45189999999999997	6.1089	8.010200000000001	1.9013
56162563	893.0	578.0	2469.0	6.16	0.916	0.27	0.059	14.0	1.1	28.0	26.0	46.430499999999995	11.7969	10.3483	79.9654	69.617	7.8718	7.1145	0.6667000000000001	5.7544	8.5533	2.7988999999999997
60021964	1079.0	695.0	3055.0	6.194	1.0430000000000001	0.253	0.05	19.0	1.0	28.0	26.0	44.6785	10.2048	12.9365	68.3281	55.3916	9.447700000000001	8.1561	0.6503	6.7934	9.376100000000001	2.5827
62582335	832.0	532.0	2106.0	5.878	0.823	0.271	0.07600000000000001	17.0	1.1	28.0	26.0	40.0355	12.3788	4.7501	66.9199	62.1698	6.6418	8.2454	0.49960000000000004	6.9503	9.016	2.0658000000000003
65198031	887.0	562.0	2206.0	5.585	0.8140000000000001	0.261	0.056	17.0	1.3	28.0	26.0	40.3407	10.4575	7.8381	65.4104	57.572199999999995	7.8857	7.225	0.6362	6.0272	8.0109	1.9836999999999998
70214854	996.0	610.0	3035.0	6.431	0.8520000000000001	0.28200000000000003	0.059000000000000004	17.0	1.4	28.0	26.0	48.213800000000006	11.643799999999999	12.2775	74.94749999999999	62.67	8.4896	6.3139	0.5323	5.3243	6.9992	1.6749
71851847	833.0	510.0	2745.0	6.852	0.6759999999999999	0.28800000000000003	0.059	18.0	1.0	28.0	26.0	42.5677	9.3031	16.890500000000003	66.7713	49.8808	9.203199999999999	7.8969	0.6583	6.3726	8.6937	2.3211
74920331	741.0	468.0	2380.0	6.598000000000001	0.744	0.262	0.06	12.0	0.9	28.0	26.0	42.1599	8.264399999999998	14.2467	64.0733	49.826499999999996	10.2081	7.2219999999999995	0.5842	6.1876	8.210899999999999	2.0234
77390767	645.0	415.0	1848.0	5.984	0.912	0.272	0.064	13.0	0.8	28.0	26.0	39.7006	11.9761	2.3798	65.6089	63.2291	6.6622	7.457800000000001	0.5831	6.2961	8.3811	2.0850999999999997
78982423	940.0	560.0	2335.0	5.792	0.851	0.298	0.07100000000000001	22.0	1.2	28.0	26.0	38.685199999999995	11.1516	-5.724500000000001	68.23060000000001	73.9551	7.0038	6.8895	0.5379	5.8263	7.5961	1.7696999999999998
80982198	956.0	631.0	2959.0	6.022	0.9079999999999999	0.301	0.094	29.0	1.7	28.0	26.0	41.586600000000004	11.892399999999999	-0.9371	71.1639	72.1011	7.1456	8.261099999999999	0.7061	6.856999999999999	9.3855	2.5285
82699044	878.0	547.0	2389.0	5.997999999999999	0.835	0.271	0.054	18.0	0.8	28.0	26.0	42.0227	9.2515	12.3081	67.1832	54.8751	9.082699999999999	7.2453	0.5218	6.133900000000001	8.287700000000001	2.1538
84407714	687.0	432.0	1995.0	6.4510000000000005	0.7110000000000001	0.282	0.067	14.0	0.7	28.0	26.0	38.7626	10.5141	2.8202	68.0884	65.26820000000001	7.3803	7.656499999999999	0.4264	6.7137	8.641200000000001	1.9275
86226939	828.0	530.0	2092.0	5.82	0.97	0.299	0.073	19.0	1.1	28.0	26.0	39.4107	12.607199999999999	1.6238000000000001	73.346	71.7223	6.5215	7.6530000000000005	0.6352	6.1746	8.4259	2.2512
93800202	667.0	424.0	2204.0	6.914	1.184	0.293	0.09	19.0	1.1	28.0	26.0	40.5993	14.3941	1.2697	71.33250000000001	70.0626	5.8883	7.9246	0.4734	6.7907	8.707799999999999	1.9171
97005004	1036.0	630.0	3173.0	6.734999999999999	1.073	0.275	0.07300000000000001	21.0	1.5	28.0	26.0	41.914699999999996	11.8448	-3.2043999999999997	71.96289999999999	75.1671	7.2492	8.0969	0.6493	6.6871	9.038599999999999	2.3515
100527940	944.0	588.0	2750.0	6.324	1.146	0.269	0.11599999999999999	25.0	2.2	28.0	26.0	38.2341	14.0348	2.0850999999999997	73.72049999999999	71.6354	5.7962	7.9393	0.7406	6.725899999999999	9.0582	2.3323
103652366	689.0	440.0	2080.0	6.313000000000001	0.8	0.277	0.064	12.0	0.9	28.0	26.0	41.4296	9.7256	12.3417	73.2302	60.888600000000004	8.6131	7.7046	0.5475	6.2285	8.3787	2.1502
105914514	1252.0	803.0	2912.0	5.538	1.6389999999999998	0.267	0.107	17.0	2.7	28.0	26.0	25.161299999999997	11.5547	-10.3203	63.7688	74.0891	4.3971	7.8483	0.9184	5.6648	9.438199999999998	3.7735000000000003
107578676	1174.0	719.0	3246.0	6.198	0.837	0.275	0.065	25.0	1.4	28.0	26.0	44.0793	12.823	5.527	75.1243	69.5974	6.8704	8.702100000000002	0.7166	7.0979	9.8613	2.7633
108828000	746.0	459.0	2084.0	6.229	0.9119999999999999	0.28600000000000003	0.07200000000000001	16.0	1.1	28.0	26.0	39.5086	11.9056	3.0525	73.1637	70.1112	6.6716	7.1159	0.5686	5.9128	7.8289	1.916
113335479	1455.0	834.0	3811.0	6.0329999999999995	1.103	0.255	0.07100000000000001	27.0	2.1	28.0	26.0	34.357	13.316600000000001	-8.302999999999999	62.1742	70.4772	5.3515	8.8137	0.9869999999999999	6.6388	10.844899999999999	4.2061
115784129	1262.0	665.0	2663.0	5.755	0.804	0.254	0.072	21.0	1.7000000000000002	28.0	26.0	41.2953	10.916	2.4242999999999997	71.8171	69.3929	7.5997					
119126177	956.0	558.0	2816.0	6.296	1.198	0.26	0.086	26.0	1.5	28.0	26.0	36.4031	13.502400000000002	-11.454799999999999	64.06110000000001	75.5159	5.4912	6.6679	0.6093999999999999	5.7245	7.9523	2.2279
121697273	849.0	544.0	2501.0	6.214	0.969	0.255	0.07400000000000001	15.0	1.1	28.0	26.0	44.0773	12.2516	6.0762	76.71709999999999	70.6409	7.2237	7.5747	0.7812	5.975099999999999	9.0005	3.0254000000000003
