participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3705.0	2354.0	8438.0	5.557	0.917	0.28300000000000003	0.067	72.0	4.9	44.0	42.0	39.2221	10.720500000000001	0.9679	72.4939	71.52600000000001	7.3182	5.4815000000000005	0.26739999999999997	4.9923	6.0511	1.0588
8454119	5498.0	3454.0	13660.0	6.2059999999999995	1.2269999999999999	0.269	0.08099999999999999	113.0	8.4	44.0	42.0	40.747	13.5607	-29.970100000000002	76.8305	106.8006	6.0538	6.006	0.3298	5.3649000000000004	6.7692	1.4042
11407866	3908.0	2565.0	10972.0	6.45	1.046	0.281	0.065	75.0	4.8	44.0	42.0	40.7579	10.8538	7.1269	71.36959999999999	64.2428	7.5095	5.542400000000001	0.1896	5.0238	6.0626999999999995	1.0388000000000002
11574123	4036.0	2553.0	9322.0	5.726	1.0310000000000001	0.26	0.06	79.0	4.6	44.0	42.0	39.0493	10.9946	0.921	69.512	68.5911	7.112	5.464	0.18180000000000002	4.8713	5.9454	1.0741
16684978	3537.0	2333.0	7593.0	5.362	1.16	0.317	0.097	77.0	7.0	44.0	42.0	36.9853	12.0205	-24.060299999999998	75.9405	100.0007	6.1535	5.473599999999999	0.1504	5.0894	5.8985	0.8090999999999999
25354225	4568.0	2938.0	12074.0	6.321	1.286	0.273	0.07999999999999999	99.0	7.3	44.0	42.0	38.0764	13.0151	-14.0594	77.92689999999999	91.9863	5.8974	5.6447	0.1598	5.0832999999999995	6.1333	1.0502
25811472	4222.0	2731.0	10747.0	6.186	1.351	0.288	0.08399999999999999	83.0	7.5	44.0	42.0	39.3169	11.467500000000001	-15.538900000000002	87.185	102.72380000000001	6.8604	5.8561	0.1714	5.3988	6.4099	1.0110999999999999
27876862	2951.0	1918.0	6966.0	5.7010000000000005	0.969	0.293	0.07100000000000001	67.0	4.1	44.0	42.0	38.6312	11.1554	3.3608	68.8666	65.5058	6.9323999999999995	5.167400000000001	0.1784	4.7735	5.6196	0.8461000000000001
29811890	5254.0	3426.0	13537.0	6.035	1.424	0.297	0.076	117.0	7.9	44.0	42.0	39.3645	11.9621	-7.5177000000000005	76.32419999999999	83.8418	6.5824	6.0202	0.20500000000000002	5.119999999999999	6.5029	1.3826999999999998
31361606	3416.0	2222.0	7680.0	5.593999999999999	1.26	0.274	0.078	72.0	5.6	44.0	42.0	37.9815	12.9633	-60.0936	80.74199999999999	140.8356	5.8614	4.9506	0.11699999999999999	4.7052	5.2704	0.5651999999999999
32938469	3203.0	2105.0	8966.0	6.469	1.169	0.308	0.089	86.0	5.300000000000001	44.0	42.0	36.8529	13.450700000000001	-22.8163	79.0139	101.8303	5.4861	5.7786	0.2539	4.9468	6.2834	1.3365
36895554	3412.0	2206.0	8349.0	5.982	1.157	0.313	0.088	91.0	5.6	44.0	42.0	37.2899	13.088999999999999	-16.4698	72.7808	89.25059999999999	5.7019	5.2727	0.1791	4.815300000000001	5.7273	0.9119999999999999
37329051	4508.0	3096.0	11737.0	6.01	1.1400000000000001	0.308	0.079	116.0	7.4	44.0	42.0	40.472300000000004	12.5853	-20.828	81.88640000000001	102.71440000000001	6.4364	5.8004999999999995	0.1778	5.2684999999999995	6.3564	1.0878999999999999
37835493	4465.0	2838.0	10206.0	5.5969999999999995	1.154	0.279	0.07999999999999999	97.0	7.199999999999999	44.0	42.0	39.1612	12.9679	-37.5483	127.75120000000001	165.2995	6.0783000000000005	5.4026	0.19269999999999998	4.682	5.7975	1.1156000000000001
43606631	3859.0	2398.0	8128.0	5.26	1.042	0.267	0.069	79.0	5.4	44.0	42.0	37.8977	11.8843	-58.2899	80.42769999999999	138.7176	6.3804	5.3481000000000005	0.2146	4.8826	5.8865	1.0037
49408975	3876.0	2510.0	9552.0	6.051	1.17	0.281	0.069	80.0	5.5	44.0	42.0	37.321600000000004	12.017800000000001	-10.207699999999999	78.3099	88.5175	6.3071	5.3297	0.2613	4.9086	6.1713000000000005	1.2626
51217255	4106.0	2596.0	9987.0	5.829	1.187	0.289	0.086	94.0	7.3	44.0	42.0	39.438500000000005	12.6095	-32.6342	75.0539	107.68799999999999	6.2637	5.5339	0.2392	4.795	6.078200000000001	1.2833
52306425	3895.0	2599.0	8657.0	5.151	1.1280000000000001	0.292	0.074	100.0	6.2	44.0	42.0	37.5608	12.564900000000002	-30.4527	74.0369	104.4897	6.0276	5.6744	0.258	5.001799999999999	6.2562	1.2544
52835891	3904.0	2522.0	9347.0	5.968	1.097	0.279	0.068	76.0	5.4	44.0	42.0	40.0484	11.3698	-1.0449000000000002	78.709	79.754	7.0642	5.0815	0.1512	4.6434999999999995	5.5903	0.9467000000000001
55710183	5670.0	3663.0	11948.0	5.4	1.2890000000000001	0.299	0.086	155.0	10.5	44.0	42.0	38.6543	14.096699999999998	-143.6189	79.8286	223.4475	5.4886	5.6723	0.2595	5.0474	6.3231	1.2757
56162563	5034.0	3319.0	12792.0	6.002000000000001	1.2810000000000001	0.28700000000000003	0.086	108.0	9.8	44.0	42.0	41.082300000000004	12.7089	-17.975900000000003	80.3802	98.3561	6.5176	5.6119	0.2224	5.1074	6.296900000000001	1.1895
60021964	4111.0	2581.0	10823.0	6.324	1.0819999999999999	0.263	0.064	90.0	5.1	44.0	42.0	41.79900000000001	11.795	-30.358900000000002	133.1681	163.52710000000002	7.1471	5.648199999999999	0.24470000000000003	5.1677	6.2085	1.0409000000000002
62582335	4180.0	2713.0	10146.0	5.821999999999999	1.171	0.278	0.077	88.0	6.3	44.0	42.0	36.9891	12.8072	-44.920199999999994	70.6648	115.58500000000001	5.7754	5.4836	0.2573	5.0111	6.113099999999999	1.102
65198031	3749.0	2438.0	8741.0	5.607	0.9570000000000001	0.274	0.063	78.0	4.9	44.0	42.0	37.275800000000004	10.7775	5.2773	73.8848	68.6077	6.9368	5.3425	0.1714	4.7953	5.6722	0.8768
70214854	3631.0	2326.0	8250.0	5.605	1.126	0.288	0.078	60.0	5.1	44.0	42.0	41.844300000000004	11.4082	-25.1081	79.6063	104.71440000000001	7.3315	5.2675	0.1648	4.862	5.64	0.778
71851847	4174.0	2712.0	10628.0	6.167	1.211	0.276	0.08	89.0	6.4	44.0	42.0	40.6263	12.902899999999999	-22.9897	83.686	106.6756	6.2989999999999995	5.374599999999999	0.2198	4.7582	5.964499999999999	1.2063000000000001
74920331	3907.0	2498.0	9327.0	6.0	1.099	0.269	0.07500000000000001	70.0	5.3	44.0	42.0	39.054	11.2799	-2.2495000000000003	72.84899999999999	75.0986	6.9491	5.5052	0.18409999999999999	5.0916	5.9854	0.8936999999999999
77390767	3369.0	2192.0	7121.0	5.294	0.966	0.28500000000000003	0.076	82.0	5.0	44.0	42.0	39.2084	13.0452	-24.0103	75.1446	99.1549	6.0219	5.2698	0.1285	4.915100000000001	5.627	0.7121
78982423	4194.0	2655.0	9090.0	5.5440000000000005	1.087	0.28500000000000003	0.068	89.0	5.8	44.0	42.0	39.5138	12.087299999999999	-5.628500000000001	78.33539999999999	83.9639	6.5643	5.252000000000001	0.1982	4.8483	5.8347	0.9863999999999999
80982198	3587.0	2346.0	8792.0	5.861	1.028	0.271	0.069	71.0	4.699999999999999	44.0	42.0	40.3094	11.7903	-10.075500000000002	77.3268	87.4022	6.8499	5.5552	0.13879999999999998	5.2217	5.882099999999999	0.6604
82699044	3488.0	2341.0	8683.0	5.856	1.024	0.278	0.064	70.0	4.5	44.0	42.0	39.854	11.0896	-3.384	70.0616	73.44560000000001	7.257	5.5177	0.17359999999999998	5.1263000000000005	6.0431	0.9168000000000001
84407714	3623.0	2374.0	9140.0	5.968999999999999	1.091	0.288	0.07200000000000001	77.0	5.2	44.0	42.0	38.4961	11.4178	-18.4563	72.7406	91.1969	6.8373	5.2139	0.1646	4.834300000000001	5.722300000000001	0.8881999999999999
86226939	4427.0	2773.0	10122.0	5.939	1.0819999999999999	0.27	0.067	82.0	5.9	44.0	42.0	38.935100000000006	11.3403	1.2823	79.606	78.3237	6.8759	5.2031	0.1354	4.8711	5.6966	0.8256
93800202	4001.0	2559.0	10318.0	6.186999999999999	1.193	0.289	0.069	84.0	5.800000000000001	44.0	42.0	41.1353	11.1711	-5.8615	77.0009	82.86240000000001	7.4114	5.2782	0.2212	4.7232	6.0385	1.3154
97005004	4411.0	2839.0	11083.0	6.145	1.0030000000000001	0.28	0.062	94.0	5.2	44.0	42.0	42.759699999999995	10.9717	5.0504999999999995	73.15039999999999	68.0999	7.7986	5.9353	0.1713	5.4132	6.3654	0.9524
100527940	4325.0	2861.0	11528.0	6.194	1.0150000000000001	0.301	0.07200000000000001	91.0	6.4	44.0	42.0	41.4684	11.2964	5.2567	71.5016	66.2449	7.3495	5.9481	0.1614	5.4207	6.3104	0.8899
