participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	2889.0	1931.0	8218.0	6.59	1.623	0.24	0.067	36.0	3.5999999999999996	48.0	46.0	45.3477	12.8152	-5.845000000000001	98.2854	104.1305	7.0755	5.3536	0.3885	4.6265	6.430899999999999	1.8043999999999998
8454119	2611.0	1726.0	7110.0	6.118	1.3780000000000001	0.239	0.07	25.0	3.5	48.0	46.0	41.8968	12.9866	-9.5412	82.7351	92.27629999999999	6.5262	6.0825	0.42210000000000003	5.2632	6.7771	1.514
11407866	2893.0	1937.0	8208.0	6.684	1.517	0.252	0.067	38.0	3.7	48.0	46.0	40.9591	13.3784	-12.887799999999999	75.85570000000001	88.74340000000001	6.122199999999999	5.3937	0.2284	4.8058	5.7468	0.9410000000000001
11574123	2459.0	1560.0	5978.0	5.8870000000000005	1.4140000000000001	0.237	0.07300000000000001	30.0	3.5	48.0	46.0	38.0882	13.008099999999999	-9.3263	82.89269999999999	92.2191	5.8702000000000005	5.2314	0.2312	4.602	5.574199999999999	0.9722
16684978	2240.0	1460.0	5958.0	6.234999999999999	1.54	0.238	0.063	27.0	2.4	48.0	46.0	41.0463	12.0504	-1.1601000000000001	82.4631	83.6233	6.8217	5.3443000000000005	0.1247	5.0317	5.844799999999999	0.8131
25354225	3194.0	2032.0	8066.0	6.143000000000001	1.861	0.255	0.10200000000000001	50.0	6.800000000000001	48.0	46.0	36.485699999999994	16.1873	-64.48	99.3835	163.8635	4.5677	5.3452	0.2587	4.786099999999999	5.7963000000000005	1.0102
25811472	2913.0	1979.0	9696.0	7.041	1.6509999999999998	0.278	0.10500000000000001	106.0	7.1	48.0	46.0	39.2098	12.9032	-17.3584	77.5947	94.9531	6.098599999999999	5.6143	0.2923	4.9414	6.1709	1.2296
27876862	2722.0	1746.0	7159.0	6.1850000000000005	2.1710000000000003	0.23299999999999998	0.07	43.0	4.3	48.0	46.0	38.918800000000005	14.758	-15.1167	80.4511	95.5679	5.3225999999999996	5.0168	0.2133	4.5316	5.501200000000001	0.9696
29811890	2454.0	1583.0	7819.0	6.965	1.458	0.253	0.067	29.0	3.4000000000000004	48.0	46.0	41.5383	13.552800000000001	-19.8613	99.0062	118.8674	6.1309000000000005	5.4932	0.35209999999999997	4.6711	6.2075	1.5363
31361606	2115.0	1277.0	4509.0	5.24	1.729	0.20600000000000002	0.059	20.0	2.5	48.0	46.0	39.8724	14.2378	-8.2339	90.9452	99.1791	5.6044	5.0835	0.1434	4.7155000000000005	5.4359	0.7202999999999999
32938469	2621.0	1673.0	7195.0	6.556	1.5230000000000001	0.26	0.095	38.0	5.0	48.0	46.0	36.020700000000005	14.1205	-10.098099999999999	91.1726	101.2706	5.1116	5.4429	0.2935	4.909700000000001	6.0104	1.1007
36895554	2697.0	1700.0	7092.0	6.346	1.673	0.252	0.081	36.0	4.0	48.0	46.0	38.4163	13.9412	-30.600900000000003	78.8813	109.4822	5.511699999999999	5.0771	0.3332	4.4722	5.6372	1.1649
37329051	2765.0	1744.0	7301.0	6.077	1.745	0.266	0.101	49.0	6.0	48.0	46.0	37.787	14.998000000000001	-78.9905	92.5699	171.5605	5.039	5.6637	0.164	5.282299999999999	5.9279	0.6455
37835493	2469.0	1592.0	6557.0	5.99	1.37	0.214	0.056	28.0	2.4	48.0	46.0	40.4828	13.3869	-26.3983	81.6325	108.0308	6.0606	5.250500000000001	0.2303	4.5891	5.7062	1.1172
43606631	2771.0	1748.0	6389.0	5.515000000000001	1.742	0.267	0.083	50.0	4.7	48.0	46.0	41.116299999999995	14.5793	-42.3536	78.0233	120.377	5.755699999999999	4.991	0.17830000000000001	4.5464	5.3116	0.7651
49408975	2637.0	1723.0	8053.0	7.151	1.418	0.228	0.065	36.0	3.0	48.0	46.0	37.230900000000005	11.909600000000001	-8.4598	68.8193	77.2791	6.2991	5.007	0.2071	4.491	5.483	0.992
51217255	2392.0	1460.0	5986.0	6.115	1.749	0.20400000000000001	0.07200000000000001	23.0	3.4000000000000004	48.0	46.0	38.8297	13.9473	-27.7262	70.84440000000001	98.5707	5.5727	5.5191	0.3355	4.8505	6.1594	1.3088000000000002
52306425	3326.0	2155.0	9132.0	6.237	1.643	0.244	0.064	47.0	4.199999999999999	48.0	46.0	44.542699999999996	13.6509	-12.466800000000001	81.9498	94.41669999999999	6.527200000000001	5.2412	0.3435	4.6234	5.9054	1.282
52835891	2728.0	1741.0	7915.0	6.668	1.589	0.246	0.09	45.0	4.3	48.0	46.0	40.9758	15.8538	-17.8663	88.3569	106.22319999999999	5.1726	5.087	0.1848	4.6223	5.5402000000000005	0.9178999999999999
55710183	2671.0	1677.0	6405.0	5.556	1.335	0.238	0.095	39.0	5.6	48.0	46.0	40.1695	13.416	-13.5552	74.0048	87.56	5.9935	5.4681	0.2426	4.8751	5.822699999999999	0.9476
56162563	2573.0	1650.0	7419.0	6.514	1.619	0.201	0.047	22.0	2.0	48.0	46.0	44.906000000000006	13.54	-9.052999999999999	80.9299	89.9828	6.709	5.7006	0.39649999999999996	4.8261	6.2332	1.4068999999999998
60021964	2233.0	1471.0	6263.0	6.0649999999999995	1.4489999999999998	0.218	0.059	22.0	2.8	48.0	46.0	41.5692	12.4902	-6.7141	77.685	84.39920000000001	6.6667000000000005	5.6926000000000005	0.3459	4.9996	6.2104	1.2109
62582335	2605.0	1621.0	6545.0	5.894	1.6720000000000002	0.218	0.091	44.0	5.2	48.0	46.0	33.280699999999996	13.708	-25.1832	71.78800000000001	96.9713	4.979100000000001	5.5678	0.2481	4.9505	6.1193	1.1688
65198031	2660.0	1663.0	6582.0	6.055	1.83	0.237	0.075	37.0	4.3	48.0	46.0	38.4079	15.1567	-26.8729	93.8888	120.76169999999999	5.535	4.9582	0.253	4.4148	5.4588	1.044
70214854	2697.0	1741.0	7258.0	5.9399999999999995	1.664	0.247	0.079	37.0	3.9000000000000004	48.0	46.0	39.5424	14.8278	-22.7042	80.2798	102.98400000000001	5.4123	5.2673000000000005	0.2744	4.4976	5.6827000000000005	1.1850999999999998
71851847	3137.0	1988.0	8122.0	6.406	1.5430000000000001	0.265	0.097	47.0	6.0	48.0	46.0	44.271	14.3351	-8.9257	96.8387	105.7645	6.1767	5.161099999999999	0.3024	4.4908	5.7032	1.2124000000000001
74920331	2753.0	1646.0	5978.0	5.5440000000000005	1.676	0.185	0.061	26.0	3.5999999999999996	48.0	46.0	38.1525	13.282	-27.1548	71.2193	98.3741	5.7921	5.5961	0.279	4.8253	6.0945	1.2692
77390767	3282.0	2112.0	8353.0	5.911	1.459	0.25	0.08399999999999999	54.0	5.699999999999999	48.0	46.0	42.920500000000004	16.505399999999998	-113.31370000000001	105.8441	219.1578	5.2554	5.0417000000000005	0.356	4.371600000000001	5.8984000000000005	1.5266
