participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	6281.0	3991.0	14559.0	5.645	0.911	0.266	0.059	101.0	7.0	52.0	50.0	39.7697	10.5493	2.899	69.0147	66.1157	7.5835	6.6907	0.2427	5.9184	7.4345	1.5161
8454119	6052.0	3603.0	13768.0	5.843	1.077	0.265	0.081	118.0	9.8	52.0	50.0	39.58710000000001	15.043300000000002	-17.8538	76.0665	93.9203	5.382	7.722	0.3373	6.825699999999999	8.4437	1.6179999999999999
11407866	6721.0	4433.0	19436.0	6.429	1.146	0.261	0.056	123.0	7.3	52.0	50.0	42.2458	11.2525	-4.4242	73.5747	77.9987	7.507	6.739800000000001	0.25370000000000004	6.1693999999999996	7.3192	1.1498
11574123	5928.0	3764.0	15013.0	5.952	1.074	0.28	0.079	140.0	10.0	52.0	50.0	38.7693	13.2029	-33.564	74.892	108.45609999999999	5.872999999999999	6.7356	0.3369	6.0529	7.7091	1.6562999999999999
16684978	4958.0	3216.0	12137.0	5.643	1.07	0.303	0.079	103.0	8.3	52.0	50.0	39.2171	11.3247	-11.0269	69.4746	80.50139999999999	6.9461	6.852399999999999	0.1338	6.4661	7.237	0.7709
25354225	5447.0	3509.0	15351.0	6.234	1.1640000000000001	0.28200000000000003	0.07600000000000001	119.0	8.3	52.0	50.0	40.547200000000004	12.4574	-2.3306	81.38149999999999	83.71209999999999	6.5143	7.134	0.4656	6.0299	8.0207	1.9908000000000001
25811472	6264.0	4009.0	17060.0	6.307	1.0779999999999998	0.276	0.07	128.0	9.3	52.0	50.0	38.782399999999996	12.1108	-23.468200000000003	77.79249999999999	101.2607	6.4146	7.0649999999999995	0.2893	6.3452	7.7737	1.4285
27876862	4187.0	2732.0	10690.0	5.981	1.095	0.29	0.074	96.0	5.300000000000001	52.0	50.0	40.2913	11.128499999999999	-0.42479999999999996	71.9683	72.39320000000001	7.293699999999999	6.2988	0.28	5.6437	7.0289	1.3853
29811890	8404.0	4836.0	15918.0	5.162	1.282	0.253	0.082	151.0	14.600000000000001	52.0	50.0	35.805899999999994	17.4403	-21.2855	89.3467	110.6322	4.106	6.9406	0.4103	6.0182	7.9257	1.9074
31361606	4313.0	2882.0	11205.0	5.904	1.083	0.317	0.077	99.0	7.1	52.0	50.0	39.6339	11.6066	-2.0802	73.40780000000001	75.4881	6.8317	6.2923	0.2064	5.7195	6.763199999999999	1.0438
32938469	7047.0	3776.0	11255.0	4.712	1.381	0.27	0.11399999999999999	135.0	17.2	52.0	50.0	26.3749	16.0554	-55.9924	73.0527	129.0451	3.2795	7.5805	0.2565	6.7409	8.252099999999999	1.5112
36895554	5920.0	3981.0	16157.0	5.938000000000001	1.024	0.303	0.078	131.0	9.8	52.0	50.0	40.4593	11.0703	-31.8504	72.0453	103.8957	7.325799999999999	6.735799999999999	0.3688	5.733700000000001	7.5518	1.8180999999999998
37329051	6140.0	4117.0	17655.0	6.106	1.258	0.301	0.086	155.0	11.5	52.0	50.0	41.3963	13.0076	-25.4423	78.0489	103.4912	6.3568	7.41	0.2266	6.8684	7.8844	1.016
37835493	6048.0	3968.0	15637.0	5.784	1.004	0.28500000000000003	0.061	118.0	7.699999999999999	52.0	50.0	40.1536	9.8521	-1.7841	69.4212	71.20530000000001	8.1512	6.752	0.2808	5.9759	7.3026	1.3268
43606631	4519.0	3019.0	9544.0	4.979	0.952	0.31899999999999995	0.091	107.0	9.0	52.0	50.0	38.5798	10.8404	-15.8401	74.85040000000001	90.69059999999999	7.1663	6.7593	0.2873	6.0725999999999996	7.381	1.3084
49408975	5193.0	3528.0	15248.0	6.07	1.217	0.285	0.066	98.0	7.3	52.0	50.0	37.7205	10.286	-2.8367999999999998	69.86619999999999	72.7031	7.3637	7.1052	0.2386	6.3597	7.958500000000001	1.5988
51217255	5120.0	3381.0	12757.0	5.65	0.9930000000000001	0.28400000000000003	0.069	105.0	7.1	52.0	50.0	41.254000000000005	12.955	-4.438	89.5441	93.9821	6.4244	6.7451	0.2393	6.1638	7.572900000000001	1.4091
52306425	5396.0	3627.0	14068.0	5.747	1.004	0.281	0.056999999999999995	99.0	6.4	52.0	50.0	42.0501	9.344999999999999	9.2848	72.347	63.062200000000004	9.0406	7.1767	0.2668	6.4976	7.7635000000000005	1.2659
52835891	4015.0	2857.0	11474.0	6.0600000000000005	1.154	0.294	0.07300000000000001	83.0	6.3	52.0	50.0	41.620599999999996	11.0774	-8.9741	77.506	86.4801	7.508	6.3065	0.1812	5.8335	6.8255	0.9921
55710183	7221.0	4563.0	15875.0	5.349	0.9630000000000001	0.275	0.066	136.0	9.7	52.0	50.0	38.5964	11.2363	-6.2436	77.9027	84.1464	6.8938	6.9733	0.3236	5.9656	7.658200000000001	1.6926999999999999
56162563	4666.0	3042.0	11965.0	6.005	1.042	0.281	0.061	82.0	5.5	52.0	50.0	45.242000000000004	10.1074	7.4363	77.0118	69.5755	8.985299999999999	6.5233	0.14150000000000001	6.0579	6.8936	0.8358
60021964	6512.0	4043.0	16168.0	6.01	1.1680000000000001	0.257	0.065	115.0	8.1	52.0	50.0	39.6946	12.2407	-6.5816	73.9842	80.5658	6.551399999999999	6.9021	0.3244	6.0731	7.7676	1.6945000000000001
62582335	5536.0	3396.0	14261.0	6.141	1.137	0.28400000000000003	0.089	116.0	10.100000000000001	52.0	50.0	38.4362	13.8246	-39.8703	75.66149999999999	115.5318	5.5687	6.369400000000001	0.251	5.6983999999999995	6.9249	1.2265
