participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	5882.0	3232.0	12193.0	5.764	1.199	0.191	0.045	47.0	5.6	60.0	58.0	30.7342	10.1295	-1.5975	63.8181	65.4156	6.0694	6.8363	1.1431	4.6312	10.2167	5.5857
8454119	6691.0	4163.0	12674.0	4.851	1.213	0.269	0.069	117.0	9.4	60.0	58.0	41.3394	13.9286	-11.5494	90.8415	102.3909	5.9349	7.6097	1.1021	5.4969	11.5974	6.1005
11407866	5937.0	3855.0	15696.0	6.241	1.193	0.249	0.056999999999999995	73.0	6.6	60.0	58.0	37.299099999999996	12.2951	-12.5262	73.3275	85.8537	6.078200000000001	7.1478	1.132	4.9701	10.7204	5.7504
11574123	4570.0	2990.0	12468.0	6.1240000000000006	1.155	0.241	0.056	54.0	5.5	60.0	58.0	36.504599999999996	10.122399999999999	-0.7035	77.7524	78.4559	7.2241	7.395	1.1567	5.0875	10.365300000000001	5.2777
16684978	4651.0	2873.0	9734.0	5.279	1.283	0.216	0.051000000000000004	40.0	5.1	60.0	58.0	30.1993	11.0292	-8.197600000000001	71.94669999999999	80.1443	5.4786	7.2117	0.9649	5.2176	9.734100000000002	4.5165
25354225	6185.0	3554.0	14610.0	6.103	1.399	0.249	0.086	94.0	10.4	60.0	58.0	30.2092	13.7719	-24.9994	79.5157	104.5151	4.3792	7.7175	1.2686000000000002	5.3148	10.598400000000002	5.2836
25811472	6315.0	4069.0	17782.0	6.327	1.073	0.235	0.054	75.0	6.7	60.0	58.0	37.1168	11.9159	-24.758300000000002	72.0303	96.7886	6.2371	7.6835	1.1118999999999999	5.5958000000000006	10.8666	5.2707999999999995
27876862	4990.0	3075.0	9848.0	5.119	1.267	0.31699999999999995	0.11599999999999999	106.0	11.899999999999999	60.0	58.0	33.9477	12.3179	-34.0951	72.6702	106.7653	5.5451999999999995	6.5916999999999994	0.7364999999999999	4.8194	7.9711	3.1517
29811890	6338.0	3116.0	12584.0	6.061999999999999	1.2349999999999999	0.202	0.068	71.0	8.5	60.0	58.0	29.8702	11.8041	-14.576899999999998	76.6578	91.2347	5.1772	7.5804	1.3203	5.101	11.5545	6.4535
31361606	5076.0	3102.0	12812.0	6.078	1.213	0.219	0.054	52.0	5.6	60.0	58.0	33.0477	11.072199999999999	-8.5902	66.11359999999999	74.7038	5.9805	7.111700000000001	1.107	4.940799999999999	9.6924	4.7516
32938469	5331.0	3063.0	8398.0	4.474	1.282	0.229	0.075	71.0	7.1	60.0	58.0	32.352199999999996	13.192799999999998	-9.8253	75.00059999999999	84.8259	4.9115	7.5155	1.3191	5.2618	10.854	5.5923
36895554	5377.0	3493.0	13949.0	6.029	1.103	0.251	0.06	64.0	6.4	60.0	58.0	34.4858	11.6008	-3.8582	72.26599999999999	76.1242	5.9351	7.2591	1.0961	5.0959	9.993400000000001	4.897399999999999
37329051	4193.0	2896.0	11613.0	5.8309999999999995	1.1549999999999998	0.269	0.058	67.0	4.5	60.0	58.0	41.7722	10.879999999999999	-3.3538999999999994	80.9736	84.3275	7.6775	7.5382	1.072	5.478999999999999	10.4605	4.9815000000000005
37835493	5370.0	3339.0	12840.0	5.823	0.9870000000000001	0.213	0.041	44.0	4.5	60.0	58.0	32.7749	9.6488	-4.5312	66.7996	71.3309	6.7971	6.7286	0.9146	4.7924	9.0366	4.2442
43606631	5514.0	3013.0	9543.0	5.082	1.1909999999999998	0.225	0.062	54.0	7.0	60.0	58.0	27.5308	10.7057	-3.7157	68.21889999999999	71.9346	5.1915	7.2357	1.222	5.1155	10.0326	4.9171
49408975	4377.0	2795.0	12907.0	6.679	0.9870000000000001	0.223	0.040999999999999995	50.0	3.4000000000000004	60.0	58.0	35.4105	8.603200000000001	9.3651	66.608	57.242999999999995	8.2501	7.2724	1.048	5.3723	9.9674	4.5951
51217255	5377.0	3398.0	14054.0	6.088	1.02	0.218	0.045	56.0	4.7	60.0	58.0	36.7812	10.3417	4.3434	74.78020000000001	70.4368	7.1573	7.0209	1.2103	4.715199999999999	10.2615	5.5464
52306425	6535.0	3725.0	14604.0	6.013	1.071	0.209	0.046	57.0	6.1	60.0	58.0	32.417	11.486	-4.915	71.93289999999999	76.8479	5.651	7.0915	1.2416999999999998	4.571400000000001	10.303799999999999	5.7325
52835891	4617.0	2935.0	12337.0	6.226	1.159	0.26	0.07	59.0	6.4	60.0	58.0	34.8361	11.7424	-12.2816	77.3811	89.6627	5.9437	6.7637	1.1051	4.6667	9.075500000000002	4.4088
55710183	5788.0	3585.0	13359.0	5.628	1.142	0.237	0.057	72.0	6.699999999999999	60.0	58.0	35.0594	11.643799999999999	-6.8416	77.1769	84.01859999999999	6.0268	7.3817	1.1098	5.1546	10.2821	5.1275
56162563	5379.0	3422.0	12968.0	5.788	0.986	0.22599999999999998	0.048	52.0	5.3	60.0	58.0	36.7875	12.2344	0.4114	72.2132	71.8018	6.0134	7.1315	1.3547	4.7061	10.6338	5.9277
60021964	5502.0	3291.0	14231.0	6.239	1.1949999999999998	0.21000000000000002	0.059	75.0	7.7	60.0	58.0	36.4097	10.6699	-17.693	65.4675	83.1605	6.8387	7.256600000000001	1.0131	4.9686	10.1083	5.1396999999999995
62582335	4212.0	2781.0	12094.0	6.407	1.161	0.248	0.07	51.0	6.1	60.0	58.0	36.6227	11.2981	-3.5446999999999997	73.8785	77.4233	6.481400000000001	6.754	0.8344	4.9943	8.9436	3.9493
65198031	6521.0	3660.0	13291.0	5.573	1.673	0.21100000000000002	0.056	64.0	7.9	60.0	58.0	23.636499999999998	9.987	-7.905900000000001	60.6215	68.5274	4.7356	7.0838	1.0272999999999999	4.9601	10.2259	5.2658000000000005
70214854	4225.0	2663.0	10847.0	6.088	1.08	0.251	0.063	52.0	5.1	60.0	58.0	40.6406	13.0139	-16.4663	79.2488	95.715	6.252800000000001	6.6575	0.9268000000000001	4.8337	8.5725	3.7389
