participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1314.0	827.0	2832.0	5.181	1.002	0.22699999999999998	0.062	17.0	2.0	68.0	66.0	29.5108	8.9572	-23.4512	56.1563	79.6075	6.7809	10.0563	0.4298	9.348099999999999	10.7729	1.4248
8454119	1084.0	658.0	2249.0	5.1419999999999995	0.9520000000000001	0.238	0.07200000000000001	17.0	1.6	68.0	66.0	37.9442	11.1939	5.8835999999999995	68.1563	62.2727	6.7872	11.107199999999999	0.2658	10.4801	11.73	1.2498
11407866	1175.0	707.0	2594.0	5.502	0.892	0.271	0.067	22.0	1.2999999999999998	68.0	66.0	33.1838	8.6977	9.8232	62.0697	52.2465	7.7071000000000005	10.6863	0.33909999999999996	9.3225	11.1706	1.848
11574123	1154.0	753.0	2379.0	5.462	0.9690000000000001	0.259	0.057999999999999996	14.0	1.4	68.0	66.0	37.4692	11.9857	-54.2465	79.15610000000001	133.4026	6.6488	10.250800000000002	0.3573	9.3346	10.8446	1.5101
16684978	770.0	468.0	1563.0	5.388	0.72	0.28900000000000003	0.07999999999999999	13.0	1.0	68.0	66.0	34.7224	9.34	6.096	62.58969999999999	56.4939	7.651400000000001	9.535599999999999	0.1684	9.051400000000001	9.905100000000001	0.8537
25354225	1220.0	706.0	2593.0	5.883	1.24	0.278	0.12	25.0	3.0999999999999996	68.0	66.0	32.7081	13.9119	-36.6731	79.0952	115.76820000000001	4.7534	10.3314	0.3981	9.4473	11.0427	1.5954
25811472	1492.0	922.0	3523.0	6.090999999999999	1.01	0.266	0.064	24.0	1.7000000000000002	68.0	66.0	33.6336	10.7467	2.0267999999999997	63.059200000000004	61.0325	6.2620000000000005	10.8951	0.2585	10.3291	11.4835	1.1544
27876862	731.0	447.0	1484.0	5.229	0.8	0.291	0.066	14.0	1.0	68.0	66.0	30.7269	7.8210999999999995	9.0491	53.4022	44.353	7.8736999999999995	8.4281	0.1668	8.0235	8.7391	0.7156
29811890	1213.0	764.0	3044.0	6.056	1.216	0.248	0.065	17.0	1.4	68.0	66.0	37.8069	10.7868	3.0116	70.4863	67.4746	7.0435	10.932500000000001	0.3804	10.1275	11.6445	1.517
31361606	757.0	489.0	1353.0	4.444000000000001	0.846	0.28300000000000003	0.068	11.0	1.0	68.0	66.0	32.6158	10.5555	4.810099999999999	69.7851	64.9751	6.7341999999999995	9.0545	0.2306	8.610299999999999	9.4741	0.8637999999999999
32938469	1108.0	666.0	2264.0	5.063000000000001	0.967	0.273	0.127	26.0	2.5	68.0	66.0	30.8367	11.460799999999999	-8.0304	65.5375	73.56790000000001	5.3788	11.0772	0.2721	10.3332	11.5311	1.1978
36895554	998.0	625.0	1963.0	5.2059999999999995	1.399	0.28700000000000003	0.122	18.0	2.7	68.0	66.0	30.687599999999996	16.0943	-41.526199999999996	89.6714	131.1976	4.0165	9.8828	0.1618	8.9543	10.1529	1.1987
37329051	827.0	518.0	1951.0	6.242	1.075	0.29300000000000004	0.063	17.0	0.8999999999999999	68.0	66.0	38.0686	10.6829	2.3299000000000003	66.7863	64.4565	7.2719000000000005	10.6607	0.3212	9.6136	11.0491	1.4355
37835493	1026.0	534.0	1536.0	4.426	0.9339999999999999	0.228	0.139	40.0	4.0	68.0	66.0	25.5321	10.3139	-34.526900000000005	79.69460000000001	114.22149999999999	5.084099999999999	9.5347	0.32020000000000004	9.0461	10.226700000000001	1.1806
43606631	1307.0	717.0	2055.0	4.574	0.823	0.227	0.064	17.0	1.7000000000000002	68.0	66.0	31.146900000000002	10.2812	-19.4394	61.0147	80.45400000000001	6.0697	9.833300000000001	0.1933	9.4321	10.1229	0.6908
49408975	875.0	547.0	2002.0	5.8149999999999995	0.665	0.253	0.052000000000000005	14.0	0.8999999999999999	68.0	66.0	34.6792	7.7663	12.8116	59.1001	46.2885	9.107099999999999	10.036200000000001	0.3126	9.3889	10.444099999999999	1.0552
51217255	1237.0	682.0	2355.0	5.234	1.13	0.246	0.08	20.0	1.7000000000000002	68.0	66.0	29.9695	12.7014	-5.6865000000000006	70.3702	76.0566	4.7173	10.3559	0.287	9.6981	10.7735	1.0754
52306425	1162.0	760.0	2493.0	5.5969999999999995	0.861	0.26	0.055	15.0	1.1	68.0	66.0	33.7805	10.7797	6.176	64.7032	58.5273	6.2916	10.2034	0.249	9.633600000000001	10.6103	0.9767
52835891	952.0	548.0	1750.0	5.405	1.463	0.30100000000000005	0.115	25.0	2.2	68.0	66.0	29.2545	15.7987	-116.7365	70.0578	186.7944	3.7039	8.7698	0.25270000000000004	8.0579	9.177399999999999	1.1195
55710183	912.0	568.0	1847.0	5.348000000000001	0.761	0.273	0.051000000000000004	14.0	0.9	68.0	66.0	34.8874	9.5357	9.5088	64.0018	54.492999999999995	7.3177	10.6343	0.35419999999999996	9.744399999999999	11.0766	1.3321999999999998
56162563	999.0	617.0	2097.0	5.359	0.8220000000000001	0.244	0.057	12.0	1.0	68.0	66.0	32.3668	8.0478	6.4591	60.0891	53.6301	8.0473	10.150500000000001	0.4527	9.1069	10.8135	1.7066
60021964	1014.0	588.0	2063.0	5.557	0.762	0.215	0.052000000000000005	12.0	1.0	68.0	66.0	33.3829	9.4092	-6.7964	57.042500000000004	63.83879999999999	7.177	10.0414	0.4073	9.2258	10.7131	1.4872
62582335	925.0	578.0	1780.0	5.658	0.917	0.281	0.067	16.0	1.0	68.0	66.0	33.506299999999996	10.603200000000001	-0.6831	63.486999999999995	64.1702	6.3164	9.4629	0.4046	8.6525	9.9536	1.3012000000000001
65198031	990.0	604.0	2265.0	5.707000000000001	1.152	0.28500000000000003	0.074	17.0	1.2000000000000002	68.0	66.0	30.790599999999998	10.075	-6.929	60.495	67.4242	6.2878	9.814499999999999	0.22360000000000002	9.245899999999999	10.1608	0.9149
70214854	891.0	476.0	1536.0	5.1579999999999995	0.679	0.23299999999999998	0.068	11.0	0.9	68.0	66.0	32.6408	9.8459	1.4867999999999997	61.7368	60.2502	6.6396	8.6705	0.1713	8.1931	8.9247	0.7317
71851847	940.0	610.0	1870.0	5.039	1.5	0.28	0.106	17.0	1.9	68.0	66.0	32.786500000000004	16.1951	-28.6273	83.4757	112.1029	4.0873	10.093	0.1834	9.688500000000001	10.4177	0.7293
74920331	970.0	589.0	1889.0	5.259	0.927	0.23	0.06	11.0	0.8999999999999999	68.0	66.0	31.741500000000002	9.0953	5.1083	60.2305	55.1223	7.0145	9.989	0.1969	9.437100000000001	10.3598	0.9227
77390767	1119.0	627.0	2035.0	5.42	0.839	0.28300000000000003	0.07100000000000001	24.0	1.5	68.0	66.0	33.1723	11.4938	-2.5980999999999996	67.6223	70.2204	5.7661999999999995	9.6059	0.3095	8.785599999999999	10.0703	1.2847
78982423	903.0	533.0	1415.0	4.7059999999999995	0.99	0.261	0.085	16.0	1.7000000000000002	68.0	66.0	31.457900000000002	11.7751	-18.9028	71.0142	89.917	5.5123	9.7287	0.1517	9.2628	9.947	0.6842999999999999
80982198	1330.0	861.0	2976.0	5.441000000000001	0.9179999999999999	0.241	0.061	19.0	1.2999999999999998	68.0	66.0	34.2508	10.487	5.124	69.215	64.091	6.5348	10.806899999999999	0.34840000000000004	9.935400000000001	11.4715	1.5361
82699044	1147.0	608.0	2201.0	5.477	0.6699999999999999	0.184	0.043	9.0	0.9	68.0	66.0	27.6468	7.948	-0.7692000000000001	52.5963	53.3655	6.9569	10.528	0.1989	10.005600000000001	10.8326	0.827
84407714	837.0	487.0	1694.0	5.510999999999999	0.8979999999999999	0.259	0.078	16.0	1.3	68.0	66.0	32.547399999999996	9.2989	4.809	66.6738	61.8647	7.1789000000000005	9.799199999999999	0.139	9.4439	10.030899999999999	0.587
86226939	969.0	612.0	1950.0	5.48	0.829	0.28200000000000003	0.065	15.0	1.3	68.0	66.0	31.340899999999998	10.616499999999998	4.1612	66.56020000000001	62.399100000000004	6.0265	9.554300000000001	0.4654	8.8416	10.307500000000001	1.4659
