participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1924.0	1354.0	5253.0	6.75	1.245	0.235	0.046	20.0	1.7000000000000002	72.0	70.0	49.3838	11.7686	8.0693	85.7978	77.7285	8.508	7.0715	1.9853	4.8354	10.637599999999999	5.802099999999999
8454119	1905.0	1252.0	4882.0	6.9399999999999995	1.844	0.2	0.065	14.0	2.5	72.0	70.0	46.1374	13.9734	6.694	87.4297	80.7357	6.6311	7.987500000000001	2.4396	5.194100000000001	11.7335	6.5394
11407866	1505.0	1058.0	4241.0	7.039	1.099	0.175	0.033	7.0	1.0	72.0	70.0	48.2962	11.9289	15.8217	97.0848	81.26310000000001	8.0939	7.4957	2.2901	4.6541	11.1081	6.454
11574123	1731.0	1167.0	5211.0	7.247	1.419	0.215	0.061	14.0	2.3	72.0	70.0	43.7076	11.8824	2.2839	81.2721	78.9882	7.3828	7.060700000000001	2.0817	4.5494	10.5259	5.9765
16684978	1129.0	797.0	3356.0	6.946	1.271	0.192	0.041999999999999996	6.0	0.9	72.0	70.0	46.8077	10.893	16.875	83.05189999999999	66.1768	8.6004	7.18	1.7111	5.0204	9.6808	4.660399999999999
25354225	1534.0	1033.0	3717.0	5.8870000000000005	1.694	0.25	0.109	19.0	3.0	72.0	70.0	40.1319	19.8604	-28.491799999999998	108.0901	136.58190000000002	4.2266	7.9592	1.957	4.971500000000001	10.5579	5.5863
25811472	1741.0	1218.0	4943.0	6.766	1.854	0.221	0.078	20.0	2.8	72.0	70.0	42.9534	12.3981	-14.9616	87.3195	102.281	6.9307	7.7762	2.3353	4.9782	11.6202	6.6419999999999995
27876862	1037.0	727.0	2675.0	6.426	1.5070000000000001	0.178	0.035	5.0	0.8	72.0	70.0	45.0934	12.4148	5.6461	75.4173	69.7712	7.2651	5.8842	1.1283	4.571	8.315999999999999	3.745
29811890	2168.0	1483.0	5326.0	6.768000000000001	1.615	0.188	0.045	12.0	2.5	72.0	70.0	46.9297	14.5548	-5.8104	93.35130000000001	99.1617	6.796900000000001	7.2828	2.3792	4.740600000000001	11.4592	6.7186
31361606	1257.0	865.0	2860.0	6.039	1.318	0.183	0.041999999999999996	7.0	1.0	72.0	70.0	50.0253	14.0205	-7.422499999999999	106.5622	113.9847	7.1480999999999995	6.571199999999999	1.6402999999999999	4.7752	9.3385	4.5633
32938469	1539.0	1037.0	4140.0	6.6240000000000006	1.924	0.241	0.07600000000000001	18.0	2.3	72.0	70.0	41.2252	15.8165	-1.5956	94.5088	96.1044	5.2623	8.021799999999999	2.4253	4.9945	11.2676	6.2732
36895554	1652.0	1083.0	4052.0	6.513	1.62	0.254	0.10200000000000001	26.0	3.5	72.0	70.0	41.497	18.2503	-26.5366	89.2342	115.77080000000001	4.539	6.5455	1.6755	4.5809999999999995	9.5322	4.9511
37329051	1786.0	1161.0	3856.0	5.890000000000001	1.033	0.16299999999999998	0.040999999999999995	10.0	1.5	72.0	70.0	44.789699999999996	13.2912	-6.8716	86.0789	92.9504	6.7639	7.8419	1.881	5.354900000000001	10.8871	5.5321
