participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	5490.0	3559.0	15168.0	6.432	1.27	0.256	0.059	86.0	6.5	78.0	76.0	45.1203	11.300799999999999	8.8427	83.75569999999999	74.913	7.981400000000001	6.7675	1.0617	5.1548	10.2218	5.0671
8454119	9737.0	5868.0	25043.0	6.211	1.4769999999999999	0.259	0.08299999999999999	265.0	18.200000000000003	78.0	76.0	40.7817	15.164100000000001	-43.4917	79.1477	122.63929999999999	5.3824	7.1807	0.857	5.211399999999999	9.8314	4.6198999999999995
11407866	6386.0	4142.0	20790.0	6.776	1.415	0.262	0.07100000000000001	121.0	9.3	78.0	76.0	40.261399999999995	13.985	-23.1644	82.9844	106.1489	5.8975	6.9458	0.835	4.9731000000000005	9.241900000000001	4.2689
11574123	5713.0	3572.0	16118.0	6.362	1.459	0.262	0.093	118.0	11.8	78.0	76.0	40.1096	14.233699999999999	-6.8628	81.1953	88.05799999999999	5.6383	6.8509	0.7654000000000001	5.1506	9.1463	3.9957
16684978	4992.0	3368.0	14169.0	6.008	1.275	0.305	0.089	112.0	8.7	78.0	76.0	38.560100000000006	12.4785	-16.0385	81.9345	97.97319999999999	6.1801	6.7986	0.46599999999999997	5.709099999999999	8.2545	2.5454
25354225	7549.0	4639.0	17511.0	5.809	1.8459999999999999	0.30200000000000005	0.12	182.0	22.8	78.0	76.0	29.1012	18.5004	-42.0341	95.2935	137.3275	3.1574	7.5022	0.7322	5.6631	9.422	3.7588999999999997
25811472	5786.0	3591.0	18091.0	6.72	1.554	0.273	0.087	112.0	9.7	78.0	76.0	39.4687	13.817499999999999	-11.1518	82.8086	93.96019999999999	5.7198	7.2803	0.8206	5.5151	9.7515	4.2364
27876862	4845.0	3184.0	13941.0	6.221	1.215	0.29400000000000004	0.078	105.0	8.0	78.0	76.0	41.004599999999996	12.7693	-17.6906	86.1928	103.8834	6.5115	6.2786	0.7561	4.6231	7.8541	3.231
29811890	8092.0	4449.0	19646.0	6.156000000000001	1.6789999999999998	0.243	0.092	170.0	15.7	78.0	76.0	35.619299999999996	16.7331	-27.0839	88.32050000000001	115.40440000000001	4.2576	7.5138	0.7059	5.3184000000000005	9.295200000000001	3.9767
31361606	4544.0	2990.0	14116.0	6.614	1.365	0.293	0.077	91.0	7.199999999999999	78.0	76.0	40.849900000000005	13.806899999999999	-22.3577	98.9935	121.3512	5.927	6.0089	0.6885	4.9780999999999995	7.956300000000001	2.9782
32938469	9145.0	5266.0	16565.0	5.099	1.7570000000000001	0.297	0.16999999999999998	295.0	25.799999999999997	78.0	76.0	28.8981	17.95	-82.9453	103.52340000000001	186.4687	3.2151	7.424099999999999	0.9349000000000001	5.4384	10.0607	4.6221
36895554	5325.0	3443.0	16217.0	6.524	1.3599999999999999	0.26	0.07200000000000001	95.0	7.5	78.0	76.0	39.898700000000005	12.3226	-2.4206000000000003	88.3994	90.8199	6.5794999999999995	7.191000000000001	0.7984	5.3322	8.8661	3.5339
37329051	6255.0	3853.0	18182.0	6.390000000000001	1.558	0.275	0.09	133.0	12.0	78.0	76.0	36.703	14.539000000000001	-22.132800000000003	78.5445	100.6773	5.0649999999999995	7.320399999999999	0.8311	5.3134999999999994	9.7989	4.4854
37835493	5189.0	3352.0	15579.0	6.525	1.021	0.257	0.057999999999999996	96.0	6.2	78.0	76.0	42.7921	11.0183	7.0544	76.6291	69.5746	7.767200000000001	7.02	0.8239000000000001	5.3728	9.090399999999999	3.7177
43606631	5673.0	3552.0	13340.0	5.6739999999999995	1.05	0.28600000000000003	0.087	124.0	9.3	78.0	76.0	40.858000000000004	13.432099999999998	-54.6863	82.58	137.2664	6.2088	7.1599	0.7122999999999999	5.6619	8.8842	3.2222
49408975	5363.0	3546.0	16488.0	6.589	1.198	0.278	0.065	108.0	7.0	78.0	76.0	38.862700000000004	11.9413	-23.4825	79.7492	103.2317	6.5094	7.4465	0.8104	5.4935	9.4923	3.9988
51217255	5437.0	3499.0	16777.0	6.761	1.104	0.261	0.060000000000000005	95.0	6.2	78.0	76.0	44.4428	11.694199999999999	-14.0436	84.6582	98.70179999999999	7.601100000000001	6.9699	0.9238999999999999	5.1686	9.435300000000002	4.2667
52306425	5324.0	3533.0	14890.0	6.121	1.215	0.28400000000000003	0.074	110.0	8.1	78.0	76.0	40.9082	12.456600000000002	-12.708300000000001	81.8666	94.5749	6.5671	7.1471	0.7879	5.17	9.0101	3.8403
52835891	4090.0	2841.0	13565.0	6.836	1.232	0.274	0.065	78.0	5.4	78.0	76.0	44.3345	12.2747	-16.7192	87.0758	103.7949	7.2333	6.571400000000001	0.5599000000000001	5.5533	7.9047	2.3514
55710183	6982.0	4373.0	18052.0	5.916	1.2389999999999999	0.265	0.07	139.0	9.8	78.0	76.0	39.050799999999995	13.250499999999999	-22.9624	76.5912	99.5536	5.9207	7.3352	1.0337999999999998	4.8963	9.8122	4.915800000000001
56162563	5655.0	3575.0	16558.0	6.564	1.202	0.269	0.074	112.0	8.5	78.0	76.0	41.9131	12.619399999999999	-15.2385	82.5743	97.8128	6.646800000000001	6.6321	0.8015000000000001	4.8315	9.011600000000001	4.18
60021964	7367.0	4463.0	21422.0	6.404	1.581	0.267	0.101	163.0	16.5	78.0	76.0	38.4501	16.0019	-26.0687	91.76820000000001	117.837	4.8525	7.3192	1.073	5.1333	10.1637	5.0304
62582335	6798.0	4110.0	19781.0	6.781000000000001	1.392	0.271	0.081	152.0	11.9	78.0	76.0	38.17230000000001	14.586	-34.137299999999996	84.8843	119.02159999999999	5.2351	6.8119	0.9022	5.1463	9.351099999999999	4.2048
65198031	5519.0	3752.0	16434.0	6.147	1.138	0.29000000000000004	0.074	113.0	8.3	78.0	76.0	42.1445	11.908999999999999	0.6707000000000001	93.4945	92.8238	7.08	6.9695	0.7491	5.1513	8.9244	3.7731
70214854	6641.0	4256.0	16536.0	5.931	1.28	0.296	0.087	133.0	12.0	78.0	76.0	42.9888	13.9662	-5.3725000000000005	83.6534	89.02590000000001	6.2363	6.5057	0.6856	4.927099999999999	8.1609	3.2337
71851847	6172.0	3877.0	18691.0	6.695	1.2570000000000001	0.254	0.066	112.0	7.8	78.0	76.0	42.0182	13.304400000000001	-21.8234	90.3617	112.1851	6.3309	7.2797	0.9993	4.811299999999999	9.4789	4.6675
74920331	6360.0	4103.0	18724.0	6.432	1.206	0.243	0.049	95.0	6.199999999999999	78.0	76.0	41.9973	11.6091	-9.1654	85.2179	94.3833	7.2445	6.8719	1.0009000000000001	4.8412	9.2178	4.3766
77390767	5205.0	3461.0	15744.0	6.4239999999999995	1.1640000000000001	0.282	0.074	108.0	8.0	78.0	76.0	44.355599999999995	12.65	-14.9278	86.5276	101.4555	7.0106	6.4695	0.6098	5.1487	8.3224	3.1736
78982423	4893.0	3220.0	14499.0	6.46	1.072	0.267	0.068	94.0	6.4	78.0	76.0	41.5109	11.519300000000001	-11.0047	87.5255	98.53020000000001	7.2059	7.0888	0.8766	4.9036	8.9599	4.0563
80982198	5333.0	3572.0	17183.0	6.744	1.338	0.274	0.069	110.0	7.2	78.0	76.0	44.7865	12.9616	3.1499	86.1738	83.0239	6.9033999999999995	7.2564	0.9547	5.2661	9.616399999999999	4.3504000000000005
82699044	6409.0	4181.0	19511.0	6.54	1.302	0.269	0.066	122.0	8.1	78.0	76.0	41.936499999999995	12.6025	-4.7664	80.3026	85.06899999999999	6.6802	7.1384	1.1622	5.0107	10.299700000000001	5.289
84407714	4902.0	3167.0	15593.0	6.862	1.239	0.26	0.066	87.0	6.0	78.0	76.0	40.121700000000004	11.3957	-12.8368	80.2228	93.05959999999999	7.043	7.0605	0.8437	5.1501	8.719100000000001	3.5692
86226939	4847.0	3218.0	13366.0	5.991	1.38	0.28500000000000003	0.08399999999999999	107.0	8.2	78.0	76.0	37.3076	13.558399999999999	-20.0499	78.8825	98.9324	5.507099999999999	6.9054	0.536	5.4994	8.6303	3.1309
93800202	5598.0	3331.0	16303.0	6.698	1.7610000000000001	0.261	0.089	119.0	10.8	78.0	76.0	39.056	17.4418	-19.3174	85.8032	105.1206	4.4796	6.786	0.6823	5.3073	8.760200000000001	3.4527
97005004	8535.0	4735.0	21610.0	6.261	1.519	0.253	0.118	211.0	20.8	78.0	76.0	36.6129	17.5563	-45.7792	88.2371	134.0163	4.195	7.9805	1.0584	5.6083	10.910699999999999	5.3025
