participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	2792.0	1850.0	4095.0	5.3870000000000005	0.8879999999999999	0.211	0.041999999999999996	19.0	2.1	84.0	82.0	42.0085	8.9495	3.9918	64.9768	60.985	9.4511	8.943100000000001	0.9136	7.0023	10.690100000000001	3.6878
8454119	3038.0	2044.0	4846.0	5.449	0.8999999999999999	0.21000000000000002	0.039	18.0	2.4000000000000004	84.0	82.0	45.956199999999995	9.3919	8.3968	75.57130000000001	67.1745	9.7958	9.9999	0.8593	7.8679	11.338899999999999	3.471
11407866	2568.0	1747.0	3687.0	5.54	1.03	0.198	0.038	11.0	2.0	84.0	82.0	46.27160000000001	8.4784	7.606	76.0333	68.4273	11.0592	9.183	0.75	7.622199999999999	10.9731	3.3509
11574123	2523.0	1653.0	3578.0	5.255000000000001	1.1099999999999999	0.219	0.051000000000000004	16.0	2.5999999999999996	84.0	82.0	42.362700000000004	9.982800000000001	-6.172599999999999	71.4521	77.6246	8.5603	9.0641	0.748	7.4803	10.6646	3.1843
16684978	2084.0	1380.0	2888.0	5.2509999999999994	1.125	0.239	0.054	15.0	2.3	84.0	82.0	42.9114	9.666	12.3753	71.791	59.4156	8.890699999999999	8.7821	0.7249	7.1501	9.7049	2.5548
25354225	2765.0	1813.0	4149.0	5.774	0.988	0.20400000000000001	0.047	18.0	2.5	84.0	82.0	46.2717	11.2737	-15.3098	79.6856	94.9953	8.2645	9.092400000000001	0.8753	7.3413	10.8768	3.5355
25811472	3023.0	2005.0	4771.0	6.17	0.8360000000000001	0.214	0.041999999999999996	19.0	2.5	84.0	82.0	47.253299999999996	8.959399999999999	14.3161	75.701	61.3849	10.5893	9.498999999999999	1.2128999999999999	6.9959	10.9396	3.9436999999999998
27876862	1987.0	1325.0	3076.0	5.821	1.278	0.242	0.058	16.0	2.4	84.0	82.0	42.2359	9.8233	15.2016	74.2217	59.0199	8.598099999999999	7.958	0.3529	7.1367	8.510100000000001	1.3733
29811890	3148.0	2096.0	4761.0	5.529999999999999	0.92	0.22499999999999998	0.048	23.0	3.0	84.0	82.0	47.5412	9.7271	-10.543800000000001	83.8689	94.4127	9.932500000000001	9.286999999999999	1.0621	7.2798	11.1121	3.8324000000000003
31361606	2332.0	1563.0	3161.0	5.002	0.7270000000000001	0.227	0.042	16.0	2.2	84.0	82.0	41.816500000000005	8.8195	16.212899999999998	73.3493	57.1364	9.6052	8.3291	0.6041000000000001	6.8111	9.2569	2.4458
32938469	2621.0	1737.0	4185.0	6.051	1.166	0.23099999999999998	0.044	19.0	2.5	84.0	82.0	45.626000000000005	10.341000000000001	10.92	74.4005	63.4804	8.863	9.732700000000001	1.0958999999999999	7.7369	10.9714	3.2344999999999997
36895554	2463.0	1629.0	3557.0	5.43	1.077	0.216	0.046	15.0	2.2	84.0	82.0	41.5092	9.8468	9.8871	78.2837	68.3966	8.553799999999999	8.852699999999999	0.7237	7.2780000000000005	10.0166	2.7386
37329051	2413.0	1606.0	3770.0	5.705	1.206	0.197	0.034	12.0	1.6	84.0	82.0	48.971199999999996	8.8201	14.4812	78.8269	64.3457	11.2045	9.3164	0.8568	7.5815	10.7929	3.2113
37835493	2582.0	1735.0	3455.0	4.9510000000000005	0.879	0.229	0.048	18.0	2.3	84.0	82.0	40.634100000000004	8.6157	5.1978	70.65549999999999	65.4578	9.4348	8.534400000000002	0.6878	7.0807	9.543700000000001	2.4629
43606631	2526.0	1657.0	3115.0	4.752	0.9510000000000001	0.23199999999999998	0.047	19.0	2.3	84.0	82.0	41.6328	9.4877	6.7951	73.4542	66.6591	8.795300000000001	9.0181	0.6698999999999999	7.6916	10.0539	2.3623000000000003
49408975	2416.0	1596.0	3642.0	5.547	1.06	0.219	0.057999999999999996	36.0	3.1	84.0	82.0	41.758700000000005	9.827300000000001	-23.372799999999998	69.5118	92.8845	9.3153	9.1524	0.6093999999999999	7.72	10.229199999999999	2.5091
51217255	2545.0	1703.0	3718.0	5.182	0.901	0.22	0.05	17.0	2.3	84.0	82.0	43.8186	9.9434	4.4332	71.4285	66.9954	8.8162	9.3383	0.8526	7.2696000000000005	10.767900000000001	3.4981999999999998
52306425	2659.0	1763.0	3761.0	5.327	0.868	0.237	0.049	20.0	2.7	84.0	82.0	40.7887	10.0047	6.915699999999999	73.6533	66.7375	8.2478	9.236899999999999	0.7455	7.5644	10.4133	2.8489
52835891	2618.0	1744.0	3876.0	5.393	0.878	0.239	0.047	19.0	2.7	84.0	82.0	41.9842	9.4254	11.864999999999998	69.4871	57.6222	8.9178	7.9084	0.5342	6.8676	9.0719	2.2043
55710183	2454.0	1624.0	3181.0	4.708	0.8360000000000001	0.221	0.042	18.0	2.1	84.0	82.0	41.577200000000005	7.9986	13.7425	68.0409	54.2984	10.4224	9.557300000000001	0.8965000000000001	7.3072	10.9129	3.6057
56162563	3200.0	2095.0	4481.0	5.305999999999999	0.869	0.238	0.046	29.0	2.9	84.0	82.0	44.817499999999995	9.5447	10.4776	73.6931	63.215500000000006	9.436800000000002	8.634	1.0627	7.004	10.581199999999999	3.5772
60021964	2511.0	1687.0	3769.0	5.497	1.002	0.218	0.043	15.0	2.2	84.0	82.0	44.8387	8.8261	17.5952	77.368	59.77289999999999	10.278500000000001	8.8574	0.6833	7.475899999999999	10.186399999999999	2.7104999999999997
62582335	2391.0	1620.0	3583.0	5.458	0.826	0.224	0.045	16.0	2.2	84.0	82.0	44.727199999999996	9.995899999999999	2.896	72.3851	69.4892	9.052399999999999	8.1521	0.8556	6.687200000000001	9.7234	3.0362
65198031	2697.0	1826.0	3748.0	5.0329999999999995	1.069	0.237	0.049	19.0	2.7	84.0	82.0	40.3516	9.122399999999999	12.2024	74.12	61.91759999999999	8.8467	8.8781	0.7264999999999999	6.9627	10.015899999999998	3.0530999999999997
70214854	2453.0	1617.0	3067.0	4.663	0.8029999999999999	0.241	0.047	21.0	2.4000000000000004	84.0	82.0	42.464200000000005	9.2864	-2.2471000000000005	71.8373	74.0844	9.1843	7.8497	0.5446	6.7728	8.8344	2.0616
71851847	2268.0	1517.0	3320.0	5.646	1.0350000000000001	0.20800000000000002	0.040999999999999995	12.0	1.9	84.0	82.0	45.9429	9.8428	9.523800000000001	74.3883	64.8646	9.351600000000001	9.022200000000002	0.6669	7.2171	9.984	2.7668
74920331	2529.0	1678.0	3415.0	5.042	0.909	0.211	0.038	14.0	2.0	84.0	82.0	40.2357	8.3545	13.117	68.3818	55.2647	9.7113	9.1329	0.8257000000000001	7.2883	10.1869	2.8986
77390767	2496.0	1665.0	3538.0	5.077999999999999	0.8029999999999999	0.23199999999999998	0.052000000000000005	17.0	2.5999999999999996	84.0	82.0	41.2986	8.9091	9.0439	69.6413	60.5973	9.2789	8.6501	0.7483	6.991099999999999	10.093499999999999	3.1024000000000003
78982423	2281.0	1533.0	3151.0	5.159000000000001	1.008	0.212	0.044	14.0	2.0	84.0	82.0	43.3046	8.940100000000001	11.9085	75.2464	63.337900000000005	9.693	9.0579	0.5161	8.0547	9.8667	1.8119999999999998
80982198	2800.0	1882.0	4215.0	5.478	1.05	0.205	0.04	17.0	2.2	84.0	82.0	45.9814	9.023	10.883500000000002	73.1121	62.2287	10.256699999999999	9.601700000000001	0.8041	8.226799999999999	10.7666	2.5398
82699044	3102.0	2078.0	4444.0	5.306	0.865	0.23399999999999999	0.045	22.0	2.8	84.0	82.0	42.3815	9.3826	16.7065	67.51419999999999	50.8077	9.050699999999999	9.2394	0.9538	7.1952	10.650300000000001	3.4551
84407714	2065.0	1399.0	3016.0	5.2170000000000005	0.918	0.203	0.038	10.0	1.5	84.0	82.0	42.5654	7.945500000000001	15.1805	72.184	57.0036	10.7986	8.835	0.8084	7.1681	9.8962	2.7281
86226939	2333.0	1599.0	3117.0	4.872	0.92	0.238	0.052000000000000005	18.0	2.6	84.0	82.0	40.5017	8.9356	-4.5228	67.6354	72.158	9.0693	8.840900000000001	0.5982000000000001	7.3179	10.178899999999999	2.8609999999999998
93800202	2081.0	1410.0	3274.0	5.791	0.919	0.195	0.035	10.0	1.5	84.0	82.0	48.044799999999995	7.6485	24.3642	75.9022	51.537800000000004	12.564599999999999	8.4453	0.5166	7.3655	9.8667	2.5012
97005004	2987.0	2011.0	4550.0	5.645	1.078	0.20800000000000002	0.038	16.0	2.3	84.0	82.0	48.5336	8.9488	16.786	79.0244	62.2384	10.853	10.2636	0.8232999999999999	7.9671	11.5792	3.6121999999999996
100527940	2688.0	1862.0	4183.0	5.448	1.244	0.212	0.038	16.0	2.1	84.0	82.0	45.9463	8.2652	12.1009	71.8127	59.7117	11.1663	9.843900000000001	0.7128	8.4366	11.2719	2.8352
103652366	2531.0	1717.0	3739.0	5.416	1.083	0.224	0.041	16.0	2.4000000000000004	84.0	82.0	43.265699999999995	8.8245	12.114899999999999	70.5942	58.479299999999995	9.8055	8.4133	0.8849	7.0288	9.648299999999999	2.6193999999999997
105914514	3741.0	2518.0	6163.0	5.829	1.1360000000000001	0.20600000000000002	0.040999999999999995	22.0	3.2	84.0	82.0	42.3883	9.3683	6.5564	70.1036	63.547200000000004	9.0728	9.8552	1.3883999999999999	7.4796	12.0566	4.577
107578676	3033.0	2178.0	4767.0	5.442	1.083	0.22299999999999998	0.045	23.0	3.0	84.0	82.0	46.9896	12.2802	-11.553199999999999	80.0714	91.6246	8.0137	10.7344	0.9428	8.681000000000001	11.982299999999999	3.3013000000000003
108828000	2086.0	1391.0	2818.0	5.0	0.826	0.20600000000000002	0.041999999999999996	11.0	1.7000000000000002	84.0	82.0	40.4413	8.517	9.9062	72.316	62.4098	9.5673	8.3694	0.5632999999999999	6.886	9.355599999999999	2.4695
113335479	2981.0	1966.0	4283.0	5.4719999999999995	0.958	0.22399999999999998	0.048	20.0	3.0	84.0	82.0	43.4774	9.4775	9.7442	76.8408	67.0966	9.205	9.7592	1.3986999999999998	7.3489	11.5851	4.2362
