participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3444.0	2412.0	10857.0	6.368	1.434	0.306	0.07999999999999999	66.0	6.2	88.0	88.0	50.8598	13.0815	-12.9104	95.02180000000001	107.9321	7.7745	5.0631	0.4616	4.4044	6.9557	2.5512
8454119	4591.0	2906.0	11623.0	5.959	1.738	0.289	0.10600000000000001	85.0	10.1	88.0	88.0	40.6662	15.5806	-23.3964	91.0787	114.4751	5.2186	5.294	0.2382	4.8716	6.2659	1.3943
11407866	3507.0	2529.0	14492.0	7.468	1.472	0.301	0.078	66.0	6.0	88.0	88.0	47.4835	12.9817	5.1224	93.3189	88.19640000000001	7.3740000000000006	5.029999999999999	0.372	4.5532	6.086	1.5328
11574123	3194.0	2236.0	12121.0	7.005	1.577	0.31799999999999995	0.101	65.0	6.8	88.0	88.0	46.5005	15.4006	-35.8876	108.0913	143.9788	6.0718	4.860200000000001	0.33130000000000004	4.4191	6.2546	1.8354
16684978	2946.0	2002.0	10227.0	6.8759999999999994	1.406	0.296	0.098	59.0	6.0	88.0	88.0	44.7709	12.972999999999999	-23.8509	84.8019	108.65270000000001	6.9940999999999995	5.3353	0.3317	4.9186	6.5164	1.5977999999999999
25354225	2697.0	1890.0	8658.0	6.02	1.912	0.328	0.122	62.0	7.1	88.0	88.0	46.5319	19.4684	-67.3338	127.3576	194.6916	4.7803	5.412	0.5167999999999999	4.8546	7.111800000000001	2.2572
25811472	3002.0	2147.0	11364.0	6.965999999999999	1.7109999999999999	0.291	0.08499999999999999	58.0	5.5	88.0	88.0	44.984399999999994	12.9868	-26.896299999999997	82.9602	109.85640000000001	6.939	5.623200000000001	0.5497	4.835	7.3413	2.5061999999999998
27876862	2630.0	1895.0	9894.0	7.13	1.484	0.303	0.087	51.0	4.6	88.0	88.0	48.8493	13.3612	-33.652	84.6702	118.32220000000001	7.3126	4.7659	0.20500000000000002	4.3423	5.4836	1.1413000000000002
29811890	2722.0	1923.0	10891.0	7.1899999999999995	1.627	0.29600000000000004	0.095	62.0	5.2	88.0	88.0	53.0152	14.7004	-6.1959	107.6089	113.8049	7.2781	5.0096	0.2595	4.6112	5.9251000000000005	1.3139
31361606	2532.0	1957.0	9467.0	6.607	1.762	0.354	0.123	54.0	7.300000000000001	88.0	88.0	49.5916	15.2177	-24.3011	99.98140000000001	124.2825	6.5705	4.9136	0.2776	4.4977	6.255599999999999	1.7578999999999998
