participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	2742.0	1841.0	4317.0	5.532	1.0	0.202	0.039	17.0	2.3	98.0	98.0	46.143699999999995	11.9906	-0.1841999999999997	89.7752	89.95949999999999	7.7093	9.8635	0.8642000000000001	5.8284	10.6217	4.7934
8454119	2890.0	1905.0	4773.0	6.285	1.1749999999999998	0.179	0.035	14.0	2.1	98.0	98.0	47.6871	11.3784	5.1976	88.29769999999999	83.1002	8.383199999999999	10.6305	1.2046999999999999	5.497	11.5972	6.1
11407866	2944.0	1973.0	5056.0	6.26	1.054	0.17099999999999999	0.027	13.0	1.9	98.0	98.0	47.7667	11.6345	-8.5644	78.1813	86.7457	8.225999999999999	10.428	0.8261000000000001	6.4009	11.139800000000001	4.7389
11574123	3120.0	1990.0	5162.0	5.891	1.241	0.16599999999999998	0.028	12.0	2.1	98.0	98.0	45.5003	10.793099999999999	-0.3348	76.2993	76.6341	8.435500000000001	9.9418	1.0406	5.7044999999999995	10.666	4.9616
16684978	2277.0	1493.0	3498.0	5.684	1.1989999999999998	0.203	0.049	17.0	2.6	98.0	98.0	45.5849	12.0059	-11.374500000000001	81.0909	92.4654	7.618399999999999	9.211500000000001	0.4228	6.098800000000001	9.786000000000001	3.6871
25354225	2902.0	1893.0	4771.0	5.859999999999999	1.1829999999999998	0.199	0.07200000000000001	23.0	5.6	98.0	98.0	43.527100000000004	14.2773	-48.3339	108.95009999999999	157.28410000000002	6.1168	10.1207	0.6213	6.6809	10.977699999999999	4.2968
25811472	2764.0	1816.0	4387.0	6.073	1.161	0.179	0.035	15.0	2.0	98.0	98.0	44.245599999999996	10.845600000000001	-26.475099999999998	75.46090000000001	101.936	8.1648	10.759899999999998	0.7101	6.382899999999999	11.567499999999999	5.1845
27876862	2290.0	1513.0	3310.0	5.323	1.2469999999999999	0.16899999999999998	0.024	9.0	1.2	98.0	98.0	46.2477	8.9078	9.1213	72.76230000000001	63.641000000000005	10.4757	7.8945	0.7157	5.2109000000000005	8.6287	3.418
29811890	3255.0	2137.0	5318.0	5.961	1.2759999999999998	0.168	0.03	13.0	2.0	98.0	98.0	47.3382	12.6974	-20.5928	93.1372	113.7299	7.4559999999999995	10.5195	1.3347	5.7522	11.6826	5.930400000000001
31361606	2063.0	1348.0	3114.0	5.266	1.002	0.175	0.029	9.0	1.3	98.0	98.0	47.5449	10.6594	7.7063	84.6038	76.89750000000001	8.9235	8.7272	0.6076	5.527699999999999	9.324300000000001	3.7965999999999998
32938469	2559.0	1753.0	4258.0	5.872	1.3359999999999999	0.202	0.039	14.0	2.2	98.0	98.0	42.7661	11.8115	-6.0402000000000005	86.5484	92.58840000000001	7.2461	10.6242	0.9826999999999999	6.0487	11.3702	5.3216
