participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3234.0	2198.0	4969.0	5.519	0.804	0.20700000000000002	0.036	15.0	2.6	100.0	100.0	48.0559	7.6525	20.887900000000002	73.08930000000001	52.201499999999996	12.560500000000001	10.0383	0.7942	8.177	11.261399999999998	3.0844
8454119	3259.0	2237.0	5411.0	6.003	1.0510000000000002	0.22	0.044	20.0	3.0	100.0	100.0	48.4026	9.4228	13.4887	75.58000000000001	62.0913	10.3412	10.9191	0.6167	9.5336	11.9215	2.3879
11407866	3784.0	2598.0	6472.0	6.048	0.9059999999999999	0.187	0.03	15.0	2.4	100.0	100.0	50.2502	8.5152	17.3536	80.548	63.1944	11.8094	10.349799999999998	0.7692	8.809899999999999	11.4825	2.6726
11574123	3390.0	2319.0	5790.0	6.101	1.073	0.205	0.038	17.0	2.8	100.0	100.0	47.6684	9.421	17.0576	76.7916	59.733999999999995	10.1273	9.6724	0.9790000000000001	8.0045	10.9875	2.983
16684978	2466.0	1667.0	3992.0	6.031	0.986	0.227	0.046	14.0	2.5	100.0	100.0	49.0441	8.8936	18.0684	75.5868	57.5184	11.0434	9.505600000000001	0.2786	8.8582	9.956600000000002	1.0985
25354225	3365.0	2265.0	5819.0	6.1690000000000005	1.091	0.186	0.037000000000000005	13.0	2.5999999999999996	100.0	100.0	47.0072	10.5716	7.9384	85.6534	77.715	8.9129	9.6469	0.8028	8.127500000000001	11.0564	2.9288
25811472	3980.0	2671.0	6719.0	6.2170000000000005	0.921	0.195	0.034	17.0	2.9	100.0	100.0	50.5497	8.7607	21.222	77.4507	56.2288	11.5929	10.273	0.9488000000000001	8.3834	11.534600000000001	3.1511
27876862	2249.0	1531.0	3564.0	5.727	1.045	0.227	0.045	13.0	2.0	100.0	100.0	48.3703	7.8635	20.6331	75.60470000000001	54.9716	12.375	7.7417	0.5756	6.737399999999999	8.6047	1.8673000000000002
29811890	2907.0	1928.0	4812.0	6.013	0.826	0.184	0.039	11.0	2.1	100.0	100.0	49.291799999999995	8.7362	6.206200000000001	80.1079	73.9017	11.324200000000001	10.5601	1.0257	8.1037	11.681799999999999	3.5782
31361606	2512.0	1717.0	3974.0	5.555999999999999	0.9590000000000001	0.227	0.046	15.0	2.4000000000000004	100.0	100.0	48.6858	8.3105	18.1682	78.38390000000001	60.215599999999995	11.753499999999999	8.9225	0.4739	8.015699999999999	9.776900000000001	1.7612
32938469	3289.0	2227.0	5498.0	6.052	0.9790000000000001	0.199	0.036000000000000004	14.0	2.5	100.0	100.0	49.194100000000006	9.3031	15.1974	79.1628	63.965399999999995	10.5792	10.456199999999999	0.8407	8.6294	11.613399999999999	2.9839
36895554	2677.0	1819.0	4471.0	5.891	0.97	0.23099999999999998	0.051000000000000004	18.0	2.9000000000000004	100.0	100.0	45.4411	9.7813	12.5291	79.85650000000001	67.3274	9.297799999999999	9.41	0.891	7.2233	10.3301	3.1067
37329051	2652.0	1787.0	4487.0	6.007	0.96	0.20600000000000002	0.038	13.0	2.3	100.0	100.0	49.204899999999995	9.1645	17.794800000000002	85.9208	68.12610000000001	10.822600000000001	10.1223	0.8534	8.3031	11.1807	2.8775
37835493	3011.0	2034.0	4569.0	5.3260000000000005	0.882	0.219	0.041	17.0	2.5999999999999996	100.0	100.0	45.8041	7.914	11.6637	75.7216	64.0579	11.5815	9.2464	0.4322	8.172	9.959	1.787
43606631	2818.0	1908.0	3964.0	4.986000000000001	0.919	0.23099999999999998	0.046	17.0	2.6	100.0	100.0	47.5108	7.4772	20.0458	71.4863	51.4404	12.709399999999999	9.2225	0.6918	7.6989	10.1792	2.4801
49408975	2814.0	1936.0	4419.0	5.497	0.872	0.193	0.032	11.0	2.0	100.0	100.0	45.241699999999994	7.584199999999999	7.773	68.4673	60.6943	11.9343	9.6897	0.5473	8.639800000000001	10.7211	2.0812999999999997
51217255	2769.0	1873.0	4410.0	5.734	0.823	0.213	0.038	14.0	2.4000000000000004	100.0	100.0	49.2824	8.6445	23.9346	74.3101	50.3756	11.4089	10.1203	0.6441	8.236699999999999	10.9759	2.7393
52306425	3365.0	2286.0	5198.0	5.449999999999999	0.9510000000000001	0.207	0.04	18.0	2.7	100.0	100.0	46.664699999999996	7.8328	8.284400000000002	69.92920000000001	61.6447	11.9165	9.8971	0.7154	8.291699999999999	10.7604	2.4687
52835891	2638.0	1796.0	4620.0	6.288	0.9530000000000001	0.186	0.033	10.0	1.9	100.0	100.0	47.4869	8.9403	16.525100000000002	82.3123	65.7873	10.6232	8.5933	0.5291	7.1539	9.3131	2.1592000000000002
55710183	3188.0	2168.0	4869.0	5.409	0.7889999999999999	0.2	0.033	14.0	2.4000000000000004	100.0	100.0	46.923500000000004	8.0193	17.6877	70.3252	52.6375	11.7629	10.046700000000001	0.7101	8.2051	11.150500000000001	2.9454000000000002
56162563	3208.0	2117.0	4755.0	5.509	0.827	0.195	0.035	13.0	2.4	100.0	100.0	50.2945	7.306	15.6244	71.8169	56.1926	13.7774	10.1561	0.638	8.4556	11.0803	2.6246
60021964	3737.0	2515.0	6000.0	5.869	0.992	0.194	0.031	15.0	2.5999999999999996	100.0	100.0	49.2449	8.273499999999999	20.6485	73.3063	52.657700000000006	11.969999999999999	10.0181	0.5603	8.5517	10.7569	2.2051
62582335	3189.0	2173.0	5270.0	5.926	0.862	0.201	0.039	16.0	2.5999999999999996	100.0	100.0	47.651700000000005	8.580200000000001	13.766	75.6524	61.886399999999995	11.1159	9.4511	0.3982	8.4391	10.361699999999999	1.9226
65198031	3040.0	2083.0	4743.0	5.276999999999999	0.884	0.192	0.034	12.0	2.2	100.0	100.0	47.1843	7.9535	18.985500000000002	74.60310000000001	55.617599999999996	11.8955	9.0726	0.8465	7.583	10.3957	2.8127000000000004
