participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	4114.0	2797.0	6486.0	4.811	0.788	0.22599999999999998	0.043	32.0	3.5	106.0	106.0	47.1089	8.401	16.5176	72.0907	55.5731	11.2219	7.1863	0.41969999999999996	6.2385	8.2072	1.9687
8454119	6743.0	4567.0	11617.0	5.404	0.857	0.213	0.038	47.0	5.1	106.0	106.0	49.230000000000004	10.0856	10.8878	82.9356	72.0478	9.7624	8.8445	1.0019	6.6905	11.3306	4.6401
11407866	4790.0	3299.0	8179.0	5.381	0.8049999999999999	0.213	0.038	33.0	3.2	106.0	106.0	54.0617	9.0593	16.7856	77.9251	61.1395	11.9374	7.3980999999999995	0.7671	5.8111	9.6625	3.8514
11574123	5348.0	3671.0	9679.0	5.414	0.95	0.226	0.041999999999999996	42.0	4.6	106.0	106.0	51.3898	10.0484	9.3506	79.424	70.0733	10.2576	7.4308	0.8962	5.6985	9.395299999999999	3.6967
16684978	4213.0	2843.0	5830.0	4.676	0.831	0.23399999999999999	0.046	34.0	3.9000000000000004	106.0	106.0	49.4681	9.4918	13.253	78.3531	65.1001	10.567499999999999	7.211	0.5183	5.8858999999999995	8.3362	2.4503
25354225	5611.0	3741.0	9662.0	5.43	0.857	0.218	0.047	47.0	5.6	106.0	106.0	48.252700000000004	13.0212	-5.6387	88.2347	93.8734	7.652699999999999	7.456799999999999	0.5177	6.0476	8.863199999999999	2.8154
25811472	4885.0	3343.0	8471.0	5.444	0.91	0.21	0.036000000000000004	37.0	3.6	106.0	106.0	51.1165	10.2333	10.7655	81.4684	70.703	10.0062	7.2366	0.7244	5.7539	8.639	2.8851
27876862	3616.0	2459.0	6394.0	5.975	1.44	0.29000000000000004	0.095	53.0	7.8	106.0	106.0	49.290800000000004	12.0512	-7.3182	79.057	86.3751	8.3545	6.482	0.6558999999999999	5.146100000000001	7.528700000000001	2.3825
29811890	5902.0	3865.0	9766.0	5.406000000000001	0.886	0.20700000000000002	0.052000000000000005	58.0	6.5	106.0	106.0	51.7515	13.261099999999999	-10.0675	87.9435	98.011	8.0641	7.6287	1.0469	5.6147	9.9128	4.2981
31361606	3199.0	2218.0	5078.0	4.891	0.81	0.225	0.040999999999999995	25.0	2.5999999999999996	106.0	106.0	49.4801	8.1741	11.8039	73.0706	61.2667	12.112400000000001	7.2491	0.5486	6.1683	8.270199999999999	2.1019
32938469	4931.0	3418.0	8090.0	5.114	1.098	0.262	0.068	55.0	7.6	106.0	106.0	45.1026	14.1608	-20.8993	75.2704	96.16980000000001	6.6218	7.9116	0.6545000000000001	6.3416	9.385	3.0434
