participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	913.0	652.0	1363.0	5.253	0.765	0.238	0.032	6.0	0.7	112.0	112.0	49.6676	6.5366	31.0835	66.94130000000001	35.858000000000004	15.2331	6.7604	0.1127	6.557499999999999	6.977	0.41969999999999996
8454119	1296.0	899.0	2054.0	5.93	0.758	0.176	0.044	6.0	0.7	112.0	112.0	48.09	8.557	25.9739	64.0827	38.1088	11.9267	7.9384	0.15230000000000002	7.6253	8.2486	0.6234
11407866	1423.0	963.0	2185.0	5.604	0.947	0.224	0.036000000000000004	10.0	1.2	112.0	112.0	52.471900000000005	8.1176	19.2609	71.69200000000001	52.4311	12.9538	6.9211	0.1225	6.7462	7.3427	0.5965
11574123	771.0	552.0	1134.0	5.16	1.146	0.236	0.034	5.0	0.7	112.0	112.0	52.7508	7.1881	31.2798	71.2858	40.0061	14.6767	6.8536	0.0412	6.7066	7.0225	0.31589999999999996
16684978	640.0	456.0	971.0	4.929	0.876	0.245	0.041999999999999996	5.0	0.6	112.0	112.0	50.7203	6.8223	33.0783	69.2679	36.1896	14.9542	6.7569	0.053599999999999995	6.5901	6.8474	0.2573
25354225	735.0	514.0	1274.0	5.697	0.8280000000000001	0.226	0.046	6.0	0.7	112.0	112.0	51.075100000000006	10.2096	18.398899999999998	78.9459	60.5471	10.2181	7.3221	0.152	7.1386	7.6454	0.5067
25811472	770.0	560.0	1391.0	6.02	1.032	0.239	0.036000000000000004	4.0	0.8	112.0	112.0	50.3335	7.9546	21.4813	69.5359	48.0546	12.9793	6.9892	0.1252	6.7555	7.262499999999999	0.507
27876862	477.0	351.0	870.0	5.2940000000000005	0.718	0.255	0.037	4.0	0.4	112.0	112.0	49.5629	7.9208	30.0757	69.1674	39.0916	12.5144	6.600300000000001	0.0559	6.4834	6.712	0.2285
29811890	1804.0	1285.0	2502.0	4.911	0.7809999999999999	0.224	0.045	15.0	2.4	112.0	112.0	51.9122	11.9117	-12.562000000000001	73.2433	85.8053	8.7474	7.2061	0.1399	6.9543	7.5415	0.5871999999999999
31361606	596.0	431.0	843.0	4.611000000000001	0.78	0.27	0.041999999999999996	4.0	0.7	112.0	112.0	48.7744	6.1958	31.3	65.09559999999999	33.7956	15.7634	6.4858	0.13390000000000002	6.3336	6.758699999999999	0.4251
