participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1380.0	963.0	2110.0	5.128	1.0670000000000002	0.222	0.032	10.0	0.9	128.0	128.0	53.4298	8.1034	25.7199	81.82849999999999	56.1088	13.2235	4.6937	0.095	4.3363	4.976100000000001	0.6397
8454119	1459.0	1088.0	2292.0	4.876	1.094	0.281	0.061	17.0	1.8	128.0	128.0	47.7435	14.5028	-13.939300000000001	89.91059999999999	103.8499	6.6835	4.9778	0.19440000000000002	4.6236	5.549099999999999	0.9255
11407866	1540.0	1077.0	2273.0	5.075	0.8540000000000001	0.2	0.028	9.0	0.9	128.0	128.0	54.275099999999995	10.5562	7.6312	93.42439999999999	85.79329999999999	10.389700000000001	4.7330000000000005	0.12179999999999999	4.424300000000001	5.0669	0.6426999999999999
11574123	1551.0	1138.0	2444.0	4.915	1.1280000000000001	0.242	0.036000000000000004	16.0	1.1	128.0	128.0	50.8616	10.7725	-2.3129999999999997	81.03200000000001	83.3451	9.4458	4.4455	0.1264	4.2359	4.788	0.5521
16684978	1135.0	896.0	1709.0	4.789	1.0939999999999999	0.29	0.06	14.0	1.7	128.0	128.0	46.187	12.7065	-6.9998999999999985	75.477	82.4768	10.393799999999999	4.6211	0.1154	4.385	4.9253	0.5403
25354225	936.0	707.0	1815.0	5.231	1.193	0.262	0.059	9.0	1.0	128.0	128.0	46.6011	14.975000000000001	-35.72280000000001	92.3445	128.06730000000002	6.2237	4.4521	0.1882	4.1726	5.1551	0.9824999999999999
25811472	1361.0	968.0	2130.0	5.193	0.9119999999999999	0.205	0.033	8.0	0.8	128.0	128.0	49.3386	10.4463	3.6148	79.1549	75.53999999999999	9.7653	4.6701999999999995	0.15050000000000002	4.398899999999999	5.1977	0.7988
27876862	1089.0	801.0	1565.0	4.913	1.25	0.257	0.040999999999999995	10.0	0.9	128.0	128.0	47.144	8.780999999999999	8.307	66.614	58.307	10.7583	4.285399999999999	0.1187	4.0724	4.7149	0.6425000000000001
29811890	1262.0	1071.0	2445.0	5.138	1.288	0.264	0.054	11.0	1.2999999999999998	128.0	128.0	53.977	14.331499999999998	-53.140299999999996	112.04069999999999	165.18110000000001	8.1664	4.441599999999999	0.1187	4.1312	4.8948	0.7636000000000001
31361606	1321.0	911.0	1879.0	4.952999999999999	1.068	0.261	0.063	12.0	1.6	128.0	128.0	47.1357	13.6679	-20.613799999999998	93.9688	114.58259999999999	6.9106000000000005	4.4318	0.2096	4.0804	5.0542	0.9738
32938469	1663.0	1190.0	2509.0	4.506	1.254	0.29000000000000004	0.09899999999999999	26.0	3.5	128.0	128.0	45.2414	18.3114	-42.9996	130.1839	173.18349999999998	4.942399999999999	4.8161	0.1794	4.4013	5.2013	0.8
36895554	1143.0	844.0	1839.0	5.023	1.1600000000000001	0.271	0.052000000000000005	14.0	1.4	128.0	128.0	49.551100000000005	11.865300000000001	-10.9835	83.2629	94.24629999999999	8.3732	4.3537	0.1119	4.1205	4.9452	0.8247
37329051	1084.0	754.0	1644.0	4.9399999999999995	0.988	0.235	0.038	9.0	0.8	128.0	128.0	50.5986	11.2903	0.007800000000000001	83.47489999999999	83.46709999999999	8.9878	4.898	0.18280000000000002	4.462999999999999	5.3787	0.9157
37835493	1329.0	954.0	1735.0	4.3870000000000005	0.738	0.23399999999999999	0.031	11.0	0.7	128.0	128.0	48.6532	9.4231	13.967500000000001	77.8059	63.8386	10.363299999999999	4.4189	0.1339	4.1998999999999995	5.0024	0.8025
43606631	1268.0	927.0	1783.0	4.643	1.049	0.26	0.041999999999999996	11.0	1.1	128.0	128.0	51.6592	10.305800000000001	2.9775	80.8435	77.86580000000001	10.037500000000001	4.4013	0.11030000000000001	4.1899999999999995	4.8451	0.655
49408975	1363.0	966.0	2207.0	4.96	1.0339999999999998	0.22399999999999998	0.044	10.0	1.3	128.0	128.0	45.525000000000006	10.7568	2.9112	78.9065	75.9953	8.5767	4.7361	0.0912	4.4443	5.013	0.5687
51217255	1294.0	891.0	1776.0	4.585	0.839	0.251	0.08	16.0	2.5	128.0	128.0	46.525999999999996	15.548	-28.087000000000003	78.5841	106.6712	6.1284	4.398199999999999	0.22250000000000003	4.0314	4.961	0.9296
52306425	1614.0	1145.0	2330.0	5.109	1.081	0.217	0.032	10.0	1.1	128.0	128.0	51.5961	10.036999999999999	12.755500000000001	99.7325	86.977	10.430900000000001	4.574	0.1112	4.3512	4.8343	0.4831
52835891	1480.0	1051.0	2104.0	4.531000000000001	1.2469999999999999	0.279	0.079	20.0	2.8	128.0	128.0	40.8859	16.0913	-27.7238	75.2362	102.9601	5.5112000000000005	4.5313	0.2388	4.0103	4.9617	0.9514
55710183	1654.0	1136.0	2222.0	4.602	1.076	0.252	0.054	18.0	1.9	128.0	128.0	45.1505	14.1019	-18.6073	80.564	99.1713	6.443099999999999	4.5863	0.136	4.3416999999999994	5.024900000000001	0.6833
56162563	1576.0	1132.0	2341.0	5.0489999999999995	0.966	0.211	0.028999999999999998	10.0	1.0	128.0	128.0	53.585300000000004	8.7507	18.6412	78.8697	60.2285	12.254999999999999	4.5805	0.201	4.1133	5.0649	0.9516
60021964	1608.0	1170.0	2340.0	4.681	0.8180000000000001	0.238	0.038	12.0	1.2	128.0	128.0	48.727999999999994	12.189699999999998	-0.09039999999999981	77.5484	77.6387	8.07	4.7162	0.1632	4.293200000000001	5.4098	1.1167
62582335	1247.0	914.0	1994.0	5.156	1.08	0.246	0.064	12.0	1.5	128.0	128.0	49.0731	12.2203	-0.022199999999999775	85.09559999999999	85.1178	8.2778	4.7275	0.2526	4.2359	5.1673	0.9313
