participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	4315.0	2923.0	5963.0	4.7829999999999995	0.9490000000000001	0.236	0.05	37.0	4.3	132.0	132.0	39.1085	8.8308	6.529	66.6094	60.080400000000004	8.8898	6.5474	0.2724	6.0184999999999995	6.9391	0.9206000000000001
8454119	5951.0	3976.0	9132.0	5.109999999999999	0.9550000000000001	0.235	0.043	59.0	5.3	132.0	132.0	44.926500000000004	9.5705	-8.0579	73.33670000000001	81.3946	9.4061	8.208200000000001	0.4578	6.6378	9.013300000000001	2.3754999999999997
11407866	5157.0	3457.0	8015.0	5.077999999999999	1.124	0.226	0.044	41.0	4.5	132.0	132.0	42.789699999999996	9.6242	5.1279	74.1215	68.9936	8.8906	6.5876	0.179	5.8980999999999995	6.8764	0.9782
11574123	5475.0	3620.0	7356.0	4.412	0.966	0.238	0.044	53.0	4.9	132.0	132.0	42.384699999999995	9.8219	1.9338	75.4395	73.5056	8.6317	7.141	0.216	6.5405	7.5473	1.0069
16684978	3904.0	2608.0	5413.0	4.554	0.941	0.245	0.047	37.0	3.9000000000000004	132.0	132.0	41.3326	9.1552	5.2223	71.1485	65.926	9.0659	6.4681999999999995	0.16160000000000002	5.9627	6.6696	0.7069
25354225	4554.0	3093.0	7019.0	5.117	1.07	0.227	0.044	36.0	4.2	132.0	132.0	43.8279	9.8331	-1.0792	76.70490000000001	77.7842	8.929	6.6375	0.3076	5.8692	7.1721	1.3029
25811472	4204.0	2854.0	6708.0	5.164	1.053	0.23099999999999998	0.046	32.0	4.0	132.0	132.0	41.2806	9.4759	-1.3024	70.4768	71.7792	8.723700000000001	7.0891	0.3185	6.4971	7.5222	1.0251000000000001
27876862	3688.0	2484.0	5166.0	4.83	1.006	0.241	0.048	30.0	3.8	132.0	132.0	42.0202	8.576	15.0475	69.4794	54.4319	9.799499999999998	5.8986	0.0949	5.6574	6.1221	0.4647
29811890	5874.0	3950.0	8216.0	4.595	1.005	0.243	0.045	56.0	5.7	132.0	132.0	43.2573	9.8906	6.1611	73.46549999999999	67.3044	8.7533	6.4061	0.1834	6.0069	6.7600999999999996	0.7532000000000001
31361606	4166.0	2855.0	6473.0	4.686999999999999	0.957	0.23299999999999998	0.045	37.0	4.2	132.0	132.0	40.4129	8.544	0.9272999999999998	75.8822	74.955	9.5241	5.6646	0.1562	5.265000000000001	6.0038	0.7388
32938469	3636.0	2528.0	5958.0	5.136	1.135	0.259	0.067	40.0	4.9	132.0	132.0	42.3667	11.5979	-7.0008	75.7242	82.725	7.3083	7.2142	0.2993	6.5698	7.622199999999999	1.0524
36895554	3753.0	2525.0	5380.0	4.808	1.0739999999999998	0.239	0.052000000000000005	35.0	4.199999999999999	132.0	132.0	37.626599999999996	9.223600000000001	-0.8474000000000002	63.0039	63.8514	8.1711	6.3911	0.164	5.917	6.6167	0.6997
37329051	3526.0	2430.0	5582.0	5.0120000000000005	1.198	0.226	0.038	28.0	2.7	132.0	132.0	44.3262	9.591899999999999	8.8404	74.5086	65.6683	9.2529	6.7508	0.1517	6.2501	7.0245	0.7743
37835493	3297.0	2232.0	4537.0	4.52	0.9930000000000001	0.251	0.056	29.0	3.9	132.0	132.0	38.2855	8.5704	13.7159	62.5343	48.8183	8.963899999999999	5.9323	0.0697	5.704	6.057499999999999	0.3535
43606631	3879.0	2618.0	4886.0	4.148	0.875	0.253	0.051000000000000004	38.0	3.9	132.0	132.0	40.3514	8.3492	8.9875	67.6451	58.6576	9.7043	6.1524	0.1581	5.6188	6.423	0.8042
49408975	4008.0	2704.0	5946.0	4.882	0.854	0.224	0.04	29.0	3.5999999999999996	132.0	132.0	39.9009	8.2331	3.7702999999999998	66.8145	63.044200000000004	9.6922	6.379300000000001	0.2054	5.8838	6.700699999999999	0.8169
51217255	4823.0	3223.0	7384.0	4.894	0.962	0.214	0.04	35.0	4.1	132.0	132.0	43.2476	9.333300000000001	2.2471	71.5513	69.30420000000001	9.2701	6.7367	0.23470000000000002	6.132	7.2044999999999995	1.0725
52306425	5189.0	3395.0	7242.0	4.721	1.012	0.249	0.053000000000000005	54.0	5.7	132.0	132.0	40.4748	9.5761	-0.40519999999999995	68.56190000000001	68.9671	8.4622	6.5425	0.184	5.9717	6.7704	0.7987
52835891	4708.0	3185.0	7184.0	4.9559999999999995	0.94	0.226	0.041999999999999996	37.0	4.3	132.0	132.0	41.0895	8.3256	10.972	69.8506	58.878699999999995	9.911200000000001	6.0213	0.1676	5.5665	6.2671	0.7007
