participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	3268.0	1964.0	2700.0	3.2569999999999997	1.346	0.23299999999999998	0.038000000000000006	55.0	2.1	134.0	134.0	42.6928	12.081900000000001	8.595600000000001	87.7224	79.1267	7.067	4.6831	0.7309	3.8731999999999998	6.094799999999999	2.2215
8454119	3738.0	2406.0	4110.0	3.861	1.833	0.22899999999999998	0.037000000000000005	46.0	2.4	134.0	134.0	49.1174	12.1499	-19.439	95.18180000000001	114.6207	8.0852	5.2337	0.6836	4.4755	6.853199999999999	2.3776
11407866	3421.0	2092.0	3098.0	3.724	1.5670000000000002	0.23	0.03	45.0	1.7000000000000002	134.0	134.0	52.8557	11.4748	11.6372	93.8973	82.2601	9.2209	4.4372	0.5410999999999999	3.7325	5.4177	1.6852
11574123	2949.0	1808.0	2673.0	3.823	1.597	0.24	0.039	42.0	1.8	134.0	134.0	49.049099999999996	14.1081	-7.427299999999999	87.0308	94.4581	6.9528	4.608700000000001	0.7227	3.6310000000000002	6.0408	2.4097999999999997
16684978	2160.0	1287.0	1921.0	4.0	1.464	0.235	0.039	31.0	1.3	134.0	134.0	45.2718	12.7866	8.645199999999999	84.342	75.6968	7.0798000000000005	4.5971	0.6976	3.5815	5.626099999999999	2.0445
25354225	3144.0	1992.0	2922.0	3.707	1.271	0.254	0.045	46.0	2.3	134.0	134.0	48.755799999999994	16.45	-12.2783	100.1164	112.3947	6.1480999999999995	4.5516000000000005	0.6309	3.8414	5.760199999999999	1.9188
25811472	2828.0	1672.0	3009.0	4.79	1.888	0.23199999999999998	0.037	46.0	1.7000000000000002	134.0	134.0	48.919399999999996	14.0972	6.6465000000000005	96.25290000000001	89.60640000000001	6.9617	4.9076	0.7538	4.0495	6.545999999999999	2.4965
27876862	1856.0	1050.0	1530.0	4.287	1.759	0.254	0.040999999999999995	38.0	1.2	134.0	134.0	46.2718	12.0461	6.345	81.4997	75.1548	7.7021	4.3646	0.7733000000000001	3.3386	5.5312	2.1925
29811890	2513.0	1435.0	1778.0	3.2729999999999997	1.752	0.244	0.039	53.0	1.6	134.0	134.0	47.7216	14.1684	6.7574000000000005	90.6113	83.854	6.7362	4.6998999999999995	0.5421	3.9859	5.8061	1.8201999999999998
31361606	1972.0	1134.0	1602.0	4.022	1.728	0.273	0.046	47.0	1.6	134.0	134.0	45.6344	12.5093	-31.555800000000005	90.38810000000001	121.94390000000001	7.314299999999999	4.2092	0.5036	3.6077	5.0764	1.4687999999999999
32938469	2278.0	1389.0	2647.0	4.694	1.861	0.258	0.045	47.0	1.8	134.0	134.0	45.6558	12.7043	-15.1079	81.4483	96.5562	7.1884	5.0057	0.8162	3.8569	6.3964	2.5394
36895554	2545.0	1497.0	2048.0	3.873	1.775	0.226	0.05	40.0	1.7000000000000002	134.0	134.0	42.1286	13.316199999999998	1.4359000000000002	85.5369	84.1011	6.3304	4.6437	0.5959000000000001	3.9847	5.6983	1.7136
37329051	3002.0	1842.0	2586.0	3.6020000000000003	1.296	0.247	0.037	46.0	1.8	134.0	134.0	52.0028	12.2958	11.2289	93.403	82.17410000000001	8.4624	4.5047999999999995	0.40070000000000006	4.0031	5.318300000000001	1.3152
37835493	3052.0	1777.0	2584.0	3.8760000000000003	1.5259999999999998	0.255	0.035	52.0	1.8	134.0	134.0	50.1486	13.8828	12.5969	98.2025	85.60560000000001	7.2313	4.1709	0.5385	3.4181	5.2349	1.8168
43606631	2476.0	1514.0	2367.0	4.017	1.6440000000000001	0.268	0.051000000000000004	53.0	1.8	134.0	134.0	46.0882	12.9139	-12.6724	84.7927	97.465	7.1392	4.5877	0.5882000000000001	3.818	5.693899999999999	1.8759000000000001
49408975	3157.0	1951.0	3362.0	4.116	1.81	0.254	0.037	54.0	2.1	134.0	134.0	45.142300000000006	11.745899999999999	2.1274	76.59	74.46260000000001	7.7321	4.431100000000001	0.485	3.8442	5.4526	1.6084999999999998
